,Rank,"Player (yrs, age)",Fielding Independent Pitching,Throws
69,70.,Gene Packard (8),2.794,L
70,71.,Fred Beebe (7),2.801,R
71,71.,Ed Killian (8),2.801,L
72,73.,Babe Ruth+ (22),2.809,L
73,74.,Jake Weimer (7),2.814,L
74,75.,George Winter (8),2.816,R
75,76.,Ed Siever (7),2.819,L
76,77.,Dutch Leonard (11),2.822,L
77,78.,Bob Groom (10),2.826,R
78,79.,Barney Pelty (10),2.828,R
79,80.,Russ Ford (7),2.838,R
80,81.,Sam Leever (13),2.840,R
81,82.,George Zettlein (6),2.842,R
82,83.,Ed Reulbach (13),2.844,R
83,83.,Cy Young+ (22),2.844,R
84,85.,Tom Hughes (13),2.846,R
85,86.,Toad Ramsey (6),2.853,L
86,87.,Carl Weilman (8),2.854,L
87,88.,Pat Ragan (11),2.855,R
88,89.,Howie Camnitz (11),2.857,R
89,89.,J.R. Richard (10),2.857,R
90,91.,Jesse Tannehill (15),2.863,L
91,92.,Slim Sallee (14),2.867,L
92,93.,Jim McCormick (10),2.875,R
93,94.,Ray Fisher (10),2.876,R
94,95.,Bill Bernhard (9),2.877,R
95,95.,Bob Rhoads (8),2.877,R
96,97.,Guy Morton (11),2.878,R
97,98.,Pete Alexander+ (20),2.881,R
98,99.,Frank Miller (7),2.886,R
99,100.,Bob Gibson+ (17),2.894,R
100,101.,Roy Patterson (7),2.895,R
101,102.,Rube Marquard+ (18),2.896,L
102,103.,Doc Crandall (10),2.904,R
103,103.,George Suggs (8),2.904,R
104,105.,"Chris Sale (10, 31)",2.905,L
105,106.,George Mullin (14),2.908,R
106,107.,Lefty Williams (7),2.911,L
107,108.,Ed Morris (7),2.912,L
108,109.,Pedro Martinez+ (18),2.914,R
109,110.,Pol Perritt (10),2.920,R
110,111.,Jack Coombs (14),2.921,R
111,112.,Tim Keefe+ (14),2.922,R
112,113.,Lee Smith+ (18),2.930,R
113,114.,Tully Sparks (12),2.934,R
114,115.,Carl Lundgren (8),2.939,R
115,116.,Bruce Sutter+ (12),2.940,R
116,117.,Erskine Mayer (8),2.949,R
117,117.,Bob Moose (10),2.949,R
118,119.,Lefty Leifield (12),2.952,L
119,120.,Phil Douglas (9),2.954,R
120,121.,Rollie Fingers+ (17),2.957,R
121,122.,Pud Galvin+ (15),2.958,R
122,123.,Vic Willis+ (13),2.960,R
123,124.,Dean Chance (11),2.962,R
124,125.,"Stephen Strasburg (11, 31)",2.969,R
125,126.,Nolan Ryan+ (27),2.971,R
126,127.,Dick McBride (6),2.972,R
127,128.,Charlie Sweeney (6),2.974,R
128,129.,Kaiser Wilhelm (9),2.975,R
129,130.,Casey Patten (8),2.980,L
130,131.,Will White (10),2.981,R
131,132.,Larry Corcoran (8),2.987,R
132,133.,Fred Goldsmith (7),2.992,R
133,133.,"Corey Kluber (10, 34)",2.992,R
134,135.,Larry Cheney (9),2.995,R
135,135.,Dummy Taylor (9),2.995,R
136,137.,Bert Gallia (9),3.000,R
137,138.,Jack Powell (16),3.007,R
138,139.,Harry McIntire (9),3.008,R
139,140.,Tex Hughson (8),3.013,R
140,141.,Lady Baldwin (6),3.015,L
141,142.,Don Drysdale+ (14),3.017,R
142,142.,Cy Morgan (10),3.017,R
143,144.,Pete Schneider (6),3.019,R
144,145.,Vean Gregg (8),3.022,L
145,146.,Hugh Daily (6),3.023,R
146,147.,Tom Seaver+ (20),3.037,R
147,148.,Juan Marichal+ (16),3.038,R
148,149.,Dupee Shaw (6),3.039,L
149,150.,Joe McGinnity+ (10),3.044,R
150,150.,Jim Shaw (9),3.044,R
151,152.,Al Mamaux (12),3.048,R
152,153.,Otto Hess (10),3.049,L
153,154.,Hoyt Wilhelm+ (21),3.057,R
154,155.,Sam McDowell (15),3.059,L
155,156.,Jon Matlack (13),3.060,L
156,157.,Gaylord Perry+ (22),3.061,R
157,158.,Ray Caldwell (12),3.066,R
158,159.,Charlie Buffinton (11),3.079,R
159,160.,Jack Lynch (7),3.080,R
160,161.,Trevor Hoffman+ (18),3.083,R
161,162.,Ben Sanders (5),3.084,R
162,163.,Roger Clemens (24),3.088,R
163,163.,Bill Singer (14),3.088,R
164,165.,Terry Forster (16),3.093,L
165,166.,Bill Dinneen (12),3.094,R
166,167.,Ed Willett (10),3.098,R
167,168.,Frank Kitson (10),3.099,R
168,169.,Don Wilson (9),3.100,R
169,170.,Doug Jones (16),3.106,R
170,171.,"Gerrit Cole (8, 29)",3.109,R
171,172.,Lefty Tyler (12),3.110,L
172,173.,Rube Benton (15),3.111,L
173,174.,Al Orth (15),3.115,R
174,175.,Alejandro Pena (15),3.118,R
175,175.,Fred Toney (12),3.118,R
176,177.,Ned Garvin (7),3.119,R
177,178.,Charlie Ferguson (4),3.120,R
178,179.,Jack Taylor (10),3.121,R
179,180.,Guy Hecker (9),3.124,R
180,181.,Earl Moore (14),3.128,R
181,181.,Tom Seaton (6),3.128,R
182,183.,Jim Maloney (12),3.130,R
183,184.,Elmer Knetzer (8),3.132,R
184,185.,Jeff Pfeffer (13),3.133,R
185,186.,Art Fromme (10),3.139,R
186,186.,"Max Scherzer (13, 35)",3.139,R
187,188.,Gary Lavelle (13),3.141,L
188,189.,Bernie Boland (7),3.145,R
189,190.,Steve Carlton+ (24),3.153,L
190,190.,Old Hoss Radbourn+ (12),3.153,R
191,192.,Bill Bailey (11),3.161,L
192,192.,Patsy Flaherty (9),3.161,L
193,192.,Ron Reed (19),3.161,R
194,195.,Mort Cooper (11),3.166,R
195,195.,Doc Scanlan (8),3.166,R
196,197.,Wilbur Cooper (15),3.174,L
197,197.,Jack Quinn (23),3.174,R
198,199.,Doc Newton (8),3.175,L
199,199.,Ron Perranoski (13),3.175,L
200,201.,Dazzy Vance+ (16),3.180,R
201,202.,Turk Farrell (14),3.183,R
202,202.,Rich Gossage+ (22),3.183,R
203,202.,Lew Richie (8),3.183,R
204,205.,Leon Cadore (10),3.184,R
205,206.,Tom Bradley (7),3.185,R
206,207.,Stan Coveleski+ (14),3.187,R
207,207.,Randy Johnson+ (22),3.187,L
208,207.,Hal Newhouser+ (17),3.187,L
209,210.,Harry Harper (10),3.188,L
210,210.,Lindy McDaniel (21),3.188,R
211,212.,Jim Brewer (17),3.189,L
212,213.,Jack Warhop (8),3.190,R
213,214.,Bert Blyleven+ (22),3.193,R
214,214.,Jumbo McGinnis (6),3.193,
215,216.,Sparky Lyle (16),3.194,L
216,216.,Gary Nolan (10),3.194,R
217,216.,Stump Weidman (9),3.194,R
218,219.,Jim Bagby (9),3.196,R
219,219.,Mickey Lolich (16),3.196,L
220,221.,Steve Rogers (13),3.197,R
221,222.,Mike Garcia (14),3.203,R
222,223.,Hardie Henderson (6),3.212,R
223,224.,Max Lanier (14),3.215,L
224,225.,Dizzy Dean+ (12),3.217,R
225,226.,Jim Bunning+ (17),3.221,R
226,227.,Rick Reuschel (19),3.223,R
227,228.,Dave Giusti (15),3.226,R
228,229.,Bill Doak (16),3.228,R
229,230.,Mike Marshall (14),3.230,R
230,230.,Curt Schilling (20),3.230,R
231,232.,Pete Conway (5),3.235,R
232,233.,Dan Quisenberry (12),3.236,R
233,234.,Clay Carroll (15),3.241,R
234,234.,Don Sutton+ (23),3.241,R
235,236.,Ed Cushman (6),3.242,L
236,237.,John Smoltz+ (21),3.243,R
237,238.,Gary Peters (14),3.244,L
238,239.,Bill Duggleby (8),3.246,R
239,240.,John Ewing (6),3.247,R
240,241.,Fritz Peterson (11),3.250,L
241,242.,Billy O'Dell (13),3.252,L
242,243.,Jimmy Lavender (6),3.254,R
243,244.,Larry Dierker (14),3.256,R
244,244.,Jerry Koosman (19),3.256,L
245,244.,Tug McGraw (19),3.256,L
246,247.,Harry Brecheen (12),3.260,L
247,248.,Greg Maddux+ (23),3.262,R
248,249.,Kent Tekulve (16),3.263,R
249,250.,Whitey Ford+ (16),3.264,L
250,251.,Paul Derringer (15),3.265,R
251,252.,Joe Gibbon (13),3.268,L
252,253.,Ewell Blackwell (10),3.269,R
253,254.,Chris Short (15),3.270,L
254,255.,Ron Guidry (14),3.271,L
255,255.,Togie Pittinger (8),3.271,R
256,257.,Bret Saberhagen (16),3.272,R
257,258.,Bob Caruthers (10),3.273,R
258,259.,Claude Passeau (13),3.274,R
259,260.,Carl Mays (15),3.276,R
260,261.,Happy Townsend (6),3.278,R
261,262.,Bill Hands (11),3.279,R
262,263.,Fergie Jenkins+ (19),3.280,R
263,263.,Mickey Welch+ (13),3.280,R
264,265.,Dave Foutz (13),3.281,R
265,266.,Jose Rijo (14),3.282,R
266,267.,Andy Messersmith (12),3.285,R
267,268.,Ferdie Schupp (10),3.286,L
268,269.,Mike Cuellar (15),3.289,L
269,269.,Dick Hall (19),3.289,R
270,269.,Jim O'Toole (10),3.289,L
271,269.,Eppa Rixey+ (21),3.289,L
272,273.,Spud Chandler (11),3.304,R
273,274.,Earl Hamilton (14),3.309,L
274,274.,Joe Horlen (12),3.309,R
275,276.,Pat Jarvis (8),3.316,R
276,277.,Larry Jackson (14),3.318,R
277,277.,Camilo Pascual (18),3.318,R
278,279.,Ken Johnson (13),3.320,R
279,279.,Al McBean (10),3.320,R
280,281.,Pretzels Getzien (9),3.325,R
281,282.,Dwight Gooden (16),3.326,R
282,283.,Hooks Dauss (15),3.327,R
283,284.,Roger Wolff (7),3.328,R
284,285.,Kevin Brown (19),3.330,R
285,286.,Dutch Leonard (20),3.338,R
286,287.,Harvey Haddix (14),3.339,L
287,288.,Ed Halicki (7),3.340,R
288,288.,Bob Harmon (9),3.340,R
289,290.,Dizzy Trout (15),3.341,R
290,291.,Jean Dubuc (9),3.343,R
291,292.,Jesse Barnes (13),3.344,R
292,293.,Sonny Siebert (12),3.345,R
293,294.,Bob Friend (16),3.346,R
294,294.,Stu Miller (16),3.346,R
295,296.,Henry Boyle (6),3.349,R
296,297.,"David Price (12, 34)",3.350,L
297,298.,John Clarkson+ (12),3.352,R
298,299.,Lefty Grove+ (17),3.364,L
299,300.,Larry Christenson (11),3.365,R
300,300.,Mel Stottlemyre (11),3.365,R
301,302.,"Zack Greinke (17, 36)",3.367,R
302,303.,Pete Richert (13),3.369,L
303,303.,Bob Shawkey (15),3.369,R
304,305.,Jim Merritt (11),3.370,L
305,305.,Wilbur Wood (17),3.370,L
306,307.,Roy Oswalt (13),3.371,R
307,308.,Al Downing (17),3.372,L
308,308.,Dock Ellis (12),3.372,R
309,310.,Tommy John (26),3.376,L
310,311.,Red Donahue (13),3.379,R
311,311.,Jack Harper (8),3.379,R
312,313.,Roy Face (16),3.381,R
313,313.,Dave Righetti (16),3.381,L
314,313.,Ed Seward (6),3.381,R
315,316.,Bob Bruce (9),3.382,R
316,317.,Mike Scott (13),3.383,R
317,318.,Claude Osteen (18),3.384,L
318,319.,Rudy May (16),3.385,L
319,320.,Burt Hooton (15),3.386,R
320,320.,Henry Porter (6),3.386,R
321,322.,John Hiller (15),3.388,L
322,323.,Scott Stratton (8),3.390,R
323,324.,Art Nehf (15),3.391,L
324,325.,Bill Campbell (15),3.394,R
325,325.,Roy Halladay+ (16),3.394,R
326,327.,Don Mossi (12),3.398,L
327,328.,Len Barker (11),3.399,R
328,329.,Dennis Eckersley+ (24),3.405,R
329,329.,Sherry Smith (14),3.405,L
330,329.,"Adam Wainwright (15, 38)",3.405,R
331,332.,John Montefusco (13),3.406,R
332,333.,"Madison Bumgarner (12, 30)",3.408,L
333,333.,John Candelaria (19),3.408,L
334,335.,Lee Meadows (15),3.409,R
335,336.,"Justin Verlander (16, 37)",3.411,R
336,337.,Jim Kaat (25),3.413,L
337,338.,Bob Barr (5),3.414,R
338,338.,Pedro Borbon (12),3.414,R
339,338.,Bob Rush (13),3.414,R
340,338.,Rick Wise (18),3.414,R
341,342.,"Carlos Carrasco (11, 33)",3.416,R
342,343.,Silver King (10),3.421,R
343,344.,Mike Smith (14),3.422,L
344,345.,Don Gullett (9),3.425,L
345,345.,Al Javery (7),3.425,R
346,347.,Nelson Briles (14),3.426,R
347,347.,"Yu Darvish (8, 33)",3.426,R
348,349.,Elmer Myers (8),3.427,R
349,350.,Don McMahon (18),3.430,R
350,350.,George Mogridge (15),3.430,L
351,352.,Vida Blue (17),3.431,L
352,353.,Red Faber+ (20),3.433,R
353,353.,Matt Kilroy (10),3.433,L
354,355.,Johan Santana (12),3.436,L
355,356.,Woodie Fryman (18),3.437,L
356,356.,Warren Spahn+ (21),3.437,L
357,358.,Pascual Perez (11),3.441,R
358,358.,Ray Washburn (10),3.441,R
359,360.,Tim Lincecum (10),3.447,R
360,361.,John Franco (21),3.449,L
361,361.,Denny Lemaster (11),3.449,L
362,363.,Bryn Smith (13),3.450,R
363,364.,Cliff Lee (13),3.453,L
364,365.,Gene Garber (19),3.454,R
365,365.,Jerry Reuss (22),3.454,L
366,367.,Allan Sothoron (11),3.455,R
367,368.,Dan Plesac (18),3.456,L
368,368.,Bobby Shantz (16),3.456,L
369,370.,Jersey Bakley (6),3.461,R
370,371.,Tiny Bonham (10),3.463,R
371,372.,Wiley Piatt (6),3.464,L
372,373.,Bob Miller (17),3.465,R
373,374.,Bill James (8),3.468,R
374,375.,Luis Tiant (19),3.469,R
375,376.,Kid Nichols+ (15),3.475,R
376,377.,Lee Viau (5),3.477,R
377,378.,Bob Feller+ (18),3.481,R
378,379.,Dan Casey (7),3.485,L
379,380.,Teddy Higuera (9),3.487,L
380,380.,Curt Simmons (20),3.487,L
381,382.,Ken Forsch (16),3.488,R
382,383.,Grant Jackson (18),3.494,L
383,384.,Dave McNally (14),3.495,L
384,384.,Billy Pierce (18),3.495,L
385,384.,Jeff Reardon (16),3.495,R
386,387.,Herb Pennock+ (22),3.502,L
387,388.,Pat Dobson (11),3.503,R
388,388.,Dave Goltz (12),3.503,R
389,388.,Virgil Trucks (17),3.503,R
390,388.,Brandon Webb (7),3.503,R
391,392.,Bill Bonham (10),3.504,R
392,392.,Jim Palmer+ (19),3.504,R
393,392.,Robin Roberts+ (19),3.504,R
394,395.,Cliff Melton (8),3.506,L
395,396.,Johnny Niggeling (9),3.507,R
396,397.,Stubby Overmire (10),3.509,L
397,398.,Doug Rau (9),3.511,L
398,399.,Willie Hernandez (13),3.512,L
399,400.,Jim Nash (7),3.514,R
400,401.,Darold Knowles (16),3.515,L
401,402.,Buster Brown (9),3.517,R
402,403.,Al Jackson (10),3.518,L
403,404.,Steve Barber (15),3.519,L
404,405.,Sid Fernandez (15),3.522,L
405,406.,"Felix Hernandez (15, 34)",3.524,R
406,407.,Skip Lockwood (13),3.527,R
407,408.,Frank Sullivan (11),3.529,R
408,409.,Jay Hughes (4),3.531,R
409,409.,Milt Pappas (17),3.531,R
410,409.,Mario Soto (12),3.531,R
411,412.,Bill Monbouquette (11),3.532,R
412,413.,"Kyle Hendricks (7, 30)",3.533,R
413,414.,Britt Burns (8),3.534,L
414,415.,Tony Mullane (13),3.535,R
415,416.,Dick Ellsworth (13),3.537,L
416,416.,Urban Shocker (13),3.537,R
417,418.,Egyptian Healy (8),3.538,R
418,419.,John Harkins (5),3.540,R
419,420.,Frank Mountain (7),3.542,R
420,421.,Steve Busby (8),3.543,R
421,422.,Bullet Joe Bush (17),3.545,R
422,423.,Carl Hubbell+ (16),3.547,L
423,424.,Cy Blanton (9),3.548,R
424,425.,Clem Labine (13),3.550,R
425,425.,Hank Wyse (8),3.550,R
426,427.,Dave Roberts (13),3.553,L
427,428.,Schoolboy Rowe (15),3.556,R
428,429.,Randy Jones (10),3.560,L
429,430.,Dana Fillingim (8),3.563,R
430,431.,Ken Holtzman (15),3.566,L
431,432.,Red Barrett (11),3.567,R
432,433.,David Cone (17),3.571,R
433,434.,Mike Mussina+ (18),3.573,R
434,435.,Art Fowler (9),3.574,R
435,435.,Joe Nuxhall (16),3.574,L
436,437.,David Palmer (10),3.576,R
437,438.,Al Worthington (14),3.580,R
438,439.,Dick Drago (13),3.581,R
