,Rank,"Player (yrs, age)",Fielding Independent Pitching,Throws
585,586.,Ralph Terry (12),3.732,R
586,587.,Doc McJames (6),3.736,R
587,588.,Bob Knepper (15),3.737,L
588,588.,Joe Oeschger (12),3.737,R
589,590.,Andy Pettitte (18),3.738,L
590,591.,Red Munger (10),3.739,R
591,592.,Bruce Kison (15),3.740,R
592,592.,Dave Wickersham (10),3.740,R
593,594.,Orval Grove (10),3.743,R
594,594.,Lon Warneke (15),3.743,R
595,596.,Bill Swift (11),3.745,R
596,597.,Dick Ruthven (14),3.747,R
597,598.,Mickey Haefner (8),3.748,L
598,599.,Mike Stanton (19),3.750,L
599,600.,Bob Porterfield (12),3.753,R
600,601.,Al Fitzmorris (10),3.755,R
601,601.,Tom Sturdivant (10),3.755,R
602,603.,Danny Cox (11),3.757,R
603,603.,Chick Fraser (14),3.757,R
604,605.,LaMarr Hoyt (8),3.759,R
605,605.,Lee Stange (10),3.759,R
606,607.,Stan Bahnsen (16),3.761,R
607,607.,Larry French (14),3.761,L
608,609.,Waite Hoyt+ (21),3.763,R
609,610.,Johnny Humphries (9),3.766,R
610,610.,Nels Potter (12),3.766,R
611,612.,Vern Ruhle (13),3.767,R
612,613.,Si Johnson (17),3.769,R
613,613.,"Dallas Keuchel (9, 32)",3.769,L
614,613.,Bill Wight (12),3.769,L
615,616.,Bill Hutchison (9),3.770,R
616,616.,Willard Nixon (9),3.770,R
617,616.,Allen Russell (11),3.770,R
618,619.,John Buzhardt (11),3.771,R
619,620.,Jaime Garcia (10),3.772,L
620,620.,Danny Jackson (15),3.772,L
621,620.,Jim Tobin (9),3.772,R
622,623.,Jack Fisher (11),3.773,R
623,623.,Orlando Pena (14),3.773,R
624,623.,Greg Swindell (17),3.773,L
625,626.,Ken Brett (14),3.774,L
626,626.,Mike Fornieles (12),3.774,R
627,626.,Jack Scott (12),3.774,R
628,629.,Josh Beckett (14),3.775,R
629,629.,Ed Heusser (9),3.775,R
630,629.,Dave Koslo (12),3.775,L
631,629.,Eric Rasmussen (8),3.775,R
632,633.,Jim Perry (17),3.776,R
633,633.,George Stone (9),3.776,L
634,635.,Moose Haas (12),3.777,R
635,636.,Rollie Naylor (7),3.778,R
636,636.,Diego Segui (15),3.778,R
637,636.,Dick Tidrow (13),3.778,R
638,639.,Dan Haren (13),3.779,R
639,639.,CC Sabathia (19),3.779,L
640,641.,Andy Hassler (14),3.780,L
641,642.,Chuck Dobson (9),3.781,R
642,643.,Luke Hamlin (9),3.783,R
643,644.,Tim Hudson (17),3.785,R
644,645.,Craig Lefferts (12),3.786,L
645,645.,"Charlie Morton (13, 36)",3.786,R
646,647.,Joaquin Andujar (13),3.787,R
647,647.,Bob Lemon+ (15),3.787,R
648,649.,Charlie Root (17),3.788,R
649,650.,Sal Maglie (10),3.789,R
650,650.,Jason Schmidt (14),3.789,R
651,650.,Frank Tanana (21),3.789,L
652,653.,Steve Gromek (17),3.790,R
653,654.,Rip Sewell (13),3.791,R
654,655.,Joey Jay (13),3.792,R
655,655.,Carl Morton (8),3.792,R
656,657.,Mark Baldwin (7),3.793,R
657,657.,Mel Parnell (10),3.793,L
658,659.,Joe Niekro (22),3.794,R
659,660.,Chris Bosio (11),3.798,R
660,660.,Bob Purkey (13),3.798,R
661,662.,Storm Davis (13),3.799,R
