,Rank,"Player (yrs, age)",Putouts as LF (s.1901),Throws
0,1.,Barry Bonds (22),5226,L
1,2.,Rickey Henderson+ (25),5215,L
2,3.,Zack Wheat+ (19),4958,R
3,4.,Luis Gonzalez (19),4442,R
4,5.,Goose Goslin+ (18),3972,R
5,6.,Tim Raines+ (23),3769,R
6,7.,Lou Brock+ (19),3710,L
7,8.,Bobby Veach (14),3633,R
8,9.,Ted Williams+ (19),3525,R
9,10.,Carl Yastrzemski+ (23),3521,R
10,11.,Joe Medwick+ (17),3451,R
11,12.,Sherry Magee (16),3290,R
12,13.,Bob Johnson (13),3241,R
13,14.,Carl Crawford (15),3182,L
14,15.,Roy White (15),3158,R
15,16.,Carlos Lee (14),3049,R
16,17.,Jim Rice+ (16),3027,R
17,18.,Charlie Jamieson (18),2988,L
18,19.,George Foster (18),2963,R
19,20.,Minnie Minoso (17),2934,R
20,21.,Matt Holliday (15),2842,R
21,22.,Billy Williams+ (18),2811,R
22,23.,Al Simmons+ (20),2778,R
23,24.,Jose Cruz (19),2773,L
24,25.,"Alex Gordon (14, 36)",2699,R
25,26.,Garret Anderson (17),2675,L
26,27.,Heinie Manush+ (17),2624,L
27,28.,Joe Vosmik (13),2609,R
28,29.,Duffy Lewis (11),2603,R
29,30.,Ralph Kiner+ (10),2546,R
30,31.,Ken Williams (14),2540,R
31,32.,Jimmy Sheckard (17),2521,R
32,32.,Greg Vaughn (15),2521,R
33,34.,George Burns (15),2520,R
34,35.,Raul Ibanez (19),2510,R
35,36.,Del Ennis (14),2480,R
36,37.,Gary Matthews (16),2440,R
37,38.,Bibb Falk (12),2319,L
38,39.,Jack Graney (14),2309,L
39,40.,Ben Oglivie (16),2296,L
40,41.,Gene Woodling (17),2215,R
41,42.,Joe Rudi (16),2208,R
42,43.,Bob Bescher (11),2197,L
43,44.,Jeff Heath (14),2192,R
44,44.,Shannon Stewart (14),2192,R
45,46.,Jason Bay (11),2183,R
46,47.,Lonnie Smith (17),2173,R
47,48.,"Ryan Braun (14, 36)",2151,R
48,49.,Fred Clarke+ (21),2121,R
49,50.,Vince Coleman (13),2109,R
50,51.,Ron Gant (16),2108,R
51,52.,Albert Belle (12),2107,R
52,53.,Jo-Jo Moore (12),2091,R
53,54.,George Bell (12),2080,R
54,55.,Gus Zernial (11),2071,R
55,56.,Mike Greenwell (12),2031,R
56,57.,Lou Piniella (18),2025,R
57,58.,Pat Burrell (12),2016,R
58,59.,Babe Ruth+ (22),1985,L
59,60.,Irish Meusel (11),1981,R
60,61.,Carson Bigbee (11),1958,R
61,62.,Moises Alou (17),1938,R
62,63.,Hank Sauer (15),1933,R
63,64.,Augie Galan (16),1917,R
64,65.,Kevin McReynolds (12),1883,R
65,66.,Alfonso Soriano (16),1881,R
66,67.,Dusty Baker (19),1861,R
67,68.,Willie Stargell+ (21),1860,L
68,69.,Greg Luzinski (15),1839,R
69,70.,Charlie Keller (13),1830,R
70,71.,Cliff Floyd (17),1814,R
71,72.,Bernard Gilkey (12),1798,R
72,73.,Adam Dunn (14),1794,R
73,74.,Steve Kemp (11),1786,L
74,75.,Gary Ward (12),1783,R
75,76.,Luis Polonia (12),1740,L
76,77.,Dale Mitchell (11),1739,L
77,78.,Willie Horton (18),1735,R
78,79.,"Brett Gardner (13, 36)",1699,L
79,80.,"Justin Upton (14, 32)",1696,R
80,81.,Geoff Jenkins (11),1690,R
81,82.,Riggs Stephenson (14),1667,R
82,83.,Dan Gladden (11),1662,R
83,84.,Larry Herndon (14),1648,R
84,85.,Steve Henderson (12),1635,R
85,86.,Tommy Davis (18),1632,R
86,87.,B.J. Surhoff (19),1626,R
87,88.,Rusty Greer (9),1621,L
88,89.,Manny Ramirez (19),1597,R
89,90.,Matty McIntyre (10),1594,L
90,91.,Melky Cabrera (15),1590,L
91,92.,Charlie Maxwell (14),1579,L
92,93.,Phil Bradley (8),1575,R
93,94.,Stan Musial+ (22),1569,L
94,95.,Sid Gordon (13),1559,R
95,96.,Chick Hafey+ (13),1554,R
96,97.,Willie Wilson (19),1552,R
97,98.,Jeffrey Leonard (14),1543,R
98,99.,Josh Willingham (11),1542,R
99,100.,Gil Coan (11),1535,R
100,101.,Ralph Garr (13),1524,R
101,102.,Bob Skinner (12),1523,R
102,103.,Alex Johnson (13),1521,R
103,104.,Leon Wagner (12),1516,R
104,105.,Rube Bressler (19),1509,L
105,106.,Tillie Walker (13),1505,R
106,107.,Max Carey+ (20),1501,R
107,108.,George Stone (7),1490,L
108,109.,Frank Robinson+ (21),1479,R
109,110.,Lefty O'Doul (11),1460,L
110,111.,Marty Cordova (9),1446,R
111,112.,Hal Lee (7),1428,R
112,113.,Brian Downing (20),1423,R
113,114.,Dave Collins (16),1418,L
114,115.,Joe Carter (16),1415,R
115,116.,Pete Incaviglia (12),1396,R
116,117.,Pat Duncan (7),1392,R
117,118.,Jeff Conine (17),1382,R
