,Rank,"Player (yrs, age)",Double Plays Turned as OF,Throws
230,229.,Sam Chapman (11),25,R
231,229.,Jack Clark (18),25,R
232,229.,Jeff Francoeur (12),25,R
233,229.,George Hendrick (18),25,R
234,229.,Charley Jones (12),25,R
235,229.,Davy Jones (15),25,R
236,229.,Lon Knight (8),25,R
237,229.,Chet Lemon (16),25,R
238,229.,Herbie Moran (7),25,R
239,229.,Danny Murphy (16),25,R
240,229.,Rebel Oakes (7),25,R
241,229.,Emmett Seery (9),25,R
242,229.,Reggie Smith (17),25,R
243,229.,Jake Stenzel (9),25,R
244,229.,John Stone (11),25,R
245,229.,Joe Vosmik (13),25,R
246,247.,Bobby Abreu (18),24,R
247,247.,Roy Cullenbine (10),24,R
248,247.,Mike Donlin (12),24,L
249,247.,Shawn Green (15),24,L
250,247.,George Harper (11),24,R
251,247.,Ron Northey (12),24,R
252,247.,Andy Pafko (17),24,R
253,247.,Ray Powell (9),24,R
254,247.,Harry Rice (10),24,R
255,247.,Jim Rivera (10),24,L
256,247.,Jimmy Sebring (5),24,R
257,247.,Spike Shannon (5),24,R
258,247.,Homer Smoot (5),24,R
259,247.,Jigger Statz (8),24,R
260,247.,Darryl Strawberry (17),24,L
261,247.,Bobby Thomson (15),24,R
262,247.,Billy Williams+ (18),24,R
263,264.,Ethan Allen (13),23,R
264,264.,Marlon Byrd (15),23,R
265,264.,Cesar Cedeno (17),23,R
266,264.,John Coleman (8),23,R
267,264.,Earle Combs+ (12),23,R
268,264.,Willie Davis (18),23,L
269,264.,Mike Dorgan (10),23,R
270,264.,Brian Giles (15),23,L
271,264.,Marquis Grissom (17),23,R
272,264.,Johnny Groth (15),23,R
273,264.,Chick Hafey+ (13),23,R
274,264.,Rickey Henderson+ (25),23,L
275,264.,Freddy Leach (10),23,R
276,264.,Dave Martinez (16),23,L
277,264.,Irish Meusel (11),23,R
278,264.,Danny Moeller (7),23,R
279,264.,Raul Mondesi (13),23,R
280,264.,Terry Moore (11),23,R
281,264.,Greasy Neale (8),23,R
282,264.,Tim Salmon (14),23,R
283,264.,Howie Shanks (14),23,R
284,264.,Ruben Sierra (20),23,R
285,264.,Billy Sunday (8),23,R
286,264.,Melvin Upton Jr. (12),23,R
287,264.,Shane Victorino (12),23,R
288,264.,Devon White (17),23,R
289,264.,Walt Wilmot (10),23,R
290,264.,Glenn Wilson (10),23,R
291,264.,Tom York (15),23,L
292,293.,Harry Bay (8),22,L
293,293.,Joe Carter (16),22,R
294,293.,Carl Everett (14),22,R
295,293.,Ken Griffey (19),22,L
296,293.,Roy Johnson (10),22,R
297,293.,Ruppert Jones (12),22,L
298,293.,Jack Manning (12),22,R
299,293.,Orlando Merced (13),22,R
300,293.,Minnie Minoso (17),22,R
301,293.,Dale Murphy (18),22,R
