,Rank,"Player (yrs, age)",Earned Runs,Throws
0,1.,Cy Young+ (22),2147,R
1,2.,Phil Niekro+ (24),2012,R
2,3.,Jamie Moyer (25),1926,L
3,4.,Don Sutton+ (23),1914,R
4,5.,Nolan Ryan+ (27),1911,R
5,6.,Pud Galvin+ (15),1903,R
6,7.,Gus Weyhing (14),1872,R
7,8.,Steve Carlton+ (24),1864,L
8,9.,Gaylord Perry+ (22),1846,R
9,10.,Red Ruffing+ (22),1833,R
10,11.,Bert Blyleven+ (22),1830,R
11,12.,Warren Spahn+ (21),1798,L
12,13.,Early Wynn+ (23),1796,R
13,14.,Robin Roberts+ (19),1774,R
14,15.,Greg Maddux+ (23),1756,R
15,16.,Tommy John (26),1749,L
16,17.,Jim Kaat (25),1738,L
17,18.,Tom Glavine+ (22),1734,L
18,19.,Earl Whitehill (17),1726,L
19,20.,Roger Clemens (24),1707,R
20,21.,Frank Tanana (21),1704,L
21,22.,Ted Lyons+ (21),1696,R
22,23.,Fergie Jenkins+ (19),1669,R
23,24.,Bobo Newsom (20),1664,R
24,24.,Kid Nichols+ (15),1664,R
25,26.,Jack Morris+ (18),1657,R
26,27.,Sad Sam Jones (22),1656,R
27,28.,Dennis Martinez (23),1643,R
28,29.,Burleigh Grimes+ (19),1638,R
29,30.,"Bartolo Colon (21, 47)",1584,R
30,31.,Charlie Hough (25),1582,R
31,31.,Tim Wakefield (19),1582,R
32,33.,David Wells (21),1578,L
33,34.,Bobby Mathews (15),1573,R
34,35.,Liván Hernández (17),1572,R
35,35.,Eppa Rixey+ (21),1572,L
36,37.,Kenny Rogers (20),1568,L
37,38.,Tony Mullane (13),1537,R
38,39.,Tom Seaver+ (20),1521,R
39,40.,Randy Johnson+ (22),1513,L
40,41.,Waite Hoyt+ (21),1500,R
41,42.,CC Sabathia (19),1485,L
42,43.,Jerry Reuss (22),1483,L
43,44.,Pete Alexander+ (20),1476,R
44,45.,Tim Keefe+ (14),1474,R
45,46.,Adonis Terry (14),1460,R
46,47.,Mike Mussina+ (18),1458,R
47,48.,Jack Powell (16),1450,R
48,49.,Mel Harder (20),1447,R
49,49.,Mickey Welch+ (13),1447,R
50,51.,Bob Friend (16),1438,R
51,52.,Jerry Koosman (19),1433,L
52,52.,Jack Quinn (23),1433,R
53,54.,Joe Niekro (22),1431,R
54,55.,Red Faber+ (20),1430,R
55,56.,Herb Pennock+ (22),1428,L
56,57.,Walter Johnson+ (21),1424,R
57,58.,Andy Pettitte (18),1418,L
58,59.,John Clarkson+ (12),1417,R
59,60.,Doyle Alexander (19),1406,R
60,61.,Paul Derringer (15),1401,R
61,62.,Mark Buehrle (16),1391,L
62,63.,Mickey Lolich (16),1390,L
63,64.,Bump Hadley (16),1389,R
64,65.,Bob Feller+ (18),1384,R
65,65.,George Uhle (17),1384,R
66,67.,Mike Moore (14),1381,R
67,68.,Chick Fraser (14),1373,R
68,69.,Jim Bunning+ (17),1366,R
69,69.,Chuck Finley (17),1366,L
70,71.,Old Hoss Radbourn+ (12),1347,R
71,72.,Mike Torrez (18),1340,R
72,73.,Lefty Grove+ (17),1339,L
73,74.,Brickyard Kennedy (12),1332,R
74,75.,Theodore Breitenstein (11),1331,L
75,75.,Javier Vazquez (14),1331,R
76,77.,Rick Reuschel (19),1330,R
77,78.,Jeff Suppan (17),1328,R
78,79.,Pink Hawley (10),1326,R
79,80.,Bobby Witt (16),1324,R
80,81.,Curt Simmons (20),1318,L
81,82.,Mark Langston (16),1306,L
82,83.,Mike Morgan (22),1303,R
83,84.,Jesse Haines+ (19),1298,R
84,85.,Tom Zachary (19),1295,L
85,86.,Amos Rusie+ (10),1288,R
86,87.,Danny Darwin (21),1286,R
87,88.,John Smoltz+ (21),1284,R
88,89.,Bert Cunningham (12),1283,R
89,90.,Willis Hudlin (16),1281,R
90,90.,Rick Wise (18),1281,R
91,92.,Luis Tiant (19),1280,R
92,93.,Dennis Eckersley+ (24),1278,R
93,94.,Charlie Root (17),1274,R
