,Rank,"Player (yrs, age)",Base-Out Runs Saved (RE24),Throws
616,617.,Cal Eldred (14),38.799,R
617,618.,Mark Fidrych (5),38.749,R
618,619.,"Julio Teheran (10, 29)",38.706,R
619,620.,Al Hrabosky (13),38.682,L
620,621.,Pascual Perez (11),38.660,R
621,622.,Chad Billingsley (9),38.645,R
622,623.,Mace Brown (10),38.581,R
623,624.,Danny Salazar (6),38.167,R
624,625.,"Ryan Pressly (8, 31)",38.165,R
625,626.,Doug Fister (10),38.050,R
626,627.,"Adam Ottavino (10, 34)",37.620,R
627,628.,Terry Leach (11),37.431,R
628,629.,Mat Latos (9),37.377,R
629,630.,C.J. Wilson (11),37.278,L
630,631.,"Mike Soroka (3, 22)",37.049,R
631,632.,Satchel Paige+ (6),37.024,R
632,633.,Kazuhiro Sasaki (4),36.889,R
633,634.,Joaquin Andujar (13),36.878,R
634,635.,Jay Howell (15),36.773,R
635,636.,Steve Busby (8),36.737,R
636,637.,Turk Wendell (11),36.614,R
637,638.,Cy Blanton (9),36.605,R
638,639.,Larry Andersen (17),36.596,R
639,640.,"Jake Odorizzi (9, 30)",36.586,R
640,641.,"Tommy Hunter (13, 33)",36.475,R
641,642.,"Zach Davies (6, 27)",36.423,R
642,643.,Don Aase (13),36.375,R
643,644.,Dave Stewart (16),36.205,R
644,645.,Scott Baker (10),36.155,R
645,646.,Stan Williams (14),36.069,R
646,647.,Joe Nuxhall (16),36.045,L
647,648.,"Brad Brach (10, 34)",36.035,R
648,649.,Ken Sanders (10),35.979,R
649,650.,"AJ Ramos (8, 33)",35.885,R
650,651.,Joe Beggs (9),35.868,R
651,652.,Cecilio Guante (9),35.864,R
652,653.,Mickey McDermott (12),35.860,L
653,654.,Dave Tobik (8),35.779,R
654,655.,Bill Stafford (8),35.593,R
655,656.,Paul Shuey (11),35.521,R
656,657.,Chris Young (13),35.476,R
657,658.,"Jeurys Familia (9, 30)",35.458,R
658,659.,George Mogridge (15),35.443,L
659,660.,Curt Leskanic (11),35.409,R
660,661.,Ken Holtzman (15),35.328,L
661,662.,John Smiley (12),35.263,L
662,663.,Bobby Thigpen (9),35.246,R
663,664.,"Neftali Feliz (9, 32)",35.210,R
664,665.,"Danny Duffy (10, 31)",35.185,L
665,666.,Lefty Williams (7),35.112,L
666,667.,Elden Auker (10),35.110,R
667,668.,Rich Garces (10),35.038,R
668,669.,Erik Hanson (11),34.975,R
669,670.,"Jake McGee (11, 33)",34.864,L
670,671.,Roger McDowell (12),34.636,R
671,672.,Daniel Bard (6),34.597,R
672,673.,"Keone Kela (6, 27)",34.558,R
673,674.,Atley Donald (8),34.529,R
674,675.,Francisco Cordova (5),34.497,R
675,676.,T.J. Mathews (8),34.235,R
676,677.,Hugh Casey (9),34.214,R
677,678.,Guy Bush (17),34.200,R
678,679.,Alexi Ogando (8),33.923,R
679,680.,Noah Lowry (5),33.726,L
680,681.,Bob Shaw (11),33.624,R
681,682.,Rafael Perez (7),33.551,L
682,683.,Steve Karsay (11),33.424,R
683,684.,"Andrew Miller (15, 35)",33.395,L
684,685.,"Jerry Blevins (13, 36)",33.383,L
685,686.,Steve Swetonic (6),33.382,R
686,687.,Darryl Kile (12),32.897,R
687,688.,"Dan Otero (8, 35)",32.820,R
688,689.,Ernie Broglio (8),32.784,R
689,690.,"Adam Warren (8, 32)",32.766,R
690,691.,Lloyd Brown (12),32.402,L
691,691.,"Kyle Freeland (4, 27)",32.402,L
692,693.,"Hector Neris (7, 31)",32.286,R
693,694.,Bill Lee (14),32.280,L
694,695.,Phil Douglas (9),32.246,R
695,696.,Hideki Okajima (6),32.105,L
696,697.,"Jair Jurrjens (8, 34)",32.077,R
697,698.,Virgil Barnes (9),32.039,R
698,699.,Earl Hamilton (14),31.871,L
699,700.,Josh Collmenter (7),31.816,R
700,701.,Marv Grissom (10),31.771,R
701,702.,Peter Moylan (12),31.634,R
702,703.,Geoff Zahn (13),31.609,L
703,704.,"Nick Wittgren (5, 29)",31.580,R
704,705.,Johnny Cooney (20),31.523,L
705,706.,Gene Garber (19),31.498,R
706,707.,Connie Marrero (5),31.454,R
707,708.,"Max Fried (4, 26)",31.375,L
708,709.,Doug Brocail (15),31.371,R
709,710.,Bill Bevens (4),31.360,R
710,711.,"Jose Leclerc (5, 26)",31.228,R
711,712.,Rip Collins (11),31.130,R
712,713.,Harry Gumbert (15),31.129,R
713,714.,Cliff Melton (8),31.124,L
714,715.,Rick Honeycutt (21),31.111,L
715,716.,Dickey Kerr (4),30.925,L
716,717.,Frank Miller (7),30.838,R
717,718.,"Zac Gallen (2, 24)",30.826,R
718,719.,Mike Scott (13),30.825,R
719,720.,Elias Sosa (12),30.752,R
720,721.,Ray Narleski (6),30.667,R
721,722.,"Zach Plesac (2, 25)",30.606,R
722,723.,Clem Labine (13),30.581,R
723,724.,Jonny Venters (5),30.518,L
724,725.,"Brandon Woodruff (4, 27)",30.448,R
725,726.,Randy Choate (15),30.389,L
726,727.,Turk Farrell (14),30.344,R
727,728.,Howard Ehmke (15),30.287,R
728,729.,Dick Hughes (3),30.217,R
729,730.,Victor Cruz (5),30.203,R
730,731.,Aurelio Lopez (11),30.083,R
731,732.,John Fulgham (2),30.014,R
732,733.,"Daniel Hudson (11, 33)",30.003,R
733,734.,"Matt Barnes (7, 30)",29.969,R
734,735.,Bill Caudill (9),29.953,R
735,736.,"Michael Pineda (7, 31)",29.827,R
736,737.,"Al Alburquerque (7, 34)",29.758,R
737,738.,Bob Ojeda (15),29.601,L
738,739.,Drew Storen (8),29.531,R
739,740.,Darold Knowles (16),29.443,L
740,741.,"Jameson Taillon (4, 28)",29.440,R
741,742.,Sam Zoldak (9),29.354,L
742,743.,Tom Morgan (12),29.308,R
743,744.,Andy McGaffigan (11),29.172,R
744,745.,Jon Rauch (11),29.166,R
745,746.,Scott Bankhead (10),29.065,R
746,747.,Burleigh Grimes+ (19),29.056,R
747,748.,Vito Tamulis (6),29.000,L
748,749.,Erik Bedard (11),28.645,L
749,750.,Jim Rooker (13),28.362,L
750,751.,Red Munger (10),28.351,R
751,752.,Joel Zumaya (5),28.228,R
752,753.,John Whitehead (7),28.172,R
753,754.,Jose Guzman (8),28.145,R
754,755.,Charles Nagy (14),28.068,R
755,756.,Juan Berenguer (15),28.056,R
756,757.,"Seth Lugo (5, 30)",28.036,R
757,758.,Keith Atherton (7),28.019,R
758,759.,"Brandon Morrow (12, 35)",28.008,R
759,760.,Vic Sorrell (10),27.910,R
760,761.,"Mike Fiers (10, 35)",27.844,R
761,762.,"Aaron Bummer (4, 26)",27.837,L
762,762.,Luis Vizcaino (11),27.837,R
763,764.,Jim Kaat (25),27.826,L
764,765.,Bob Moose (10),27.797,R
765,766.,Clint Brown (15),27.753,R
766,767.,Chad Qualls (14),27.687,R
767,768.,Ralph Terry (12),27.606,R
768,769.,Al Levine (10),27.604,R
769,770.,Shawn Kelley (11),27.377,R
770,771.,Bob Porterfield (12),27.337,R
771,772.,"Hector Rondon (8, 32)",27.241,R
772,773.,Bud Tinning (4),27.239,R
773,774.,"German Marquez (5, 25)",27.215,R
774,775.,"Nick Vincent (9, 33)",27.102,R
775,776.,Moose Haas (12),27.099,R
776,777.,Jared Burton (8),27.090,R
777,778.,Gordon Maltzberger (4),27.026,R
778,779.,Elmer Riddle (10),27.024,R
779,780.,"Lance McCullers Jr. (5, 26)",27.008,R
780,781.,Bill Doak (16),26.962,R
781,782.,Al Worthington (14),26.897,R
782,783.,"Chris Bassitt (6, 31)",26.831,R
783,784.,Luis Ayala (9),26.824,R
784,785.,Ad Liska (5),26.740,R
785,786.,"Alex Claudio (7, 28)",26.716,L
786,787.,"Reyes Moronta (3, 27)",26.695,R
787,788.,Luis Aloma (4),26.480,R
788,789.,Hod Eller (5),26.317,R
789,790.,Kevin Siegrist (5),26.284,L
790,791.,"Edwin Diaz (5, 26)",26.148,R
791,792.,"Julio Urias (5, 23)",26.035,L
792,793.,Mark Wohlers (12),25.990,R
793,794.,Lance McCullers (7),25.930,R
794,795.,Butch Henry (7),25.836,L
795,796.,Vicente Romo (8),25.826,R
796,797.,"Andrew Chafin (7, 30)",25.804,L
797,798.,"Collin McHugh (8, 33)",25.728,R
798,799.,Casey Janssen (9),25.678,R
799,800.,Nelson Briles (14),25.666,R
800,801.,Rawly Eastwick (8),25.624,R
801,802.,Butch Wensloff (3),25.477,R
802,803.,Ramon Hernandez (9),25.354,L
803,804.,Alfredo Aceves (7),25.318,R
804,805.,"Drew Pomeranz (10, 31)",25.237,L
805,806.,Bob Lee (5),25.217,R
806,807.,Sean Marshall (9),25.205,L
807,808.,"Ryan Buchter (6, 33)",25.197,L
808,809.,"Giovanny Gallegos (4, 28)",25.126,R
809,810.,Jordan Walden (6),25.096,R
810,811.,"Ross Stripling (5, 30)",25.044,R
811,812.,"Corey Knebel (6, 28)",25.042,R
812,813.,Jeff Tam (6),25.017,R
813,814.,George Pipgras (11),25.004,R
814,815.,Jeff Innis (7),24.997,R
815,816.,Eric O'Flaherty (12),24.950,L
816,817.,Paul Lindblad (14),24.928,L
817,818.,Mark Guthrie (15),24.894,L
818,819.,Roger Moret (9),24.874,L
819,820.,Ray Fisher (10),24.797,R
820,821.,"Blake Parker (8, 35)",24.786,R
821,822.,Pat Jarvis (8),24.751,R
822,823.,Ben Weber (6),24.729,R
823,824.,Jim Johnson (13),24.655,R
824,825.,Jarrod Parker (3),24.643,R
825,826.,Juan Rincon (10),24.628,R
826,827.,Art Reinhart (5),24.566,L
827,828.,George Sherrill (9),24.489,L
828,829.,Louis Coleman (7),24.486,R
829,830.,Luis Aquino (9),24.391,R
830,831.,"Archie Bradley (6, 27)",24.313,R
831,832.,Danny MacFayden (17),24.297,R
832,833.,Alan Mills (12),24.294,R
833,834.,Grant Jackson (18),24.283,L
834,835.,Brian Holman (4),24.118,R
835,836.,"Matt Shoemaker (8, 33)",24.116,R
836,837.,Scott Strickland (7),24.114,R
837,838.,Steve Mingori (10),24.091,L
838,839.,Pat Dobson (11),24.068,R
839,840.,"Caleb Thielbar (4, 33)",24.043,L
840,841.,"Zack Wheeler (6, 30)",23.990,R
841,842.,Doc Medich (11),23.934,R
842,843.,"Hunter Strickland (7, 31)",23.840,R
843,844.,Darren Oliver (20),23.823,L
844,845.,"Emilio Pagan (4, 29)",23.755,R
845,846.,Pep Harris (3),23.701,R
846,847.,Bobby Bolin (13),23.697,R
847,848.,Matt Miller (5),23.688,R
848,849.,Tom Gorman (8),23.670,R
849,850.,Ray Starr (7),23.662,R
850,851.,Billy Koch (6),23.612,R
851,852.,Todd Burns (6),23.545,R
852,853.,Sammy Stewart (10),23.513,R
853,854.,Gabe White (11),23.500,L
854,855.,Ben Cantwell (11),23.498,R
855,855.,Ernesto Frieri (8),23.498,R
856,857.,Johnny Marcum (7),23.448,R
857,858.,"Nate Jones (9, 34)",23.388,R
858,859.,Gary Lucas (8),23.311,L
859,860.,Scott Radinsky (11),23.202,L
860,861.,"Jose Alvarez (8, 31)",23.108,L
861,862.,Scott Garrelts (10),23.091,R
862,863.,Dennis Cook (15),23.077,L
863,864.,Pedro Borbon (12),23.010,R
864,865.,Matt Capps (8),22.859,R
865,866.,Fred Gladding (13),22.732,R
866,867.,Alberto Reyes (13),22.702,R
867,868.,"Kirby Yates (7, 33)",22.494,R
868,869.,"Aaron Loup (9, 32)",22.488,L
869,870.,Renyel Pinto (5),22.469,L
870,871.,Graeme Lloyd (10),22.444,L
871,872.,"Richard Bleier (5, 33)",22.433,L
872,873.,Ned Garver (14),22.426,R
873,874.,"John Brebbia (3, 30)",22.277,R
874,875.,"Sean Manaea (5, 28)",22.245,L
875,876.,Billy Loes (11),22.169,R
876,877.,"Alex Cobb (9, 32)",22.158,R
877,878.,Lou Pote (5),22.067,R
878,879.,Scott Sauerbeck (7),22.064,L
879,880.,Al Fitzmorris (10),22.052,R
880,881.,"Arodys Vizcaino (7, 29)",21.976,R
881,882.,Guillermo Mota (14),21.879,R
882,883.,"Carl Edwards Jr. (6, 28)",21.782,R
883,884.,Joe Page (8),21.768,L
884,885.,Vinnie Pestano (6),21.697,R
885,886.,Hi Bell (8),21.675,R
886,887.,"Nick Anderson (2, 29)",21.648,R
887,888.,"Jose Berrios (5, 26)",21.607,R
888,889.,Rick Ankiel (11),21.590,L
889,890.,Guy Morton (11),21.534,R
890,891.,Steve Olin (4),21.503,R
891,892.,Matt Mantei (10),21.500,R
892,893.,Scott Atchison (9),21.447,R
893,894.,Wes Stock (9),21.385,R
894,895.,Enrique Romo (6),21.379,R
895,896.,Jesse Carlson (3),21.355,L
896,897.,Jerry Dipoto (8),21.296,R
897,898.,Bob Apodaca (5),21.155,R
898,899.,Ray Caldwell (12),21.133,R
899,900.,Fritz Peterson (11),21.091,L
900,901.,Al Demaree (8),21.069,R
901,902.,Sam LeCure (6),21.004,R
902,903.,Eddie Smith (10),20.978,L
903,904.,John Rocker (6),20.977,L
904,905.,Fernando Rodney (17),20.788,R
905,906.,"Scott Oberg (5, 30)",20.761,R
906,907.,Jeff Lahti (5),20.745,R
907,908.,Eddie Fisher (15),20.741,R
908,909.,John Montefusco (13),20.679,R
909,910.,"Ryan Tepera (6, 32)",20.634,R
910,911.,Dan Wheeler (13),20.581,R
911,912.,Mark Littell (9),20.545,R
912,913.,Johnny Beazley (6),20.544,R
913,914.,Joe Hatten (7),20.538,L
914,915.,"Mike Montgomery (6, 30)",20.532,L
915,916.,Rob Murphy (11),20.531,L
916,917.,Sam Dyson (8),20.488,R
917,918.,"Diego Castillo (3, 26)",20.454,R
918,919.,"Craig Stammen (11, 36)",20.447,R
919,920.,"Will Smith (8, 30)",20.441,L
920,921.,Tony Sipp (11),20.371,L
921,922.,Paco Rodriguez (4),20.366,L
922,923.,George Kontos (8),20.345,R
923,924.,Xavier Hernandez (10),20.285,R
924,925.,"Matt Strahm (5, 28)",20.197,L
925,926.,J.P. Howell (12),20.121,L
926,927.,Chris Perez (7),20.110,R
927,928.,Floyd Bannister (15),20.067,L
928,929.,Julio Mateo (6),20.056,R
929,930.,Luis Aponte (5),20.009,R
930,931.,Pol Perritt (10),19.957,R
931,932.,Cory Wade (4),19.940,R
932,933.,Zach Putnam (7),19.923,R
933,934.,Bobby Burke (10),19.888,L
934,935.,"Jhoulys Chacin (12, 32)",19.861,R
935,936.,Hank Wyse (8),19.827,R
936,937.,Don Bessent (4),19.766,R
937,938.,"Junior Guerra (6, 35)",19.751,R
938,939.,Bob Tewksbury (13),19.652,R
939,940.,"Alex Reyes (4, 25)",19.645,R
940,941.,Frank Funk (4),19.340,R
941,942.,Eddie Watt (10),19.335,R
942,943.,Jeff Fassero (16),19.319,L
943,944.,Rick Helling (12),19.274,R
944,945.,Harry Harper (10),19.243,L
945,946.,Glen Perkins (12),19.196,L
946,947.,Mark Portugal (15),19.156,R
947,948.,Mike Perez (8),19.144,R
948,949.,Yordano Ventura (4),19.080,R
949,950.,"Ryan Yarbrough (3, 28)",19.032,L
950,951.,Leo Kiely (7),19.016,L
951,952.,Tim Wakefield (19),18.865,R
952,953.,Hank Thormahlen (6),18.814,L
953,954.,"Scott Alexander (6, 30)",18.803,L
954,955.,Luke Hamlin (9),18.797,R
955,956.,Mike Proly (7),18.783,R
956,957.,Tom Hall (10),18.688,L
957,958.,Felix Rodriguez (11),18.673,R
958,959.,Bob Patterson (13),18.666,L
959,960.,Frank Papish (6),18.654,L
960,961.,Geoff Geary (7),18.652,R
961,961.,Frank Linzy (11),18.652,R
962,963.,Manny Sarmiento (7),18.640,R
963,964.,Cecil Upshaw (9),18.544,R
964,965.,Bill Simas (6),18.520,R
965,966.,Howie Krist (6),18.490,R
966,967.,"Chris Archer (8, 31)",18.482,R
967,968.,Sean Burnett (9),18.415,L
968,969.,Mike James (7),18.401,R
969,970.,Bill Dailey (4),18.392,R
970,971.,Ray King (10),18.337,L
971,972.,"Dakota Hudson (3, 25)",18.228,R
972,973.,"Anibal Sanchez (15, 36)",18.143,R
973,974.,Greg Garrett (2),18.029,L
974,975.,Aquilino Lopez (5),18.017,R
975,976.,"Brent Suter (5, 30)",17.996,L
976,977.,Brandon Beachy (5),17.970,R
977,978.,Addison Reed (8),17.959,R
978,979.,Alex Wilson (7),17.950,R
979,980.,Hal Carlson (14),17.917,R
980,981.,Bill Risley (7),17.891,R
981,982.,Stew Cliburn (3),17.869,R
982,983.,"Tony Gonsolin (2, 26)",17.838,R
983,984.,Gene Thompson (6),17.796,R
984,985.,Hugh McQuillan (10),17.720,R
985,986.,Ken Burkhart (5),17.659,R
986,987.,Billy Taylor (7),17.624,R
987,988.,Jeff Niemann (5),17.598,R
988,989.,Jeff Russell (14),17.567,R
989,990.,Dock Ellis (12),17.566,R
990,991.,Mike Koplove (7),17.550,R
991,992.,Jim Austin (3),17.505,R
992,993.,Todd Frohwirth (9),17.428,R
993,994.,Jose Veras (9),17.264,R
994,995.,Eric King (7),17.221,R
995,996.,Troy Patton (6),17.195,L
996,997.,Tom Hughes (9),17.156,R
997,998.,"Kyle Ryan (6, 28)",17.122,L
998,999.,Randy Wolf (16),17.114,L
