,Rank,"Player (yrs, age)",Base-Out Runs Saved (RE24),Throws
61,62.,"Chris Sale (10, 31)",232.889,L
62,63.,Charlie Root (17),227.216,R
63,64.,Harry Brecheen (12),221.446,L
64,65.,Jim Bunning+ (17),220.226,R
65,66.,Mark Buehrle (16),220.055,L
66,67.,Lon Warneke (15),219.441,R
67,68.,Luis Tiant (19),218.406,R
68,69.,Wilbur Cooper (15),217.575,L
69,70.,Bob Shawkey (15),217.291,R
70,71.,Waite Hoyt+ (21),213.518,R
71,72.,Eddie Rommel (13),208.084,R
72,73.,"Felix Hernandez (15, 34)",204.574,R
73,74.,Firpo Marberry (14),204.539,R
74,75.,Billy Wagner (16),201.382,L
75,76.,Chuck Finley (17),199.485,L
76,77.,Spud Chandler (11),199.124,R
77,78.,Eppa Rixey+ (21),198.056,L
78,79.,Early Wynn+ (23),196.780,R
79,80.,Herb Pennock+ (22),195.256,L
80,81.,Mel Harder (20),194.939,R
81,82.,"Adam Wainwright (15, 38)",194.792,R
82,83.,"David Price (12, 34)",194.497,L
83,84.,"Jon Lester (15, 36)",193.081,L
84,85.,"Jacob deGrom (7, 32)",190.859,R
85,86.,Steve Rogers (13),189.924,R
86,87.,Wes Ferrell (15),188.756,R
87,88.,Trevor Hoffman+ (18),187.154,R
88,89.,Carl Mays (15),186.555,R
89,90.,Phil Niekro+ (24),181.535,R
90,91.,Tommy John (26),180.424,L
91,92.,David Wells (21),177.282,L
92,93.,Bucky Walters (19),176.533,R
93,94.,Andy Messersmith (12),176.212,R
94,95.,Mike Garcia (14),176.148,R
95,96.,Jerry Koosman (19),173.156,L
96,97.,Dwight Gooden (16),170.467,R
97,98.,Jack Quinn (23),169.438,R
98,99.,Joe Nathan (16),168.324,R
99,100.,Rich Gossage+ (22),166.928,R
100,101.,Hal Newhouser+ (17),166.411,L
101,102.,John Tudor (12),165.818,L
102,103.,Virgil Trucks (17),165.558,R
103,104.,Cliff Lee (13),164.729,L
104,105.,Chris Carpenter (15),164.288,R
105,106.,Johnny Allen (13),163.637,R
106,107.,Vida Blue (17),163.629,L
107,108.,"Corey Kluber (10, 34)",163.028,R
108,109.,Larry French (14),162.015,L
109,110.,Jesse Orosco (24),161.026,L
110,111.,Sal Maglie (10),160.429,R
111,112.,Jered Weaver (12),160.125,R
112,113.,Tiny Bonham (10),160.061,R
113,114.,Preacher Roe (12),159.970,L
114,115.,Rick Reuschel (19),159.688,R
115,116.,Al Leiter (19),157.355,L
116,117.,Brad Radke (12),157.302,R
117,118.,Lee Smith+ (18),154.884,R
118,119.,Freddie Fitzsimmons (19),154.353,R
119,120.,Rollie Fingers+ (17),152.605,R
120,121.,Francisco Rodriguez (16),152.299,R
121,122.,Mort Cooper (11),152.271,R
122,123.,Jake Peavy (15),151.776,R
123,124.,Eddie Lopat (12),151.613,L
124,125.,Orel Hershiser (18),151.027,R
125,126.,"Gerrit Cole (8, 29)",150.962,R
126,127.,Keith Foulke (11),150.780,R
127,128.,Bob Welch (17),150.536,R
128,129.,Allie Reynolds (13),150.343,R
129,130.,John Candelaria (19),150.133,L
130,131.,Catfish Hunter+ (15),148.152,R
131,132.,"Madison Bumgarner (12, 30)",147.975,L
132,133.,Ellis Kinder (12),147.909,R
133,134.,Tom Henke (14),147.495,R
134,135.,Brandon Webb (7),146.697,R
135,136.,Frank Viola (15),146.396,L
136,137.,"Johnny Cueto (13, 34)",146.248,R
137,138.,Milt Pappas (17),145.696,R
138,139.,Dennis Martinez (23),144.037,R
139,140.,"Stephen Strasburg (11, 31)",141.740,R
140,141.,Jonathan Papelbon (12),141.687,R
141,142.,Dave McNally (14),140.845,L
142,143.,Kent Tekulve (16),139.841,R
143,144.,Max Lanier (14),139.550,L
144,145.,Dutch Leonard (20),138.861,R
145,146.,John Hiller (15),137.742,L
146,147.,Dizzy Trout (15),135.724,R
147,148.,Schoolboy Rowe (15),135.176,R
148,149.,Don Newcombe (10),133.946,R
149,150.,Freddy Garcia (15),132.829,R
150,151.,Jose Rijo (14),132.480,R
151,152.,Gary Nolan (10),131.185,R
152,153.,"Kyle Hendricks (7, 30)",130.844,R
153,154.,Jon Matlack (13),130.662,L
154,155.,Hal Schumacher (13),130.316,R
155,156.,Alex Fernandez (10),130.044,R
156,157.,"Craig Kimbrel (11, 32)",129.357,R
157,158.,Mel Stottlemyre (11),129.343,R
158,159.,Tom Gordon (21),129.005,R
159,160.,Ray Kremer (10),128.440,R
160,161.,Carlos Zambrano (12),128.095,R
161,162.,Bobo Newsom (20),127.732,R
162,163.,Larry Jackson (14),126.124,R
163,164.,Troy Percival (14),125.245,R
164,165.,"Kenley Jansen (11, 32)",125.148,R
165,166.,Jack McDowell (12),124.737,R
166,167.,Sid Fernandez (15),124.022,L
167,168.,John Lackey (15),123.370,R
168,169.,Howie Pollet (14),122.734,L
169,170.,Thornton Lee (16),121.534,L
170,171.,Dan Haren (13),121.417,R
171,172.,Red Lucas (16),121.372,R
172,173.,Sam McDowell (15),121.368,L
173,174.,Stu Miller (16),121.073,R
174,175.,Jack Morris+ (18),120.614,R
175,176.,Dan Quisenberry (12),120.364,R
176,177.,"Darren O'Day (13, 37)",120.161,R
177,178.,Matt Cain (13),119.994,R
178,179.,Eddie Cicotte (14),119.773,R
179,180.,"Bartolo Colon (21, 47)",119.624,R
180,181.,Frank Tanana (21),118.627,L
181,182.,"Aroldis Chapman (11, 32)",116.294,L
182,183.,Mike Cuellar (15),116.052,L
183,184.,Armando Benitez (15),115.989,R
184,185.,Jesse Haines+ (19),115.792,R
185,186.,Monte Pearson (10),115.653,R
186,187.,Pat Malone (10),115.577,R
187,188.,Bobby Shantz (16),115.511,L
188,189.,"Joakim Soria (13, 36)",115.147,R
189,190.,Vic Raschi (10),115.013,R
190,191.,Josh Beckett (14),114.705,R
191,192.,Michael Jackson (17),114.581,R
192,193.,Rafael Soriano (14),114.157,R
193,194.,Jarrod Washburn (12),113.837,L
194,195.,Mel Parnell (10),113.343,L
195,196.,"Yu Darvish (8, 33)",112.117,R
196,197.,Kerry Wood (14),111.873,R
197,198.,Dean Chance (11),111.864,R
198,199.,Johnny Antonelli (12),111.077,L
199,200.,Brad Ziegler (11),109.457,R
200,201.,"Lance Lynn (9, 33)",109.384,R
201,202.,Curt Davis (13),109.181,R
202,203.,Don Gullett (9),108.527,L
203,204.,Mark Gubicza (14),108.079,R
204,205.,Tex Hughson (8),107.687,R
205,206.,Arthur Rhodes (20),107.299,L
206,207.,Jim Maloney (12),107.220,R
207,208.,Paul Derringer (15),107.205,R
208,209.,Jamie Moyer (25),107.053,L
209,210.,Burt Hooton (15),106.474,R
210,211.,Bruce Sutter+ (12),104.816,R
211,212.,Kelvim Escobar (12),104.353,R
212,213.,Randy Myers (14),104.042,L
213,214.,Frank Lary (12),103.947,R
214,215.,Mark Eichhorn (11),103.594,R
215,216.,Tug McGraw (19),103.337,L
216,217.,"Tyler Clippard (14, 35)",103.240,R
217,218.,Bill Lee (14),102.151,R
218,219.,Mark Langston (16),101.961,L
219,220.,Jason Schmidt (14),101.738,R
220,221.,Teddy Higuera (9),101.528,L
221,222.,John Franco (21),101.437,L
222,223.,Rube Walberg (15),101.394,L
223,224.,Wilson Alvarez (14),100.972,L
224,225.,Bill Walker (10),100.714,L
225,226.,Art Nehf (15),100.597,L
226,227.,Johnny Morrison (10),100.550,R
227,228.,"David Robertson (12, 35)",99.720,R
228,229.,"Hyun Jin Ryu (7, 33)",99.569,L
229,230.,Joaquin Benoit (16),99.180,R
230,231.,Pat Hentgen (14),99.086,R
231,232.,Claude Passeau (13),98.994,R
232,233.,Steve Reed (14),98.706,R
233,234.,John Wetteland (12),98.500,R
234,235.,Scot Shields (10),98.180,R
235,236.,Orlando Hernandez (9),98.016,R
236,237.,Joe Dobson (14),97.862,R
237,238.,Van Mungo (14),97.672,R
238,239.,Tom Zachary (19),97.358,L
239,240.,Doug Jones (16),96.719,R
240,241.,Babe Adams (19),96.082,R
241,242.,"Mike Clevinger (5, 29)",95.961,R
242,243.,Fritz Ostermueller (15),95.705,L
243,244.,Johnny Murphy (13),95.663,R
244,245.,Barry Zito (15),94.850,L
245,246.,Jeff Nelson (15),94.768,R
246,247.,Jeff Reardon (16),94.507,R
247,248.,Ben McDonald (9),94.183,R
248,249.,Doyle Alexander (19),93.352,R
249,250.,"Dallas Keuchel (9, 32)",92.972,L
250,251.,Ryan Madson (13),92.789,R
251,252.,"Tony Watson (10, 35)",92.340,L
252,253.,Koji Uehara (9),92.172,R
253,254.,Robb Nen (10),91.528,R
254,255.,"Gio Gonzalez (13, 34)",89.298,L
255,256.,Dave Righetti (16),89.258,L
256,257.,"Carlos Carrasco (11, 33)",89.134,R
257,258.,Johnny Rigney (8),88.926,R
258,259.,Javier Vazquez (14),88.701,R
259,260.,Larry Dierker (14),88.693,R
260,261.,Jim Perry (17),88.615,R
261,262.,J.R. Richard (10),88.610,R
262,263.,Huston Street (13),88.595,R
263,264.,George Uhle (17),88.056,R
264,265.,"Aaron Nola (6, 27)",87.034,R
265,266.,Don McMahon (18),86.610,R
266,267.,General Crowder (11),86.072,R
267,268.,Bump Hadley (16),85.914,R
268,269.,Kenny Rogers (20),85.806,L
269,270.,Mike Timlin (18),85.663,R
270,271.,Josh Johnson (9),85.202,R
271,272.,"Zack Britton (10, 32)",84.965,L
272,273.,Ewell Blackwell (10),84.761,R
273,274.,Rafael Betancourt (12),84.691,R
274,275.,Greg Swindell (17),84.219,L
275,276.,Sparky Lyle (16),84.017,L
276,277.,"Sergio Romo (13, 37)",83.688,R
277,278.,Watty Clark (12),83.652,L
278,279.,Shigetoshi Hasegawa (9),83.626,R
279,280.,Dennis Leonard (12),83.494,R
280,281.,Larry Jansen (9),83.098,R
281,282.,J.J. Putz (12),82.945,R
282,283.,Woody Williams (15),82.851,R
283,284.,Ed Brandt (11),82.546,L
284,285.,Johnny Sain (11),82.270,R
285,286.,Curt Simmons (20),82.133,L
286,287.,B.J. Ryan (11),81.959,L
287,288.,Pat Neshek (13),81.797,R
288,289.,Clay Carroll (15),81.725,R
289,290.,Mickey Lolich (16),81.266,L
290,291.,Roberto Hernandez (17),81.235,R
291,292.,Dutch Ruether (11),81.223,L
292,293.,Johnny Podres (15),80.844,L
293,294.,Dave Dravecky (8),80.753,L
294,295.,Derek Lowe (17),80.651,R
295,296.,Hank Aguirre (16),80.572,L
296,297.,Jose Valverde (12),80.459,R
297,298.,Johnny Vander Meer (13),80.441,L
298,299.,Jeff Montgomery (13),80.353,R
299,300.,Bob Wickman (15),80.352,R
300,301.,Ken Forsch (16),79.799,R
301,302.,Don Mossi (12),78.901,L
302,303.,Ted Wilks (10),78.860,R
303,304.,Rick Aguilera (16),78.849,R
304,305.,Dave Veres (10),78.738,R
305,306.,Steve Gromek (17),78.467,R
306,307.,Fred Toney (12),78.459,R
307,308.,Joe Horlen (12),78.213,R
308,309.,Lefty Stewart (10),77.801,L
309,310.,Mike Marshall (14),77.526,R
310,311.,"Joe Smith (13, 36)",77.442,R
311,312.,Mike Boddicker (14),76.627,R
312,313.,Marius Russo (6),76.593,L
313,314.,Don Wilson (9),76.168,R
314,315.,"Jose Quintana (9, 31)",76.003,L
315,316.,Bryan Harvey (9),75.698,R
316,317.,"Mark Melancon (12, 35)",75.403,R
317,318.,Jeff Shaw (12),75.167,R
318,319.,"Dellin Betances (9, 32)",75.130,R
319,320.,Ben Sheets (10),75.068,R
320,321.,Juan Guzman (10),74.310,R
321,322.,Slim Sallee (14),73.949,L
322,323.,Frank Sullivan (11),73.707,R
323,324.,Rod Beck (13),73.236,R
324,325.,Francisco Cordero (14),73.002,R
325,326.,Sad Sam Jones (22),72.975,R
326,327.,Claude Osteen (18),72.664,L
327,328.,Bob Turley (12),72.413,R
328,329.,Mario Soto (12),72.131,R
329,330.,"Masahiro Tanaka (7, 31)",71.973,R
330,331.,Dick Hall (19),71.929,R
331,332.,Duane Ward (9),71.924,R
332,333.,Jason Frasor (12),71.832,R
333,334.,Dan Plesac (18),71.807,L
334,335.,Bob Howry (13),71.595,R
335,336.,Bob Veale (13),71.518,L
336,337.,Mike Henneman (10),71.313,R
337,338.,Danny Darwin (21),71.260,R
338,339.,Ivy Andrews (8),71.105,R
339,340.,Octavio Dotel (15),71.082,R
340,341.,Ricardo Rincon (11),70.700,L
341,342.,"Greg Holland (10, 34)",70.390,R
342,343.,Eric Gagne (10),70.222,R
343,344.,Billy O'Dell (13),70.176,L
344,345.,Rich Harden (9),70.062,R
345,346.,Jose Fernandez (4),69.953,R
346,347.,Mike Flanagan (18),69.869,L
347,348.,Hiroki Kuroda (7),69.611,R
348,349.,Bob Stanley (13),69.219,R
349,350.,"Sonny Gray (8, 30)",69.195,R
350,351.,Hippo Vaughn (13),69.104,L
351,352.,Charlie Hough (25),69.098,R
352,353.,Ugueth Urbina (11),68.844,R
353,354.,Doug Drabek (13),68.746,R
354,355.,Harvey Haddix (14),68.717,L
355,356.,Charlie Leibrandt (14),68.715,L
356,357.,Gary Lavelle (13),68.600,L
357,358.,Kevin Millwood (16),68.507,R
358,359.,Dave Koslo (12),68.391,L
359,360.,Bill Hands (11),68.355,R
360,361.,Vic Aldridge (9),68.129,R
361,362.,Takashi Saito (7),68.071,R
362,363.,Mike Stanton (19),67.725,L
363,364.,"Roberto Osuna (6, 25)",67.510,R
364,365.,"Wade Davis (12, 34)",67.268,R
365,366.,Rudy May (16),67.006,L
366,367.,Pete Donohue (12),66.923,R
367,368.,"Will Harris (9, 35)",66.759,R
368,369.,Jim Brosnan (9),66.749,R
369,370.,Greg Minton (16),66.659,R
370,371.,Ismael Valdez (12),66.626,R
371,372.,Pete Harnisch (14),66.588,R
372,373.,Hisashi Iwakuma (6),66.553,R
373,374.,Tippy Martinez (14),66.514,L
374,375.,Rick Reed (15),66.270,R
375,376.,Bullet Joe Bush (17),66.083,R
376,377.,Tom Burgmeier (17),65.547,L
377,378.,Jason Isringhausen (16),65.535,R
378,379.,Alejandro Pena (15),65.470,R
379,380.,Paul Dean (9),65.441,R
380,381.,Steve Kline (11),65.429,L
381,382.,"Sean Doolittle (9, 33)",65.338,L
382,383.,"Shane Bieber (3, 25)",65.336,R
383,384.,Greg McMichael (8),65.129,R
384,385.,Andy Benes (14),65.056,R
385,386.,Fred Hutchinson (11),64.913,R
386,387.,Gary Peters (14),64.805,L
387,388.,"Rich Hill (16, 40)",64.375,L
388,389.,"Blake Snell (5, 27)",64.307,L
389,390.,Jeff Brantley (14),64.223,R
390,391.,Mike Adams (10),63.957,R
391,392.,Dick Donovan (15),63.938,R
392,393.,"Steve Cishek (11, 34)",63.709,R
393,394.,Steve Farr (11),63.691,R
394,395.,Denny Neagle (13),63.410,L
395,396.,Scott Williamson (9),63.212,R
396,397.,"Jared Hughes (10, 34)",63.113,R
