,Rank,"Player (yrs, age)",Fielding % as SS,Throws
0,1.,Omar Vizquel (24),.9847,R
1,2.,Troy Tulowitzki (13),.9846,R
2,3.,"José Iglesias (9, 30)",.9845,R
3,4.,"Freddy Galvis (9, 30)",.9841,R
4,5.,Jimmy Rollins (17),.9834,R
5,6.,J.J. Hardy (13),.9832,R
6,7.,Mike Bordick (14),.9821,R
7,8.,Rey Sanchez (15),.9813,R
8,9.,"Andrelton Simmons (9, 30)",.9812,R
9,10.,Cesar Izturis (13),.9808,R
10,11.,"Francisco Lindor (6, 26)",.9807,R
11,12.,"Carlos Correa (6, 25)",.9806,R
12,13.,Jhonny Peralta (15),.9805,R
13,14.,Larry Bowa (16),.9797,R
14,14.,"Jordy Mercer (9, 33)",.9797,R
15,16.,"Trevor Story (5, 27)",.9796,R
16,17.,Tony Fernandez (17),.9795,R
17,18.,"Adeiny Hechavarria (9, 31)",.9794,R
18,19.,"Zack Cozart (9, 34)",.9793,R
19,19.,Cal Ripken Jr.+ (21),.9793,R
20,21.,Stephen Drew (12),.9788,R
21,22.,"Didi Gregorius (9, 30)",.9785,R
22,23.,Ozzie Smith+ (19),.9782,R
23,24.,Deivi Cruz (9),.9779,R
24,25.,David Eckstein (10),.9778,R
25,26.,"Nick Ahmed (7, 30)",.9777,R
26,26.,Brendan Ryan (10),.9777,R
27,28.,"Xander Bogaerts (8, 27)",.9774,R
28,28.,Juan Castro (17),.9774,R
29,28.,Neifi Perez (12),.9774,R
30,28.,Jack Wilson (12),.9774,R
31,32.,Frank Duffy (10),.9772,R
32,32.,Alex Rodriguez (22),.9772,R
33,34.,Spike Owen (13),.9770,R
34,35.,Yunel Escobar (11),.9769,R
35,36.,Orlando Cabrera (15),.9768,R
36,36.,Alan Trammell+ (20),.9768,R
37,38.,Mark Belanger (18),.9767,R
38,38.,Michael Young (14),.9767,R
39,40.,Bucky Dent (12),.9764,R
40,41.,Dick Schofield (14),.9763,R
41,42.,Derek Jeter+ (20),.9762,R
42,43.,Adam Everett (11),.9761,R
43,44.,Alcides Escobar (11),.9759,R
44,45.,Rey Ordóñez (9),.9757,R
45,45.,Ramon Santiago (13),.9757,R
46,47.,Roger Metzger (11),.9755,R
47,48.,Juan Uribe (16),.9752,R
48,49.,Jay Bell (18),.9751,R
49,50.,Alex Gonzalez (13),.9749,R
50,50.,Khalil Greene (7),.9749,R
51,52.,"Brandon Crawford (10, 33)",.9748,R
52,53.,Alexei Ramírez (9),.9747,R
53,54.,"Asdrubal Cabrera (14, 34)",.9746,R
54,54.,Barry Larkin+ (19),.9746,R
55,56.,"Dansby Swanson (5, 26)",.9744,R
56,57.,Kevin Elster (13),.9739,R
57,57.,"Jed Lowrie (12, 36)",.9739,R
58,59.,Royce Clayton (17),.9738,R
59,59.,Ozzie Guillen (16),.9738,R
60,59.,Marco Scutaro (13),.9738,R
61,62.,Rafael Belliard (17),.9737,R
62,63.,Rich Aurilia (15),.9736,R
63,63.,Woody Woodward (9),.9736,R
64,65.,Gary Disarcina (12),.9734,R
65,66.,"Elvis Andrus (12, 31)",.9731,R
66,66.,"Orlando Arcia (5, 25)",.9731,R
67,68.,"Erick Aybar (12, 36)",.9730,R
68,69.,Tim Foli (16),.9727,R
69,69.,Dal Maxvill (14),.9727,R
70,69.,Jose Reyes (16),.9727,R
71,72.,Lou Boudreau+ (15),.9725,R
72,72.,Jose Vizcaino (18),.9725,R
73,74.,Ryan Theriot (8),.9724,R
74,75.,Alex Cora (14),.9722,R
75,75.,Greg Gagne (15),.9722,R
76,77.,Manuel Lee (11),.9721,R
77,78.,Chris Gomez (16),.9720,R
78,79.,Eddie Miller (14),.9718,R
79,79.,John Valentin (11),.9718,R
80,81.,Luis Aparicio+ (18),.9717,R
81,82.,John McDonald (16),.9716,R
82,83.,Roy McMillan (16),.9715,R
83,83.,Miguel Tejada (16),.9715,R
84,85.,Alvaro Espinoza (12),.9713,R
85,85.,Alex Gonzalez (16),.9713,R
86,85.,Steve Jeltz (8),.9713,R
87,85.,Fred Stanley (14),.9713,R
88,89.,Scott Fletcher (15),.9712,R
89,90.,Rick Burleson (13),.9711,R
90,91.,Bobby Crosby (8),.9710,R
91,91.,Bobby Wine (12),.9710,R
92,93.,Clint Barmes (13),.9707,R
93,94.,Dave Concepcion (19),.9706,R
94,94.,Felix Fermin (10),.9706,R
95,94.,Eddie Kasko (10),.9706,R
96,94.,Hal Lanier (10),.9706,R
97,98.,Leo Cardenas (16),.9705,R
98,99.,Cristian Guzman (11),.9704,R
99,100.,Ed Brinkman (15),.9701,R
