,Rank,"Player (yrs, age)",Range Factor/Game as SS,Throws
0,1.,Hughie Jennings+ (18),6.162,R
1,2.,Dave Bancroft+ (16),5.971,R
2,3.,Bob Allen (7),5.907,R
3,4.,George Davis+ (20),5.846,R
4,5.,Rabbit Maranville+ (23),5.803,R
5,6.,Bill Dahlen (21),5.795,R
6,7.,Herman Long (16),5.775,R
7,8.,Bobby Wallace+ (25),5.720,R
8,9.,Travis Jackson+ (15),5.667,R
9,10.,Dick Bartell (18),5.636,R
10,11.,Honus Wagner+ (21),5.626,R
11,12.,Tommy Corcoran (18),5.620,R
12,13.,Bones Ely (14),5.584,R
13,14.,Kid Elberfeld (14),5.576,R
14,15.,Monte Cross (15),5.575,R
15,16.,Heinie Wagner (12),5.571,R
16,17.,Charlie Hollocher (7),5.534,R
17,18.,Buck Weaver (9),5.533,R
18,19.,Joe Tinker+ (15),5.515,R
19,20.,Heinie Sand (6),5.510,R
20,21.,Art Fletcher (13),5.504,R
21,22.,Mickey Doolin (13),5.457,R
22,23.,George McBride (16),5.445,R
23,24.,Donie Bush (16),5.443,R
24,25.,Ivy Olson (14),5.410,R
25,26.,Doc Lavan (12),5.399,R
26,27.,Germany Smith (15),5.388,R
27,27.,Tommy Thevenow (15),5.388,R
28,29.,Ray Chapman (9),5.386,R
29,30.,Joe Sewell+ (14),5.365,R
30,31.,Charley O'Leary (11),5.360,R
31,32.,Eddie Miller (14),5.359,R
32,33.,Rudy Hulswitt (7),5.358,R
33,34.,Glenn Wright (11),5.356,R
34,35.,Freddy Parent (12),5.351,R
35,36.,Frank Shugart (8),5.340,R
36,37.,Hod Ford (15),5.278,R
37,38.,Billy Jurges (17),5.255,R
38,39.,Luke Appling+ (20),5.237,R
39,40.,Arky Vaughan+ (14),5.236,R
40,41.,Rabbit Warstler (11),5.231,R
41,42.,Shorty Fuller (9),5.215,R
42,43.,Charlie Gelbert (9),5.191,R
43,44.,Jack Glasscock (17),5.190,R
44,45.,Billy Urbanski (7),5.187,R
45,46.,Roger Peckinpaugh (17),5.175,R
46,47.,Terry Turner (17),5.166,R
47,48.,Joe Cronin+ (20),5.160,R
48,49.,Buddy Kerr (9),5.146,R
49,50.,Al Bridwell (11),5.135,R
50,51.,Lou Boudreau+ (15),5.128,R
51,51.,Larry Kopf (10),5.128,R
52,53.,Everett Scott (13),5.115,R
53,54.,Woody English (12),5.104,R
54,55.,Eddie Joost (17),5.080,R
55,55.,Billy Myers (7),5.080,R
56,57.,Johnny Logan (13),5.079,R
57,58.,Lyn Lary (12),5.062,R
58,59.,Billy Rogell (14),5.059,R
59,60.,Rick Burleson (13),5.052,R
60,60.,Marty Marion (13),5.052,R
61,62.,Johnny Pesky (10),5.051,R
62,63.,John Ward+ (17),5.040,R
63,64.,Wally Gerber (15),5.030,R
64,65.,Ozzie Smith+ (19),5.028,R
65,66.,Jackie Tavener (6),5.026,R
66,67.,Bill Knickerbocker (10),5.005,R
67,68.,Robin Yount+ (20),4.991,R
68,69.,Leo Durocher+ (17),4.989,R
69,70.,Frankie Crosetti (17),4.977,R
70,71.,Dick Groat (14),4.963,R
71,72.,Chick Galloway (10),4.932,R
72,72.,Red Kress (14),4.932,R
73,72.,Skeeter Newsome (12),4.932,R
74,75.,Pee Wee Reese+ (16),4.931,R
75,76.,Phil Lewis (4),4.929,R
76,77.,Lennie Merullo (7),4.922,R
77,78.,Gene Alley (11),4.920,R
78,79.,Tim Foli (16),4.915,R
79,80.,Ernie Banks+ (19),4.914,R
80,80.,Vern Stephens (15),4.914,R
81,82.,Ernie Johnson (10),4.912,R
82,83.,Ed McKean (13),4.905,R
83,84.,George Wright+ (12),4.896,R
84,85.,Cecil Travis (12),4.894,R
85,86.,Mark Koenig (12),4.886,R
86,87.,Roy McMillan (16),4.880,R
87,88.,Al Dark (14),4.872,R
88,88.,Johnny Lipon (9),4.872,R
89,90.,Luis Aparicio+ (18),4.868,R
90,91.,John Sullivan (6),4.857,R
91,92.,Tony Kubek (9),4.850,R
92,93.,Hal Lanier (10),4.846,R
93,94.,Ron Hansen (15),4.824,R
94,95.,Garry Templeton (16),4.804,R
95,96.,Topper Rigney (6),4.799,R
96,97.,Jack Barry (11),4.796,R
97,98.,Don Kessinger (16),4.789,R
98,99.,Phil Rizzuto+ (13),4.788,R
99,100.,Don Buddin (6),4.745,R
100,101.,Andre Rodgers (11),4.742,R
101,102.,Davy Force (15),4.729,R
102,102.,Maury Wills (14),4.729,R
103,104.,John Peters (11),4.720,R
104,105.,Frank Fennelly (7),4.718,R
105,106.,Dave Concepcion (19),4.713,R
106,106.,Gene Michael (10),4.713,R
107,108.,Freddie Patek (14),4.708,R
108,109.,Eric McNair (14),4.706,R
109,110.,Jim Fregosi (18),4.703,R
110,111.,Granny Hamner (17),4.693,R
111,112.,Ed Brinkman (15),4.674,R
112,113.,Bucky Dent (12),4.666,R
113,114.,Bert Campaneris (19),4.658,R
114,115.,Chris Speier (19),4.652,R
115,116.,Roy Smalley (13),4.642,R
116,117.,Arthur Irwin (13),4.640,R
117,118.,Chico Carrasquel (10),4.633,R
118,118.,Virgil Stallcup (7),4.633,R
119,120.,Bill Russell (18),4.629,R
120,121.,Harvey Kuenn (15),4.624,R
121,122.,Leo Cardenas (16),4.623,R
122,123.,Cal Ripken Jr.+ (21),4.617,R
123,124.,Sadie Houck (8),4.614,R
124,125.,Jack Wilson (12),4.610,R
125,126.,Enzo Hernandez (8),4.609,R
126,127.,Rico Petrocelli (13),4.607,R
127,128.,Troy Tulowitzki (13),4.602,R
128,129.,Toby Harrah (17),4.593,R
129,130.,Tony Fernandez (17),4.589,R
130,131.,Roger Metzger (11),4.587,R
131,132.,Sam Wise (12),4.583,R
132,133.,Larry Bowa (16),4.577,R
133,134.,Zoilo Versalles (12),4.562,R
134,135.,Jay Bell (18),4.557,R
135,136.,George Strickland (10),4.551,R
136,137.,Bud Harrelson (16),4.544,R
137,137.,Neifi Perez (12),4.544,R
138,137.,Roy Smalley (11),4.544,R
139,140.,Rafael Furcal (14),4.537,R
140,141.,Eddie Lake (11),4.530,R
141,142.,Mark Belanger (18),4.527,R
142,143.,John Valentin (11),4.519,R
143,144.,Andres Thomas (6),4.513,R
144,145.,Alfredo Griffin (18),4.510,R
145,146.,Ivan de Jesus (15),4.509,R
146,147.,Gary Disarcina (12),4.493,R
147,148.,Alan Trammell+ (20),4.471,R
148,149.,Juan Uribe (16),4.469,R
149,150.,Miguel Tejada (16),4.468,R
150,151.,Daryl Spencer (10),4.464,R
151,152.,Dale Berra (11),4.462,R
152,153.,Dick Schofield (14),4.461,R
153,154.,Frank Duffy (10),4.454,R
154,155.,Mike Bordick (14),4.449,R
155,155.,Julio Franco (23),4.449,R
156,157.,Jose Valentin (16),4.445,R
157,158.,Rey Sanchez (15),4.432,R
158,159.,Bobby Wine (12),4.431,R
159,160.,Rafael Ramirez (13),4.428,R
160,161.,Sonny Jackson (12),4.421,R
161,162.,Alex Rodriguez (22),4.418,R
162,163.,Shawon Dunston (18),4.415,R
163,164.,Joe DeMaestri (11),4.413,R
164,164.,Pat Meares (9),4.413,R
165,166.,Woodie Held (14),4.405,R
166,167.,Alex Gonzalez (13),4.399,R
167,168.,Angel Berroa (9),4.398,R
168,169.,Johnnie LeMaster (12),4.391,R
169,170.,Sam Dente (9),4.387,R
170,171.,Dick Howser (8),4.385,R
171,171.,Billy Hunter (6),4.385,R
172,173.,Royce Clayton (17),4.382,R
173,174.,Bobby Crosby (8),4.379,R
174,175.,Eddie Kasko (10),4.373,R
