,Rank,"Player (yrs, age)",Championship WPA (cWPA),Bats
141,142.,Lance Berkman (15),28.34,B
142,142.,Elmer Smith (10),28.34,L
143,144.,Pepper Martin (13),28.24,R
144,145.,Johnny Pesky (10),28.23,L
145,146.,Ival Goodman (10),28.10,L
146,147.,Brooks Robinson+ (23),27.94,R
147,148.,Earl Averill+ (13),27.86,L
148,149.,George Grantham (13),27.60,L
149,150.,Steve Garvey (19),27.53,R
150,151.,Edgar Martinez+ (18),27.46,R
151,152.,George Selkirk (9),27.34,L
152,153.,Bobby Bonds (14),27.22,R
153,154.,Bobby Abreu (18),27.08,L
154,155.,Prince Fielder (12),26.74,L
155,155.,John Olerud (17),26.74,L
156,157.,Tony Lazzeri+ (14),26.73,R
157,158.,Ken Singleton (15),26.66,B
158,159.,Cesar Cedeno (17),26.63,R
159,160.,Hal Trosky (11),26.60,L
160,161.,Jim Northrup (12),26.37,L
161,162.,Whitey Lockman (15),26.34,L
162,163.,Johnny Bench+ (17),26.20,R
163,164.,Tony Gwynn+ (20),26.18,L
164,165.,Nick Etten (9),26.13,L
165,166.,Earl Torgeson (15),26.01,L
166,167.,Lefty O'Doul (11),26.00,L
167,168.,Carl Furillo (15),25.85,R
168,168.,Ryan Howard (13),25.85,L
169,170.,Chuck Klein+ (17),25.81,L
170,171.,Jack Clark (18),25.78,R
171,172.,Bobby Avila (11),25.60,R
172,173.,Amos Otis (17),25.56,R
173,174.,Brian Downing (20),25.46,R
174,175.,Larry Walker+ (17),25.45,L
175,176.,Lloyd Waner+ (18),25.33,L
176,177.,Wade Boggs+ (18),25.00,L
177,177.,Ron Santo+ (15),25.00,R
178,179.,Rod Carew+ (19),24.94,L
179,180.,George Burns (16),24.82,R
180,180.,Al Oliver (18),24.82,L
181,182.,Bobby Murcer (17),24.80,L
182,183.,Bob Johnson (13),24.78,R
183,184.,Carlos Delgado (17),24.64,L
184,184.,Ted Simmons+ (21),24.64,B
185,186.,Joe Gordon+ (11),24.57,R
186,187.,Gil McDougald (10),24.54,R
187,188.,Casey Stengel+ (14),24.46,L
188,189.,Tom Tresh (9),24.40,B
189,190.,Dwight Evans (20),24.39,R
190,191.,Johnny Lindell (12),24.30,R
191,192.,Fred McGriff (19),24.18,L
192,193.,Monte Irvin+ (8),24.08,R
193,194.,Jim Wynn (15),23.98,R
194,195.,Ralph Kiner+ (10),23.80,R
195,196.,Happy Felsch (6),23.63,R
196,197.,Hal McRae (19),23.50,R
197,198.,Tito Francona (15),23.40,L
198,199.,Kent Hrbek (14),23.35,L
199,199.,Andy Pafko (17),23.35,R
200,201.,George Foster (18),23.32,R
201,202.,Carlos Beltran (20),23.23,B
202,202.,Dale Murphy (18),23.23,R
203,204.,Heinie Manush+ (17),23.19,L
204,204.,Darrell Porter (17),23.19,L
205,206.,Freddie Lindstrom+ (13),23.01,R
206,207.,Pete Ward (9),22.99,L
207,208.,Richie Hebner (18),22.90,L
208,209.,Joe Collins (10),22.88,L
209,210.,Bill Madlock (15),22.80,R
210,211.,Ed Bailey (14),22.66,L
211,212.,Jeff Heath (14),22.65,L
212,213.,Babe Herman (13),22.60,L
213,214.,Vladimir Guerrero+ (16),22.44,R
214,215.,Dom DiMaggio (11),22.32,R
215,216.,Dan Driessen (15),22.24,L
216,217.,Sal Bando (16),22.22,R
217,217.,Ben Chapman (15),22.22,R
218,219.,Jose Canseco (17),22.21,R
219,219.,Mark Grace (16),22.21,L
220,221.,Kirk Gibson (17),22.19,L
221,222.,Jo-Jo Moore (12),22.17,L
222,223.,Rafael Palmeiro (20),22.07,L
223,224.,Andy High (13),21.78,L
224,225.,Harry Hooper+ (17),21.68,L
225,226.,Ken Boyer (15),21.45,R
226,227.,Max Carey+ (20),21.25,B
227,228.,Ron Cey (17),21.24,R
228,229.,"Joey Votto (14, 36)",21.19,L
229,230.,Lloyd Moseby (12),21.16,L
230,231.,"Paul Goldschmidt (10, 32)",21.10,R
231,232.,Ken Griffey Jr.+ (22),20.98,L
232,233.,Donn Clendenon (12),20.91,R
233,234.,Lou Whitaker (19),20.85,L
234,235.,Jim Rice+ (16),20.69,R
235,236.,"Mike Trout (10, 28)",20.63,R
236,237.,Eric Davis (17),20.61,R
237,238.,Ryne Sandberg+ (16),20.57,R
238,239.,Ken Williams (14),20.47,L
239,240.,Wally Schang (19),20.25,B
240,241.,Kevin Mitchell (13),20.20,R
241,242.,Ernie Banks+ (19),20.13,R
242,243.,Bob Watson (19),20.10,R
243,244.,Paul Molitor+ (21),20.02,R
244,245.,Ken Griffey (19),19.99,L
245,246.,Alan Trammell+ (20),19.94,R
246,247.,Bill Freehan (15),19.93,R
247,248.,Andre Dawson+ (21),19.87,R
248,249.,Smoky Burgess (18),19.74,L
249,250.,Lou Johnson (8),19.56,R
250,251.,Hi Myers (14),19.55,R
251,252.,Todd Helton (17),19.44,L
252,253.,Rico Carty (15),19.37,R
253,254.,Irv Noren (11),19.30,L
254,255.,Harold Baines+ (22),19.28,L
