,Rank,"Player (yrs, age)",Championship WPA (cWPA),Bats
633,634.,Brian McCann (15),6.49,L
634,635.,"Dexter Fowler (13, 34)",6.48,B
635,635.,Don Lock (8),6.48,R
636,635.,Matt Williams (17),6.48,R
637,638.,Albie Pearson (9),6.47,L
638,639.,Andruw Jones (17),6.43,R
639,640.,Hunter Pence (14),6.42,R
640,641.,Alex Johnson (13),6.41,R
641,642.,Chris Hoiles (10),6.40,R
642,642.,"George Springer (7, 30)",6.40,R
643,644.,Eddie Yost (18),6.33,R
644,645.,Jake Daubert (15),6.31,L
645,646.,Maury Wills (14),6.25,B
646,647.,"Starling Marte (9, 31)",6.24,R
647,648.,Hal Morris (13),6.23,L
648,649.,"Cody Bellinger (4, 24)",6.20,L
649,650.,Les Fleming (7),6.19,L
650,650.,Wade Lefler (1),6.19,L
651,652.,Johnny Moore (10),6.18,L
652,653.,Cliff Floyd (17),6.16,L
653,653.,Joe Lefebvre (6),6.16,L
654,655.,George Binks (5),6.15,L
655,656.,Jerry Lumpe (12),6.12,L
656,657.,Albert Belle (12),6.09,R
657,657.,Johnny Groth (15),6.09,R
658,659.,Candy Maldonado (15),6.08,R
659,659.,"Ryan Zimmerman (15, 35)",6.08,R
660,661.,Ian Kinsler (14),6.04,R
661,661.,Jason Thompson (11),6.04,L
662,663.,Ray Durham (14),6.01,B
663,663.,Tim Wallach (17),6.01,R
664,665.,Milton Bradley (12),5.99,B
665,665.,Ted Uhlaender (8),5.99,L
666,667.,Pat Kelly (15),5.98,L
667,668.,"Eric Hosmer (10, 30)",5.95,L
668,669.,Fred Whitfield (9),5.94,L
669,670.,Erubiel Durazo (7),5.88,L
670,670.,Mike Shannon (9),5.88,R
671,672.,Wayne Garrett (10),5.87,L
672,673.,Ray Lankford (14),5.83,L
673,674.,Del Bissonette (5),5.82,L
674,675.,Nick Johnson (10),5.79,L
675,676.,Tony Conigliaro (8),5.78,R
676,676.,Ben Paschal (8),5.78,R
677,678.,Steve Balboni (11),5.76,R
678,679.,Ken McMullen (16),5.75,R
679,680.,"Matt Kemp (15, 35)",5.70,R
680,681.,Lou Piniella (18),5.68,R
681,681.,Red Smith (9),5.68,R
682,683.,George Scott (14),5.65,R
683,684.,Delino DeShields (13),5.61,L
684,685.,Curt Walker (12),5.59,L
685,686.,Jimmy Wasdell (11),5.56,L
686,687.,Eddie Robinson (13),5.55,L
687,688.,Phil Weintraub (7),5.54,L
688,689.,Jay Johnstone (20),5.51,L
689,689.,Ben Zobrist (14),5.51,B
690,691.,Bruce Bochte (12),5.49,L
691,692.,Jim Leyritz (11),5.48,R
692,692.,Rip Repulski (9),5.48,R
693,694.,John Wockenfuss (12),5.45,R
694,695.,"Neil Walker (12, 34)",5.44,B
695,696.,"Alex Bregman (5, 26)",5.43,R
696,696.,Allen Craig (6),5.43,R
697,698.,Ozzie Smith+ (19),5.41,B
698,699.,Hideki Matsui (10),5.40,L
699,699.,Henry Rodriguez (11),5.40,L
700,701.,Jason Bay (11),5.33,R
701,702.,Dwayne Murphy (12),5.32,L
702,702.,Ellis Valentine (10),5.32,R
703,704.,Jose Vidro (12),5.31,B
704,705.,Shane Mack (9),5.28,R
705,706.,Carson Bigbee (11),5.26,L
706,707.,Lou Finney (15),5.24,L
707,708.,Lee May (18),5.22,R
708,709.,Dwight Smith (8),5.21,L
709,709.,Denard Span (11),5.21,L
710,711.,Jack Bentley (9),5.20,L
711,712.,Dante Bichette (14),5.14,R
712,713.,Juan Samuel (16),5.13,R
713,714.,Ray Chapman (9),5.10,R
714,714.,Willie Wilson (19),5.10,B
715,716.,Raul Ibanez (19),5.05,L
716,717.,Dave Robertson (9),5.04,L
717,718.,Kevin Bass (14),5.02,B
718,718.,Jack Tobin (13),5.02,L
719,720.,Milt Byrnes (3),5.00,L
720,721.,Harry Danning (10),4.97,R
721,722.,Dave Hollins (12),4.96,B
722,722.,Gregg Jefferies (14),4.96,B
723,722.,Ron Swoboda (9),4.96,R
724,725.,Shane Victorino (12),4.95,R
725,726.,Art Fletcher (13),4.90,R
726,726.,Nick Swisher (12),4.90,B
727,728.,Bob Nieman (12),4.88,R
728,729.,"Jose Ramirez (8, 27)",4.87,B
729,729.,Wally Westlake (10),4.87,R
730,731.,Michael Cuddyer (15),4.86,R
731,732.,George Myatt (7),4.85,L
732,733.,Mike Ivie (11),4.84,R
733,734.,Marlon Anderson (12),4.83,L
734,734.,Jeff Blauser (13),4.83,R
735,736.,Scott Hairston (11),4.81,R
736,737.,Ruben Sierra (20),4.80,B
737,738.,Andy Carey (11),4.78,R
738,738.,Jermaine Dye (14),4.78,R
739,740.,Willard Hershberger (3),4.77,R
740,741.,Dane Iorg (10),4.76,L
741,742.,Bill Spiers (13),4.75,L
742,743.,Danny Gardella (3),4.73,L
743,743.,Larry Parrish (15),4.73,R
744,745.,Mike Sweeney (16),4.72,R
745,746.,Sid Bream (12),4.71,L
746,746.,Fred Merkle (16),4.71,R
747,748.,Gary Gaetti (20),4.64,R
748,749.,Lee Handley (10),4.63,R
749,750.,Wally Backman (14),4.62,B
750,751.,Rickie Weeks (14),4.61,R
751,752.,Debs Garms (12),4.58,L
752,753.,Matt Alexander (9),4.57,B
753,754.,Chuck Essegian (6),4.56,R
754,754.,Chuck Knoblauch (12),4.56,R
755,754.,"Manny Machado (9, 27)",4.56,R
756,757.,Brandon Moss (11),4.54,L
757,758.,Rance Mulliniks (16),4.53,L
758,759.,"Carlos Gonzalez (12, 34)",4.51,L
759,759.,Gary Roenicke (12),4.51,R
760,761.,Ken Oberkfell (16),4.50,L
761,762.,Les Nunamaker (12),4.49,R
762,763.,Dion James (11),4.47,L
763,763.,Eddie Murphy (11),4.47,L
764,765.,Barney McCosky (11),4.45,L
765,766.,John Ellis (13),4.44,R
766,767.,Dick Gernert (11),4.43,R
767,767.,John Jaso (9),4.43,L
768,767.,Sam Mele (10),4.43,R
769,770.,Jim Lemon (12),4.41,R
770,771.,Art Howe (11),4.40,R
771,771.,Shannon Stewart (14),4.40,R
772,773.,Cal Ripken Jr.+ (21),4.39,R
773,774.,Nick Esasky (8),4.38,R
774,775.,"Ian Desmond (11, 34)",4.36,R
775,776.,Carlos Lee (14),4.35,R
776,776.,Jose Reyes (16),4.35,B
777,778.,Marv Rackley (4),4.34,L
778,779.,Phil Bradley (8),4.32,R
779,780.,Joe Foy (6),4.31,R
780,781.,Cody Ross (12),4.29,R
781,782.,Matt Stairs (19),4.28,L
782,783.,"Daniel Descalso (10, 33)",4.27,L
783,784.,Lou Klein (5),4.26,R
784,784.,Bip Roberts (12),4.26,B
785,786.,Elliott Maddox (11),4.25,R
786,787.,Augie Bergamo (2),4.22,L
787,787.,Mel Hall (13),4.22,L
788,787.,Ken Landreaux (11),4.22,L
789,787.,Joe Pepitone (12),4.22,L
790,791.,Carlos Pena (14),4.21,L
791,792.,Mike Andrews (8),4.17,R
792,792.,Bob Boken (2),4.17,R
793,794.,Bruce Edwards (10),4.14,R
794,795.,Robby Thompson (11),4.13,R
795,796.,"DJ LeMahieu (10, 31)",4.12,R
796,797.,Gary Carter+ (19),4.11,R
797,798.,Johnny Mostil (10),4.10,R
798,798.,Matt Nokes (11),4.10,L
799,798.,"Matt Olson (5, 26)",4.10,L
800,801.,"Aaron Judge (5, 28)",4.09,R
801,801.,Lyle Overbay (14),4.09,L
802,801.,"David Peralta (7, 32)",4.09,L
803,801.,Carlos Quentin (9),4.09,R
804,805.,Alfonso Soriano (16),4.08,R
805,805.,Mike Stanley (15),4.08,R
806,807.,Gus Triandos (13),4.07,R
807,808.,Tommy Glaviano (5),4.06,R
808,808.,Mickey Stanley (15),4.06,R
809,810.,David Segui (15),4.02,B
810,811.,"Juan Soto (3, 21)",3.98,L
811,812.,"José Abreu (7, 33)",3.96,R
812,812.,Jonny Gomes (13),3.96,R
813,812.,"Eric Thames (6, 33)",3.96,L
814,812.,Bobby Veach (14),3.96,L
815,816.,Spider Jorgensen (5),3.95,L
816,817.,"Ronald Acuna Jr. (3, 22)",3.94,R
817,817.,"Mitch Moreland (11, 34)",3.94,L
818,819.,Adam LaRoche (12),3.93,L
819,819.,Jack Rothrock (11),3.93,B
820,819.,"Miguel Sano (6, 27)",3.93,R
821,822.,"Alex Avila (12, 33)",3.91,L
822,822.,Pinch Thomas (10),3.91,L
823,824.,"Max Muncy (5, 29)",3.89,L
824,824.,Jerome Walton (10),3.89,R
825,826.,"Xander Bogaerts (8, 27)",3.87,R
826,826.,Otto Velez (11),3.87,R
827,828.,Pete Runnels (14),3.86,L
828,829.,Kevin Seitzer (12),3.85,R
829,830.,Walt Moryn (8),3.83,L
830,831.,Tony Clark (15),3.81,B
831,832.,Specs Toporcer (8),3.80,L
832,833.,Bullet Joe Bush (17),3.79,R
833,833.,Marcus Giles (7),3.79,R
834,835.,"Matt Chapman (4, 27)",3.78,R
835,835.,Dan Johnson (10),3.78,L
836,837.,Ed Morgan (7),3.77,R
837,838.,Joe Vosmik (13),3.76,R
838,839.,Ron Hansen (15),3.75,R
839,839.,Don Money (16),3.75,R
840,839.,Pete O'Brien (12),3.75,L
841,842.,Joe Pignatano (6),3.74,R
842,843.,Terry Crowley (15),3.73,L
843,843.,Clint Hurdle (10),3.73,L
844,843.,Paul Konerko (18),3.73,R
845,846.,"Todd Frazier (10, 34)",3.72,R
846,846.,"Corey Seager (6, 26)",3.72,L
847,848.,Reggie Sanders (17),3.71,R
848,849.,Carlos Guillen (14),3.70,B
849,849.,"Pablo Sandoval (13, 33)",3.70,B
850,851.,Andy Etchebarren (15),3.61,R
851,852.,Eddie Brown (7),3.60,R
852,852.,Rafael Furcal (14),3.60,B
853,854.,Brant Alyea (6),3.59,R
854,855.,Bill Buckner (22),3.56,L
855,856.,Jeromy Burnitz (14),3.55,L
856,857.,Tommy Harper (15),3.54,R
857,857.,"Matthew Joyce (13, 35)",3.54,L
858,857.,Ed Konetchy (15),3.54,R
859,857.,Danny Litwhiler (11),3.54,R
860,857.,Ryan Ludwick (12),3.54,R
861,857.,Wally Mayer (7),3.54,R
862,863.,Josh Willingham (11),3.52,R
863,864.,Vince Coleman (13),3.51,B
864,864.,Seth Smith (11),3.51,L
865,866.,Troy Glaus (13),3.47,R
866,866.,Johnny Hodapp (9),3.47,R
867,868.,Pat Crawford (4),3.46,L
868,868.,Hersh Martin (6),3.46,B
869,870.,Chris Sabo (9),3.44,R
870,871.,Coaker Triplett (6),3.43,R
871,872.,Corey Koskie (9),3.40,L
872,872.,Phil Linz (7),3.40,R
873,874.,Bob Lemon+ (15),3.39,L
874,875.,Sean Casey (12),3.38,L
875,876.,Vic Power (12),3.37,R
876,877.,Dave Collins (16),3.35,B
877,877.,Bobby Hofman (7),3.35,R
878,877.,Ichiro Suzuki (19),3.35,L
879,880.,"Yadier Molina (17, 37)",3.34,R
880,881.,Johnny Grubb (16),3.32,L
881,882.,Kevin Reimer (6),3.31,L
882,883.,George Case (11),3.30,R
883,884.,"Marcell Ozuna (8, 29)",3.29,R
884,885.,Glenn Adams (8),3.27,L
885,885.,"Jose Altuve (10, 30)",3.27,R
886,885.,Ellis Clary (4),3.27,R
887,888.,Joe Gallagher (2),3.26,R
888,888.,Buck Herzog (13),3.26,R
889,888.,George McQuinn (12),3.26,L
890,891.,Jerry Morales (15),3.25,R
891,891.,Trot Nixon (12),3.25,L
892,891.,Jim Thorpe (6),3.25,R
893,894.,John Jaha (10),3.24,R
894,895.,Brian Roberts (14),3.22,B
895,895.,"Chris Taylor (7, 29)",3.22,R
896,897.,Walton Cruise (10),3.21,L
897,898.,Ike Boone (8),3.20,L
898,898.,Evan Gattis (6),3.20,R
899,900.,Melky Cabrera (15),3.19,B
900,901.,Lee Maye (13),3.18,L
901,902.,Warren Newson (8),3.17,L
902,903.,"Francisco Lindor (6, 26)",3.16,B
903,903.,John Milner (12),3.16,L
904,905.,Sam Langford (3),3.14,L
905,905.,Ed Stevens (6),3.14,L
906,907.,Bill Carrigan (10),3.13,R
907,907.,Bill Howerton (4),3.13,L
908,909.,Brian Jordan (15),3.12,R
909,909.,Denny Walling (18),3.12,L
910,911.,Tom Herr (13),3.11,B
911,912.,Joe Carter (16),3.10,R
912,912.,Ken Sears (2),3.10,L
913,914.,Otis Nixon (17),3.09,B
914,914.,Angel Pagan (11),3.09,B
915,916.,Ray Rohwer (2),3.08,L
916,917.,Jacque Jones (10),3.06,L
917,918.,Randy Bush (12),3.05,L
918,919.,Kendrys Morales (13),3.04,B
919,919.,Carl Sawatski (11),3.04,L
920,921.,Joe Gaines (7),3.03,R
921,921.,Willard Marshall (11),3.03,L
922,921.,Johnny Temple (13),3.03,R
923,924.,"Lorenzo Cain (11, 34)",3.02,R
924,924.,Doug Mientkiewicz (12),3.02,L
925,924.,Bob Thurman (5),3.02,L
926,927.,Austin Jackson (9),3.01,R
927,927.,Al Luplow (7),3.01,L
928,929.,Ed Charles (8),3.00,R
929,929.,Coco Crisp (15),3.00,B
930,929.,"Mitch Haniger (4, 29)",3.00,R
931,932.,Bill Lamar (9),2.99,L
932,933.,Dave Cash (12),2.98,R
933,934.,Jeff Conine (17),2.97,R
934,935.,Mike Cameron (17),2.94,R
935,935.,Babe Phelps (11),2.94,L
936,937.,Les Bell (9),2.90,R
937,937.,"Ramon Laureano (3, 25)",2.90,R
938,939.,Deion Sanders (9),2.89,L
939,940.,Garrett Jones (8),2.88,L
940,941.,Tony Horton (7),2.86,R
941,941.,"Jorge Polanco (7, 26)",2.86,B
942,943.,Torii Hunter (19),2.85,R
943,944.,Jack Smith (15),2.83,L
944,945.,Sam Jethroe (4),2.82,B
945,946.,Jerry White (11),2.81,B
946,947.,Don Johnson (6),2.79,R
947,948.,"Kole Calhoun (9, 32)",2.78,L
948,949.,Duffy Lewis (11),2.77,R
949,949.,Charlie Mullen (5),2.77,R
950,949.,Scott Spiezio (12),2.77,B
951,952.,"Tommy Edman (2, 25)",2.76,B
952,952.,Cookie Lavagetto (10),2.76,R
953,952.,Hank Severeid (15),2.76,R
954,955.,Pedro Alvarez (9),2.75,L
955,955.,Glenn Braggs (7),2.75,R
956,955.,Bert Niehoff (6),2.75,R
957,958.,"Andrew Benintendi (5, 25)",2.74,L
958,958.,Charlie Jamieson (18),2.74,L
959,960.,Roger Repoz (9),2.73,L
960,961.,Morrie Arnovich (7),2.72,R
961,962.,Carl Reynolds (13),2.71,R
962,963.,"Max Kepler (6, 27)",2.70,L
963,963.,"Domingo Santana (7, 27)",2.70,R
964,965.,James Loney (11),2.69,L
965,965.,Charlie See (3),2.69,L
966,965.,Mule Shirley (2),2.69,L
967,965.,Heinie Zimmerman (13),2.69,R
968,969.,"Trevor Story (5, 27)",2.67,R
969,970.,"Carlos Correa (6, 25)",2.66,R
970,971.,Jung Ho Kang (4),2.65,R
971,972.,Hal Wagner (12),2.64,L
972,973.,Len Matuszek (7),2.63,L
973,974.,"Jason Kipnis (10, 33)",2.62,L
974,974.,Billy Sullivan (12),2.62,L
975,974.,Greg Vaughn (15),2.62,R
976,977.,Dan Uggla (10),2.60,R
977,978.,Jerry Remy (10),2.59,L
978,979.,Brooks Conrad (6),2.58,B
979,979.,"Jose Martinez (5, 31)",2.58,R
980,981.,Ozzie Virgil (11),2.57,R
981,982.,Ron Hunt (12),2.55,R
982,982.,Yasiel Puig (7),2.55,R
983,984.,David Freese (11),2.54,R
984,985.,Butch Nieman (3),2.53,L
985,985.,"Mike Yastrzemski (2, 29)",2.53,L
986,987.,Olaf Henriksen (7),2.50,L
987,988.,"Tommy Pham (7, 32)",2.49,R
988,988.,John Sullivan (2),2.49,R
989,990.,Cass Michaels (12),2.48,R
990,991.,Matt Lawton (12),2.47,L
991,991.,Scott Lusader (5),2.47,L
992,991.,Andres Mora (4),2.47,R
993,991.,Gary Thomasson (9),2.47,L
994,995.,"Jake Lamb (7, 29)",2.46,L
995,995.,Gerald Perry (13),2.46,L
996,995.,Matt Tolbert (4),2.46,B
997,998.,Harvey Kuenn (15),2.45,R
998,999.,Bob Hazle (3),2.44,L
