,Rank,"Player (yrs, age)",Errors Committed as LF (s.1901),Throws
0,1.,Zack Wheat+ (19),186,R
1,2.,Goose Goslin+ (18),184,R
2,3.,Lou Brock+ (19),168,L
3,4.,Bobby Veach (14),146,R
4,5.,Duffy Lewis (11),123,R
5,6.,Bob Johnson (13),121,R
6,7.,Jack Graney (14),114,L
7,8.,Rickey Henderson+ (25),113,L
8,9.,Ken Williams (14),109,R
9,10.,Charlie Jamieson (18),103,L
10,11.,Bob Bescher (11),99,L
11,11.,Patsy Dougherty (10),99,R
12,11.,Sherry Magee (16),99,R
13,14.,Jimmy Sheckard (17),92,R
14,14.,Ted Williams+ (19),92,R
15,16.,Barry Bonds (22),89,L
16,17.,Joe Medwick+ (17),86,R
17,17.,Minnie Minoso (17),86,R
18,17.,Lonnie Smith (17),86,R
19,20.,Gary Matthews (16),85,R
20,20.,Burt Shotton (14),85,R
21,22.,George Bell (12),83,R
22,23.,Irish Meusel (11),82,R
23,23.,Tillie Walker (13),82,R
24,25.,Bibb Falk (12),80,L
25,25.,Alex Johnson (13),80,R
26,25.,Willie Stargell+ (21),80,L
27,28.,George Burns (15),79,R
28,28.,Del Ennis (14),79,R
29,30.,Jose Cruz (19),78,L
30,30.,Billy Williams+ (18),78,R
31,32.,Roy Johnson (10),74,R
32,33.,Ralph Kiner+ (10),73,R
33,34.,Carson Bigbee (11),72,R
34,35.,Gus Zernial (11),71,R
35,36.,Jeff Heath (14),68,R
36,36.,George Stone (7),68,L
37,36.,Carl Yastrzemski+ (23),68,R
38,39.,Rube Ellis (4),67,L
39,40.,Luis Gonzalez (19),64,R
40,40.,Jo-Jo Moore (12),64,R
41,42.,Topsy Hartsel (14),63,L
42,42.,Joe Vosmik (13),63,R
43,42.,Gee Walker (15),63,R
44,45.,Jim Rice+ (16),62,R
45,46.,Babe Ruth+ (22),61,L
46,46.,Moose Solters (9),61,R
47,48.,Adam Dunn (14),60,R
48,49.,Vince Coleman (13),59,R
49,49.,Leon Wagner (12),59,R
50,51.,Albert Belle (12),58,R
51,52.,Lefty O'Doul (11),57,L
52,53.,Willie Horton (18),55,R
53,53.,Greg Luzinski (15),55,R
54,55.,Ralph Garr (13),54,R
55,55.,Heinie Manush+ (17),54,L
56,55.,Alfonso Soriano (16),54,R
57,58.,Pat Burrell (12),53,R
58,59.,Fred Clarke+ (21),52,R
59,59.,Ron Gant (16),52,R
60,59.,Steve Henderson (12),52,R
61,59.,Bob Meusel (11),52,R
62,59.,Hank Sauer (15),52,R
63,64.,Max Carey+ (20),50,R
64,64.,Tommy Davis (18),50,R
65,64.,George Foster (18),50,R
66,64.,Matt Holliday (15),50,R
67,64.,Carlos Lee (14),50,R
68,69.,Cliff Floyd (17),49,R
69,69.,Al Martin (11),49,L
70,69.,Matty McIntyre (10),49,L
71,69.,Ben Oglivie (16),49,L
72,69.,Rip Radcliff (10),49,L
73,69.,Bob Skinner (12),49,R
74,75.,Bob Fothergill (12),48,R
75,75.,Chick Hafey+ (13),48,R
76,75.,Tim Raines+ (23),48,R
77,78.,Joe Carter (16),47,R
78,78.,Pat Duncan (7),47,R
79,78.,Larry Herndon (14),47,R
80,78.,Al Simmons+ (20),47,R
81,78.,Dick Wakefield (9),47,R
82,83.,Augie Galan (16),46,R
83,83.,Les Mann (16),46,R
84,85.,Moises Alou (17),45,R
85,85.,Rube Bressler (19),45,L
86,85.,Davy Jones (15),45,R
