,Rank,"Player (yrs, age)",Win Probability Added (WPA),Throws
625,625.,Roger Moret (9),4.46,L
626,627.,Hal Reniff (7),4.45,R
627,628.,Jon Lieber (14),4.44,R
628,628.,Fernando Rodney (17),4.44,R
629,630.,Pol Perritt (10),4.43,R
630,631.,Doug Fister (10),4.42,R
631,631.,Rick Rhoden (16),4.42,R
632,631.,"Alex Wood (8, 29)",4.42,L
633,634.,Doug Brocail (15),4.41,R
634,634.,"Daniel Hudson (11, 33)",4.41,R
635,636.,"Tommy Hunter (13, 33)",4.40,R
636,637.,"Brad Brach (10, 34)",4.39,R
637,637.,Shigetoshi Hasegawa (9),4.39,R
638,639.,"Alex Claudio (7, 28)",4.38,L
639,639.,"Neftali Feliz (9, 32)",4.38,R
640,641.,"Jake McGee (11, 33)",4.37,L
641,642.,Dick Hughes (3),4.36,R
642,643.,Yovani Gallardo (12),4.35,R
643,643.,Scott Kazmir (12),4.35,L
644,645.,Elmer Riddle (10),4.34,R
645,646.,Howard Ehmke (15),4.32,R
646,646.,Ron Reed (19),4.32,R
647,648.,"Chad Green (5, 29)",4.30,R
648,649.,Ray Moore (11),4.29,R
649,649.,"Jake Odorizzi (9, 30)",4.29,R
650,651.,Hal Carlson (14),4.27,R
651,651.,Kirby Higbe (12),4.27,R
652,653.,Jesse Barnes (13),4.26,R
653,654.,Jim Hughes (6),4.25,R
654,654.,Reb Russell (9),4.25,L
655,656.,Dave Stewart (16),4.23,R
656,656.,Bob Tewksbury (13),4.23,R
657,658.,"Craig Stammen (11, 36)",4.19,R
658,659.,Huck Betts (10),4.18,R
659,659.,Chad Billingsley (9),4.18,R
660,659.,Alan Embree (16),4.18,L
661,659.,Whitey Glazner (5),4.18,R
662,663.,Rich Garces (10),4.17,R
663,664.,Michael Wuertz (8),4.16,R
664,665.,Tom Gorman (8),4.14,R
665,665.,Billy O'Dell (13),4.14,L
666,667.,Shaun Marcum (9),4.13,R
667,667.,Felix Rodriguez (11),4.13,R
668,667.,George Sherrill (9),4.13,L
669,670.,Jim Hearn (13),4.12,R
670,670.,Connie Johnson (5),4.12,R
671,670.,Johnny Lanning (11),4.12,R
672,673.,Chris Perez (7),4.11,R
673,674.,Ralph Terry (12),4.10,R
674,675.,Hideki Okajima (6),4.09,L
675,676.,Mike Perez (8),4.08,R
676,677.,Tony Castillo (10),4.07,L
677,677.,Bob Porterfield (12),4.07,R
678,679.,Ken Holtzman (15),4.06,L
679,679.,Matt Thornton (13),4.06,L
680,681.,Randy Choate (15),4.05,L
681,682.,Lefty Tyler (12),4.04,L
682,683.,Clay Buchholz (13),4.03,R
683,683.,Steve Swetonic (6),4.03,R
684,685.,John Fulgham (2),4.01,R
685,685.,Kerry Ligtenberg (8),4.01,R
686,687.,Chan Ho Park (17),3.99,R
687,688.,"Al Alburquerque (7, 34)",3.98,R
688,689.,Scott Radinsky (11),3.97,L
689,690.,Syl Johnson (19),3.96,R
690,691.,Mike Hampton (16),3.95,L
691,692.,C.J. Wilson (11),3.94,L
692,693.,Vinnie Pestano (6),3.93,R
693,694.,Scott Linebrink (12),3.90,R
694,694.,"Mike Minor (9, 32)",3.90,L
695,694.,Alberto Reyes (13),3.90,R
696,697.,Gordon Maltzberger (4),3.89,R
697,697.,Art Reinhart (5),3.89,L
698,697.,"Eduardo Rodriguez (5, 27)",3.89,L
699,700.,Sam Dyson (8),3.88,R
700,701.,Tom Niedenfuer (10),3.86,R
701,702.,Mike Koplove (7),3.85,R
702,702.,Doc Medich (11),3.85,R
703,702.,Johnny Schmitz (13),3.85,L
704,705.,Pascual Perez (11),3.84,R
705,706.,Steve Olin (4),3.83,R
706,706.,Dave Tobik (8),3.83,R
707,708.,Dick Rudolph (13),3.82,R
708,708.,Vito Tamulis (6),3.82,L
709,710.,Bill Campbell (15),3.79,R
710,710.,"Chris Devenski (5, 29)",3.79,R
711,710.,Turk Farrell (14),3.79,R
712,710.,"Seth Lugo (5, 30)",3.79,R
713,714.,Mace Brown (10),3.78,R
714,714.,"Keone Kela (6, 27)",3.78,R
715,716.,Ed Figueroa (8),3.77,R
716,716.,Fred Frankhouse (13),3.77,R
717,716.,J.P. Howell (12),3.77,L
718,719.,Jay Powell (11),3.75,R
719,719.,Jack Sanford (12),3.75,R
720,719.,Monte Weaver (9),3.75,R
721,722.,Steve Kline (11),3.74,L
722,722.,Craig Lefferts (12),3.74,L
723,722.,"Mike Soroka (3, 22)",3.74,R
724,725.,Ernesto Frieri (8),3.73,R
725,726.,Steve Foucault (6),3.71,R
726,726.,Dan Wheeler (13),3.71,R
727,728.,"Richard Bleier (5, 33)",3.70,L
728,728.,Matt Morris (11),3.70,R
729,728.,Joel Peralta (12),3.70,R
730,731.,Mark Portugal (15),3.69,R
731,732.,Al Downing (17),3.68,L
732,732.,Jim Kaat (25),3.68,L
733,734.,Tim Belcher (14),3.66,R
734,735.,Kevin Millwood (16),3.65,R
735,735.,Bill Shores (6),3.65,R
736,737.,"Luis Castillo (4, 27)",3.64,R
737,738.,Darren Oliver (20),3.63,L
738,738.,Don Stanhouse (10),3.63,R
739,740.,Bobby Bolin (13),3.62,R
740,740.,Jumbo Brown (12),3.62,R
741,742.,Hod Eller (5),3.61,R
742,742.,"Brandon Kintzler (11, 35)",3.61,R
743,742.,Antonio Osuna (11),3.61,R
744,742.,Ben Wade (5),3.61,R
745,746.,"Luis Avilan (9, 30)",3.60,L
746,747.,Jonathan Broxton (13),3.59,R
747,747.,Jay Howell (15),3.59,R
748,747.,Spec Shea (8),3.59,R
749,750.,John Whitehead (7),3.58,R
750,751.,"Alex Cobb (9, 32)",3.57,R
751,751.,Ray Culp (11),3.57,R
752,751.,Bruce Hurst (15),3.57,L
753,751.,Grant Jackson (18),3.57,L
754,755.,Bob Locker (10),3.56,R
755,756.,Clay Hensley (7),3.54,R
756,756.,"Dakota Hudson (3, 25)",3.54,R
757,756.,"Scott Oberg (5, 30)",3.54,R
758,756.,Eddie Smith (10),3.54,L
759,756.,Jordan Walden (6),3.54,R
760,761.,"Chase Anderson (7, 32)",3.53,R
761,761.,Juan Rincon (10),3.53,R
762,763.,Jared Burton (8),3.51,R
763,763.,Blix Donnelly (8),3.51,R
764,763.,"German Marquez (5, 25)",3.51,R
765,763.,Eric O'Flaherty (12),3.51,L
766,763.,"Jameson Taillon (4, 28)",3.51,R
767,768.,Jeff Lahti (5),3.50,R
768,768.,"James Paxton (8, 31)",3.50,L
769,770.,Cy Acosta (4),3.49,R
770,770.,Steve Frey (8),3.49,L
771,772.,Howie Krist (6),3.48,R
772,772.,Kazuhiro Sasaki (4),3.48,R
773,774.,Larry Cheney (9),3.47,R
774,775.,Bob Moose (10),3.46,R
775,776.,Kris Medlen (8),3.45,R
776,777.,Joe Berry (4),3.44,R
777,777.,Curt Leskanic (11),3.44,R
778,777.,Wade Miller (9),3.44,R
779,777.,Dave Rozema (10),3.44,R
780,781.,Steve Kline (6),3.43,R
781,781.,Larry Sherry (11),3.43,R
782,783.,"Aaron Bummer (4, 26)",3.41,L
783,783.,Hugh McQuillan (10),3.41,R
784,785.,Nelson Briles (14),3.40,R
785,785.,"Zach Davies (6, 27)",3.40,R
786,785.,Bill Stafford (8),3.40,R
787,788.,Antonio Alfonseca (11),3.39,R
788,789.,Moose Haas (12),3.38,R
789,789.,Sherry Smith (14),3.38,L
790,791.,"Mike Fiers (10, 35)",3.37,R
791,792.,Pedro Feliciano (9),3.36,L
792,792.,"Nick Vincent (9, 33)",3.36,R
793,794.,Tom Hall (10),3.34,L
794,794.,Scott Sanderson (19),3.34,R
795,796.,"Diego Castillo (3, 26)",3.33,R
796,796.,Jarrod Parker (3),3.33,R
797,796.,Bill Singer (14),3.33,R
798,799.,Chuck Crim (8),3.30,R
799,799.,Frank Miller (7),3.30,R
800,799.,"Yusmeiro Petit (13, 35)",3.30,R
801,802.,"Mychal Givens (6, 30)",3.29,R
802,802.,Joe Heving (13),3.29,R
803,804.,"Danny Duffy (10, 31)",3.28,L
804,804.,Ramon Hernandez (9),3.28,L
805,804.,Tom Hughes (9),3.28,R
806,804.,Roger Pavlik (7),3.28,R
807,808.,"Arodys Vizcaino (7, 29)",3.27,R
808,809.,Joel Hanrahan (7),3.26,R
809,809.,Robbie Ross (6),3.26,L
810,811.,"Brandon Morrow (12, 35)",3.25,R
811,812.,John Grabow (9),3.23,L
812,812.,Frank Papish (6),3.23,L
813,812.,Bill Swift (11),3.23,R
814,815.,Paul Assenmacher (14),3.22,L
815,815.,Chad Bradford (12),3.22,R
816,815.,Sid Monge (10),3.22,L
817,815.,"Tyler Thornburg (8, 31)",3.22,R
818,819.,Eddie Watt (10),3.21,R
819,820.,"Jair Jurrjens (8, 34)",3.20,R
820,820.,"Hector Neris (7, 31)",3.20,R
821,820.,Tim Stoddard (13),3.20,R
822,823.,"Ryan Yarbrough (3, 28)",3.19,L
823,824.,"Michael Pineda (7, 31)",3.18,R
824,824.,"Zack Wheeler (6, 30)",3.18,R
825,826.,Don Bessent (4),3.17,R
826,826.,Roy Face (16),3.17,R
827,826.,Luis Vizcaino (11),3.17,R
828,829.,Bill Sherdel (15),3.14,L
829,830.,Dan Petry (13),3.12,R
830,831.,Chad Fox (10),3.10,R
831,832.,Alexi Ogando (8),3.08,R
832,833.,Kevin Jepsen (10),3.07,R
833,833.,Hipolito Pichardo (10),3.07,R
834,835.,Byung-Hyun Kim (9),3.06,R
835,835.,Bob Miller (10),3.06,R
836,835.,Dan Schatzeder (15),3.06,L
837,835.,Rip Sewell (13),3.06,R
838,839.,Dustin Hermanson (12),3.05,R
839,840.,"Matt Shoemaker (8, 33)",3.04,R
840,841.,Dutch Leonard (11),3.03,L
841,841.,Rafael Perez (7),3.03,L
842,841.,Jeff Russell (14),3.03,R
843,844.,Marv Grissom (10),3.02,R
844,844.,Dontrelle Willis (9),3.02,L
845,846.,LaMarr Hoyt (8),3.00,R
846,846.,George Mogridge (15),3.00,L
847,848.,Ray Fisher (10),2.99,R
848,848.,Bill Gullickson (14),2.99,R
849,848.,Seunghwan Oh (4),2.99,R
850,851.,Clay Bryant (6),2.98,R
851,851.,Charles Nagy (14),2.98,R
852,853.,Tom Brewer (8),2.97,R
853,854.,"Brad Keller (3, 24)",2.95,R
854,854.,Pete Vuckovich (11),2.95,R
855,856.,"Archie Bradley (6, 27)",2.94,R
856,856.,Joba Chamberlain (10),2.94,R
857,858.,"Dan Otero (8, 35)",2.93,R
858,859.,"Nick Anderson (2, 29)",2.92,R
859,859.,Scott Eyre (13),2.92,L
860,859.,Harry Harper (10),2.92,L
861,862.,Francisco Cordova (5),2.91,R
862,862.,Slim Love (6),2.91,L
863,862.,Mike Marshall (14),2.91,R
864,865.,Bob Forsch (16),2.90,R
865,865.,"Brandon Woodruff (4, 27)",2.90,R
866,867.,"Ryan Buchter (6, 33)",2.89,L
867,867.,Jose Rosado (5),2.89,L
868,869.,Mike Fetters (16),2.87,R
869,870.,Matt Mantei (10),2.86,R
870,870.,Luis Sanchez (5),2.86,R
871,870.,Kevin Saucier (5),2.86,L
872,870.,Frank Smith (7),2.86,R
873,874.,Bill Monbouquette (11),2.85,R
874,874.,Roy Parmelee (10),2.85,R
875,876.,Johnny Beazley (6),2.84,R
876,877.,Doyle Alexander (19),2.81,R
877,877.,Scott Bankhead (10),2.81,R
878,877.,Pep Harris (3),2.81,R
879,880.,Ivy Andrews (8),2.80,R
880,880.,Jim Mecir (11),2.80,R
881,880.,Rich Rodriguez (13),2.80,L
882,883.,"Matt Barnes (7, 30)",2.79,R
883,883.,Butch Henry (7),2.79,L
884,883.,Wes Stock (9),2.79,R
885,886.,"Zac Gallen (2, 24)",2.77,R
886,886.,Wayne Granger (9),2.77,R
887,886.,Steve Karsay (11),2.77,R
888,889.,Noah Lowry (5),2.76,L
889,889.,Chad Qualls (14),2.76,R
890,891.,Chien-Ming Wang (9),2.75,R
891,892.,Connie Marrero (5),2.74,R
892,893.,Elden Auker (10),2.73,R
893,893.,Larry Benton (13),2.73,R
894,895.,Shawn Tolleson (5),2.72,R
895,896.,Cliff Politte (9),2.71,R
896,897.,Fred Gladding (13),2.70,R
897,897.,Joe Nuxhall (16),2.70,L
898,899.,Bill Bevens (4),2.69,R
899,899.,George Blaeholder (11),2.69,R
900,899.,Ricky Romero (5),2.69,L
901,899.,Duaner Sanchez (7),2.69,R
902,903.,Al Demaree (8),2.68,R
903,903.,Buddy Groom (14),2.68,L
904,905.,Saul Rogovin (8),2.66,R
905,906.,Joe Magrane (8),2.65,L
906,907.,Cal Eldred (14),2.64,R
907,907.,"Ryan Pressly (8, 31)",2.64,R
908,907.,"Dan Winkler (6, 30)",2.64,R
909,910.,"Marco Gonzales (6, 28)",2.63,L
910,910.,"Ryan Tepera (6, 32)",2.63,R
911,912.,Tom Sturdivant (10),2.61,R
912,913.,Kevin Siegrist (5),2.59,L
913,914.,Bill Dawley (7),2.57,R
914,914.,"Alex Reyes (4, 25)",2.57,R
915,914.,Sammy Stewart (10),2.57,R
916,917.,"Scott Barlow (3, 27)",2.56,R
917,917.,Phil Douglas (9),2.56,R
918,917.,Ken Ryan (8),2.56,R
919,917.,Mike Sirotka (6),2.56,L
920,921.,Denny Galehouse (15),2.55,R
921,921.,Bud Tinning (4),2.55,R
922,923.,Les Mueller (2),2.54,R
923,923.,"Zach Plesac (2, 25)",2.54,R
924,925.,Mark Petkovsek (9),2.53,R
925,926.,Scott Garrelts (10),2.52,R
926,927.,Johnny Cooney (20),2.51,L
927,927.,Oscar Zamora (4),2.51,R
928,929.,Gary Gentry (7),2.50,R
929,929.,Mike Timlin (18),2.50,R
930,931.,Stew Cliburn (3),2.49,R
931,932.,Brandon Lyon (12),2.48,R
932,932.,Steve Trachsel (16),2.48,R
933,932.,Joel Zumaya (5),2.48,R
934,935.,Ken Burkhart (5),2.45,R
935,935.,Tom Johnson (5),2.45,R
936,935.,Eric Plunk (14),2.45,R
937,938.,Danny Patterson (9),2.44,R
938,938.,"Caleb Thielbar (4, 33)",2.44,L
939,940.,"Chasen Shreve (7, 29)",2.43,L
940,941.,Ira Hutchinson (8),2.41,R
941,941.,Mark Littell (9),2.41,R
942,941.,Chris Short (15),2.41,L
943,944.,Ramon Ramirez (9),2.40,R
944,945.,"Michael Lorenzen (6, 28)",2.39,R
945,945.,Shane Reynolds (13),2.39,R
946,947.,Ed Roebuck (11),2.38,R
947,948.,Luis Aloma (4),2.37,R
948,948.,Joe Black (6),2.37,R
949,948.,Vern Law (16),2.37,R
950,948.,"Anibal Sanchez (15, 36)",2.37,R
951,952.,Frank Baumann (11),2.36,L
952,952.,"Jake Diekman (9, 33)",2.36,L
953,954.,"Keynan Middleton (4, 26)",2.35,R
954,954.,Jim Poole (11),2.35,L
955,954.,Bill Swift (13),2.35,R
956,957.,Pedro Astacio (15),2.33,R
957,957.,Paul Lindblad (14),2.33,L
958,957.,Jeff Niemann (5),2.33,R
959,960.,Earl Johnson (8),2.32,L
960,960.,Braden Looper (12),2.32,R
961,960.,"Collin McHugh (8, 33)",2.32,R
962,960.,Tony Pena (6),2.32,R
963,964.,Bronson Arroyo (16),2.31,R
964,964.,"Jose Berrios (5, 26)",2.31,R
965,964.,Bob Keegan (6),2.31,R
966,964.,"Jose Leclerc (5, 26)",2.31,R
967,964.,Sam LeCure (6),2.31,R
968,969.,George Earnshaw (9),2.30,R
969,969.,Dan Plesac (18),2.30,L
970,971.,Scott Sauerbeck (7),2.29,L
971,972.,Carson Smith (5),2.28,R
972,972.,Elias Sosa (12),2.28,R
973,974.,Jose Arredondo (4),2.27,R
974,974.,Cy Blanton (9),2.27,R
975,974.,"Lance McCullers Jr. (5, 26)",2.27,R
976,974.,Hisanori Takahashi (4),2.27,L
977,978.,Ray Caldwell (12),2.26,R
978,978.,"Nate Jones (9, 34)",2.26,R
979,980.,Brad Clontz (6),2.25,R
980,980.,Josh Collmenter (7),2.25,R
981,982.,Ray Washburn (10),2.24,R
982,983.,Shawn Kelley (11),2.23,R
983,983.,Matt Miller (5),2.23,R
984,985.,Johnny Humphries (9),2.21,R
985,986.,Craig Breslow (12),2.20,L
986,986.,Tom Cheney (8),2.20,R
987,986.,Jesse Flores (7),2.20,R
988,986.,Sam Gray (10),2.20,R
989,986.,Kevin Tapani (13),2.20,R
990,991.,Sean Burnett (9),2.19,L
991,991.,John Denny (13),2.19,R
992,991.,Whitey Moore (7),2.19,R
993,991.,"Chaz Roe (8, 33)",2.19,R
994,995.,"Hunter Strickland (7, 31)",2.18,R
995,996.,Matt Guerrier (11),2.17,R
996,996.,Kirk McCaskill (12),2.17,R
997,996.,"Reyes Moronta (3, 27)",2.17,R
998,996.,Shingo Takatsu (2),2.17,R
