,Rank,"Player (yrs, age)",Win Probability Added (WPA),Throws
140,141.,Teddy Higuera (9),16.60,L
141,142.,Al Leiter (19),16.52,L
142,143.,Freddie Fitzsimmons (19),16.44,R
143,144.,"Johnny Cueto (13, 34)",16.27,R
144,145.,Rollie Fingers+ (17),16.19,R
145,146.,Rafael Soriano (14),16.13,R
146,147.,Dennis Martinez (23),16.07,R
147,148.,Eric Gagne (10),15.98,R
148,149.,Schoolboy Rowe (15),15.95,R
149,150.,Johnny Antonelli (12),15.88,L
150,150.,Michael Jackson (17),15.88,R
151,152.,Jeff Montgomery (13),15.76,R
152,153.,Robb Nen (10),15.75,R
153,154.,Vic Raschi (10),15.74,R
154,155.,"Corey Kluber (10, 34)",15.64,R
155,156.,Jack McDowell (12),15.62,R
156,156.,Art Nehf (15),15.62,L
157,158.,Larry French (14),15.59,L
158,159.,Jose Valverde (12),15.49,R
159,160.,Carl Mays (15),15.46,R
160,161.,Mort Cooper (11),15.41,R
161,162.,Jon Matlack (13),15.25,L
162,163.,Dutch Leonard (20),15.13,R
163,163.,"Stephen Strasburg (11, 31)",15.13,R
164,165.,John Candelaria (19),15.11,L
165,166.,"Zack Britton (10, 32)",15.03,L
166,167.,Eddie Cicotte (14),14.81,R
167,168.,Rick Reuschel (19),14.78,R
168,169.,Jeff Reardon (16),14.77,R
169,170.,Bob Welch (17),14.71,R
170,171.,Howie Pollet (14),14.61,L
171,171.,Dave Righetti (16),14.61,L
172,173.,John Hiller (15),14.58,L
173,174.,"Madison Bumgarner (12, 30)",14.52,L
174,175.,"Sergio Romo (13, 37)",14.40,R
175,176.,Dave McNally (14),14.39,L
176,177.,"Greg Holland (10, 34)",14.38,R
177,178.,Sparky Lyle (16),14.37,L
178,179.,Jack Morris+ (18),14.36,R
179,180.,Preacher Roe (12),14.34,L
180,181.,Brandon Webb (7),14.33,R
181,182.,Kent Tekulve (16),14.23,R
182,183.,Fred Toney (12),14.22,R
183,184.,Red Lucas (16),14.19,R
184,185.,"Darren O'Day (13, 37)",14.16,R
185,186.,Mike Henneman (10),14.09,R
186,187.,Brad Ziegler (11),14.08,R
187,188.,"Kyle Hendricks (7, 30)",14.04,R
188,189.,Catfish Hunter+ (15),13.99,R
189,190.,Arthur Rhodes (20),13.95,L
190,191.,Jim Maloney (12),13.86,R
191,192.,Ray Kremer (10),13.76,R
192,193.,Phil Niekro+ (24),13.75,R
193,194.,Doug Jones (16),13.67,R
194,194.,Gary Nolan (10),13.67,R
195,196.,Jake Peavy (15),13.51,R
196,197.,General Crowder (11),13.43,R
197,198.,Brad Lidge (11),13.42,R
198,199.,Hippo Vaughn (13),13.37,L
199,200.,"Gerrit Cole (8, 29)",13.29,R
200,200.,Bill Lee (14),13.29,R
201,200.,Mel Stottlemyre (11),13.29,R
202,203.,Van Mungo (14),13.20,R
203,204.,Jesse Orosco (24),12.92,L
204,205.,Larry Jackson (14),12.85,R
205,205.,Lefty Stewart (10),12.85,L
206,207.,Joaquin Benoit (16),12.83,R
207,208.,Milt Pappas (17),12.81,R
208,209.,Paul Derringer (15),12.79,R
209,210.,Koji Uehara (9),12.67,R
210,211.,Pat Hentgen (14),12.65,R
211,212.,Mark Langston (16),12.64,L
212,213.,"Wade Davis (12, 34)",12.59,R
213,214.,Jack Quinn (23),12.58,R
214,215.,Eddie Lopat (12),12.53,L
215,216.,Carlos Zambrano (12),12.51,R
216,217.,Brad Radke (12),12.35,R
217,218.,Dutch Ruether (11),12.29,L
218,219.,Alex Fernandez (10),12.24,R
219,220.,Tex Hughson (8),12.14,R
220,221.,Dan Haren (13),12.13,R
221,222.,Johnny Murphy (13),12.12,R
222,223.,Grant Balfour (12),12.03,R
223,223.,Mel Parnell (10),12.03,L
224,225.,Tippy Martinez (14),12.02,L
225,226.,Dizzy Trout (15),12.01,R
226,227.,"Bartolo Colon (21, 47)",11.99,R
227,228.,Ron Perranoski (13),11.85,L
228,229.,Johnny Morrison (10),11.74,R
229,230.,Frank Tanana (21),11.72,L
