,Rank,"Player (yrs, age)",Range Factor/Game as 3B,Throws
0,1.,Charlie Reilly (8),3.815,R
1,2.,Jerry Denny (13),3.711,R
2,3.,Billy Shindle (13),3.694,R
3,4.,Billy Nash (15),3.643,R
4,5.,Ned Williamson (13),3.627,R
5,6.,Tommy Leach (19),3.613,R
6,7.,Jimmy Collins+ (14),3.609,R
7,8.,Tom Burns (13),3.604,R
8,9.,George Davis+ (20),3.588,R
9,10.,Lee Tannehill (10),3.558,R
10,11.,Arlie Latham (17),3.511,R
11,12.,Denny Lyons (13),3.507,R
12,13.,Lave Cross (21),3.495,R
13,14.,Jimmy Austin (18),3.488,R
14,15.,Harry Wolverton (9),3.458,R
15,16.,Ossie Vitt (10),3.448,R
16,17.,Babe Pinelli (8),3.439,R
17,18.,Rube Lutzke (5),3.432,R
18,19.,Home Run Baker+ (13),3.430,R
19,20.,Frank Hankinson (10),3.414,R
20,21.,Bill Joyce (8),3.401,R
21,22.,Fred Hartman (6),3.399,R
22,23.,Art Whitney (11),3.388,R
23,24.,Bill Bradley (14),3.380,R
24,25.,Charlie Irwin (10),3.364,R
25,25.,George Moriarty (13),3.364,R
26,27.,Doug Baird (6),3.351,R
27,28.,Harry Steinfeldt (14),3.303,R
28,29.,Pinky May (5),3.294,R
29,30.,Wid Conroy (11),3.293,R
30,30.,Ezra Sutton (18),3.293,R
31,32.,Willie Kamm (13),3.283,R
32,33.,Bill Kuehne (10),3.282,R
33,34.,Chippy McGarr (10),3.275,R
34,35.,Clete Boyer (16),3.258,R
35,36.,Art Devlin (10),3.255,R
36,37.,Bob Jones (9),3.252,R
37,37.,Joe Mulvey (12),3.252,R
38,39.,Harlond Clift (12),3.251,R
39,40.,Hick Carpenter (12),3.249,L
40,41.,Jim Donnelly (11),3.239,R
41,42.,Bill McKechnie+ (11),3.230,R
42,43.,Charlie Deal (10),3.229,R
43,44.,Terry Turner (17),3.222,R
44,45.,Billy Werber (11),3.219,R
45,46.,Bobby Byrne (11),3.206,R
46,47.,Ray Boone (13),3.204,R
47,48.,Marty McManus (15),3.195,R
48,49.,George Pinkney (10),3.190,R
49,50.,Red Smith (9),3.187,R
50,51.,Bill Coughlin (9),3.182,R
51,52.,Doc Casey (10),3.178,R
52,53.,Frank O'Rourke (14),3.176,R
53,54.,Eddie Foster (13),3.164,R
54,55.,John McGraw+ (17),3.156,R
55,56.,Heinie Zimmerman (13),3.151,R
56,57.,Larry Gardner (17),3.138,R
57,58.,Buddy Lewis (11),3.121,R
58,59.,Pie Traynor+ (17),3.119,R
59,60.,Jim Tabor (9),3.118,R
60,61.,Mike Mowrey (13),3.115,R
61,62.,Deacon White+ (20),3.111,R
62,63.,Brooks Robinson+ (23),3.102,R
