,Rank,"Player (yrs, age)",Range Factor/Game as OF,Throws
147,148.,Johnny Hopp (14),2.354,L
148,149.,Moose Solters (9),2.352,R
149,150.,Bill Tuttle (11),2.347,R
150,151.,Jacoby Ellsbury (11),2.346,L
151,152.,Randy Winn (13),2.345,R
152,153.,Rebel Oakes (7),2.343,R
153,154.,Nyjer Morgan (7),2.341,L
154,155.,Gee Walker (15),2.339,R
155,156.,"Mookie Betts (7, 27)",2.338,R
156,156.,Kiki Cuyler+ (18),2.338,R
157,158.,Bernie Neis (8),2.337,R
158,158.,Burt Shotton (14),2.337,R
159,160.,"Kevin Pillar (8, 31)",2.336,R
160,161.,Rickey Henderson+ (25),2.335,L
161,162.,Carlos Gomez (13),2.333,R
162,163.,Steve Finley (19),2.331,L
163,164.,Coco Crisp (15),2.328,R
164,165.,Johnny Cooney (20),2.326,L
165,165.,Al Oliver (18),2.326,L
166,167.,Lee Magee (9),2.324,R
167,167.,Dave Philley (18),2.324,R
168,169.,Franklin Gutierrez (12),2.323,R
169,170.,Jake Powell (11),2.321,R
170,171.,Johnny Damon (18),2.320,L
171,172.,Tillie Walker (13),2.318,R
172,173.,Oddibe McDowell (7),2.315,L
173,173.,Irv Noren (11),2.315,L
174,175.,Wally Moses (17),2.314,L
175,176.,Hack Wilson+ (12),2.313,R
176,177.,"Jackie Bradley Jr. (8, 30)",2.312,R
177,177.,Fred Snodgrass (9),2.312,R
178,179.,Joe Marty (5),2.307,R
179,179.,Bake McBride (11),2.307,R
180,181.,"Adam Eaton (9, 31)",2.306,L
181,181.,"Billy Hamilton (8, 29)",2.306,R
182,181.,Clyde Milan (16),2.306,R
183,184.,Freddy Leach (10),2.304,R
184,184.,Billy Southworth+ (13),2.304,R
185,186.,Fred Clarke+ (21),2.302,R
186,186.,Ty Cobb+ (24),2.302,R
187,186.,Roberto Kelly (14),2.302,R
188,189.,Gary Ward (12),2.301,R
189,190.,Del Unser (15),2.299,L
190,191.,Pete Reiser (10),2.297,R
191,191.,Andy Van Slyke (13),2.297,R
192,193.,"Delino DeShields (6, 27)",2.296,R
193,194.,Milton Bradley (12),2.293,R
194,194.,Johnny Groth (15),2.293,R
195,196.,Goose Goslin+ (18),2.292,R
196,197.,Billy Hamilton+ (14),2.291,R
197,198.,Kip Selbach (13),2.290,R
198,198.,Vernon Wells (15),2.290,R
199,200.,Jimmy Barrett (10),2.289,R
200,201.,Andre Dawson+ (21),2.288,R
201,201.,Dan Gladden (11),2.288,R
202,201.,Rick Miller (15),2.288,L
203,204.,Doug Glanville (9),2.287,R
204,204.,Ned Hanlon+ (13),2.287,R
205,206.,Pop Corkhill (10),2.286,R
206,207.,Austin McHenry (5),2.285,R
207,208.,Cy Seymour (16),2.283,L
208,209.,Lee Mazzilli (14),2.282,R
209,210.,Danny Taylor (9),2.281,R
210,211.,Reggie Smith (17),2.280,R
211,212.,Whitey Witt (10),2.277,R
212,213.,Bobby Veach (14),2.276,R
213,213.,Wally Westlake (10),2.276,R
214,215.,Junior Felix (6),2.274,R
215,216.,Ray Lankford (14),2.271,L
216,217.,Armando Marsans (8),2.270,R
217,218.,Duff Cooley (13),2.269,R
218,218.,Augie Galan (16),2.269,R
219,220.,Eddie Burke (8),2.268,R
220,220.,Jack Rothrock (11),2.268,R
221,222.,Emmet Heidrick (8),2.266,R
222,222.,Solly Hofman (14),2.266,R
223,224.,Whitey Lockman (15),2.265,R
224,225.,Johnny Barrett (5),2.263,L
225,225.,Bobby Del Greco (9),2.263,R
226,225.,Rube Ellis (4),2.263,L
227,228.,Mark Kotsay (17),2.262,L
228,228.,Mike McCormick (10),2.262,R
229,230.,Hal Jeffcoat (12),2.261,R
230,230.,Ernie Orsatti (9),2.261,L
231,232.,"Cameron Maybin (14, 33)",2.260,R
232,233.,Tommie Agee (12),2.259,R
233,233.,Jerry Mumphrey (15),2.259,R
234,235.,Joe Birmingham (9),2.257,R
235,236.,Austin Kearns (12),2.256,R
236,236.,Mickey Mantle+ (18),2.256,R
237,236.,Ben Revere (8),2.256,R
238,239.,Juan Beniquez (17),2.255,R
239,239.,Aaron Rowand (11),2.255,R
240,241.,Amos Strunk (17),2.252,L
241,242.,Greasy Neale (8),2.250,R
242,243.,Dale Murphy (18),2.248,R
243,244.,David DeJesus (13),2.247,L
244,244.,Curtis Granderson (16),2.247,R
245,246.,Chet Laabs (11),2.246,R
246,247.,Dave Eggler (11),2.245,R
247,247.,Larry Hisle (14),2.245,R
248,249.,Jesse Barfield (12),2.244,R
249,250.,Peanuts Lowrey (13),2.243,R
250,250.,Possum Whitted (11),2.243,R
251,252.,Jake Stenzel (9),2.242,R
252,253.,Chad Curtis (10),2.239,R
253,253.,Charlie Keller (13),2.239,R
254,255.,Jim Wynn (15),2.238,R
255,256.,Lou Finney (15),2.237,R
256,256.,Cesar Tovar (12),2.237,R
257,256.,Joe Vosmik (13),2.237,R
258,256.,Zack Wheat+ (19),2.237,R
259,260.,Darryl Hamilton (13),2.235,R
260,260.,Paul Waner+ (20),2.235,L
261,262.,Johnny Wyrostek (11),2.234,R
262,263.,Joe Medwick+ (17),2.233,R
263,263.,Mickey Stanley (15),2.233,R
264,265.,George Burns (15),2.232,R
265,265.,Josh Hamilton (9),2.232,L
266,267.,Brady Anderson (15),2.231,L
267,267.,Chili Davis (19),2.231,R
268,267.,Billy Maloney (6),2.231,R
269,270.,Tom Brown (17),2.229,R
270,270.,Curt Walker (12),2.229,R
271,272.,Brian Hunter (10),2.227,R
272,272.,Nemo Leibold (13),2.227,R
273,274.,Sam Rice+ (20),2.226,R
274,275.,Don Lock (8),2.224,R
275,276.,Chick Hafey+ (13),2.222,R
276,277.,Michael Bourn (11),2.218,R
277,277.,Rob Deer (11),2.218,R
278,277.,Willie McGee (18),2.218,R
279,280.,Jack Remsen (10),2.217,R
280,281.,Richard Hidalgo (9),2.216,R
281,281.,Jacque Jones (10),2.216,L
282,283.,Rudy Law (7),2.215,L
283,283.,Darren Lewis (13),2.215,R
284,285.,Bob Bescher (11),2.214,L
285,285.,Von Hayes (12),2.214,R
286,287.,Gus Bell (15),2.213,R
287,287.,Roy Johnson (10),2.213,R
288,287.,Preston Wilson (10),2.213,R
289,290.,Pepper Martin (13),2.212,R
290,290.,Jimmy Slagle (10),2.212,R
291,292.,John Stone (11),2.210,R
292,292.,Walt Wilmot (10),2.210,R
293,294.,Charlie Jamieson (18),2.209,L
294,295.,Rich Becker (8),2.207,L
295,295.,Mike Menosky (9),2.207,R
296,295.,Tim Salmon (14),2.207,R
297,298.,Eric Davis (17),2.206,R
298,298.,Otis Nixon (17),2.206,R
299,298.,Shane Victorino (12),2.206,R
300,301.,John Dobbs (5),2.203,R
301,301.,Roy Sievers (17),2.203,R
302,301.,Clyde Vollmer (10),2.203,R
303,301.,Chris Young (13),2.203,R
304,305.,Angel Pagan (11),2.202,R
305,306.,Shane Mack (9),2.201,R
306,306.,Duke Snider+ (18),2.201,R
307,308.,Harry Bay (8),2.200,L
308,309.,Dave May (12),2.199,R
309,310.,Jose Cruz (12),2.195,R
310,310.,Kevin McReynolds (12),2.195,R
311,312.,Mark Whiten (11),2.194,R
312,313.,Vada Pinson (18),2.193,L
313,313.,Max West (7),2.193,R
314,315.,"Andrew McCutchen (12, 33)",2.192,R
315,316.,Frank Baumholtz (10),2.191,L
316,316.,Jay Payton (12),2.191,R
317,316.,Deion Sanders (9),2.191,L
318,319.,Ray Blades (10),2.189,R
319,319.,Gene Moore (14),2.189,L
320,321.,"Jarrod Dyson (11, 35)",2.188,R
321,322.,Marlon Byrd (15),2.185,R
322,322.,Joe Carter (16),2.185,R
323,322.,Monte Irvin+ (8),2.185,R
324,325.,Woody Jensen (9),2.183,L
325,325.,Buddy Lewis (11),2.183,R
326,327.,Bobby Bonds (14),2.182,R
327,328.,Ellis Burks (18),2.181,R
328,328.,Dave Fultz (7),2.181,R
329,330.,Tom Goodwin (14),2.180,R
330,331.,Garret Anderson (17),2.178,L
331,331.,Jimmy Sheckard (17),2.178,R
332,333.,Ben Oglivie (16),2.177,L
333,334.,Tony Scott (11),2.176,R
334,334.,Ichiro Suzuki (19),2.176,R
335,336.,Marty Cordova (9),2.175,R
336,337.,Bibb Falk (12),2.174,L
337,338.,Pat Duncan (7),2.173,R
338,338.,Wally Roettger (8),2.173,R
339,340.,Alex Rios (12),2.172,R
340,341.,Johnny Moore (10),2.171,R
341,342.,Bobby Tolan (13),2.170,L
342,343.,Gerald Young (8),2.169,R
343,344.,Danny Litwhiler (11),2.168,R
344,344.,Howie Shanks (14),2.168,R
345,346.,Cesar Geronimo (15),2.167,L
346,347.,George Harper (11),2.166,R
347,347.,Bing Miller (16),2.166,R
348,349.,Warren Cromartie (10),2.165,L
349,349.,"Aaron Hicks (8, 30)",2.165,R
350,349.,Adolfo Phillips (8),2.165,R
351,352.,Colby Rasmus (10),2.164,L
352,353.,Hugh Duffy+ (17),2.162,R
353,353.,Mike Smith (14),2.162,L
354,353.,Tom York (15),2.162,L
355,356.,Elliott Maddox (11),2.161,R
356,357.,Tom Brunansky (14),2.158,R
357,358.,Hank Leiber (10),2.156,R
358,359.,Mike Davis (10),2.155,L
359,359.,Scott Podsednik (11),2.155,L
360,361.,Chuck Klein+ (17),2.153,R
361,362.,Fielder Jones (15),2.150,R
362,363.,Ryan Church (7),2.149,L
363,364.,Jeff Heath (14),2.148,R
364,364.,Desmond Jennings (7),2.148,R
365,364.,Gary Matthews (12),2.148,R
366,367.,Jack Smith (15),2.147,L
367,367.,Gus Zernial (11),2.147,R
368,369.,George Watkins (7),2.146,R
369,370.,Rick Monday (19),2.145,L
370,371.,Juan Pierre (14),2.143,L
371,372.,Ginger Beaumont (12),2.141,R
372,372.,Ken Berry (14),2.141,R
373,374.,Ival Goodman (10),2.139,R
374,374.,Heinie Manush+ (17),2.139,L
375,376.,Ralph Kiner+ (10),2.138,R
376,376.,Elmer Valo (20),2.138,R
377,378.,Al Burch (6),2.137,R
378,378.,Sherry Magee (16),2.137,R
379,380.,Clyde Barnhart (9),2.135,R
380,381.,Dick Harley (7),2.134,R
381,381.,Willie Tasby (6),2.134,R
382,383.,Matt Lawton (12),2.133,R
383,384.,George Hendrick (18),2.132,R
384,385.,Paul Hines (20),2.130,R
385,385.,Hunter Pence (14),2.130,R
386,385.,Homer Smoot (5),2.130,R
387,388.,Bobby Higginson (11),2.129,R
388,388.,"Giancarlo Stanton (11, 30)",2.129,R
389,390.,Rick Ankiel (11),2.127,L
390,390.,Tuck Stainback (13),2.127,R
391,392.,Ed Andrews (8),2.126,R
392,393.,Dick Wakefield (9),2.122,R
393,394.,Andy Pafko (17),2.120,R
394,395.,Albie Pearson (9),2.119,L
395,396.,Sammy Sosa (18),2.118,R
396,396.,Roy White (15),2.118,R
397,398.,Dan Ford (11),2.117,R
398,398.,Frank Thomas (16),2.117,R
399,400.,Earl McNeely (8),2.116,R
