,Rank,"Player (yrs, age)",Win Probability Added (WPA),Bats
0,1.,Barry Bonds (22),127.66,L
1,2.,Babe Ruth+ (22),108.73,L
2,3.,Willie Mays+ (22),102.39,R
3,4.,Ted Williams+ (19),101.91,L
4,5.,Hank Aaron+ (23),99.23,R
5,6.,Mickey Mantle+ (18),94.17,B
6,7.,Lou Gehrig+ (17),88.11,L
7,8.,Stan Musial+ (22),84.80,L
8,9.,Mel Ott+ (22),80.20,L
9,10.,Jimmie Foxx+ (20),74.75,R
10,11.,Willie McCovey+ (22),73.32,L
11,12.,Frank Robinson+ (21),72.97,R
12,13.,"Albert Pujols (20, 40)",71.40,R
13,14.,Rickey Henderson+ (25),67.21,R
14,15.,Joe Morgan+ (22),66.84,L
15,16.,Rogers Hornsby+ (23),66.10,R
16,17.,Billy Williams+ (18),62.87,L
17,18.,Frank Thomas+ (19),60.60,R
18,19.,Carl Yastrzemski+ (23),60.59,L
19,20.,Chipper Jones+ (19),60.31,B
20,21.,Gary Sheffield (22),59.86,R
21,22.,Johnny Mize+ (15),59.56,L
22,23.,Al Kaline+ (22),59.51,R
23,24.,Harmon Killebrew+ (22),59.45,R
24,25.,Jeff Bagwell+ (15),59.35,R
25,26.,Alex Rodriguez (22),59.25,R
26,27.,"Miguel Cabrera (18, 37)",59.23,R
27,28.,Eddie Mathews+ (17),58.95,L
28,29.,Manny Ramirez (19),56.14,R
29,30.,Tony Gwynn+ (20),55.96,L
30,31.,Joe DiMaggio+ (13),55.54,R
31,32.,Mike Schmidt+ (18),55.45,R
32,33.,Pete Rose (24),54.56,B
33,34.,Willie Stargell+ (21),54.23,L
34,35.,Mark McGwire (16),53.42,R
35,36.,Todd Helton (17),52.69,L
36,37.,Lance Berkman (15),52.64,B
37,38.,George Brett+ (21),52.37,L
38,39.,Eddie Murray+ (21),51.69,B
39,40.,Larry Walker+ (17),51.53,L
40,41.,Jim Thome+ (22),51.32,L
41,42.,Reggie Jackson+ (21),50.61,L
42,43.,David Ortiz (20),50.59,L
43,44.,Duke Snider+ (18),50.27,L
44,45.,Dick Allen (15),50.08,R
45,46.,Paul Waner+ (20),49.98,L
46,47.,"Joey Votto (14, 36)",49.64,L
47,48.,Bobby Abreu (18),48.95,L
48,49.,Roberto Clemente+ (18),48.73,R
49,50.,Al Simmons+ (20),48.60,R
50,51.,Jason Giambi (20),48.29,L
51,52.,Tim Raines+ (23),47.74,B
52,53.,Ken Griffey Jr.+ (22),46.56,L
53,54.,Tris Speaker+ (22),46.24,L
54,55.,Will Clark (15),45.98,L
55,56.,Rod Carew+ (19),45.20,L
56,57.,Vladimir Guerrero+ (16),44.53,R
57,58.,Edgar Martinez+ (18),44.31,R
58,59.,"Mike Trout (10, 28)",43.72,R
59,60.,Fred McGriff (19),43.19,L
60,61.,Rafael Palmeiro (20),43.13,L
61,62.,Reggie Smith (17),42.89,B
62,63.,Carlos Delgado (17),42.71,L
63,64.,Frank Howard (16),41.70,R
64,65.,Tony Perez+ (23),41.56,R
65,66.,Dave Winfield+ (22),41.51,R
66,67.,Rusty Staub (23),40.95,L
67,68.,Boog Powell (17),40.28,L
68,69.,Darrell Evans (21),40.24,L
69,70.,Mark Grace (16),40.19,L
70,71.,Brian Giles (15),40.08,L
71,72.,Arky Vaughan+ (14),39.63,L
72,73.,Yogi Berra+ (19),39.57,L
73,74.,Mike Piazza+ (16),39.06,R
74,75.,Enos Slaughter+ (19),38.99,L
75,76.,Joe Torre+ (18),38.97,R
76,77.,Jack Clark (18),38.80,R
77,78.,Bobby Bonds (14),38.63,R
78,79.,Keith Hernandez (17),38.56,L
79,80.,Norm Cash (17),38.52,L
80,81.,Minnie Minoso (17),38.37,R
81,82.,Joe Medwick+ (17),37.71,R
82,83.,Bill Terry+ (14),37.69,L
83,84.,Matt Holliday (15),37.50,R
84,85.,Paul Molitor+ (21),37.26,R
85,86.,Wade Boggs+ (18),36.79,L
86,87.,Jim Wynn (15),36.75,R
87,88.,Dave Parker (19),36.06,L
88,89.,Carlos Beltran (20),35.82,B
89,90.,Orlando Cepeda+ (17),35.71,R
90,91.,"Paul Goldschmidt (10, 32)",35.59,R
91,92.,Charlie Gehringer+ (19),35.38,L
92,93.,Earl Averill+ (13),35.21,L
93,94.,Dwight Evans (20),35.18,R
94,95.,Dolph Camilli (12),35.13,L
95,96.,Prince Fielder (12),35.06,L
96,97.,Hank Greenberg+ (13),34.94,R
97,98.,Bob Johnson (13),34.84,R
98,99.,Kiki Cuyler+ (18),34.60,R
99,100.,Adrian Gonzalez (15),34.42,L
100,101.,Ralph Kiner+ (10),34.26,R
101,102.,Charlie Keller (13),34.16,L
102,103.,Ron Santo+ (15),34.13,R
103,104.,Bill Nicholson (16),33.39,L
104,105.,John Olerud (17),33.09,L
105,106.,"Ryan Braun (14, 36)",33.00,R
106,107.,Cesar Cedeno (17),32.55,R
107,108.,Harold Baines+ (22),32.26,L
108,109.,Eric Davis (17),32.11,R
109,109.,Chuck Klein+ (17),32.11,L
110,111.,Bobby Murcer (17),32.04,L
111,112.,Larry Doby+ (13),31.93,L
112,113.,Darryl Strawberry (17),31.91,L
113,114.,Ernie Banks+ (19),31.75,R
114,115.,Craig Biggio+ (20),31.50,R
115,116.,Kent Hrbek (14),31.43,L
116,117.,"Freddie Freeman (11, 30)",31.39,L
117,118.,Mickey Cochrane+ (13),31.32,L
118,118.,Jackie Robinson+ (10),31.32,R
119,120.,Barry Larkin+ (19),31.00,R
120,121.,Scott Rolen (17),30.94,R
121,122.,Derek Jeter+ (20),30.92,R
122,123.,Greg Luzinski (15),30.84,R
123,124.,Tommy Henrich (11),30.74,L
124,124.,"Andrew McCutchen (12, 33)",30.74,R
125,126.,Bob Watson (19),30.73,R
126,127.,Jim Edmonds (17),30.60,L
127,128.,Ken Singleton (15),30.46,B
128,129.,Dale Murphy (18),30.43,R
129,130.,Jose Cruz (19),30.38,L
130,131.,Ken Griffey (19),30.26,L
131,132.,David Wright (14),30.16,R
132,133.,Johnny Bench+ (17),30.13,R
133,134.,Ken Boyer (15),30.11,R
134,135.,Ryan Howard (13),30.09,L
135,136.,Ted Simmons+ (21),30.08,B
136,137.,Andre Dawson+ (21),29.78,R
137,138.,Lou Whitaker (19),29.74,L
138,139.,Ron Fairly (21),29.72,L
139,140.,Harry Heilmann+ (17),29.36,R
140,141.,Pedro Guerrero (15),29.26,R
141,142.,Luis Gonzalez (19),29.22,L
142,143.,Vic Wertz (17),28.96,L
143,144.,Andres Galarraga (19),28.94,R
144,145.,"Anthony Rizzo (10, 30)",28.88,L
145,146.,Hack Wilson+ (12),28.77,R
146,147.,Jim Bottomley+ (16),28.60,L
147,148.,Rocky Colavito (14),28.52,R
148,149.,Goose Goslin+ (18),28.36,L
149,150.,Heinie Manush+ (17),28.23,L
150,151.,Moises Alou (17),28.16,R
151,152.,Gil Hodges (18),27.93,R
152,153.,Roy White (15),27.89,B
153,154.,Luke Appling+ (20),27.83,R
154,155.,Dixie Walker (18),27.69,L
155,156.,Ryne Sandberg+ (16),27.66,R
156,156.,Chase Utley (16),27.66,L
157,158.,Joe Mauer (15),27.57,L
158,159.,Tony Oliva (15),27.52,L
159,160.,Ted Kluszewski (15),27.50,L
160,161.,Roberto Alomar+ (17),27.45,B
161,162.,Bill Dickey+ (17),27.41,L
162,163.,Steve Garvey (19),27.28,R
163,163.,"Bryce Harper (9, 27)",27.28,L
164,165.,Kirby Puckett+ (12),26.97,R
165,166.,Aramis Ramirez (18),26.91,R
166,167.,Albert Belle (12),26.62,R
167,168.,Toby Harrah (17),26.46,R
168,169.,Ty Cobb+ (24),26.41,L
169,170.,Bill Madlock (15),26.39,R
170,171.,Lou Brock+ (19),26.37,L
171,172.,Fred Lynn (17),26.36,L
172,173.,Jose Canseco (17),26.25,R
173,174.,Zack Wheat+ (19),26.17,L
174,175.,Augie Galan (16),26.11,B
175,176.,Roger Maris (12),26.04,L
176,177.,Roy Sievers (17),26.00,R
177,178.,George Foster (18),25.94,R
178,179.,Bob Elliott (15),25.82,R
179,180.,Jim Rice+ (16),25.79,R
180,181.,Ryan Klesko (16),25.76,L
181,181.,Vada Pinson (18),25.76,L
182,183.,Mark Teixeira (14),25.44,B
183,184.,Gary Matthews (16),25.42,R
184,185.,Rico Carty (15),25.27,R
185,186.,Amos Otis (17),25.18,R
186,187.,Gene Woodling (17),25.17,L
187,188.,Babe Herman (13),25.16,L
188,189.,David Justice (14),25.04,L
189,190.,Ellis Burks (18),25.01,R
190,191.,Sammy Sosa (18),24.98,R
191,192.,Frankie Frisch+ (19),24.97,B
192,193.,"Shin-Soo Choo (16, 37)",24.86,L
193,194.,"Giancarlo Stanton (11, 30)",24.75,R
194,195.,Al Oliver (18),24.70,L
195,196.,Frank McCormick (13),24.62,R
196,197.,Edd Roush+ (18),24.60,L
197,198.,Mickey Vernon (20),24.21,L
198,199.,Eddie Yost (18),24.18,R
199,200.,Pee Wee Reese+ (16),24.09,R
200,201.,Bernie Williams (16),23.88,B
201,202.,Joe Cunningham (12),23.70,L
202,203.,Eddie Collins+ (25),23.66,L
203,204.,Brian Downing (20),23.64,R
204,205.,"Josh Donaldson (10, 34)",23.55,R
205,206.,Elmer Valo (20),23.54,L
206,207.,Adam Dunn (14),23.38,L
207,208.,Dusty Baker (19),23.24,R
208,208.,"Nelson Cruz (16, 39)",23.24,R
209,210.,Kirk Gibson (17),23.08,L
210,210.,Don Mattingly (14),23.08,L
211,212.,Jeff Kent (17),22.94,R
212,213.,Hanley Ramirez (15),22.65,R
213,214.,Gabby Hartnett+ (20),22.63,R
214,215.,"Christian Yelich (8, 28)",22.57,L
215,216.,Billy Herman+ (15),22.53,R
216,217.,John Kruk (10),22.35,L
217,218.,Sal Bando (16),22.24,R
218,219.,Riggs Stephenson (14),22.22,R
219,220.,Ross Youngs+ (10),22.06,L
220,221.,Earle Combs+ (12),21.99,L
221,221.,Paul O'Neill (17),21.99,L
222,223.,J.D. Drew (14),21.90,L
223,223.,Dan Driessen (15),21.90,L
224,225.,Bobby Bonilla (16),21.77,B
225,226.,Bill White (13),21.69,L
226,227.,Gene Tenace (15),21.52,R
227,228.,Juan Gonzalez (17),21.51,R
228,229.,"Edwin Encarnacion (16, 37)",21.50,R
229,230.,Derrek Lee (15),21.37,R
230,231.,Lefty O'Doul (11),21.35,L
231,232.,Rick Monday (19),21.28,L
232,233.,Hal Trosky (11),21.09,L
233,234.,"Mookie Betts (7, 27)",21.08,R
234,235.,Ben Oglivie (16),21.05,L
235,236.,"Ryan Zimmerman (15, 35)",21.04,R
236,237.,Mike Hargrove (12),20.92,L
237,238.,Pie Traynor+ (17),20.89,R
238,239.,"Matt Carpenter (10, 34)",20.88,L
239,240.,Max Carey+ (20),20.87,B
240,241.,"Robinson Cano (16, 37)",20.80,L
241,242.,Richie Ashburn+ (15),20.77,L
242,243.,Ray Lankford (14),20.72,L
243,244.,Jeff Burroughs (16),20.55,R
244,245.,Mo Vaughn (12),20.41,L
245,246.,Ron Cey (17),20.37,R
246,247.,Josh Hamilton (9),20.31,L
247,247.,Wally Joyner (16),20.31,L
248,249.,Chick Hafey+ (13),20.30,R
249,249.,Robin Yount+ (20),20.30,R
250,251.,Bob Allison (13),20.25,R
251,252.,Ben Chapman (15),20.03,R
252,253.,"Nolan Arenado (8, 29)",19.97,R
253,253.,Willie Horton (18),19.97,R
254,255.,Jose Bautista (15),19.89,R
255,256.,Al Rosen (10),19.88,R
256,257.,Bobby Grich (17),19.83,R
257,258.,Lenny Dykstra (12),19.78,L
258,259.,Cecil Cooper (17),19.73,L
259,260.,Cy Williams (19),19.72,L
260,261.,Oscar Gamble (17),19.70,L
261,262.,Tony Phillips (18),19.67,B
262,263.,Hunter Pence (14),19.63,R
263,264.,Kenny Lofton (17),19.59,L
264,265.,Chili Davis (19),19.57,B
265,266.,Bobby Doerr+ (14),19.49,R
266,267.,Rudy York (13),19.48,R
267,268.,Kevin Mitchell (13),19.46,R
268,268.,Lonnie Smith (17),19.46,R
269,270.,Wally Berger (11),19.36,R
270,271.,Cliff Floyd (17),19.31,L
271,272.,Ken Williams (14),19.23,L
272,273.,Jackie Jensen (11),19.20,R
273,274.,Vern Stephens (15),19.16,R
274,275.,Von Hayes (12),19.15,L
275,276.,Brett Butler (17),19.14,L
276,277.,Elbie Fletcher (12),19.13,L
277,278.,Johnny Callison (16),18.91,L
278,279.,"Justin Upton (14, 32)",18.79,R
279,280.,Pat Burrell (12),18.78,R
280,281.,Darrell Porter (17),18.76,L
281,282.,Lee May (18),18.61,R
282,283.,Jack Fournier (15),18.52,L
283,284.,Richie Hebner (18),18.46,L
284,284.,Danny Tartabull (14),18.46,R
285,286.,Jason Thompson (11),18.41,L
286,287.,Cliff Johnson (15),18.40,R
287,288.,Kevin McReynolds (12),18.33,R
288,289.,Carlton Fisk+ (24),18.30,R
289,290.,Ripper Collins (9),18.28,B
290,291.,Adrian Beltre (21),18.27,R
291,291.,Lou Boudreau+ (15),18.27,R
292,293.,Joe Cronin+ (20),18.14,R
293,294.,Gus Suhr (11),18.06,L
294,295.,Tim Salmon (14),18.05,R
295,296.,Andy Pafko (17),18.02,R
296,297.,Norm Siebern (12),17.90,L
297,298.,Jeff Heath (14),17.87,L
298,299.,Tony Lazzeri+ (14),17.84,R
299,300.,Stan Hack (16),17.82,L
300,301.,Ferris Fain (9),17.69,L
301,302.,Don Buford (10),17.67,B
302,303.,Rusty Greer (9),17.57,L
303,304.,Johnny Damon (18),17.56,L
304,305.,Andre Ethier (12),17.55,L
305,306.,Sid Gordon (13),17.51,R
306,307.,Richie Zisk (13),17.39,R
307,308.,Carlos Lee (14),17.37,R
308,309.,Andy Van Slyke (13),17.17,L
309,310.,Graig Nettles (22),17.07,L
310,311.,Roy Campanella+ (10),17.00,R
311,312.,Justin Morneau (14),16.98,L
312,313.,Pete Reiser (10),16.90,L
313,314.,Tommy Davis (18),16.84,R
314,315.,Dick McAuliffe (16),16.83,L
315,316.,Magglio Ordonez (15),16.74,R
316,317.,Curtis Granderson (16),16.67,L
317,318.,Ron Gant (16),16.58,R
318,319.,Earl Torgeson (15),16.54,L
319,320.,Nomar Garciaparra (14),16.47,R
320,321.,Del Ennis (14),16.45,R
321,322.,Hal McRae (19),16.40,R
322,322.,Eddie Stanky (11),16.40,R
323,324.,"Michael Brantley (12, 33)",16.39,L
324,324.,Jim Ray Hart (12),16.39,R
325,324.,Ernie Lombardi+ (17),16.39,R
326,327.,Shawn Green (15),16.37,L
327,327.,Bob Horner (10),16.37,R
328,329.,Jeromy Burnitz (14),16.36,L
329,330.,Jim Fregosi (18),16.32,R
330,331.,"Buster Posey (11, 33)",16.29,R
331,332.,Travis Hafner (12),16.21,L
332,333.,Mike Greenwell (12),16.15,L
333,333.,Jayson Werth (15),16.15,R
334,335.,Felipe Alou (17),15.99,R
335,335.,Alvin Davis (9),15.99,L
336,337.,Raul Ibanez (19),15.95,L
337,338.,Dante Bichette (14),15.84,R
338,339.,Jim Northrup (12),15.72,L
339,340.,Jason Bay (11),15.68,R
340,341.,Phil Cavarretta (22),15.65,L
341,342.,Jose Cardenal (18),15.60,R
342,343.,Cal Ripken Jr.+ (21),15.53,R
343,344.,Tommy Holmes (11),15.51,L
344,345.,George Scott (14),15.48,R
345,346.,Mike Sweeney (16),15.45,R
346,347.,"Carlos Santana (11, 34)",15.42,B
347,348.,Thurman Munson (11),15.41,R
348,349.,Victor Martinez (16),15.31,B
349,350.,Harlond Clift (12),15.27,R
350,350.,Carl Furillo (15),15.27,R
351,352.,Buddy Myer (17),15.22,L
352,353.,George Hendrick (18),15.21,R
353,354.,Leon Wagner (12),15.13,L
354,355.,Smoky Burgess (18),15.04,L
355,356.,Pepper Martin (13),14.98,R
356,357.,Billy Goodman (16),14.96,L
357,358.,George Burns (16),14.85,R
358,359.,Zeke Bonura (7),14.84,R
359,359.,Darren Daulton (14),14.84,L
360,361.,"José Abreu (7, 33)",14.82,R
361,362.,Irish Meusel (11),14.81,R
362,363.,Joe Adcock (17),14.78,R
363,364.,Willie Davis (18),14.77,L
364,365.,Sixto Lezcano (12),14.75,R
365,366.,Kal Daniels (7),14.63,L
366,366.,Leon Durham (10),14.63,L
367,368.,"Yoenis Céspedes (8, 34)",14.62,R
368,369.,"Matt Kemp (15, 35)",14.60,R
369,370.,Gary Carter+ (19),14.53,R
370,370.,Carlos Pena (14),14.53,L
371,372.,Orlando Merced (13),14.49,B
372,373.,Dom DiMaggio (11),14.48,R
373,374.,"Justin Turner (12, 35)",14.46,R
374,375.,Roy Cullenbine (10),14.45,B
375,376.,Johnny Pesky (10),14.44,L
376,377.,Alan Trammell+ (20),14.41,R
377,378.,Don Mincher (13),14.33,L
378,379.,George Grantham (13),14.32,L
379,380.,Monte Irvin+ (8),14.28,R
380,381.,John Mayberry (15),14.25,L
381,382.,George Kell+ (15),14.21,R
382,383.,Jay Buhner (15),14.17,R
383,384.,Wes Covington (11),14.16,L
384,385.,Jim Gentile (9),14.12,L
385,386.,"Dexter Fowler (13, 34)",14.01,B
386,387.,Gus Bell (15),14.00,L
387,388.,George Sisler+ (15),13.99,L
388,389.,Andre Thornton (14),13.93,R
389,390.,Wally Moon (12),13.91,L
390,391.,Chris Chambliss (17),13.90,L
391,391.,Nick Johnson (10),13.90,L
392,391.,Robin Ventura (16),13.90,L
