,Rank,"Player (yrs, age)",Win Probability Added (WPA),Bats
537,538.,Taffy Wright (9),9.70,L
538,539.,Buddy Lewis (11),9.69,L
539,540.,Bill Buckner (22),9.61,L
540,541.,Gavvy Cravath (11),9.60,R
541,542.,John Romano (10),9.59,R
542,543.,Joe Ferguson (14),9.56,R
543,544.,Sam West (16),9.53,L
544,545.,Erubiel Durazo (7),9.49,L
545,546.,Harry Hooper+ (17),9.48,L
546,546.,J.T. Snow (16),9.48,L
547,548.,Willie McGee (18),9.47,B
548,549.,Bernard Gilkey (12),9.46,R
549,549.,Wes Parker (9),9.46,B
550,551.,Hank Bauer (14),9.42,R
551,552.,Del Bissonette (5),9.41,L
552,553.,Max Bishop (12),9.35,L
553,554.,Ed Morgan (7),9.32,R
554,555.,"Khris Davis (8, 32)",9.30,R
555,555.,Pat Kelly (15),9.30,L
556,557.,Carl Everett (14),9.27,B
557,558.,Hal Chase (15),9.24,R
558,559.,Bobby Thomson (15),9.21,R
559,560.,Curt Blefary (8),9.20,L
560,561.,Bill Freehan (15),9.19,R
561,562.,Tony Conigliaro (8),9.14,R
562,563.,Aubrey Huff (13),9.10,L
563,563.,Michael Young (14),9.10,R
564,565.,Brad Hawpe (9),9.06,L
565,566.,Rube Bressler (19),9.04,R
566,567.,Kevin Seitzer (12),9.02,R
567,568.,Sam Rice+ (20),9.01,L
568,569.,Johnny Frederick (6),9.00,L
569,569.,Tommy Harper (15),9.00,R
570,569.,Jim Hickman (13),9.00,R
571,572.,Donn Clendenon (12),8.98,R
572,572.,Johnny Hopp (14),8.98,L
573,574.,Joe Judge (20),8.97,L
574,575.,Ed Bailey (14),8.92,L
575,575.,Joe Sewell+ (14),8.92,L
576,577.,John Lowenstein (16),8.91,L
577,578.,"Manny Machado (9, 27)",8.87,R
578,579.,"Xander Bogaerts (8, 27)",8.86,R
579,579.,Phil Garner (16),8.86,R
580,581.,Jorge Orta (16),8.85,L
581,582.,"Juan Soto (3, 21)",8.82,L
582,583.,Glenn Wright (11),8.80,R
583,584.,Adam Lind (12),8.76,L
584,585.,Lee Maye (13),8.74,L
585,585.,"Jose Ramirez (8, 27)",8.74,B
586,587.,Russell Martin (14),8.72,R
587,588.,Cecil Travis (12),8.66,L
588,589.,Jim Leyritz (11),8.63,R
589,590.,"Eugenio Suarez (7, 28)",8.60,R
590,591.,"Marcell Ozuna (8, 29)",8.53,R
591,592.,Bake McBride (11),8.52,L
592,593.,Mike Marshall (11),8.51,R
593,594.,Jimmy Rollins (17),8.48,B
594,595.,Steve Finley (19),8.44,L
595,596.,Red Rolfe (10),8.41,L
596,597.,Bobby Higginson (11),8.38,L
597,597.,Bip Roberts (12),8.38,B
598,599.,"Kole Calhoun (9, 32)",8.37,L
599,599.,Freddie Lindstrom+ (13),8.37,R
600,601.,John Jaha (10),8.33,R
601,602.,Roy Johnson (10),8.31,L
602,603.,Nick Swisher (12),8.26,B
603,604.,Jerry Lynch (13),8.24,L
604,605.,Mike Ivie (11),8.23,R
605,606.,Bubbles Hargrave (12),8.21,R
606,606.,Cleon Jones (13),8.21,R
607,608.,Bing Miller (16),8.12,R
608,609.,Ken Keltner (13),8.06,R
609,610.,Lyman Bostock (4),8.05,L
610,610.,Nate Colbert (10),8.05,R
611,610.,Albie Pearson (9),8.05,L
612,613.,Dave May (12),8.04,L
613,614.,"Aaron Judge (5, 28)",8.03,R
614,615.,Chet Laabs (11),8.02,R
615,615.,Walt Moryn (8),8.02,L
616,617.,Jeff Blauser (13),8.00,R
617,617.,Doug DeCinces (15),8.00,R
618,619.,Willie Randolph (18),7.98,R
619,620.,Carlos Guillen (14),7.96,B
620,620.,Elmer Smith (10),7.96,L
621,620.,Casey Stengel+ (14),7.96,L
622,623.,Hector Lopez (12),7.95,R
623,624.,George Harper (11),7.87,L
624,625.,Denis Menke (13),7.85,R
625,625.,"AJ Pollock (9, 32)",7.85,R
626,627.,Hubie Brooks (15),7.83,R
627,628.,Carlos Quentin (9),7.80,R
628,629.,Earl Webb (7),7.79,L
629,630.,Luke Easter (6),7.77,L
630,630.,Sam Leslie (10),7.77,L
631,632.,Brooks Robinson+ (23),7.74,R
632,633.,"Kyle Seager (10, 32)",7.70,L
633,634.,Gene Richards (8),7.64,L
634,635.,Wally Schang (19),7.58,B
635,636.,Delino DeShields (13),7.56,L
636,637.,Milton Bradley (12),7.54,B
637,638.,Willie Montanez (14),7.51,L
638,639.,"David Peralta (7, 32)",7.49,L
639,640.,Ken McMullen (16),7.47,R
640,641.,Ed Charles (8),7.44,R
641,641.,"Corey Seager (6, 26)",7.44,L
642,643.,Billy Butler (10),7.43,R
643,643.,Don Demeter (11),7.43,R
644,643.,Babe Young (8),7.43,L
645,646.,Phil Nevin (12),7.40,R
646,647.,Ray Blades (10),7.39,R
647,648.,Rick Reichardt (11),7.38,R
648,648.,Eddie Robinson (13),7.38,L
649,650.,"Adam Eaton (9, 31)",7.37,L
650,651.,Matty Alou (15),7.35,L
651,652.,Ron Northey (12),7.31,L
652,653.,Raul Mondesi (13),7.30,R
653,654.,Carney Lansford (15),7.23,R
654,655.,Dan Ford (11),7.22,R
