,Rank,"Player (yrs, age)",Adjusted ERA+,Throws
0,1.,Mariano Rivera+ (19),205,R
1,2.,"Clayton Kershaw (13, 32)",158,L
2,3.,Pedro Martinez+ (18),154,R
3,4.,"Jacob deGrom (7, 32)",150,R
4,4.,Jim Devlin (5),150,R
5,6.,Lefty Grove+ (17),148,L
6,7.,Walter Johnson+ (21),147,R
7,7.,Hoyt Wilhelm+ (21),147,R
8,9.,Dan Quisenberry (12),146,R
9,9.,Ed Walsh+ (14),146,R
10,9.,Smoky Joe Wood (14),146,R
11,12.,Roger Clemens (24),143,R
12,12.,Addie Joss+ (9),143,R
13,14.,Brandon Webb (7),142,R
14,15.,Trevor Hoffman+ (18),141,R
15,16.,"Chris Sale (10, 31)",140,L
16,17.,Kid Nichols+ (15),139,R
17,18.,Mordecai Brown+ (14),138,R
18,18.,John Franco (21),138,L
19,18.,Cy Young+ (22),138,R
20,21.,Christy Mathewson+ (17),136,R
21,21.,Johan Santana (12),136,L
22,21.,Bruce Sutter+ (12),136,R
23,24.,Pete Alexander+ (20),135,R
24,24.,Randy Johnson+ (22),135,L
25,24.,"Corey Kluber (10, 34)",135,R
26,24.,Rube Waddell+ (13),135,L
27,28.,John Hiller (15),134,L
28,29.,Harry Brecheen (12),133,L
29,29.,John Clarkson+ (12),133,R
30,29.,Whitey Ford+ (16),133,L
31,29.,"Kyle Hendricks (7, 30)",133,R
32,33.,Spud Chandler (11),132,R
33,33.,Noodles Hahn (8),132,L
34,33.,Greg Maddux+ (23),132,R
35,33.,"Max Scherzer (13, 35)",132,R
36,33.,Lee Smith+ (18),132,R
37,33.,Al Spalding+ (8),132,R
38,33.,Kent Tekulve (16),132,R
39,40.,Dizzy Dean+ (12),131,R
40,40.,Roy Halladay+ (16),131,R
41,40.,Roberto Hernandez (17),131,R
42,40.,Sandy Koufax+ (12),131,L
43,44.,Carl Hubbell+ (16),130,L
44,44.,Hal Newhouser+ (17),130,L
45,46.,Doug Jones (16),129,R
46,46.,Amos Rusie+ (10),129,R
47,46.,"Stephen Strasburg (11, 31)",129,R
48,46.,"Justin Verlander (16, 37)",129,R
49,50.,"Gerrit Cole (8, 29)",128,R
50,50.,Sparky Lyle (16),128,L
51,52.,Kevin Brown (19),127,R
52,52.,Stan Coveleski+ (14),127,R
53,52.,Nig Cuppy (10),127,R
54,52.,Bob Gibson+ (17),127,R
55,52.,Sal Maglie (10),127,R
56,52.,Roy Oswalt (13),127,R
57,52.,Jack Pfiester (8),127,L
58,52.,Curt Schilling (20),127,R
59,52.,Tom Seaver+ (20),127,R
60,61.,Tommy Bridges (16),126,R
61,61.,Rich Gossage+ (22),126,R
62,61.,Michael Jackson (17),126,R
63,61.,Tim Keefe+ (14),126,R
64,61.,Max Lanier (14),126,L
65,61.,Gary Lavelle (13),126,L
66,61.,Jesse Orosco (24),126,L
67,61.,Bret Saberhagen (16),126,R
