,Rank,"Player (yrs, age)",Putouts as CF (s.1901),Throws
0,1.,Willie Mays+ (22),7022,R
1,2.,Tris Speaker+ (22),6783,L
2,3.,Richie Ashburn+ (15),5803,R
3,4.,Steve Finley (19),5348,L
4,5.,Willie Davis (18),5279,L
5,6.,Ty Cobb+ (24),5163,R
6,7.,Ken Griffey Jr.+ (22),5147,L
7,8.,Brett Butler (17),4947,L
8,9.,Kenny Lofton (17),4758,L
9,10.,Amos Otis (17),4743,R
10,11.,Marquis Grissom (17),4706,R
11,12.,Mike Cameron (17),4700,R
12,13.,Doc Cramer (20),4659,R
13,14.,Max Carey+ (20),4589,R
14,15.,Bernie Williams (16),4576,R
15,16.,Andruw Jones (17),4456,R
16,17.,Devon White (17),4413,R
17,18.,Garry Maddox (15),4387,R
18,19.,Edd Roush+ (18),4350,L
19,20.,Jim Edmonds (17),4341,L
20,21.,Paul Blair (17),4270,R
21,22.,Lloyd Waner+ (18),4253,R
22,23.,Joe DiMaggio+ (13),4149,R
23,24.,Carlos Beltran (20),4133,R
24,25.,Fred Lynn (17),4093,L
25,26.,Chet Lemon (16),4081,R
26,27.,Curt Flood (15),4019,R
27,28.,Mickey Mantle+ (18),4016,R
28,29.,Adam Jones (14),3964,R
29,30.,Torii Hunter (19),3948,R
30,31.,Kirby Puckett+ (12),3853,R
31,32.,Vada Pinson (18),3816,L
32,33.,Bill Bruton (12),3808,R
33,34.,Earl Averill+ (13),3697,R
34,35.,Duke Snider+ (18),3641,R
35,36.,Bill Virdon (12),3637,R
36,37.,Cesar Cedeno (17),3636,R
37,38.,Sam West (16),3635,L
38,39.,Rick Manning (13),3533,R
39,40.,Clyde Milan (16),3527,R
40,41.,Dom DiMaggio (11),3490,R
41,42.,Willie Wilson (19),3465,R
42,43.,Dwayne Murphy (12),3442,R
43,44.,Cy Williams (19),3403,L
44,45.,Larry Doby+ (13),3393,R
45,46.,Dode Paskert (15),3382,R
46,47.,Lance Johnson (14),3379,L
47,48.,Lloyd Moseby (12),3349,R
48,49.,Willie McGee (18),3336,R
49,50.,Jim Busby (13),3265,R
50,51.,Omar Moreno (12),3253,L
51,52.,Rick Monday (19),3245,L
52,53.,Johnny Damon (18),3144,L
53,54.,Vernon Wells (15),3132,R
54,55.,Jim Piersall (17),3121,R
55,56.,Lenny Dykstra (12),3090,L
56,57.,Brian McRae (10),3084,R
57,58.,Robin Yount+ (20),3056,R
58,59.,Curtis Granderson (16),2989,R
59,60.,Taylor Douthit (11),2982,R
60,61.,Mickey Rivers (15),2967,L
61,62.,"Andrew McCutchen (12, 33)",2954,R
62,63.,Gary Pettis (11),2940,R
63,64.,Dave Henderson (14),2926,R
64,65.,Baby Doll Jacobson (11),2920,R
65,66.,Earle Combs+ (12),2914,R
66,67.,Sam Chapman (11),2837,R
