,Rank,"Player (yrs, age)",Wild Pitches,Throws
276,270.,"Max Scherzer (13, 35)",71,R
277,278.,Gary Bell (12),70,R
278,278.,Jim Bibby (12),70,R
279,278.,Matt Cain (13),70,R
280,278.,Dean Chance (11),70,R
281,278.,Pete Falcone (10),70,L
282,278.,LaTroy Hawkins (21),70,R
283,278.,Claude Hendrix (10),70,R
284,278.,Bill Krueger (13),70,L
285,278.,Greg Maddux+ (23),70,R
286,278.,Andy Messersmith (12),70,R
287,278.,"Rick Porcello (12, 31)",70,R
288,278.,Pat Rapp (10),70,R
289,278.,Dennys Reyes (15),70,L
290,291.,Ray Burris (15),69,R
291,291.,Don Cardwell (14),69,R
292,291.,Bill Donovan (18),69,R
293,291.,Frank Dwyer (12),69,R
294,291.,Bob Feller+ (18),69,R
295,291.,Jeff Parrett (10),69,R
296,291.,Andy Pettitte (18),69,L
297,291.,Jeff Robinson (9),69,R
298,291.,Frank Smith (11),69,R
299,291.,Billy Taylor (7),69,R
300,301.,Johnny Allen (13),68,R
301,301.,"Chris Archer (8, 31)",68,R
302,301.,Bill Bonham (10),68,R
303,301.,Bob Buhl (15),68,R
304,301.,John Denny (13),68,R
305,301.,Bill Dinneen (12),68,R
306,301.,Scott Erickson (15),68,R
307,301.,Woodie Fryman (18),68,L
308,301.,Joe Horlen (12),68,R
309,301.,Tom Lovett (6),68,R
310,301.,Jon Matlack (13),68,L
311,301.,Francisco Rodriguez (16),68,R
312,301.,Johan Santana (12),68,L
313,314.,Pete Conway (5),67,R
314,314.,Candy Cummings+ (6),67,R
315,314.,Rudy May (16),67,L
316,314.,Kevin Millwood (16),67,R
317,314.,Tom Murphy (12),67,R
318,314.,Claude Osteen (18),67,L
319,314.,Jack Powell (16),67,R
320,314.,Bill Singer (14),67,R
321,314.,Charlie Sweeney (6),67,R
322,314.,Kip Wells (12),67,R
323,324.,Rube Benton (15),66,L
324,324.,Cherokee Fisher (8),66,R
325,324.,Clark Griffith+ (21),66,R
326,324.,Pat Hentgen (14),66,R
327,324.,Hiroki Kuroda (7),66,R
328,324.,Sparky Lyle (16),66,L
329,324.,Justin Masterson (8),66,R
330,324.,Tricky Nichols (6),66,R
331,324.,Johnny Podres (15),66,L
332,324.,Ed Willett (10),66,R
333,324.,C.J. Wilson (11),66,L
334,335.,Len Barker (11),65,R
335,335.,Bud Black (15),65,L
336,335.,Mike Caldwell (14),65,L
337,335.,Jesse Duryea (5),65,R
338,335.,Tom Glavine+ (22),65,L
339,335.,Jason Johnson (11),65,R
340,335.,Hal Newhouser+ (17),65,L
341,335.,Herb Pennock+ (22),65,L
342,335.,Juan Pizarro (18),65,L
343,335.,Fernando Rodney (17),65,R
344,345.,Charlie Ferguson (4),64,R
345,345.,Gavin Floyd (13),64,R
346,345.,Harry Harper (10),64,L
347,345.,Frank Killen (10),64,L
348,345.,Joe Magrane (8),64,L
349,345.,Tippy Martinez (14),64,L
350,345.,Terry Mulholland (20),64,L
351,345.,"Ivan Nova (11, 33)",64,R
352,345.,Todd Stottlemyre (14),64,R
353,345.,Steve Trachsel (16),64,R
354,345.,Kerry Wood (14),64,R
355,356.,Andy Benes (14),63,R
356,356.,"Yu Darvish (8, 33)",63,R
357,356.,Doug Davis (13),63,L
358,356.,Mark Davis (15),63,L
359,356.,Rich Gossage+ (22),63,R
360,356.,Mark Guthrie (15),63,L
361,356.,Charlie Leibrandt (14),63,L
362,356.,Al Leiter (19),63,L
363,356.,Bob Lemon+ (15),63,R
364,356.,"Jon Lester (15, 36)",63,L
365,356.,Jack McDowell (12),63,R
366,356.,Tug McGraw (19),63,L
367,356.,Brett Tomko (14),63,R
368,356.,Virgil Trucks (17),63,R
369,356.,Hippo Vaughn (13),63,L
370,356.,Bucky Walters (19),63,R
371,356.,Doc White (13),63,L
372,373.,Wade Blasingame (10),62,L
