,Rank,"Player (yrs, age)",Wild Pitches,Throws
701,687.,Willie McGill (7),45,L
702,687.,Charles Nagy (14),45,R
703,687.,Joe Nuxhall (16),45,L
704,687.,"Adam Ottavino (10, 34)",45,R
705,687.,Deacon Phillippe (13),45,R
706,687.,Dave Roberts (13),45,L
707,687.,Larry Sherry (11),45,R
708,687.,"Blake Snell (5, 27)",45,L
709,687.,Dave Veres (10),45,R
710,687.,Bill Wight (12),45,L
711,687.,Clyde Wright (10),45,L
712,713.,Lady Baldwin (6),44,L
713,713.,Fred Beebe (7),44,R
714,713.,Dave Boswell (8),44,R
715,713.,Ralph Branca (12),44,R
716,713.,Ernie Broglio (8),44,R
717,713.,Rip Collins (11),44,R
718,713.,Wilbur Cooper (15),44,L
719,713.,Bill Dietrich (16),44,R
720,713.,"Greg Holland (10, 34)",44,R
721,713.,Grant Jackson (18),44,L
722,713.,Mike Kekich (9),44,L
723,713.,Ed Knouff (5),44,R
724,713.,Dennis Lamp (16),44,R
725,713.,Scott Linebrink (12),44,R
726,713.,Jim Owens (12),44,R
727,713.,Joel Pineiro (12),44,R
728,713.,Vic Raschi (10),44,R
729,713.,Mac Suzuki (6),44,R
730,713.,Kevin Tapani (13),44,R
731,713.,Bill Travers (9),44,L
732,713.,Mitch Williams (11),44,L
733,713.,Randy Wolf (16),44,L
734,713.,Al Worthington (14),44,R
735,736.,Tony Armas (10),43,R
736,736.,Bill Bailey (11),43,L
737,736.,Doug Bair (15),43,R
738,736.,Juan Berenguer (15),43,R
739,736.,Sean Bergman (8),43,R
740,736.,Andrew Cashner (10),43,R
741,736.,Billy Crowell (2),43,R
742,736.,George Culver (9),43,R
743,736.,John Danks (10),43,L
744,736.,Kyle Farnsworth (16),43,R
745,736.,Ken Forsch (16),43,R
746,736.,Joe Gibbon (13),43,L
747,736.,"Zack Godley (6, 30)",43,R
748,736.,"J.A. Happ (14, 37)",43,L
749,736.,Glen Hobbie (8),43,R
750,736.,Todd Jones (16),43,R
751,736.,Jose Lima (13),43,R
752,736.,Skip Lockwood (13),43,R
753,736.,Win Mercer (9),43,R
754,736.,Dan Miceli (14),43,R
755,736.,"Andrew Miller (15, 35)",43,L
756,736.,Bill Mountjoy (3),43,R
757,736.,Gregg Olson (14),43,R
758,736.,Al Orth (15),43,R
759,736.,Monte Pearson (10),43,R
760,736.,Togie Pittinger (8),43,R
761,736.,Arthur Rhodes (20),43,L
762,736.,Clayton Richard (11),43,L
763,736.,Nap Rucker (10),43,L
764,736.,Mike Smithson (8),43,R
765,736.,"Stephen Strasburg (11, 31)",43,R
766,736.,Julian Tavarez (17),43,R
767,736.,Tom Vickery (4),43,R
768,736.,Billy Wagner (16),43,L
769,736.,Earl Whitehill (17),43,L
770,736.,Bill Wise (3),43,
771,736.,Smoky Joe Wood (14),43,R
772,773.,Gerry Arrigo (10),42,L
773,773.,Bronson Arroyo (16),42,R
774,773.,"Homer Bailey (14, 34)",42,R
775,773.,Rob Bell (7),42,R
776,773.,Brian Bohanon (12),42,L
777,773.,Theodore Breitenstein (11),42,L
778,773.,Jimmy Callahan (13),42,R
779,773.,Ownie Carroll (9),42,R
780,773.,Roger Craig (12),42,R
781,773.,Kyle Davies (8),42,R
782,773.,"Wade Davis (12, 34)",42,R
783,773.,Kelly Downs (8),42,R
784,773.,Ken Howell (7),42,R
785,773.,Russ Kemmerer (9),42,R
786,773.,Jack Knott (11),42,R
787,773.,Brett Myers (12),42,R
788,773.,Jim O'Toole (10),42,L
789,773.,George Pechiney (3),42,R
790,773.,Barney Pelty (10),42,R
791,773.,Ricky Romero (5),42,L
792,773.,Bob Shawkey (15),42,R
793,773.,Joe Sparma (7),42,R
794,773.,Jeff Tesreau (7),42,R
795,773.,Mike Trombley (11),42,R
796,797.,Willie Banks (9),41,R
797,797.,Willie Blair (12),41,R
798,797.,Joe Blanton (13),41,R
799,797.,Joe Blong (3),41,R
800,797.,Asa Brainard (4),41,R
801,797.,Jim Brewer (17),41,L
802,797.,George Brunet (15),41,L
803,797.,Clay Carroll (15),41,R
804,797.,Scott Eyre (13),41,L
805,797.,Marvin Freeman (10),41,R
806,797.,Jose Guzman (8),41,R
807,797.,Jim Hannan (10),41,R
808,797.,Doug Henry (11),41,R
809,797.,Dwayne Henry (11),41,R
810,797.,Liván Hernández (17),41,R
811,797.,Luke Hochevar (9),41,R
812,797.,Willis Hudlin (16),41,R
813,797.,Cliff Lee (13),41,L
814,797.,Mike Maddux (15),41,R
815,797.,Rick Mahler (13),41,R
816,797.,Dave Morehead (8),41,R
817,797.,Mel Parnell (10),41,L
818,797.,Dan Plesac (18),41,L
819,797.,Rod Scurry (8),41,L
820,797.,Ian Snell (7),41,R
821,797.,Paul Splittorff (15),41,L
822,797.,Sammy Stewart (10),41,R
823,797.,Jack Taylor (10),41,R
824,797.,Steve Toole (4),41,L
825,797.,"Adam Wainwright (15, 38)",41,R
826,797.,Luke Walker (9),41,L
827,797.,David Weathers (19),41,R
828,797.,Jake Westbrook (13),41,R
829,797.,Brian Williams (9),41,R
830,797.,Hooks Wiltse (12),41,L
831,832.,"Cody Allen (8, 31)",40,R
832,832.,Gene Bearden (7),40,L
833,832.,James Burke (3),40,
834,832.,Don Carrithers (8),40,R
835,832.,Danny Cox (11),40,R
836,832.,Mike DeJean (10),40,R
837,832.,Rollie Fingers+ (17),40,R
838,832.,Willie Fraser (8),40,R
839,832.,"Luis Garcia (8, 33)",40,R
840,832.,Ross Grimsley (11),40,L
841,832.,Harry Gumbert (15),40,R
842,832.,Moose Haas (12),40,R
843,832.,George Hemming (8),40,R
844,832.,Ron Herbel (9),40,R
845,832.,Don Hood (10),40,L
846,832.,"Joe Kelly (9, 32)",40,R
847,832.,Kid Madden (5),40,L
848,832.,Ryan Madson (13),40,R
849,832.,"Carlos Martinez (8, 28)",40,R
850,832.,Ernie McAnally (4),40,R
851,832.,Dick McBride (6),40,R
852,832.,"Brandon Morrow (12, 35)",40,R
853,832.,Jesse Orosco (24),40,L
854,832.,Nels Potter (12),40,R
855,832.,Dave Righetti (16),40,L
856,832.,"David Robertson (12, 35)",40,R
857,832.,Ed Roebuck (11),40,R
858,832.,Johnny Schmitz (13),40,L
859,832.,Ron Schueler (8),40,R
860,832.,Lev Shreve (3),40,R
861,832.,Rube Walberg (15),40,L
862,832.,John Wetteland (12),40,R
863,832.,Jay Witasick (12),40,R
864,832.,Jaret Wright (11),40,R
865,866.,Neil Allen (11),39,R
866,866.,Rheal Cormier (16),39,L
867,866.,Ron Davis (11),39,R
868,866.,Rich DeLucia (10),39,R
869,866.,Scott Elarton (10),39,R
870,866.,Cal Eldred (14),39,R
871,866.,Ed Farmer (11),39,R
872,866.,Doug Fister (10),39,R
873,866.,Lefty Gomez+ (14),39,L
874,866.,Vean Gregg (8),39,L
875,866.,Bob Harmon (9),39,R
876,866.,John Hiller (15),39,L
877,866.,Al Hollingsworth (11),39,L
878,866.,Waite Hoyt+ (21),39,R
879,866.,Michael Jackson (17),39,R
880,866.,Don Larsen (14),39,R
881,866.,Vern Law (16),39,R
882,866.,Randy Lerch (11),39,L
883,866.,Ted Lewis (6),39,R
884,866.,"Lance McCullers Jr. (5, 26)",39,R
885,866.,Mickey McDermott (12),39,L
886,866.,Roger Pavlik (7),39,R
887,866.,Robert Person (9),39,R
888,866.,"David Price (12, 34)",39,L
889,866.,Bob Rhoads (8),39,R
890,866.,Dick Rudolph (13),39,R
891,866.,Scott Sanderson (19),39,R
892,866.,Mike Scott (13),39,R
893,866.,Curt Simmons (20),39,L
894,866.,Tommie Sisk (9),39,R
895,866.,Russ Springer (18),39,R
896,866.,Tom Sturdivant (10),39,R
897,866.,Bob Turley (12),39,R
898,866.,Mike Williams (12),39,R
899,866.,Chris Young (13),39,R
900,901.,Pete Alexander+ (20),38,R
901,901.,Joaquin Benoit (16),38,R
902,901.,Jim Bouton (10),38,R
903,901.,Tex Carleton (8),38,R
904,901.,Bill Doak (16),38,R
905,901.,Dick Drott (7),38,R
906,901.,Ryne Duren (10),38,R
907,901.,Jamie Easterly (13),38,L
908,901.,Carl Erskine (12),38,R
909,901.,Alex Fernandez (10),38,R
910,901.,Jason Frasor (12),38,R
911,901.,Danny Frisella (10),38,R
912,901.,Orval Grove (10),38,R
913,901.,Joel Hanrahan (7),38,R
914,901.,Ray Herbert (14),38,R
915,901.,Dustin Hermanson (12),38,R
916,901.,Otto Hess (10),38,L
917,901.,Dennis Higgins (7),38,R
918,901.,George Keefe (6),38,L
919,901.,Frank Kitson (10),38,R
920,901.,Rick Langford (11),38,R
921,901.,Marcelino Lopez (8),38,L
922,901.,Jim McAndrew (7),38,R
923,901.,Cal McLish (15),38,R
924,901.,Gil Meche (10),38,R
925,901.,Clarence Mitchell (18),38,L
926,901.,"Robbie Ray (7, 28)",38,L
927,901.,Shane Reynolds (13),38,R
928,901.,Wandy Rodriguez (11),38,L
929,901.,Buck Ross (10),38,R
930,901.,"Chris Sale (10, 31)",38,L
931,901.,Scott Sanders (7),38,R
932,901.,Alfredo Simon (9),38,R
933,901.,Justin Speier (12),38,R
934,901.,Bill Swift (13),38,R
935,901.,Jack Taylor (9),38,R
936,901.,Paul Wagner (8),38,R
937,901.,Tom Zachary (19),38,L
938,939.,Paul Abbott (11),37,R
939,939.,Ed Beatin (5),37,L
940,939.,Ricky Bottalico (12),37,R
941,939.,Ken Brett (14),37,L
942,939.,Hal Brown (14),37,R
943,939.,Bob Bruce (9),37,R
944,939.,Howie Camnitz (11),37,R
945,939.,Roberto Hernandez (11),37,R
946,939.,Dad Clarkson (6),37,R
947,939.,Jesus Colome (10),37,R
948,939.,Aaron Cook (11),37,R
949,939.,Francisco Cordero (14),37,R
950,939.,Joe Decker (9),37,R
951,939.,John Ewing (6),37,R
952,939.,Sam Gray (10),37,R
953,939.,Chris Haney (11),37,L
954,939.,Willie Hernandez (13),37,L
955,939.,Billy Hoeft (15),37,L
956,939.,Jim Hughey (7),37,R
957,939.,Kevin Jepsen (10),37,R
958,939.,Jerry Johnson (10),37,R
959,939.,Lerrin LaGrow (10),37,R
960,939.,Richie Lewis (7),37,R
961,939.,Bob Locker (10),37,R
962,939.,Johnny Lush (7),37,L
963,939.,Art Mahaffey (7),37,R
964,939.,Billy McCool (7),37,L
965,939.,Roger McDowell (12),37,R
966,939.,Rob Murphy (11),37,L
967,939.,Randy O'Neal (7),37,R
968,939.,Vicente Padilla (14),37,R
969,939.,Marty Pattin (13),37,R
970,939.,Wayne Simpson (6),37,R
971,939.,Mario Soto (12),37,R
972,939.,John Sowders (3),37,L
973,939.,Bruce Sutter+ (12),37,R
974,939.,Park Swartzel (1),37,R
975,939.,Ledell Titcomb (5),37,L
976,939.,Fred Toney (12),37,R
977,939.,Dazzy Vance+ (16),37,R
978,939.,Johnny Vander Meer (13),37,L
979,939.,Rick Waits (12),37,L
980,939.,Eddie Watt (10),37,R
981,939.,Jeff Weaver (11),37,R
982,939.,Jered Weaver (12),37,R
983,939.,Carl Willey (8),37,R
984,939.,Jack Wilson (9),37,R
985,986.,"Matt Barnes (7, 30)",36,R
986,986.,Al Benton (14),36,R
987,986.,Ricky Bones (11),36,R
988,986.,Shawn Boskie (9),36,R
989,986.,Don Carman (10),36,L
990,986.,Shawn Chacon (8),36,R
991,986.,Bryan Clark (8),36,L
992,986.,Rickey Clark (5),36,R
993,986.,"Alex Cobb (9, 32)",36,R
994,986.,Jim Colborn (10),36,R
995,986.,Jim Conway (3),36,R
996,986.,Rob Dibble (7),36,R
997,986.,Don Gullett (9),36,L
998,986.,Preston Hanna (8),36,R
999,986.,Al Hrabosky (13),36,L
1000,986.,Al Jackson (10),36,L
1001,986.,Joe Kennedy (7),36,L
1002,986.,Byung-Hyun Kim (9),36,R
1003,986.,Lon Knight (8),36,R
1004,986.,Gene Krapp (4),36,R
1005,986.,Barry Latman (11),36,R
1006,986.,Charlie Lea (7),36,R
1007,986.,"Jordan Lyles (10, 29)",36,R
1008,986.,Paul Maholm (10),36,L
1009,986.,Russ Meyer (13),36,R
1010,986.,Hugh Mulcahy (9),36,R
1011,986.,Jeff Nelson (15),36,R
1012,986.,Robb Nen (10),36,R
1013,986.,Jon Niese (9),36,L
1014,986.,Pascual Perez (11),36,R
1015,986.,"Michael Pineda (7, 31)",36,R
1016,986.,George Pipgras (11),36,R
1017,986.,Bob Purkey (13),36,R
1018,986.,Ed Rakow (7),36,R
1019,986.,Henry Rodriguez (6),36,R
1020,986.,Eric Show (11),36,R
1021,986.,Paul Shuey (11),36,R
1022,986.,"Drew Smyly (7, 31)",36,L
1023,986.,Blake Stein (5),36,R
1024,986.,Bill Stoneman (8),36,R
