,Rank,"Player (yrs, age)",Assists as P,Throws
0,1.,Cy Young+ (22),2014,R
1,2.,Christy Mathewson+ (17),1503,R
2,3.,Pete Alexander+ (20),1419,R
3,4.,Pud Galvin+ (15),1404,R
4,5.,Walter Johnson+ (21),1351,R
5,6.,Burleigh Grimes+ (19),1252,R
6,7.,George Mullin (14),1244,R
7,8.,Jack Quinn (23),1240,R
8,9.,Ed Walsh+ (14),1207,R
9,10.,Eppa Rixey+ (21),1195,L
10,11.,Greg Maddux+ (23),1194,R
11,12.,John Clarkson+ (12),1143,R
12,13.,Carl Mays (15),1138,R
13,14.,Hooks Dauss (15),1128,R
14,15.,Vic Willis+ (13),1124,R
15,16.,Red Faber+ (20),1108,R
16,16.,Eddie Plank+ (17),1108,L
17,18.,Tim Keefe+ (14),1060,R
18,19.,Tony Mullane (13),1041,R
19,20.,Kid Nichols+ (15),1031,R
20,21.,Tommy John (26),1028,L
21,22.,Red Ames (17),1000,R
22,23.,Warren Spahn+ (21),999,L
23,24.,Eddie Cicotte (14),998,R
24,25.,Jack Powell (16),967,R
25,26.,Doc White (13),966,L
26,27.,Harry Howell (13),965,R
27,28.,Al Orth (15),957,R
28,29.,Ted Lyons+ (21),943,R
29,30.,Freddie Fitzsimmons (19),942,R
30,30.,Old Hoss Radbourn+ (12),942,R
31,32.,Chick Fraser (14),939,R
32,33.,Bill Doak (16),934,R
33,34.,Joe McGinnity+ (10),929,R
34,35.,Jim McCormick (10),922,R
35,36.,Red Donahue (13),903,R
36,37.,Tommy Bond (10),896,R
37,38.,Phil Niekro+ (24),878,R
38,39.,Gaylord Perry+ (22),877,R
39,40.,Sad Sam Jones (22),874,R
40,40.,Amos Rusie+ (10),874,R
41,42.,Clark Griffith+ (21),863,R
42,43.,Tom Glavine+ (22),856,L
43,44.,Howard Ehmke (15),853,R
44,45.,Charlie Buffinton (11),851,R
45,45.,Stan Coveleski+ (14),851,R
46,47.,Lee Meadows (15),850,R
47,48.,Addie Joss+ (9),846,R
48,49.,Mordecai Brown+ (14),843,R
49,50.,Waite Hoyt+ (21),842,R
50,51.,Jesse Tannehill (15),840,L
51,52.,Bullet Joe Bush (17),839,R
52,53.,Jack Chesbro+ (11),836,R
53,54.,Carl Hubbell+ (16),824,L
54,54.,Herb Pennock+ (22),824,L
55,56.,Ed Reulbach (13),814,R
56,57.,Eddie Rommel (13),810,R
57,58.,Chief Bender+ (16),808,R
58,59.,Bill Dinneen (12),800,R
59,60.,Bobby Mathews (15),791,R
