,Rank,"Player (yrs, age)",Assists as CF (s.1901),Throws
0,1.,Tris Speaker+ (22),450,L
1,2.,Ty Cobb+ (24),275,R
2,3.,Clyde Milan (16),243,R
3,4.,Max Carey+ (20),220,R
4,5.,Dode Paskert (15),208,R
5,6.,Edd Roush+ (18),207,L
6,7.,Willie Mays+ (22),188,R
7,8.,Doc Cramer (20),155,R
8,9.,Richie Ashburn+ (15),153,R
9,10.,Cy Williams (19),151,L
10,11.,Hi Myers (14),148,R
11,12.,Dom DiMaggio (11),143,R
12,13.,Ken Griffey Jr.+ (22),141,L
13,14.,Sam West (16),140,L
14,15.,Kenny Lofton (17),138,L
15,16.,Willie Davis (18),134,L
16,16.,Lloyd Waner+ (18),134,R
17,18.,Joe DiMaggio+ (13),133,R
18,19.,Steve Finley (19),127,L
19,20.,Cy Seymour (16),125,L
20,21.,Vince DiMaggio (10),123,R
21,22.,Tommy Leach (19),122,R
22,23.,Happy Felsch (6),119,R
23,24.,Amos Otis (17),118,R
24,24.,Amos Strunk (17),118,L
25,26.,Joe Birmingham (9),117,R
26,27.,Jim Edmonds (17),116,L
27,27.,Rebel Oakes (7),116,R
28,29.,Benny Kauff (8),115,L
29,30.,Vada Pinson (18),114,L
30,31.,Kirby Puckett+ (12),110,R
31,32.,Earl Averill+ (13),108,R
32,32.,Carlos Beltran (20),108,R
33,32.,Fred Snodgrass (9),108,R
34,35.,Brett Butler (17),106,L
35,35.,Curt Flood (15),106,R
36,37.,Paul Blair (17),104,R
37,37.,Mickey Mantle+ (18),104,R
38,39.,Andruw Jones (17),101,R
39,39.,Tillie Walker (13),101,R
40,41.,Ray Powell (9),100,R
41,42.,Terry Moore (11),99,R
42,42.,Duke Snider+ (18),99,R
43,44.,Ginger Beaumont (12),98,R
44,44.,Bill Bruton (12),98,R
45,46.,Adam Jones (14),96,R
46,46.,Fred Lynn (17),96,L
47,46.,Bill Virdon (12),96,R
48,49.,Fielder Jones (15),92,R
49,49.,Bill Tuttle (11),92,R
50,51.,Sam Chapman (11),91,R
51,51.,Ira Flagstead (13),91,R
52,51.,Nemo Leibold (13),91,R
53,51.,Garry Maddox (15),91,R
54,55.,Del Unser (15),90,L
55,56.,Johnny Bates (9),89,L
56,56.,Marquis Grissom (17),89,R
57,58.,Mickey Rivers (15),88,L
58,59.,Cesar Cedeno (17),87,R
59,59.,Johnny Mostil (10),87,R
60,61.,Mike Kreevich (12),86,R
61,61.,Willie McGee (18),86,R
62,63.,Chet Lemon (16),85,R
63,64.,Solly Hofman (14),84,R
64,64.,Roy Thomas (13),84,L
65,66.,Danny Hoffman (9),83,L
66,67.,Burt Shotton (14),82,R
67,67.,Devon White (17),82,R
68,69.,Omar Moreno (12),81,L
69,69.,Jigger Statz (8),81,R
70,71.,Ping Bodie (9),79,R
71,71.,Torii Hunter (19),79,R
72,73.,Jim Wynn (15),78,R
73,74.,Dave Henderson (14),77,R
74,74.,Bobby Thomson (15),77,R
75,76.,Larry Doby+ (13),76,R
76,76.,Dwayne Murphy (12),76,R
77,76.,Sam Rice+ (20),76,R
78,76.,Stan Spence (9),76,L
79,80.,Johnny Groth (15),75,R
80,80.,Andy Van Slyke (13),75,R
81,82.,Baby Doll Jacobson (11),74,R
82,82.,Fred Schulte (11),74,R
83,84.,Rick Monday (19),73,L
84,84.,Andy Pafko (17),73,R
85,86.,Mike Cameron (17),72,R
86,87.,Ethan Allen (13),71,R
87,87.,Melvin Upton Jr. (12),71,R
88,87.,Hack Wilson+ (12),71,R
89,90.,Andre Dawson+ (21),70,R
90,90.,Lance Johnson (14),70,L
91,92.,Mark Kotsay (17),68,L
92,92.,Jack Smith (15),68,L
93,94.,Ron LeFlore (9),66,R
94,95.,Earle Combs+ (12),65,R
95,95.,Carlos Gomez (13),65,R
96,95.,Rick Manning (13),65,R
97,98.,Jim Busby (13),64,R
98,98.,Charlie Jones (6),64,R
99,100.,Ken Berry (14),63,R
100,100.,"Andrew McCutchen (12, 33)",63,R
101,100.,Gary Pettis (11),63,R
102,100.,Dave Philley (18),63,R
103,100.,Jim Piersall (17),63,R
104,105.,Bill North (11),62,R
105,105.,Bernie Williams (16),62,R
106,107.,Cesar Geronimo (15),61,L
107,107.,Vernon Wells (15),61,R
108,109.,Ellis Burks (18),60,R
109,109.,Taylor Douthit (11),60,R
110,109.,Lloyd Moseby (12),60,R
111,109.,Rube Oldring (13),60,R
112,113.,Jose Cardenal (18),59,R
113,113.,Jim Landis (11),59,R
114,113.,Leonys Martín (9),59,R
115,113.,Bobby Murcer (17),59,R
116,117.,Matty Alou (15),58,L
