,Rank,"Player (yrs, age)",On-Base%,Bats
953,952.,Al Martin (11),.3387,L
954,955.,Denny Walling (18),.3386,L
955,956.,Tony Bernazard (10),.3385,B
956,956.,George Foster (18),.3385,R
957,956.,Jeffrey Hammonds (13),.3385,R
958,956.,Milt Stock (14),.3385,R
959,960.,Gregor Blanco (10),.3384,L
960,960.,Greg Colbrunn (13),.3384,R
961,960.,Duke Farrell (18),.3384,B
962,960.,Ricky Gutierrez (12),.3384,R
963,964.,David Dellucci (13),.3383,L
964,965.,Jermaine Dye (14),.3382,R
965,965.,"Alex Gordon (14, 36)",.3382,L
966,965.,Tommy Harper (15),.3382,R
967,965.,Kevin Stocker (8),.3382,B
968,965.,"Neil Walker (12, 34)",.3382,B
969,970.,Mike Cameron (17),.3380,R
970,970.,Dave Collins (16),.3380,B
971,970.,Mickey Morandini (11),.3380,L
972,973.,Greg Brock (10),.3378,L
973,974.,Ronnie Belliard (13),.3377,R
974,974.,Jim Fregosi (18),.3377,R
975,974.,Ken Keltner (13),.3377,R
976,974.,Don Slaught (16),.3377,R
977,978.,Jack Glasscock (17),.3375,R
978,978.,Ozzie Smith+ (19),.3375,B
979,980.,Andruw Jones (17),.3374,R
980,980.,Roberto Kelly (14),.3374,R
981,982.,Jose Cruz (12),.3373,B
982,982.,Hans Lobert (14),.3373,R
983,982.,John Lowenstein (16),.3373,L
984,985.,Marty Barrett (10),.3372,R
985,985.,Curtis Granderson (16),.3372,L
986,985.,Howie Kendrick (15),.3372,R
987,985.,Spike Shannon (5),.3372,L
988,989.,Paul Lo Duca (11),.3371,R
989,989.,Red Schoendienst+ (19),.3371,B
990,991.,Klondike Douglass (9),.3370,L
991,991.,Mike Lieberthal (14),.3370,R
992,991.,Javy Lopez (15),.3370,R
993,994.,Joe Adcock (17),.3369,R
994,994.,Charlie Hemphill (11),.3369,L
995,994.,"Matt Kemp (15, 35)",.3369,R
996,994.,"Manny Machado (9, 27)",.3369,R
997,994.,Brian McCann (15),.3369,L
998,994.,Tim McCarver (21),.3369,L
