,Rank,"Player (yrs, age)",Def. Games as CF (s.1901),Throws
135,136.,"Matt Kemp (15, 35)",827,R
136,137.,Gus Bell (15),815,R
137,138.,Mule Haas (12),811,R
138,139.,Reggie Smith (17),808,R
139,140.,"Billy Hamilton (8, 29)",802,R
140,141.,Stan Spence (9),800,L
141,142.,Colby Rasmus (10),797,L
142,143.,Bobby Murcer (17),790,R
143,144.,Andy Pafko (17),787,R
144,145.,"Jackie Bradley Jr. (8, 30)",781,R
145,146.,John Shelby (11),780,R
146,147.,Shane Victorino (12),779,R
147,148.,Al Simmons+ (20),775,R
148,149.,Mike Devereaux (12),774,R
149,150.,"Kevin Pillar (8, 31)",759,R
150,151.,Vic Davalillo (16),755,L
151,152.,Angel Pagan (11),754,R
152,153.,Benny Kauff (8),753,L
153,154.,George Hendrick (18),752,R
154,155.,Fielder Jones (15),750,R
155,156.,Rajai Davis (14),747,R
156,156.,Gary Matthews (12),747,R
157,158.,Ginger Beaumont (12),746,R
158,159.,Juan Beniquez (17),732,R
159,160.,Ethan Allen (13),728,R
160,161.,Brian Hunter (10),715,R
161,162.,Marvell Wynne (8),706,L
162,163.,Ira Flagstead (13),704,R
163,163.,Drew Stubbs (9),704,R
164,165.,Happy Felsch (6),701,R
165,166.,Leonys Martín (9),700,R
166,167.,Randy Winn (13),695,R
167,168.,Ray Powell (9),694,R
168,169.,"Charlie Blackmon (10, 33)",691,L
169,169.,Kiki Cuyler+ (18),691,R
170,169.,Stan Javier (17),691,R
171,172.,Rowland Office (11),687,L
172,173.,Chad Curtis (10),686,R
173,174.,Roy Thomas (13),685,L
174,175.,Lenny Green (12),684,L
175,176.,Don Lock (8),680,R
176,177.,"Jon Jay (11, 35)",678,L
177,178.,Carl Everett (14),675,R
178,179.,Fred Snodgrass (9),673,R
179,180.,Jackie Brandt (11),670,R
180,181.,David DeJesus (13),663,L
181,182.,Bob Dernier (10),658,R
182,183.,"Juan Lagares (8, 31)",657,R
183,184.,"Jarrod Dyson (11, 35)",656,R
184,185.,Tony Scott (11),654,R
185,186.,"Kevin Kiermaier (8, 30)",651,R
186,186.,"AJ Pollock (9, 32)",651,R
187,188.,Oddibe McDowell (7),648,L
188,189.,Lee Mazzilli (14),645,R
189,190.,Joe Birmingham (9),643,R
190,191.,Johnny Bates (9),641,L
