,Rank,"Player (yrs, age)",Fielding % as CF (s.1901),Throws
0,1.,Darin Erstad (14),.9968,L
1,2.,Shane Victorino (12),.9962,R
2,3.,"Jon Jay (11, 35)",.9960,L
3,4.,Darren Lewis (13),.9955,R
4,5.,"Billy Hamilton (8, 29)",.9946,R
5,6.,Jacoby Ellsbury (11),.9943,L
6,6.,Darryl Hamilton (13),.9943,R
7,8.,"Mike Trout (10, 28)",.9942,R
8,9.,Vernon Wells (15),.9938,R
9,10.,"AJ Pollock (9, 32)",.9936,R
10,10.,Grady Sizemore (10),.9936,L
11,12.,Curtis Granderson (16),.9935,R
12,13.,"Aaron Hicks (8, 30)",.9930,R
13,14.,Denard Span (11),.9929,L
14,15.,Randy Winn (13),.9928,R
15,16.,Mickey Stanley (15),.9927,R
16,17.,Torii Hunter (19),.9926,R
17,18.,Brett Butler (17),.9925,L
18,18.,Coco Crisp (15),.9925,R
19,18.,"Brett Gardner (13, 36)",.9925,L
20,18.,"Jake Marisnick (8, 29)",.9925,R
21,22.,Nate McLouth (10),.9922,R
22,23.,Robin Yount+ (20),.9920,R
23,24.,Peter Bourjos (10),.9918,R
24,25.,Gerald Young (8),.9917,R
25,26.,Johnny Damon (18),.9916,L
26,26.,Doug Glanville (9),.9916,R
27,28.,Andruw Jones (17),.9915,R
28,28.,Otis Nixon (17),.9915,R
29,30.,Amos Otis (17),.9914,R
30,31.,"Jackie Bradley Jr. (8, 30)",.9908,R
31,31.,David DeJesus (13),.9908,L
32,33.,Mike Devereaux (12),.9906,R
33,33.,Tom Goodwin (14),.9906,R
34,35.,Damon Buford (9),.9905,R
35,35.,Rajai Davis (14),.9905,R
36,37.,Jim Piersall (17),.9904,R
37,37.,Aaron Rowand (11),.9904,R
38,39.,Michael Bourn (11),.9903,R
39,39.,Dave Roberts (10),.9903,L
40,41.,"Ender Inciarte (7, 29)",.9902,L
41,42.,Juan Pierre (14),.9900,L
42,42.,Bernie Williams (16),.9900,R
43,42.,Chris Young (13),.9900,R
44,45.,Ken Berry (14),.9899,R
45,45.,Brian McRae (10),.9899,R
46,47.,Endy Chavez (13),.9897,L
47,47.,Stan Javier (17),.9897,R
48,49.,Brady Anderson (15),.9896,L
49,49.,Cesar Geronimo (15),.9896,L
50,51.,Kirby Puckett+ (12),.9895,R
51,52.,Melky Cabrera (15),.9894,L
52,52.,Don Demeter (11),.9894,R
53,52.,Darrin Jackson (12),.9894,R
54,52.,Jim Landis (11),.9894,R
55,56.,"Kevin Pillar (8, 31)",.9892,R
56,57.,"Charlie Blackmon (10, 33)",.9891,L
57,57.,"Kevin Kiermaier (8, 30)",.9891,R
58,57.,Mark Kotsay (17),.9891,L
59,60.,"Cameron Maybin (14, 33)",.9889,R
60,61.,Austin Jackson (9),.9888,R
61,61.,Ted Uhlaender (8),.9888,R
62,61.,Andy Van Slyke (13),.9888,R
63,64.,Al Bumbry (14),.9887,R
64,65.,Jose Cruz (12),.9886,R
65,65.,Eric Davis (17),.9886,R
66,65.,Steve Finley (19),.9886,L
67,65.,Rondell White (15),.9886,R
68,69.,Leonys Martín (9),.9885,R
69,70.,Fred Lynn (17),.9884,L
70,70.,Willie Wilson (19),.9884,R
71,72.,Vic Davalillo (16),.9882,L
72,72.,George Hendrick (18),.9882,R
73,74.,Paul Blair (17),.9880,R
74,74.,Jim Edmonds (17),.9880,L
75,74.,Marquis Grissom (17),.9880,R
76,77.,"Andrew McCutchen (12, 33)",.9879,R
77,77.,Corey Patterson (12),.9879,R
78,79.,Marlon Byrd (15),.9878,R
79,79.,Tony Gonzalez (12),.9878,R
80,81.,Lee Mazzilli (14),.9877,R
81,82.,"Odubel Herrera (5, 28)",.9876,R
82,83.,Jim Busby (13),.9875,R
83,83.,Chris Singleton (6),.9875,L
84,85.,Melvin Upton Jr. (12),.9874,R
85,86.,Gary Geiger (12),.9873,R
86,86.,Drew Stubbs (9),.9873,R
87,88.,Rick Miller (15),.9872,L
88,88.,Del Unser (15),.9872,L
89,90.,Lenny Dykstra (12),.9871,L
90,90.,Curt Flood (15),.9871,R
91,90.,Dwayne Murphy (12),.9871,R
92,90.,Thurman Tucker (9),.9871,R
93,94.,Tony Scott (11),.9869,R
94,95.,Mike Cameron (17),.9868,R
95,95.,Eddie Milner (9),.9868,L
96,97.,Billy Hatcher (12),.9867,R
97,97.,Ruppert Jones (12),.9867,L
98,99.,Oddibe McDowell (7),.9866,L
99,100.,Jay Payton (12),.9865,R
100,101.,Adam Jones (14),.9864,R
101,101.,Wally Judnich (7),.9864,L
102,103.,Chet Lemon (16),.9863,R
103,103.,Rick Manning (13),.9863,R
104,105.,Dave Henderson (14),.9862,R
105,106.,Harry Craft (6),.9861,R
106,107.,Carlos Beltran (20),.9860,R
107,107.,Johnny Groth (15),.9860,R
108,109.,"Juan Lagares (8, 31)",.9859,R
109,109.,Bobby Murcer (17),.9859,R
110,111.,Larry Doby+ (13),.9858,R
111,111.,Ken Griffey Jr.+ (22),.9858,L
112,111.,Ken Landreaux (11),.9858,R
113,111.,Ray Lankford (14),.9858,L
114,111.,Jerry Morales (15),.9858,R
115,116.,Cesar Cedeno (17),.9857,R
116,116.,Chuck Diering (9),.9857,R
117,116.,Milt Thompson (13),.9857,R
118,116.,Devon White (17),.9857,R
119,120.,Johnny Cooney (20),.9856,L
120,120.,Gary Pettis (11),.9856,R
121,122.,Carlos Gomez (13),.9855,R
122,122.,Lloyd Moseby (12),.9855,R
123,124.,Gus Bell (15),.9854,R
124,124.,"Matt Kemp (15, 35)",.9854,R
125,124.,Marvell Wynne (8),.9854,L
126,127.,Ellis Burks (18),.9853,R
127,128.,"Lorenzo Cain (11, 34)",.9851,R
128,128.,Rowland Office (11),.9851,L
129,128.,Tom Oliver (4),.9851,R
130,131.,"Dexter Fowler (13, 34)",.9850,R
131,131.,Lenny Green (12),.9850,L
132,131.,Roberto Kelly (14),.9850,R
133,131.,Gorman Thomas (13),.9850,R
134,135.,Dave Martinez (16),.9848,L
135,136.,Duke Snider+ (18),.9847,R
136,137.,Willy Taveras (7),.9846,R
137,138.,Mookie Wilson (12),.9845,R
138,139.,Andre Dawson+ (21),.9844,R
139,139.,Andy Pafko (17),.9844,R
140,141.,Kenny Lofton (17),.9843,L
141,142.,Dale Murphy (18),.9842,R
142,143.,Ken Henderson (16),.9841,R
143,143.,Colby Rasmus (10),.9841,L
144,145.,Mickey Mantle+ (18),.9840,R
145,146.,Chad Curtis (10),.9836,R
146,146.,Angel Pagan (11),.9836,R
