,Rank,"Player (yrs, age)",Double Plays Turned as LF (s.1901),Throws
162,144.,Jim Wynn (15),8,R
163,144.,Delmon Young (10),8,R
164,165.,Moises Alou (17),7,R
165,165.,Steve Braun (15),7,R
166,165.,Jose Canseco (17),7,R
167,165.,George Case (11),7,R
168,165.,Bob Cerv (12),7,R
169,165.,Chet Chadbourne (5),7,R
170,165.,Walton Cruise (10),7,R
171,165.,"Corey Dickerson (8, 31)",7,R
172,165.,Adam Dunn (14),7,R
173,165.,Ron Gant (16),7,R
174,165.,Ken Griffey (19),7,L
175,165.,Mel Hall (13),7,L
176,165.,Chuck Hinton (11),7,R
177,165.,Myril Hoag (13),7,R
178,165.,Frank Howard (16),7,R
179,165.,John Hummel (12),7,R
180,165.,Pete Incaviglia (12),7,R
181,165.,Alex Johnson (13),7,R
182,165.,Smead Jolley (4),7,R
183,165.,Whitey Lockman (15),7,R
184,165.,Jerry Lynch (13),7,R
185,165.,Barney McCosky (11),7,R
186,165.,Hack Miller (6),7,R
187,165.,Dale Mitchell (11),7,L
188,165.,Stan Musial+ (22),7,L
189,165.,Jimmy Outlaw (10),7,R
190,165.,Phil Plantier (8),7,R
191,165.,Jimmy Slagle (10),7,R
192,165.,Eric Tipton (7),7,R
193,165.,Dick Wakefield (9),7,R
194,165.,Max West (7),7,R
195,165.,Jim Wohlford (15),7,R
196,197.,Joe Adcock (17),6,R
197,197.,Ethan Allen (13),6,R
198,197.,Jesus Alou (15),6,R
199,197.,Brady Anderson (15),6,L
200,197.,Harry Anderson (5),6,R
201,197.,Phil Bradley (8),6,R
202,197.,John Briggs (12),6,L
203,197.,Joe Carter (16),6,R
204,197.,Ben Chapman (15),6,R
205,197.,Carl Crawford (15),6,L
206,197.,"Khris Davis (8, 32)",6,R
207,197.,Matt Diaz (11),6,R
208,197.,Johnny Dickshot (6),6,R
209,197.,Clyde Engle (8),6,R
210,197.,Darin Erstad (14),6,L
211,197.,Kirk Gibson (17),6,L
212,197.,Johnny Grubb (16),6,R
213,197.,Ken Henderson (16),6,R
214,197.,"Teoscar Hernandez (5, 27)",6,R
215,197.,Hugh High (6),6,L
216,197.,Solly Hofman (14),6,R
217,197.,Bo Jackson (8),6,R
218,197.,Joe Kelly (5),6,R
219,197.,Dave Kingman (16),6,R
220,197.,Peanuts Lowrey (13),6,R
221,197.,Al Martin (11),6,L
222,197.,Lefty O'Doul (11),6,L
223,197.,Fred Odwell (4),6,R
224,197.,Gene Richards (8),6,L
225,197.,Juan Rivera (12),6,R
226,197.,Johnny Rizzo (5),6,R
227,197.,"Eddie Rosario (6, 28)",6,R
