,Rank,"Player (yrs, age)",Runs Batted In,Bats
128,129.,Tino Martinez (16),1271,L
129,130.,Paul O'Neill (17),1269,L
130,131.,Dale Murphy (18),1266,R
131,132.,"Edwin Encarnacion (16, 37)",1261,R
132,132.,Edgar Martinez+ (18),1261,R
133,134.,Bernie Williams (16),1257,B
134,135.,Zack Wheat+ (19),1248,L
135,136.,Bobby Doerr+ (14),1247,R
136,137.,Frankie Frisch+ (19),1244,B
137,137.,Lee May (18),1244,R
138,139.,Albert Belle (12),1239,R
139,139.,George Foster (18),1239,R
140,141.,Magglio Ordonez (15),1236,R
141,142.,Lance Berkman (15),1234,B
142,142.,Bill Dahlen (21),1234,R
143,144.,John Olerud (17),1230,L
144,145.,Gary Carter+ (19),1225,R
145,146.,Matt Holliday (15),1220,R
146,147.,Matt Williams (17),1218,R
147,148.,Dave Kingman (16),1210,R
148,149.,Bill Dickey+ (17),1209,L
149,150.,Bill Buckner (22),1208,L
150,150.,Jim O'Rourke+ (23),1208,R
151,152.,Raul Ibanez (19),1207,L
152,153.,Ellis Burks (18),1206,R
153,154.,Will Clark (15),1205,L
154,155.,Adrian Gonzalez (15),1202,L
155,156.,Chuck Klein+ (17),1201,L
156,157.,Jim Edmonds (17),1199,L
157,158.,Bob Elliott (15),1195,R
158,159.,Julio Franco (23),1194,R
159,159.,Ryan Howard (13),1194,L
160,159.,Joe Kelley+ (17),1194,R
161,159.,Tony Lazzeri+ (14),1194,R
162,163.,Boog Powell (17),1187,L
163,164.,Joe Torre+ (18),1185,R
164,165.,Heinie Manush+ (17),1183,L
165,166.,Robin Ventura (16),1182,L
166,167.,Jack Clark (18),1180,R
167,168.,Gabby Hartnett+ (20),1179,R
168,169.,Victor Martinez (16),1178,B
169,169.,George Sisler+ (15),1178,L
170,169.,Vic Wertz (17),1178,L
171,172.,Sherry Magee (16),1176,R
172,173.,Craig Biggio+ (20),1175,R
173,174.,Vern Stephens (15),1174,R
174,174.,Bobby Veach (14),1174,L
175,176.,Bobby Bonilla (16),1173,B
176,177.,Vada Pinson (18),1169,L
177,178.,Adam Dunn (14),1168,L
178,179.,Steve Finley (19),1167,L
179,180.,Earl Averill+ (13),1164,L
180,181.,Willie Horton (18),1163,R
181,182.,Rocky Colavito (14),1159,R
182,182.,Alfonso Soriano (16),1159,R
183,184.,"Ryan Braun (14, 36)",1154,R
184,185.,B.J. Surhoff (19),1153,L
185,186.,"Nelson Cruz (16, 39)",1152,R
186,187.,Rudy York (13),1149,R
187,188.,Roy Sievers (17),1147,R
188,189.,Mark Grace (16),1146,L
189,190.,Dante Bichette (14),1141,R
190,190.,Ken Boyer (15),1141,R
191,192.,Ron Cey (17),1139,R
192,192.,Johnny Damon (18),1139,L
193,194.,Tony Gwynn+ (20),1138,L
194,195.,Tommy Corcoran (18),1137,R
195,196.,Roberto Alomar+ (17),1134,B
196,197.,Joe Morgan+ (22),1133,L
197,198.,Greg Luzinski (15),1128,R
198,199.,Cecil Cooper (17),1125,L
199,199.,Tim Wallach (17),1125,R
200,201.,Ed McKean (13),1124,R
201,202.,Joe Adcock (17),1122,R
202,203.,Bobby Wallace+ (25),1121,R
203,204.,Dick Allen (15),1119,R
204,204.,Frank Howard (16),1119,R
205,206.,Luke Appling+ (20),1116,R
206,207.,Rickey Henderson+ (25),1115,R
207,208.,George Hendrick (18),1111,R
208,208.,Fred Lynn (17),1111,L
209,210.,Todd Zeile (16),1110,R
210,211.,Buddy Bell (18),1106,R
211,211.,Wally Joyner (16),1106,L
212,213.,Vinny Castilla (16),1105,R
213,214.,Norm Cash (17),1104,L
214,215.,Don Mattingly (14),1099,L
215,216.,Hal McRae (19),1097,R
216,217.,Jimmy Ryan (18),1093,R
217,218.,Reggie Smith (17),1092,B
218,219.,Kent Hrbek (14),1086,L
219,220.,Kirby Puckett+ (12),1085,R
220,221.,Lou Whitaker (19),1084,L
221,222.,Brian Giles (15),1078,L
222,222.,Derrek Lee (15),1078,R
223,222.,Bill Terry+ (14),1078,L
224,225.,Jose Cruz (19),1077,L
225,225.,Charlie Grimm (20),1077,L
226,225.,Sam Rice+ (20),1077,L
227,228.,Pinky Higgins (14),1075,R
228,229.,Brian Downing (20),1073,R
229,230.,Jermaine Dye (14),1072,R
230,230.,Bid McPhee+ (18),1072,R
231,230.,Greg Vaughn (15),1072,R
232,233.,Jeff Conine (17),1071,R
233,233.,Keith Hernandez (17),1071,L
234,233.,Bob Meusel (11),1071,R
235,236.,Shawn Green (15),1070,L
236,236.,Lance Parrish (19),1070,R
237,238.,Jimmy Dykes (22),1069,R
238,239.,Kiki Cuyler+ (18),1065,R
239,239.,Jorge Posada (17),1065,B
240,239.,Ken Singleton (15),1065,B
241,242.,Mo Vaughn (12),1064,L
242,243.,Stuffy McInnis (19),1063,R
243,243.,Hack Wilson+ (12),1063,R
244,245.,Ryne Sandberg+ (16),1061,R
245,246.,Carl Furillo (15),1058,R
246,247.,Herman Long (16),1055,L
247,248.,Joe Sewell+ (14),1054,L
248,249.,Willie Davis (18),1053,L
249,250.,Tommy Davis (18),1052,R
250,251.,George Scott (14),1051,R
251,252.,Joe Kuhel (18),1049,L
252,253.,"Nick Markakis (15, 36)",1046,L
253,254.,Ron Fairly (21),1044,L
254,255.,"Evan Longoria (13, 34)",1043,R
255,255.,Bobby Murcer (17),1043,L
256,257.,Sal Bando (16),1039,R
257,258.,Joe Judge (20),1034,L
258,259.,"Matt Kemp (15, 35)",1031,R
259,260.,Michael Young (14),1030,R
260,261.,Prince Fielder (12),1028,L
261,261.,Ted Kluszewski (15),1028,L
262,263.,Eric Karros (14),1027,R
263,264.,Bobby Thomson (15),1026,R
264,265.,Chase Utley (16),1025,L
265,266.,Bobby Bonds (14),1024,R
266,267.,Minnie Minoso (17),1023,R
267,267.,Dixie Walker (18),1023,L
268,269.,Travis Fryman (13),1022,R
269,270.,Bret Boone (14),1021,R
270,270.,Fred Pfeffer (16),1021,R
271,272.,High Pockets Kelly+ (16),1020,R
272,273.,Brian McCann (15),1018,L
273,274.,David Justice (14),1017,L
274,275.,Tim Salmon (14),1016,R
275,276.,Rod Carew+ (19),1015,L
276,276.,Fred Clarke+ (21),1015,L
277,276.,Ralph Kiner+ (10),1015,R
278,276.,George Van Haltren (17),1015,L
279,276.,"Ryan Zimmerman (15, 35)",1015,R
280,281.,Wade Boggs+ (18),1014,L
281,282.,Dusty Baker (19),1013,R
282,283.,Hal Trosky (11),1012,L
283,284.,Cecil Fielder (13),1008,R
284,284.,Ron Gant (16),1008,R
285,286.,Amos Otis (17),1007,R
286,287.,Cy Williams (19),1005,L
287,288.,Wally Pipp (15),1004,L
288,289.,Alan Trammell+ (20),1003,R
289,290.,George Bell (12),1002,R
290,291.,Darryl Strawberry (17),1000,L
291,292.,Gee Walker (15),998,R
292,293.,Babe Herman (13),997,L
293,294.,Bing Miller (16),993,R
294,295.,Ed Konetchy (15),992,R
295,295.,Marty McManus (15),992,R
296,295.,Larry Parrish (15),992,R
297,298.,Home Run Baker+ (13),991,L
298,299.,Ernie Lombardi+ (17),990,R
299,300.,Bobby Lowe (18),989,R
300,300.,Bob Watson (19),989,R
301,302.,Deacon White+ (20),988,L
302,303.,Ryan Klesko (16),987,L
303,304.,Justin Morneau (14),985,L
304,305.,Ken Caminiti (15),983,B
305,305.,Jimmy Collins+ (14),983,R
306,305.,Billy Nash (15),983,R
307,305.,Reggie Sanders (17),983,R
308,309.,Jeromy Burnitz (14),981,L
309,309.,Edd Roush+ (18),981,L
310,311.,Tim Raines+ (23),980,B
311,312.,Del Pratt (13),979,R
312,313.,John Anderson (14),978,B
313,313.,Gary Matthews (16),978,R
314,315.,Ben Chapman (15),977,R
315,316.,Pat Burrell (12),976,R
316,316.,Cesar Cedeno (17),976,R
317,316.,Andy Pafko (17),976,R
318,319.,Jose Bautista (15),975,R
319,319.,Joe Gordon+ (11),975,R
320,321.,Chris Chambliss (17),972,L
321,322.,Jack Doyle (17),971,R
322,323.,Larry Doby+ (13),970,L
323,323.,David Wright (14),970,R
324,325.,Mike Cameron (17),968,R
325,326.,Marquis Grissom (17),967,R
326,327.,"Joey Votto (14, 36)",966,L
327,328.,Jay Buhner (15),965,R
328,329.,Jim Wynn (15),964,R
329,330.,Frank Thomas (16),962,R
330,331.,Barry Larkin+ (19),960,R
331,332.,"Justin Upton (14, 32)",959,R
332,333.,Vernon Wells (15),958,R
333,334.,George Burns (16),954,R
334,334.,Frank McCormick (13),954,R
335,336.,Jesse Burkett+ (16),952,L
336,336.,Mike Lowell (13),952,R
337,338.,Harry Davis (22),951,R
338,338.,Brandon Phillips (17),951,R
339,338.,Omar Vizquel (24),951,B
340,341.,Dolph Camilli (12),950,L
341,341.,Dave Concepcion (19),950,R
342,341.,Troy Glaus (13),950,R
343,341.,King Kelly+ (16),950,R
344,345.,"Jay Bruce (13, 33)",948,L
345,345.,Bill Nicholson (16),948,L
346,347.,Tony Oliva (15),947,L
347,348.,Terry Pendleton (15),946,B
348,349.,Adam Jones (14),945,R
349,350.,Richie Sexson (12),943,R
350,351.,Gus Bell (15),942,L
351,351.,Hunter Pence (14),942,R
352,353.,Hal Chase (15),941,R
353,354.,Curtis Granderson (16),937,L
354,355.,Nomar Garciaparra (14),936,R
355,355.,Jimmy Rollins (17),936,B
356,357.,Eric Davis (17),934,R
357,357.,Larry Gardner (17),934,L
358,359.,"Yadier Molina (17, 37)",932,R
359,359.,Tommy Tucker (13),932,B
360,361.,Travis Jackson+ (15),929,R
361,361.,Jackie Jensen (11),929,R
362,363.,Pinky Whitney (12),927,R
363,364.,Arky Vaughan+ (14),926,L
364,365.,Danny Tartabull (14),925,R
365,366.,Deron Johnson (16),923,R
366,366.,Joe Mauer (15),923,L
367,366.,Edgar Renteria (16),923,R
368,369.,Phil Cavarretta (22),920,L
369,369.,Benito Santiago (20),920,R
370,371.,Tom Brunansky (14),919,R
371,372.,Toby Harrah (17),918,R
372,373.,Hanley Ramirez (15),917,R
373,374.,Duke Farrell (18),916,B
374,374.,Ken Williams (14),916,L
375,376.,Harry Stovey (14),912,R
376,377.,Ian Kinsler (14),909,R
377,377.,A.J. Pierzynski (19),909,L
378,377.,Mike Sweeney (16),909,R
379,380.,Aubrey Huff (13),904,L
380,381.,Eric Chavez (17),902,L
381,382.,Ben Oglivie (16),901,L
382,383.,Lou Brock+ (19),900,L
383,383.,Steve Brodie (12),900,L
384,385.,Matt Stairs (19),899,L
385,386.,Wally Berger (11),898,R
386,386.,Pedro Guerrero (15),898,R
387,388.,Andre Thornton (14),895,R
388,389.,Rico Carty (15),890,R
389,389.,Richie Hebner (18),890,L
390,391.,Bill Skowron (14),888,R
391,392.,Jose Guillen (14),887,R
392,392.,Jeff Heath (14),887,L
393,394.,Frank White (18),886,R
394,395.,Pee Wee Reese+ (16),885,R
395,396.,Tony Cuccinello (15),884,R
396,396.,Chet Lemon (16),884,R
397,396.,Rabbit Maranville+ (23),884,R
398,399.,Charlie Comiskey+ (13),883,R
399,399.,Buck Ewing+ (18),883,R
400,401.,Jeff Burroughs (16),882,R
401,401.,Adam LaRoche (12),882,L
402,403.,Doug DeCinces (15),879,R
403,403.,John Mayberry (15),879,L
404,405.,J.T. Snow (16),877,L
405,406.,Hank Sauer (15),876,R
406,407.,Ray Durham (14),875,B
407,408.,Ray Lankford (14),874,L
408,408.,Carney Lansford (15),874,R
409,408.,Joe Vosmik (13),874,R
410,411.,Jhonny Peralta (15),873,R
411,412.,Mark Reynolds (13),871,R
412,413.,Kirk Gibson (17),870,L
413,413.,George Kell+ (15),870,R
414,413.,Bill White (13),870,L
415,416.,John Ward+ (17),869,L
416,417.,Cliff Floyd (17),865,L
417,418.,Bobby Grich (17),864,R
418,418.,Javy Lopez (15),864,R
419,420.,Jay Bell (18),860,R
420,420.,Bill Madlock (15),860,R
421,420.,Raul Mondesi (13),860,R
422,423.,Jack Fournier (15),859,L
423,423.,Ken Griffey (19),859,L
424,425.,"Freddie Freeman (11, 30)",858,L
425,426.,Roy Campanella+ (10),856,R
426,426.,Willie McGee (18),856,B
427,428.,Paul Hines (20),855,R
428,429.,Melky Cabrera (15),854,B
429,429.,Orlando Cabrera (15),854,R
430,431.,Bill Mazeroski+ (17),853,R
431,431.,"Andrew McCutchen (12, 33)",853,R
432,431.,Mike Tiernan (13),853,L
433,434.,Felipe Alou (17),852,R
434,434.,Ken Keltner (13),852,R
435,436.,Roger Maris (12),850,L
436,437.,Dean Palmer (14),849,R
437,438.,Ossie Bluege (18),848,R
438,438.,Buddy Myer (17),848,L
439,440.,Devon White (17),846,B
440,441.,Tony Fernandez (17),844,B
441,442.,Doc Cramer (20),842,L
442,443.,Johnny Callison (16),840,L
443,443.,Hughie Jennings+ (18),840,R
444,443.,Deacon McGuire (26),840,R
445,446.,Lou Bierbauer (13),839,L
446,446.,Billy Herman+ (15),839,R
