,Rank,"Player (yrs, age)",Runs Batted In,Bats
667,663.,"Kurt Suzuki (14, 36)",699,R
668,669.,Jeff Francoeur (12),698,R
669,669.,Luke Sewell (20),698,R
670,671.,Von Hayes (12),696,L
671,671.,Dick McAuliffe (16),696,L
672,671.,Milt Stock (14),696,R
673,674.,Lu Blue (13),695,B
674,674.,Aaron Hill (13),695,R
675,676.,Roy Smalley (13),694,B
676,677.,Pete Fox (13),693,R
677,677.,Candy LaChance (12),693,B
678,679.,Alex Gonzalez (16),690,R
679,680.,Leo Cardenas (16),689,R
680,681.,J.J. Hardy (13),688,R
681,681.,Fred Tenney (17),688,L
682,681.,Curt Walker (12),688,L
683,684.,Jack Clements (17),687,L
684,684.,Andre Ethier (12),687,L
685,684.,Willie Randolph (18),687,R
686,687.,Mike Hargrove (12),686,L
687,688.,Bob Horner (10),685,R
688,689.,Damion Easley (17),684,R
689,689.,David Segui (15),684,B
690,691.,Tom Burns (13),683,R
691,691.,Alvin Davis (9),683,L
692,691.,Dmitri Young (13),683,B
693,694.,Donn Clendenon (12),682,R
694,694.,Eddie Yost (18),682,R
695,696.,Wally Moses (17),679,L
696,696.,Tillie Walker (13),679,R
697,698.,Art Fletcher (13),676,R
698,698.,Al Smith (12),676,R
699,700.,Lyle Overbay (14),675,L
700,700.,Claude Ritchey (13),675,B
701,702.,Larry Hisle (14),674,R
702,702.,Keith Moreland (12),674,R
703,702.,Gene Tenace (15),674,R
704,705.,Smoky Burgess (18),673,L
705,705.,"Buster Posey (11, 33)",673,R
706,707.,Ezra Sutton (18),672,R
707,707.,Sam Wise (12),672,L
708,709.,"José Abreu (7, 33)",671,R
709,709.,Harvey Kuenn (15),671,R
710,711.,James Loney (11),669,L
711,711.,Leon Wagner (12),669,L
712,713.,Derek Bell (11),668,R
713,713.,Shawon Dunston (18),668,R
714,713.,"Bryce Harper (9, 27)",668,L
715,713.,Preston Wilson (10),668,R
716,717.,Jerry Denny (13),667,R
717,717.,Juan Encarnacion (11),667,R
718,717.,Ned Williamson (13),667,R
719,720.,Oscar Gamble (17),666,L
720,721.,Mike Smith (14),665,L
721,722.,Gregg Jefferies (14),663,B
722,723.,Randy Winn (13),662,B
723,724.,Wally Moon (12),661,L
724,725.,Carlos Guillen (14),660,B
725,726.,Pete Browning (13),659,R
726,726.,Ripper Collins (9),659,B
727,728.,Bruce Bochte (12),658,L
728,728.,Vic Power (12),658,R
729,730.,Del Crandall (16),657,R
730,730.,Bones Ely (14),657,R
731,730.,Cecil Travis (12),657,L
732,733.,"Josh Donaldson (10, 34)",656,R
733,733.,Tito Francona (15),656,L
734,733.,Billy Jurges (17),656,R
735,736.,Pete Incaviglia (12),655,R
736,737.,Clete Boyer (16),654,R
737,737.,Jose Vidro (12),654,B
738,739.,George Cutshaw (12),653,R
739,740.,Al Lopez+ (19),652,R
740,741.,Frankie Crosetti (17),649,R
741,742.,Brandon Inge (13),648,R
742,742.,Aurelio Rodriguez (17),648,R
743,744.,Spud Davis (16),647,R
744,745.,Bert Campaneris (19),646,R
745,746.,"Manny Machado (9, 27)",645,R
746,746.,Tim McCarver (21),645,L
747,748.,Jack Rowe (12),644,L
748,749.,Don Mincher (13),643,L
749,749.,John Morrill (15),643,R
750,751.,Stan Hack (16),642,L
751,751.,Fred Luderus (12),642,L
752,753.,Bill Robinson (16),641,R
753,754.,"Michael Brantley (12, 33)",640,L
754,754.,"Starlin Castro (11, 30)",640,R
755,754.,Mark Grudzielanek (15),640,R
756,754.,Eddie Miller (14),640,R
757,758.,Coco Crisp (15),639,B
758,759.,Kitty Bransfield (12),637,R
759,760.,"Elvis Andrus (12, 31)",636,R
760,760.,Curt Flood (15),636,R
761,760.,"Todd Frazier (10, 34)",636,R
762,760.,Norm Siebern (12),636,L
763,764.,Steve Kemp (11),634,L
764,765.,Earle Combs+ (12),633,L
765,765.,Eric McNair (14),633,R
766,767.,Josh Willingham (11),632,R
767,768.,Pop Corkhill (10),631,L
768,768.,Fielder Jones (15),631,L
769,768.,Matt Lawton (12),631,L
770,771.,Jacque Jones (10),630,L
771,771.,Pete Runnels (14),630,L
772,773.,Mark Loretta (15),629,R
773,773.,Mark Trumbo (10),629,R
774,775.,Frankie Hayes (14),628,R
775,775.,Terry Kennedy (14),628,L
776,775.,"Pablo Sandoval (13, 33)",628,B
777,778.,Dave Orr (8),627,R
778,778.,Bill Russell (18),627,R
779,780.,Mike Bordick (14),626,R
780,781.,Chief Zimmer (19),625,R
781,782.,Jose Cruz (12),624,B
782,782.,Marty Marion (13),624,R
783,782.,Jim Sundberg (16),624,R
784,785.,Chick Stahl (10),622,L
785,786.,Monte Cross (15),621,R
786,786.,Bug Holliday (10),621,R
787,786.,Jimmie Wilson (18),621,R
788,789.,Paul Blair (17),620,R
789,789.,Mel Hall (13),620,L
790,789.,Howie Shanks (14),620,R
791,792.,Tommy Griffith (13),619,L
792,792.,Ozzie Guillen (16),619,L
793,794.,Dom DiMaggio (11),618,R
794,794.,George Gore (14),618,L
795,794.,Candy Maldonado (15),618,R
796,794.,Kevin Youkilis (10),618,R
797,798.,Ginger Beaumont (12),617,L
798,798.,Clyde Milan (16),617,L
799,800.,Casey Blake (13),616,R
800,800.,Elbie Fletcher (12),616,L
801,802.,Tony Gonzalez (12),615,L
802,802.,Chuck Knoblauch (12),615,R
803,802.,Mark McLemore (19),615,B
804,805.,Rusty Greer (9),614,L
805,805.,Charlie Hickman (12),614,R
806,805.,Ed Kranepool (18),614,L
807,805.,Davey Lopes (16),614,R
808,809.,Kevin Seitzer (12),613,R
809,810.,Kevin Bass (14),611,B
810,810.,George Burns (15),611,R
811,812.,Don Hurst (7),610,L
812,812.,Mike Lieberthal (14),610,R
813,812.,Jim Northrup (12),610,L
814,812.,Billy Rogell (14),610,B
815,816.,Davey Johnson (13),609,R
816,816.,Bill Joyce (8),609,L
817,816.,Dwayne Murphy (12),609,L
818,816.,Martin Prado (14),609,R
819,816.,"Neil Walker (12, 34)",609,B
820,821.,Gus Triandos (13),608,R
821,822.,Brad Ausmus (18),607,R
822,822.,Buddy Lewis (11),607,L
823,824.,Ken McMullen (16),606,R
824,824.,Denis Menke (13),606,R
825,824.,Kevin Young (12),606,R
826,827.,Greg Gagne (15),604,R
827,827.,Willard Marshall (11),604,L
828,829.,Glenn Davis (10),603,R
829,829.,Jose Hernandez (15),603,R
830,831.,Ronnie Belliard (13),601,R
831,831.,"Jason Heyward (11, 30)",601,L
832,831.,Eddie Joost (17),601,R
833,831.,Elmer Valo (20),601,L
834,831.,George Wood (13),601,L
835,836.,Rob Deer (11),600,R
836,837.,Roy Cullenbine (10),599,B
837,837.,Todd Hundley (14),599,B
838,837.,Moose Solters (9),599,R
839,837.,Jim Spencer (15),599,L
840,841.,Pedro Feliz (11),598,R
841,841.,Jim Tabor (9),598,R
842,841.,Tony Taylor (19),598,R
843,841.,Lloyd Waner+ (18),598,L
844,845.,Gary Ward (12),597,R
845,846.,Enos Cabell (15),596,R
846,846.,Frank Chance+ (17),596,R
847,846.,Chase Headley (12),596,B
848,849.,Ray Knight (13),595,R
849,850.,Roy McMillan (16),594,R
850,850.,"Marcell Ozuna (8, 29)",594,R
851,850.,Johnny Ray (10),594,B
852,850.,Ty Wigginton (12),594,R
853,850.,Walt Wilmot (10),594,B
854,855.,Dick Hoblitzell (11),593,L
855,855.,Cookie Rojas (16),593,R
856,855.,Ray Schalk+ (18),593,R
857,855.,Fred Schulte (11),593,R
858,859.,John Kruk (10),592,L
859,859.,Chicken Wolf (11),592,R
860,859.,Ross Youngs+ (10),592,L
861,862.,Dave Bancroft+ (16),591,B
862,862.,Frank Demaree (12),591,R
863,862.,Billy Goodman (16),591,L
864,862.,Sixto Lezcano (12),591,R
865,862.,Hector Lopez (12),591,R
866,862.,Bill Melton (10),591,R
867,862.,Troy O'Leary (11),591,L
868,862.,Jim Piersall (17),591,R
869,870.,Alexei Ramírez (9),590,R
870,870.,Chris Young (13),590,R
871,872.,David Bell (12),589,R
872,873.,Sandy Alomar (20),588,R
873,873.,Darren Daulton (14),588,L
874,873.,"Mitch Moreland (11, 34)",588,L
875,873.,"Mike Moustakas (10, 31)",588,L
876,877.,Rafael Furcal (14),587,B
877,877.,Ryan Ludwick (12),587,R
878,879.,Richie Ashburn+ (15),586,L
879,879.,Rube Bressler (19),586,R
880,879.,Glenallen Hill (13),586,R
881,879.,Melvin Upton Jr. (12),586,R
882,883.,Roberto Kelly (14),585,R
883,883.,Orlando Merced (13),585,B
884,883.,Manny Sanguillen (13),585,R
885,883.,Jack Tobin (13),585,L
886,883.,Willie Wilson (19),585,B
887,888.,Vince DiMaggio (10),584,R
888,889.,Darrin Fletcher (14),583,L
889,890.,Bob Fothergill (12),582,R
890,891.,Tommy Holmes (11),581,L
891,892.,"Khris Davis (8, 32)",580,R
892,892.,Dave Martinez (16),580,L
893,892.,Shannon Stewart (14),580,R
894,895.,Ruppert Jones (12),579,L
895,895.,Bill Lange (7),579,R
896,897.,Brett Butler (17),578,L
897,897.,Jim Ray Hart (12),578,R
898,899.,Dode Paskert (15),577,R
899,899.,"Anthony Rendon (8, 30)",577,R
900,901.,Ken Henderson (16),576,B
901,901.,Gil McDougald (10),576,R
902,901.,George Selkirk (9),576,L
903,904.,Jerry Mumphrey (15),575,B
904,904.,Red Murray (11),575,R
905,904.,Stan Spence (9),575,L
906,907.,Tom Herr (13),574,B
907,908.,David DeJesus (13),573,L
908,908.,Odell Hale (10),573,R
909,910.,Adam Kennedy (14),571,L
910,910.,Manny Trillo (17),571,R
911,912.,Jack Boyle (13),570,R
912,912.,Ferris Fain (9),570,L
913,912.,Charles Johnson (12),570,R
914,912.,Jerry Morales (15),570,R
915,912.,"Justin Smoak (11, 33)",570,B
916,912.,Chief Wilson (9),570,L
917,918.,Babe Dahlgren (12),569,R
918,919.,Jim Gantner (17),568,L
919,920.,Joe Dugan (14),567,R
920,920.,Leo Durocher+ (17),567,R
921,920.,Tommy Harper (15),567,R
922,920.,Doggie Miller (13),567,R
923,924.,Wil Cordero (14),566,R
924,924.,Dan Ford (11),566,R
925,924.,Heinie Groh (16),566,R
926,924.,Delmon Young (10),566,R
927,928.,Hoot Evers (12),565,R
928,928.,Paul Sorrento (11),565,L
929,930.,"Brandon Crawford (10, 33)",564,L
930,930.,Joe Hornung (12),564,R
931,930.,Jason Kubel (10),564,L
932,930.,George Stovall (12),564,R
933,930.,John Titus (11),564,L
934,935.,Don Demeter (11),563,R
935,935.,Arlie Latham (17),563,R
936,935.,Whitey Lockman (15),563,L
937,935.,Phil Rizzuto+ (13),563,R
938,939.,Delino DeShields (13),561,L
939,939.,"Brian Dozier (9, 33)",561,R
940,939.,Billy Southworth+ (13),561,L
941,942.,Jim Hickman (13),560,R
942,942.,Richard Hidalgo (9),560,R
943,942.,Frank LaPorte (11),560,R
944,942.,Heinie Peitz (16),560,R
945,946.,Woodie Held (14),559,R
946,946.,Hi Myers (14),559,R
947,948.,Jim Gilliam (14),558,B
948,948.,Danny Richardson (11),558,R
949,948.,Ed Sprague (11),558,R
950,948.,John Valentin (11),558,R
951,952.,Duff Cooley (13),557,L
952,953.,"Jose Altuve (10, 30)",556,R
953,953.,Frank Bolling (12),556,R
954,953.,Chick Gandil (9),556,R
955,953.,Andy Seminick (15),556,R
956,953.,Socks Seybold (9),556,R
957,958.,Aaron Boone (12),555,R
958,958.,"Matt Carpenter (10, 34)",555,L
959,958.,Rollie Hemsley (19),555,R
960,958.,Roy Johnson (10),555,L
961,958.,Trot Nixon (12),555,L
962,958.,Everett Scott (13),555,R
963,964.,Mickey Doolin (13),554,R
964,964.,"Josh Reddick (12, 33)",554,L
965,966.,"Charlie Blackmon (10, 33)",553,L
966,966.,Charley Jones (12),553,R
967,966.,Taffy Wright (9),553,L
968,969.,Bill Bradley (14),552,R
969,970.,Mark Ellis (12),550,R
970,970.,Hobe Ferris (9),550,R
971,970.,Larry Herndon (14),550,R
972,970.,Charlie Jamieson (18),550,L
973,970.,Kelly Johnson (11),550,L
974,970.,Miguel Montero (13),550,L
975,970.,Steve Sax (14),550,R
976,970.,"Matt Wieters (12, 34)",550,B
977,978.,Lonny Frey (14),549,L
978,978.,Jim Gentile (9),549,L
979,978.,Bob O'Farrell (21),549,R
980,978.,Scott Spiezio (12),549,B
981,982.,Ken Reitz (11),548,R
982,982.,John Roseboro (14),548,L
983,984.,Steve Buechele (11),547,R
984,984.,Johnny Logan (13),547,R
985,984.,Ski Melillo (12),547,R
986,987.,Bernard Gilkey (12),546,R
987,987.,Carlos Gomez (13),546,R
988,989.,Bill Bruton (12),545,L
989,989.,Brook Jacoby (11),545,R
990,989.,"Jason Kipnis (10, 33)",545,L
991,989.,"Jonathan Lucroy (11, 34)",545,R
992,989.,Todd Walker (12),545,L
993,994.,Sam Mele (10),544,R
994,994.,Bob Nieman (12),544,R
995,994.,Joe Start (16),544,L
996,997.,Hick Carpenter (12),543,R
997,997.,Mike Donlin (12),543,L
998,997.,Gus Mancuso (17),543,R
999,997.,Eric Young Sr. (15),543,R
