,Rank,"Player (yrs, age)",Offensive WAR,Bats
0,1.,Babe Ruth+ (22),154.4,L
1,2.,Ty Cobb+ (24),151.2,L
2,3.,Barry Bonds (22),143.6,L
3,4.,Willie Mays+ (22),136.6,R
4,5.,Hank Aaron+ (23),132.5,R
5,6.,Ted Williams+ (19),125.1,L
6,7.,Stan Musial+ (22),124.8,L
7,8.,Tris Speaker+ (22),124.4,L
8,9.,Honus Wagner+ (21),123.2,R
9,10.,Rogers Hornsby+ (23),121.9,R
10,11.,Eddie Collins+ (25),119.8,L
11,12.,Mickey Mantle+ (18),116.2,B
12,13.,Alex Rodriguez (22),115.3,R
13,14.,Lou Gehrig+ (17),114.1,L
14,15.,Frank Robinson+ (21),106.9,R
15,16.,Mel Ott+ (22),106.7,L
16,17.,Rickey Henderson+ (25),105.2,R
17,18.,Joe Morgan+ (22),104.3,L
18,19.,Nap Lajoie+ (21),98.1,R
19,20.,Derek Jeter+ (20),96.3,R
20,21.,Eddie Mathews+ (17),93.7,L
21,22.,Mike Schmidt+ (18),91.8,R
22,23.,Cap Anson+ (27),91.6,R
23,23.,Jimmie Foxx+ (20),91.6,R
24,25.,Chipper Jones+ (19),88.3,B
25,26.,"Albert Pujols (20, 40)",85.8,R
26,27.,George Brett+ (21),84.8,L
27,28.,Ken Griffey Jr.+ (22),84.6,L
28,29.,Pete Rose (24),83.2,B
29,30.,Robin Yount+ (20),83.1,R
30,31.,Dan Brouthers+ (19),82.4,L
31,32.,Manny Ramirez (19),81.8,R
32,33.,Wade Boggs+ (18),81.4,L
33,34.,Rod Carew+ (19),81.0,L
34,34.,Charlie Gehringer+ (19),81.0,L
35,36.,Gary Sheffield (22),80.8,R
36,37.,Sam Crawford+ (19),80.4,L
37,37.,Frank Thomas+ (19),80.4,R
38,39.,Roger Connor+ (18),79.4,B
39,40.,"Miguel Cabrera (18, 37)",79.0,R
40,41.,Al Kaline+ (22),78.4,R
41,42.,Carl Yastrzemski+ (23),78.2,L
42,43.,Cal Ripken Jr.+ (21),78.1,R
43,44.,Jim Thome+ (22),77.6,L
44,45.,Reggie Jackson+ (21),77.2,L
45,46.,Harry Heilmann+ (17),76.8,R
46,47.,Arky Vaughan+ (14),76.3,L
47,48.,Craig Biggio+ (20),76.2,R
48,49.,Paul Molitor+ (21),75.6,R
49,50.,Jeff Bagwell+ (15),74.7,R
50,51.,Joe DiMaggio+ (13),74.5,R
51,52.,"Mike Trout (10, 28)",74.2,R
52,53.,Dave Winfield+ (22),74.1,R
53,54.,Luke Appling+ (20),73.3,R
54,55.,Paul Waner+ (20),72.6,L
55,56.,Willie McCovey+ (22),72.1,L
56,57.,Adrian Beltre (21),71.6,R
57,58.,Roberto Clemente+ (18),71.5,R
58,58.,Harmon Killebrew+ (22),71.5,R
59,60.,Roberto Alomar+ (17),70.8,B
60,60.,George Davis+ (20),70.8,B
61,62.,Dick Allen (15),70.2,R
62,63.,Duke Snider+ (18),70.1,L
63,64.,Johnny Mize+ (15),69.7,L
64,65.,Tim Raines+ (23),69.3,B
65,66.,Ed Delahanty+ (16),69.2,R
66,67.,"Robinson Cano (16, 37)",68.8,L
67,68.,Barry Larkin+ (19),68.3,R
68,69.,Lou Whitaker (19),67.7,L
69,70.,Rafael Palmeiro (20),67.5,L
70,71.,Tony Gwynn+ (20),67.2,L
71,72.,Edgar Martinez+ (18),66.9,R
72,73.,Carlos Beltran (20),66.6,B
73,74.,Ron Santo+ (15),66.5,R
74,74.,Billy Williams+ (18),66.5,L
75,76.,Mike Piazza+ (16),66.4,R
76,77.,Carlton Fisk+ (24),66.3,R
77,78.,Johnny Bench+ (17),65.7,R
78,79.,Mark McGwire (16),65.4,R
79,80.,Jesse Burkett+ (16),64.5,L
80,81.,Willie Stargell+ (21),64.1,L
81,82.,Bernie Williams (16),63.2,B
82,83.,Alan Trammell+ (20),63.1,R
83,84.,Larry Walker+ (17),62.8,L
84,85.,Bobby Grich (17),62.6,R
85,86.,Bill Dahlen (21),62.5,R
86,86.,Toby Harrah (17),62.5,R
87,88.,Ernie Banks+ (19),62.4,R
88,89.,Eddie Murray+ (21),62.2,B
89,90.,Al Simmons+ (20),62.0,R
90,91.,Joe Cronin+ (20),61.7,R
91,91.,Goose Goslin+ (18),61.7,L
92,91.,Billy Hamilton+ (14),61.7,L
93,94.,Bobby Abreu (18),61.6,L
94,95.,Shoeless Joe Jackson (13),61.2,L
95,96.,Dwight Evans (20),60.5,R
96,97.,Ryne Sandberg+ (16),60.4,R
97,98.,Jeff Kent (17),60.1,R
98,99.,Jake Beckley+ (20),59.9,L
99,100.,Joe Torre+ (18),59.6,R
100,101.,Home Run Baker+ (13),59.4,L
101,102.,Vladimir Guerrero+ (16),59.1,R
102,103.,Fred Clarke+ (21),58.8,L
103,104.,Richie Ashburn+ (15),58.4,L
104,104.,Jason Giambi (20),58.4,L
105,106.,Sal Bando (16),58.3,R
106,107.,Kenny Lofton (17),58.0,L
107,108.,Brett Butler (17),57.9,L
108,109.,Jim Wynn (15),57.7,R
109,110.,Frankie Frisch+ (19),57.5,B
110,110.,Pee Wee Reese+ (16),57.5,R
111,112.,Jim Edmonds (17),57.2,L
112,112.,Sherry Magee (16),57.2,R
113,112.,Jim O'Rourke+ (23),57.2,R
114,115.,David Ortiz (20),56.7,L
115,115.,Bobby Wallace+ (25),56.7,R
116,117.,Gary Carter+ (19),56.3,R
117,117.,Reggie Smith (17),56.3,B
118,119.,Yogi Berra+ (19),56.2,L
119,120.,Fred McGriff (19),56.1,L
120,120.,"Joey Votto (14, 36)",56.1,L
121,122.,Johnny Damon (18),56.0,L
122,123.,Ken Boyer (15),55.9,R
123,124.,Enos Slaughter+ (19),55.8,L
124,125.,Will Clark (15),55.6,L
125,126.,Andre Dawson+ (21),55.4,R
126,127.,Stan Hack (16),55.2,L
127,128.,Vada Pinson (18),55.0,L
128,129.,Zack Wheat+ (19),54.7,L
