,Rank,"Player (yrs, age)",Errors Committed as P,Throws
0,1.,Bobby Mathews (15),220,R
1,2.,Tim Keefe+ (14),166,R
2,3.,Pud Galvin+ (15),163,R
3,4.,John Clarkson+ (12),162,R
4,5.,Cy Young+ (22),146,R
5,6.,Mickey Welch+ (13),133,R
6,7.,Gus Weyhing (14),128,R
7,8.,Tony Mullane (13),122,R
8,8.,Amos Rusie+ (10),122,R
9,10.,Bert Cunningham (12),111,R
10,10.,Old Hoss Radbourn+ (12),111,R
11,12.,Al Spalding+ (8),110,R
12,13.,Tommy Bond (10),109,R
13,14.,Toad Ramsey (6),107,L
14,15.,Will White (10),106,R
15,16.,Adonis Terry (14),104,R
16,17.,Joe McGinnity+ (10),100,R
17,18.,Jim McCormick (10),99,R
18,18.,Jim Whitney (10),99,R
19,20.,George Bradley (11),98,R
20,21.,Charlie Buffinton (11),94,R
21,21.,Red Ehret (11),94,R
22,21.,Chick Fraser (14),94,R
23,24.,Matt Kilroy (10),91,L
24,24.,Rube Waddell+ (13),91,L
25,26.,Nolan Ryan+ (27),90,R
26,27.,George Zettlein (6),88,R
27,28.,Win Mercer (9),84,R
28,29.,Al Orth (15),83,R
29,30.,Frank Killen (10),82,L
30,30.,George Mullin (14),82,R
31,32.,Mark Baldwin (7),77,R
32,32.,Jack Taylor (9),77,R
33,34.,Stump Weidman (9),76,R
34,35.,Red Ames (17),74,R
35,35.,Bill Hutchison (9),74,R
36,35.,Hippo Vaughn (13),74,L
37,38.,Ed Doheny (9),72,L
38,38.,Jack Powell (16),72,R
39,40.,Jersey Bakley (6),71,R
40,40.,Ed Crane (9),71,R
41,40.,Red Faber+ (20),71,R
42,40.,Burleigh Grimes+ (19),71,R
43,40.,Jack Lynch (7),71,R
44,45.,Eddie Cicotte (14),70,R
45,45.,Pink Hawley (10),70,R
46,45.,Sadie McMahon (9),70,R
47,45.,Ed Morris (7),70,L
48,49.,Pretzels Getzien (9),68,R
49,49.,Dick McBride (6),68,R
50,51.,Kid Carsey (10),67,R
51,51.,Larry Corcoran (8),67,R
52,51.,Kid Nichols+ (15),67,R
53,51.,Vic Willis+ (13),67,R
54,55.,Kid Gleason (22),66,R
55,55.,Cy Seymour (16),66,L
56,57.,Hardie Henderson (6),65,R
57,58.,Bob Barr (5),64,R
58,58.,Clark Griffith+ (21),64,R
59,60.,Tom Hughes (13),63,R
60,61.,Jumbo McGinnis (6),62,
61,61.,Jack Stivetts (11),62,R
62,63.,Bob Caruthers (10),61,R
63,63.,Egyptian Healy (8),61,R
64,63.,Bill Stearns (5),61,R
65,66.,Fred Goldsmith (7),60,R
66,66.,Guy Hecker (9),60,R
67,66.,Jouett Meekin (10),60,R
68,66.,Earl Moore (14),60,R
69,70.,Candy Cummings+ (6),59,R
70,70.,Don Drysdale+ (14),59,R
71,72.,Cherokee Fisher (8),58,R
72,72.,Bill Lee (14),58,R
73,72.,Warren Spahn+ (21),58,L
74,75.,Theodore Breitenstein (11),57,L
75,75.,Randy Johnson+ (22),57,L
76,75.,Brickyard Kennedy (12),57,R
77,78.,Jack Chesbro+ (11),56,R
78,78.,Bill Dinneen (12),56,R
79,78.,Jim Kaat (25),56,L
80,78.,Silver King (10),56,R
81,78.,Allan Sothoron (11),56,R
82,78.,Willie Sudhoff (10),56,R
83,78.,Ed Walsh+ (14),56,R
84,85.,Chief Bender+ (16),55,R
85,86.,Joaquin Andujar (13),54,R
86,86.,Ice Box Chamberlain (10),54,R
