,Rank,"Player (yrs, age)",Intentional Bases on Balls,Bats
0,1.,Barry Bonds (22),688,L
1,2.,"Albert Pujols (20, 40)",312,R
2,3.,Stan Musial+ (22),298,L
3,4.,Hank Aaron+ (23),293,R
4,5.,Willie McCovey+ (22),260,L
5,6.,Ted Williams+ (19),258,L
6,7.,Vladimir Guerrero+ (16),250,R
7,8.,Ken Griffey Jr.+ (22),246,L
8,9.,"Miguel Cabrera (18, 37)",235,R
9,10.,George Brett+ (21),229,L
10,11.,Willie Stargell+ (21),227,L
11,12.,Eddie Murray+ (21),222,B
12,13.,Frank Robinson+ (21),218,R
13,14.,Manny Ramirez (19),216,R
14,15.,Willie Mays+ (22),214,R
15,16.,David Ortiz (20),209,L
16,17.,Tony Gwynn+ (20),203,L
17,18.,Ernie Banks+ (19),202,R
18,19.,Mike Schmidt+ (18),201,R
19,20.,Rusty Staub (23),193,L
20,21.,Carl Yastrzemski+ (23),190,L
21,22.,Chili Davis (19),188,B
22,22.,Ted Simmons+ (21),188,B
23,24.,Harold Baines+ (22),187,L
24,25.,Carlos Delgado (17),186,L
25,26.,Todd Helton (17),185,L
26,27.,Billy Williams+ (18),182,L
27,28.,Ichiro Suzuki (19),181,L
28,29.,Wade Boggs+ (18),180,L
29,30.,Chipper Jones+ (19),177,B
30,31.,Jim Thome+ (22),173,L
31,32.,Rafael Palmeiro (20),172,L
32,32.,Dave Winfield+ (22),172,R
33,34.,Fred McGriff (19),171,L
34,35.,Dave Parker (19),170,L
35,36.,Frank Thomas+ (19),168,R
36,37.,Roberto Clemente+ (18),167,R
37,37.,Pete Rose (24),167,B
38,39.,Prince Fielder (12),164,L
39,39.,Reggie Jackson+ (21),164,L
40,41.,Lance Berkman (15),160,B
41,41.,Harmon Killebrew+ (22),160,R
42,43.,Dale Murphy (18),159,R
43,44.,Adrian Gonzalez (15),158,L
44,45.,John Olerud (17),157,L
45,46.,Jeff Bagwell+ (15),155,R
46,46.,Will Clark (15),155,L
47,48.,Orlando Cepeda+ (17),154,R
48,48.,Ryan Howard (13),154,L
49,48.,Duke Snider+ (18),154,L
50,48.,Sammy Sosa (18),154,R
51,52.,Ernie Lombardi+ (17),153,R
52,53.,Luis Gonzalez (19),150,L
53,53.,Mark McGwire (16),150,R
54,53.,Johnny Mize+ (15),150,L
55,53.,Tony Perez+ (23),150,R
56,57.,Mickey Mantle+ (18),148,B
57,57.,Tim Raines+ (23),148,B
58,59.,Mike Piazza+ (16),146,R
59,60.,Joe Mauer (15),145,L
60,61.,Rod Carew+ (19),144,L
61,61.,Garry Templeton (16),144,B
62,61.,Mo Vaughn (12),144,L
63,64.,Andre Dawson+ (21),143,R
64,65.,Jose Cruz (19),142,L
65,65.,Ted Kluszewski (15),142,L
66,65.,Eddie Mathews+ (17),142,L
67,68.,Darrell Evans (21),141,L
68,68.,"Joey Votto (14, 36)",141,L
69,70.,Boog Powell (17),140,L
70,71.,Dick Allen (15),138,R
71,72.,Don Mattingly (14),136,L
72,73.,Johnny Bench+ (17),135,R
73,73.,Frank Howard (16),135,R
74,75.,Jimmie Foxx+ (20),133,R
75,75.,Al Kaline+ (22),133,R
76,77.,Robin Ventura (16),132,L
77,78.,Bill Nicholson (16),131,L
78,78.,Tony Oliva (15),131,L
79,78.,Darryl Strawberry (17),131,L
80,81.,Keith Hernandez (17),130,L
81,81.,Gary Sheffield (22),130,R
82,83.,Ron Fairly (21),129,L
83,83.,Al Lopez+ (19),129,R
84,85.,Bobby Bonilla (16),128,B
85,85.,Mel Ott+ (22),128,L
86,87.,Jack Clark (18),127,R
87,87.,Joe Torre+ (18),127,R
88,89.,Ken Singleton (15),125,B
89,90.,Lou Brock+ (19),124,L
90,91.,Leo Cardenas (16),122,R
91,91.,Adam Dunn (14),122,L
92,93.,Bill Madlock (15),121,R
93,94.,Brooks Robinson+ (23),120,R
94,95.,Victor Martinez (16),119,B
95,95.,Tim McCarver (21),119,L
96,95.,Al Oliver (18),119,L
97,98.,Johnny Edwards (14),118,L
98,99.,Ron Cey (17),117,R
99,99.,Del Crandall (16),117,R
100,99.,Larry Walker+ (17),117,L
101,102.,Bobby Abreu (18),115,L
102,102.,Pedro Guerrero (15),115,R
103,102.,Reggie Smith (17),115,B
104,105.,Brian Giles (15),114,L
