,Rank,"Player (yrs, age)",WAR for Pitchers,Throws
0,1.,Cy Young+ (22),165.7,R
1,2.,Walter Johnson+ (21),151.9,R
2,3.,Roger Clemens (24),138.7,R
3,4.,Kid Nichols+ (15),116.7,R
4,5.,Pete Alexander+ (20),116.0,R
5,6.,Lefty Grove+ (17),113.3,L
6,7.,Tom Seaver+ (20),106.0,R
7,8.,Greg Maddux+ (23),104.8,R
8,9.,Randy Johnson+ (22),103.5,L
9,10.,Christy Mathewson+ (17),99.8,R
10,11.,Phil Niekro+ (24),97.0,R
11,12.,Bert Blyleven+ (22),96.1,R
12,13.,Gaylord Perry+ (22),93.0,R
13,14.,Warren Spahn+ (21),92.5,L
14,15.,Tim Keefe+ (14),89.1,R
15,16.,Eddie Plank+ (17),87.7,L
16,17.,Pedro Martinez+ (18),86.1,R
17,18.,John Clarkson+ (12),84.9,R
18,19.,Steve Carlton+ (24),84.1,L
19,20.,Nolan Ryan+ (27),83.6,R
20,21.,Pud Galvin+ (15),83.3,R
21,22.,Robin Roberts+ (19),83.0,R
22,23.,Mike Mussina+ (18),82.8,R
23,24.,Fergie Jenkins+ (19),82.2,R
24,25.,Bob Gibson+ (17),81.7,R
25,26.,Curt Schilling (20),80.5,R
26,27.,Jim McCormick (10),76.0,R
27,28.,Tom Glavine+ (22),73.9,L
28,29.,Old Hoss Radbourn+ (12),73.2,R
29,30.,"Justin Verlander (16, 37)",72.3,R
30,31.,Carl Hubbell+ (16),68.9,L
31,32.,Don Sutton+ (23),68.3,R
32,33.,Kevin Brown (19),68.2,R
33,34.,Rick Reuschel (19),68.1,R
34,35.,Red Faber+ (20),67.7,R
35,36.,Jim Palmer+ (19),67.6,R
36,37.,Vic Willis+ (13),67.5,R
37,38.,"Zack Greinke (17, 36)",67.1,R
38,39.,"Clayton Kershaw (13, 32)",67.0,L
39,40.,Ted Lyons+ (21),66.8,R
40,41.,Stan Coveleski+ (14),66.4,R
41,41.,John Smoltz+ (21),66.4,R
42,43.,Luis Tiant (19),65.6,R
43,44.,Roy Halladay+ (16),65.4,R
44,45.,Bob Feller+ (18),65.2,R
45,45.,Amos Rusie+ (10),65.2,R
46,47.,Ed Walsh+ (14),63.7,R
47,48.,Mickey Welch+ (13),63.1,R
48,49.,Dazzy Vance+ (16),62.9,R
49,50.,Bobby Mathews (15),62.3,R
50,51.,Dennis Eckersley+ (24),62.2,R
51,52.,Tommy John (26),62.1,L
52,53.,CC Sabathia (19),62.0,L
53,54.,Juan Marichal+ (16),61.8,R
54,55.,David Cone (17),61.6,R
55,56.,Don Drysdale+ (14),61.3,R
56,56.,Joe McGinnity+ (10),61.3,R
57,58.,Tony Mullane (13),61.1,R
58,59.,Tommy Bond (10),61.0,R
59,60.,Rube Waddell+ (13),60.8,L
