,Rank,"Player (yrs, age)",Def. Games as 2B,Throws
0,1.,Eddie Collins+ (25),2650,R
1,2.,Joe Morgan+ (22),2527,R
2,3.,Roberto Alomar+ (17),2320,R
3,4.,Lou Whitaker (19),2308,R
4,5.,Nellie Fox+ (19),2295,R
5,6.,Charlie Gehringer+ (19),2206,R
6,7.,"Robinson Cano (16, 37)",2158,R
7,8.,Willie Randolph (18),2152,R
8,9.,Frank White (18),2151,R
9,10.,Bid McPhee+ (18),2129,R
10,11.,Bill Mazeroski+ (17),2094,R
11,12.,Nap Lajoie+ (21),2035,R
12,13.,Jeff Kent (17),2034,R
13,14.,Ryne Sandberg+ (16),1995,R
14,15.,Craig Biggio+ (20),1989,R
15,16.,Bobby Doerr+ (14),1852,R
16,17.,Ray Durham (14),1843,R
17,18.,Red Schoendienst+ (19),1834,R
18,19.,Brandon Phillips (17),1831,R
19,20.,Ian Kinsler (14),1828,R
20,21.,Billy Herman+ (15),1813,R
21,22.,Bobby Grich (17),1765,R
22,23.,Bret Boone (14),1763,R
23,24.,Frankie Frisch+ (19),1762,R
24,25.,Chase Utley (16),1743,R
25,26.,Johnny Evers+ (18),1735,R
26,27.,Larry Doyle (14),1728,R
27,28.,Del Pratt (13),1688,R
28,29.,Luis Castillo (15),1683,R
29,30.,Steve Sax (14),1679,R
30,31.,Kid Gleason (22),1585,R
31,32.,Rogers Hornsby+ (23),1561,R
32,33.,Julian Javier (13),1552,R
33,34.,Fred Pfeffer (16),1538,R
34,35.,Miller Huggins+ (13),1530,R
35,36.,Joe Gordon+ (11),1519,R
36,37.,Frank Bolling (12),1518,R
37,37.,Manny Trillo (17),1518,R
38,39.,Tony Taylor (19),1498,R
39,40.,"Dustin Pedroia (14, 36)",1492,R
40,41.,George Cutshaw (12),1486,R
41,42.,Claude Ritchey (13),1479,R
42,43.,Tony Lazzeri+ (14),1456,R
43,44.,Cupid Childs (13),1455,R
44,45.,Hughie Critz (12),1453,R
45,46.,Felix Millan (12),1450,R
46,47.,Jim Gantner (17),1449,R
47,48.,Cookie Rojas (16),1446,R
48,49.,Davey Lopes (16),1418,R
49,50.,Tom Herr (13),1416,R
50,51.,Delino DeShields (13),1392,R
51,52.,Chuck Knoblauch (12),1381,R
52,53.,Lou Bierbauer (13),1366,R
53,54.,Mark Ellis (12),1364,R
54,55.,Bill Doran (12),1359,R
55,56.,Adam Kennedy (14),1347,R
56,57.,Buddy Myer (17),1340,R
57,58.,Harold Reynolds (12),1339,R
58,58.,Bobby Richardson (12),1339,R
59,60.,Glenn Hubbard (12),1332,R
60,61.,Dave Cash (12),1330,R
61,62.,Bobby Lowe (18),1316,R
62,62.,Ski Melillo (12),1316,R
63,64.,Johnny Temple (13),1312,R
64,65.,Don Blasingame (12),1310,R
65,66.,Joe Quinn (17),1307,R
66,67.,Brian Roberts (14),1304,R
67,68.,Eric Young Sr. (15),1295,R
68,69.,Ted Sizemore (12),1288,R
69,70.,Dan Uggla (10),1283,R
70,71.,Orlando Hudson (11),1279,R
71,71.,Robby Thompson (11),1279,R
72,73.,Johnny Ray (10),1277,R
73,74.,Tito Fuentes (13),1275,R
74,75.,Ron Hunt (12),1260,R
75,76.,Bucky Harris+ (12),1253,R
76,77.,"Jose Altuve (10, 30)",1252,R
77,78.,Mickey Morandini (11),1245,R
78,79.,Glenn Beckert (11),1242,R
79,80.,Otto Knabe (11),1239,R
80,81.,Max Bishop (12),1230,R
81,82.,Aaron Hill (13),1210,R
82,83.,Tony Cuccinello (15),1205,R
83,83.,Bill Wambsganss (13),1205,R
84,85.,Davey Johnson (13),1198,R
85,86.,Mark McLemore (19),1197,R
86,87.,Ronnie Belliard (13),1190,R
87,87.,Juan Samuel (16),1190,R
88,89.,Howie Kendrick (15),1183,R
89,90.,Jerry Priddy (11),1179,R
90,91.,Jimmy Williams (11),1176,R
91,92.,Damion Easley (17),1172,R
92,93.,Ron Oester (13),1171,R
93,94.,Bobby Avila (11),1168,R
94,95.,Dick Green (12),1158,R
95,96.,Sandy Alomar (15),1156,R
96,97.,Eddie Stanky (11),1152,R
97,98.,Cub Stricker (11),1145,R
98,99.,Bill Hallman (14),1139,R
99,100.,Mark Grudzielanek (15),1135,R
100,101.,Rod Carew+ (19),1130,R
101,102.,Tommy Helms (14),1129,R
102,103.,Julio Cruz (10),1123,R
103,104.,Jerry Remy (10),1117,R
104,105.,Bobby Knoop (9),1116,R
105,106.,Horace Clarke (10),1102,R
106,107.,Jerry Lumpe (12),1100,R
107,108.,Jack Burdock (18),1086,R
108,108.,"Jason Kipnis (10, 33)",1086,R
109,110.,Carlos Baerga (14),1063,R
110,111.,Tom Daly (17),1058,R
111,112.,Jody Reed (11),1050,R
112,112.,"Neil Walker (12, 34)",1050,R
113,114.,Rennie Stennett (11),1049,R
114,114.,Fernando Vina (12),1049,R
115,116.,Jim Gilliam (14),1046,R
116,116.,Jose Vidro (12),1046,R
117,118.,Omar Infante (15),1045,R
118,119.,Rickie Weeks (14),1044,R
119,120.,"Brian Dozier (9, 33)",1038,R
120,120.,Jose Lind (9),1038,R
121,122.,Placido Polanco (16),1027,R
122,123.,Hobe Ferris (9),1011,R
123,124.,Todd Walker (12),1007,R
124,125.,"DJ LeMahieu (10, 31)",1004,R
125,126.,Tony Bernazard (10),1000,R
126,127.,Luis Alicea (13),998,R
127,128.,Ralph Young (9),993,R
128,129.,Connie Ryan (12),980,R
129,130.,Phil Garner (16),975,R
130,131.,Dick McAuliffe (16),971,R
131,132.,Joey Cora (11),970,R
132,133.,Mark Lemke (11),965,R
133,134.,Rich Dauer (10),964,R
134,135.,Fred Dunlap (12),963,R
135,136.,Doug Flynn (11),961,R
136,137.,Damaso Garcia (11),960,R
137,138.,Lonny Frey (14),953,R
138,139.,Marty McManus (15),927,R
139,140.,Duane Kuiper (12),920,R
140,141.,Bernie Allen (12),914,R
141,142.,Denny Doyle (8),912,R
142,143.,Ben Zobrist (14),911,R
143,144.,Marty Barrett (10),908,R
144,145.,Jackie Hayes (14),904,R
145,146.,Kelly Johnson (11),894,R
146,147.,Joe Gerhardt (15),893,R
147,147.,Mike Lansing (9),893,R
148,149.,Jimmy Bloodworth (11),867,R
149,150.,George Grantham (13),848,R
150,151.,Billy Gardner (10),839,R
151,151.,Danny Murphy (16),839,R
152,151.,Rob Wilfong (11),839,R
153,154.,"Daniel Murphy (12, 35)",837,R
154,155.,"Rougned Odor (7, 26)",834,R
155,156.,Mark Loretta (15),829,R
156,157.,Wally Backman (14),826,R
157,158.,Jerry Adair (13),810,R
158,159.,Aaron Ward (12),809,R
159,160.,Al Myers (8),806,R
160,160.,Tim Teufel (11),806,R
161,162.,"Jonathan Schoop (8, 28)",805,R
162,162.,Pete Suder (13),805,R
163,164.,Emil Verban (7),802,R
164,165.,Cass Michaels (12),800,R
165,165.,Bump Wills (6),800,R
166,167.,Ray Mack (9),788,R
167,168.,Mike Andrews (8),787,R
168,168.,Snuffy Stirnweiss (10),787,R
169,170.,"Kolten Wong (8, 29)",785,R
170,171.,Dick Padden (9),780,R
171,172.,Tony Phillips (18),778,R
172,173.,Billy Ripken (12),769,R
173,174.,Billy Martin (11),767,R
174,175.,Alfonso Soriano (16),766,R
175,176.,Miguel Cairo (17),754,R
176,176.,"Cesar Hernandez (8, 30)",754,R
177,178.,"Gordon Beckham (11, 33)",751,R
178,179.,Jackie Robinson+ (10),748,R
179,180.,Marcus Giles (7),745,R
180,181.,Jack Farrell (11),740,R
181,182.,Frank LaPorte (11),731,R
182,183.,Scott Fletcher (15),729,R
183,183.,Quilvio Veras (7),729,R
184,185.,"Dee Strange-Gordon (10, 32)",728,R
185,186.,Jimmy Dykes (22),722,R
186,187.,Burgess Whitehead (9),718,R
187,188.,Gary Sutherland (13),717,R
188,189.,Billy Gilbert (8),715,R
189,190.,Danny O'Connell (10),713,R
190,190.,Pop Smith (12),713,R
191,192.,Johnny Rawlings (12),709,R
192,193.,Yank Robinson (10),701,R
193,194.,Scooter Gennett (7),690,R
194,195.,Jorge Orta (16),689,R
195,196.,Heinie Reitz (7),688,R
196,197.,Dick Egan (9),686,R
197,198.,Dots Miller (12),681,R
198,199.,Marlon Anderson (12),680,R
199,200.,Ray Morgan (8),670,R
200,201.,Julio Franco (23),663,R
201,201.,Charlie Neal (8),663,R
202,203.,"Joe Panik (7, 29)",662,R
203,204.,Pete Coscarart (9),661,R
204,204.,Bobby Young (8),661,R
205,206.,Jose Lopez (9),651,R
206,207.,Jerry Hairston (16),650,R
207,208.,"Logan Forsythe (10, 33)",649,R
208,208.,Jose Oquendo (12),649,R
209,210.,Darwin Barney (8),648,R
210,211.,Freddy Sanchez (10),646,R
211,212.,Danny Richardson (11),644,R
212,213.,Pete Runnels (14),642,R
213,214.,Jack Brohamer (9),639,R
214,215.,Jamey Carroll (12),638,R
215,216.,Alex Kampouris (9),636,R
216,217.,Danny Murtaugh (9),631,R
217,218.,Randy Velarde (16),630,R
218,219.,Pete Rose (24),628,R
219,220.,Jack Crooks (8),627,R
220,221.,Aaron Miles (9),625,R
221,222.,Mike Gallego (13),624,R
222,222.,Billy Goodman (16),624,R
223,224.,Fresco Thompson (9),622,R
224,225.,Mike Tyson (10),620,R
225,226.,Don Kolloway (12),616,R
226,227.,Doug Griffin (8),614,R
227,228.,Jim Lefebvre (8),613,R
228,229.,Bill Regan (6),610,R
229,230.,Jerry Browne (10),609,R
230,231.,Derrel Thomas (15),608,R
231,232.,Wayne Terwilliger (9),605,R
232,233.,Danny Espinosa (8),600,R
233,234.,Gil McDougald (10),599,R
234,235.,Don Heffner (11),595,R
235,235.,Jose Offerman (15),595,R
236,237.,Hod Ford (15),589,R
237,237.,Freddie Maguire (6),589,R
238,239.,Germany Schaefer (15),588,R
239,240.,Mariano Duncan (12),585,R
240,240.,Hardy Richardson (14),585,R
241,242.,Luis Rivas (8),584,R
242,243.,"Starlin Castro (11, 30)",580,R
243,243.,Don Gutteridge (12),580,R
244,245.,Craig Counsell (16),574,R
245,246.,Jerry Coleman (9),572,R
246,247.,Jim Delahanty (13),568,R
247,247.,Granny Hamner (17),568,R
248,249.,Ken Boswell (11),566,R
249,249.,Nelson Liriano (11),566,R
250,249.,Marco Scutaro (13),566,R
251,249.,Bill Sweeney (8),566,R
252,253.,Charley Bassett (9),559,R
253,253.,Pat Kelly (9),559,R
254,255.,Jeff Treadway (9),556,R
255,256.,Dave Shean (9),554,R
256,257.,Sparky Adams (13),551,R
257,257.,Tony Graffanino (13),551,R
258,257.,Frankie Gustine (12),551,R
259,260.,Edgardo Alfonzo (12),549,R
260,260.,Joe Gedeon (7),549,R
261,260.,Reddy Mack (6),549,
262,263.,John Hummel (12),548,R
263,264.,Chuck Hiller (8),546,R
264,265.,Tim Flannery (11),544,R
265,265.,Pedro Garcia (5),544,R
266,265.,Eddie Mayo (9),544,R
267,268.,Bill Greenwood (6),538,L
268,269.,Jeff Frye (8),536,R
269,270.,Pep Young (10),532,R
270,271.,Alex Cora (14),530,R
271,271.,Joe Quest (10),530,R
272,273.,Carlos Garcia (10),529,R
273,273.,Keith Lockhart (10),529,R
274,273.,Tony Womack (13),529,R
275,276.,Pokey Reese (8),521,R
276,277.,Steve Yerkes (7),520,R
277,278.,Odell Hale (10),518,R
278,279.,Rabbit Maranville+ (23),513,R
279,280.,Jerry Kindall (9),511,R
280,281.,Gene DeMontreville (11),510,R
281,281.,Morrie Rath (6),510,R
282,283.,Sam Barkley (6),504,R
283,284.,Chuck Schilling (5),502,R
284,285.,Bip Roberts (12),501,R
285,286.,Tim Cullen (7),498,R
286,286.,John O'Brien (6),498,R
287,288.,Don Johnson (6),495,R
288,289.,Carlos Febles (6),493,R
289,289.,John Ward+ (17),493,R
290,291.,Buck Herzog (13),490,R
291,291.,Ted Kubiak (10),490,R
292,293.,"Eric Sogard (10, 34)",488,R
293,293.,Al Weis (10),488,R
294,295.,Skip Schumaker (11),487,R
295,296.,Brent Gates (7),486,R
296,297.,Tony Piet (8),485,R
297,298.,Bill Cissell (9),483,R
298,299.,Chuck Cottier (9),482,R
299,300.,Davey Williams (6),481,R
300,301.,Rey Sanchez (15),480,R
301,302.,Stu Martin (8),475,R
302,303.,George Creamer (7),473,R
303,303.,Kazuo Matsui (7),473,R
304,305.,Larry Milbourne (11),471,R
305,306.,Tadahito Iguchi (4),468,R
306,307.,Billy Moran (7),467,R
307,307.,Terry Shumpert (14),467,R
308,309.,Dave Nelson (10),466,R
309,310.,Johnny Hodapp (9),460,R
310,311.,Luis Sojo (13),456,R
311,312.,Johnny Berardino (11),453,R
312,313.,Gene Baker (8),451,R
313,313.,Alexi Casilla (9),451,R
314,315.,Sam Wise (12),448,R
315,315.,Michael Young (14),448,R
316,317.,Cotton Tierney (6),447,R
317,318.,John Farrell (5),445,R
318,319.,"Josh Harrison (10, 32)",443,R
319,319.,Donnie Hill (9),443,R
320,319.,Rodney Scott (8),443,R
321,322.,Bob Randall (5),442,R
322,322.,Rabbit Warstler (11),442,R
323,324.,Lenny Randle (12),437,R
324,324.,Mickey Witek (7),437,R
325,326.,Bill McClellan (8),436,L
326,327.,Junior Spivey (5),435,R
327,328.,Bernie Friberg (14),434,R
328,328.,Marty Perez (10),434,R
329,328.,Jose Vizcaino (18),434,R
330,331.,Rob Andrews (5),431,R
331,331.,Lenn Sakata (11),431,R
332,333.,Hal Lanier (10),430,R
333,334.,Chris Getz (7),426,R
334,335.,Al Newman (8),424,R
335,336.,Steve Lombardozzi (6),422,R
336,336.,Jim Viox (5),422,R
337,338.,Bert Niehoff (6),420,R
