,Rank,"Player (yrs, age)",Times On Base,Bats
0,1.,Pete Rose (24),5929,B
1,2.,Barry Bonds (22),5599,L
2,3.,Ty Cobb+ (24),5532,L
3,4.,Rickey Henderson+ (25),5343,R
4,5.,Carl Yastrzemski+ (23),5304,L
5,6.,Stan Musial+ (22),5282,L
6,7.,Hank Aaron+ (23),5205,R
7,8.,Tris Speaker+ (22),4998,L
8,9.,Babe Ruth+ (22),4978,L
9,10.,Eddie Collins+ (25),4891,L
10,11.,Willie Mays+ (22),4791,R
11,12.,Derek Jeter+ (20),4717,R
12,13.,Ted Williams+ (19),4714,L
13,14.,"Albert Pujols (20, 40)",4675,R
14,15.,Mel Ott+ (22),4648,L
15,16.,Alex Rodriguez (22),4629,R
16,17.,Eddie Murray+ (21),4606,B
17,18.,Frank Robinson+ (21),4561,R
18,19.,Honus Wagner+ (21),4508,R
19,20.,Craig Biggio+ (20),4505,R
20,21.,Paul Molitor+ (21),4460,R
21,21.,Rafael Palmeiro (20),4460,L
22,23.,Cap Anson+ (27),4451,R
23,24.,Wade Boggs+ (18),4445,L
24,25.,Joe Morgan+ (22),4422,L
25,26.,Cal Ripken Jr.+ (21),4379,R
26,27.,Dave Winfield+ (22),4351,R
27,28.,Al Kaline+ (22),4339,R
28,29.,Gary Sheffield (22),4299,R
29,30.,George Brett+ (21),4283,L
30,31.,Paul Waner+ (20),4281,L
31,32.,Lou Gehrig+ (17),4274,L
32,33.,Chipper Jones+ (19),4256,B
33,34.,Frank Thomas+ (19),4222,R
34,35.,Ken Griffey Jr.+ (22),4174,L
35,36.,Mickey Mantle+ (18),4161,B
36,37.,Robin Yount+ (20),4156,R
37,38.,Jim Thome+ (22),4144,L
38,39.,Adrian Beltre (21),4111,R
39,39.,Jimmie Foxx+ (20),4111,R
40,41.,Rod Carew+ (19),4096,L
41,42.,"Miguel Cabrera (18, 37)",4089,R
42,43.,Charlie Gehringer+ (19),4075,L
43,44.,Luke Appling+ (20),4062,R
44,45.,Reggie Jackson+ (21),4055,L
45,46.,Rusty Staub (23),4050,L
46,47.,Rogers Hornsby+ (23),4016,R
47,48.,Manny Ramirez (19),4012,R
48,49.,Bobby Abreu (18),3979,L
49,50.,Tim Raines+ (23),3977,B
50,51.,Tony Gwynn+ (20),3955,L
51,52.,Jesse Burkett+ (16),3954,L
52,52.,Omar Vizquel (24),3954,B
53,54.,Harold Baines+ (22),3942,L
54,55.,Todd Helton (17),3911,L
55,56.,Nap Lajoie+ (21),3893,R
56,57.,Dwight Evans (20),3890,R
57,58.,Darrell Evans (21),3863,L
58,59.,Carlos Beltran (20),3860,B
59,60.,Luis Gonzalez (19),3857,L
60,61.,Jeff Bagwell+ (15),3843,R
61,62.,Fred McGriff (19),3834,L
62,63.,Lou Brock+ (19),3833,L
63,64.,David Ortiz (20),3829,L
64,65.,Johnny Damon (18),3822,L
65,66.,Mike Schmidt+ (18),3820,R
66,67.,Richie Ashburn+ (15),3815,L
67,68.,Roberto Alomar+ (17),3806,B
68,69.,Billy Williams+ (18),3799,L
69,70.,Ichiro Suzuki (19),3791,L
70,71.,Eddie Mathews+ (17),3785,L
71,72.,Max Carey+ (20),3782,B
72,73.,Brooks Robinson+ (23),3761,R
73,74.,Sam Rice+ (20),3751,L
74,75.,Sam Crawford+ (19),3744,L
75,76.,Goose Goslin+ (18),3739,L
76,77.,Jake Beckley+ (20),3737,L
77,78.,Fred Clarke+ (21),3707,L
78,79.,Tony Perez+ (23),3700,R
79,80.,Harmon Killebrew+ (22),3693,R
80,81.,Harry Hooper+ (17),3678,L
81,82.,Bill Dahlen (21),3665,R
82,83.,Roberto Clemente+ (18),3656,R
83,84.,Frankie Frisch+ (19),3639,B
84,85.,Willie McCovey+ (22),3625,L
85,86.,Edgar Martinez+ (18),3619,R
86,87.,George Davis+ (20),3614,B
87,88.,Zack Wheat+ (19),3611,L
88,89.,John Olerud (17),3602,L
89,90.,Chili Davis (19),3589,B
90,91.,Lou Whitaker (19),3586,L
91,92.,Willie Keeler+ (19),3585,L
92,93.,Eddie Yost (18),3576,R
93,94.,Al Simmons+ (20),3572,R
94,95.,Ozzie Smith+ (19),3565,B
95,96.,Jason Giambi (20),3556,L
96,96.,Harry Heilmann+ (17),3556,R
97,98.,Mark Grace (16),3554,L
98,99.,Brett Butler (17),3542,L
99,100.,Julio Franco (23),3541,R
100,101.,Nellie Fox+ (19),3524,L
101,102.,Roger Connor+ (18),3508,B
102,103.,Mickey Vernon (20),3499,L
103,104.,Willie Randolph (18),3491,R
104,105.,Rabbit Maranville+ (23),3483,R
105,106.,Andre Dawson+ (21),3474,R
106,107.,George Van Haltren (17),3453,L
107,108.,Dave Parker (19),3451,L
108,109.,Steve Finley (19),3445,L
109,110.,Bernie Williams (16),3444,B
110,111.,Billy Hamilton+ (14),3442,L
111,112.,Luis Aparicio+ (18),3440,R
112,113.,Enos Slaughter+ (19),3438,L
113,114.,Ed Delahanty+ (16),3433,R
114,115.,Vladimir Guerrero+ (16),3430,R
115,116.,Brian Downing (20),3425,R
116,117.,Ernie Banks+ (19),3416,R
117,118.,Ivan Rodriguez+ (21),3415,R
118,119.,Pee Wee Reese+ (16),3406,R
119,120.,Kenny Lofton (17),3405,L
120,121.,Jimmy Ryan (18),3400,R
121,121.,Ron Santo+ (15),3400,R
122,123.,Sammy Sosa (18),3396,R
123,124.,Buddy Bell (18),3388,R
124,125.,Jeff Kent (17),3387,R
125,126.,Vada Pinson (18),3385,L
126,127.,Tony Phillips (18),3384,B
127,128.,Joe Cronin+ (20),3378,R
128,129.,Joe Judge (20),3368,L
129,130.,Ted Simmons+ (21),3366,B
130,131.,Paul Konerko (18),3365,R
131,132.,Graig Nettles (22),3363,L
132,133.,Al Oliver (18),3360,L
133,134.,Carlton Fisk+ (24),3348,R
134,135.,Barry Larkin+ (19),3334,R
135,136.,George Sisler+ (15),3332,L
136,137.,"Nick Markakis (15, 36)",3330,L
137,138.,Jimmy Dykes (22),3329,R
138,139.,Bid McPhee+ (18),3327,R
139,140.,"Robinson Cano (16, 37)",3325,L
140,141.,Carlos Delgado (17),3319,L
141,142.,Doc Cramer (20),3318,L
142,143.,Jimmy Sheckard (17),3311,L
143,144.,Ken Singleton (15),3309,B
144,145.,Stan Hack (16),3306,L
145,145.,Jimmy Rollins (17),3306,B
146,147.,Keith Hernandez (17),3284,L
147,148.,Alan Trammell+ (20),3252,R
148,149.,Dan Brouthers+ (19),3248,L
149,150.,Willie Stargell+ (21),3247,L
150,151.,Joe Kuhel (18),3231,L
151,152.,Joe Kelley+ (17),3213,R
152,153.,Larry Walker+ (17),3211,L
153,154.,Torii Hunter (19),3210,R
154,155.,Don Baylor (19),3207,R
155,155.,Bill Buckner (22),3207,L
156,157.,Joe Torre+ (18),3206,R
157,158.,Dummy Hoy (14),3188,L
158,158.,Jim O'Rourke+ (23),3188,R
159,160.,Jim Rice+ (16),3186,R
160,161.,"Joey Votto (14, 36)",3185,L
161,162.,Ryne Sandberg+ (16),3181,R
162,163.,Lance Berkman (15),3172,B
163,163.,Will Clark (15),3172,L
164,165.,Toby Harrah (17),3170,R
165,165.,Jason Kendall (15),3170,R
166,167.,Fred Tenney (17),3168,L
167,168.,Jose Cruz (19),3156,L
168,169.,Bob Johnson (13),3150,R
169,170.,Lave Cross (21),3148,R
170,170.,Joe Sewell+ (14),3148,L
171,172.,Brian Giles (15),3131,L
172,173.,Bobby Wallace+ (25),3130,R
