,Rank,"Player (yrs, age)",Putouts as SS,Throws
0,1.,Rabbit Maranville+ (23),5139,R
1,2.,Bill Dahlen (21),4856,R
2,3.,Dave Bancroft+ (16),4623,R
3,4.,Honus Wagner+ (21),4576,R
4,5.,Tommy Corcoran (18),4556,R
5,6.,Luis Aparicio+ (18),4548,R
6,7.,Luke Appling+ (20),4398,R
7,8.,Ozzie Smith+ (19),4249,R
8,9.,Herman Long (16),4229,R
9,10.,Bobby Wallace+ (25),4142,R
10,11.,Omar Vizquel (24),4102,R
11,12.,Pee Wee Reese+ (16),4040,R
12,13.,Donie Bush (16),4038,R
13,14.,Monte Cross (15),3980,R
14,15.,Roger Peckinpaugh (17),3919,R
15,16.,Dick Bartell (18),3872,R
16,17.,Derek Jeter+ (20),3820,R
17,18.,Joe Tinker+ (15),3768,R
18,19.,Roy McMillan (16),3705,R
19,20.,Joe Cronin+ (20),3696,R
20,21.,Dave Concepcion (19),3670,R
21,22.,Cal Ripken Jr.+ (21),3651,R
22,23.,Bert Campaneris (19),3608,R
23,24.,George McBride (16),3585,R
24,25.,Mickey Doolin (13),3578,R
25,26.,Dick Groat (14),3505,R
26,27.,Garry Templeton (16),3393,R
27,28.,Alan Trammell+ (20),3391,R
28,29.,Everett Scott (13),3351,R
29,30.,Larry Bowa (16),3314,R
30,31.,George Davis+ (20),3239,R
31,32.,Phil Rizzuto+ (13),3219,R
32,33.,Leo Cardenas (16),3218,R
33,34.,Alfredo Griffin (18),3207,R
34,35.,Don Kessinger (16),3151,R
35,36.,Barry Larkin+ (19),3150,R
36,37.,Billy Jurges (17),3133,R
37,38.,Lou Boudreau+ (15),3132,R
38,39.,Leo Durocher+ (17),3097,R
39,40.,Royce Clayton (17),3095,R
40,41.,Frankie Crosetti (17),3061,R
41,42.,Chris Speier (19),3057,R
42,43.,Mark Belanger (18),3005,R
43,44.,Arky Vaughan+ (14),2995,R
44,45.,Marty Marion (13),2986,R
45,46.,Jimmy Rollins (17),2982,R
46,47.,Eddie Miller (14),2976,R
47,48.,Edgar Renteria (16),2963,R
48,49.,Wally Gerber (15),2960,R
49,50.,Ed Brinkman (15),2924,R
50,51.,Ozzie Guillen (16),2911,R
51,52.,Miguel Tejada (16),2891,R
52,53.,Travis Jackson+ (15),2878,R
53,54.,Art Fletcher (13),2836,R
54,55.,Orlando Cabrera (15),2823,R
55,55.,Jack Glasscock (17),2823,R
56,57.,Ed McKean (13),2822,R
57,58.,Germany Smith (15),2816,R
58,59.,Eddie Joost (17),2755,R
59,60.,Tony Fernandez (17),2708,R
60,61.,Freddie Patek (14),2690,R
61,62.,Tim Foli (16),2687,R
62,63.,Al Dark (14),2672,R
63,64.,Johnny Logan (13),2612,R
64,65.,Mike Bordick (14),2606,R
65,66.,Joe Sewell+ (14),2591,R
66,67.,Robin Yount+ (20),2588,R
67,68.,Bones Ely (14),2585,R
68,69.,Greg Gagne (15),2559,R
69,70.,Maury Wills (14),2550,R
70,71.,Bill Russell (18),2536,R
71,72.,"Elvis Andrus (12, 31)",2529,R
72,73.,Doc Lavan (12),2451,R
73,74.,Jim Fregosi (18),2397,R
74,75.,Ivy Olson (14),2389,R
75,76.,Bud Harrelson (16),2387,R
76,77.,Vern Stephens (15),2385,R
77,78.,Hughie Jennings+ (18),2384,R
78,79.,Rafael Furcal (14),2373,R
79,79.,Lyn Lary (12),2373,R
80,81.,Billy Rogell (14),2362,R
81,82.,Jay Bell (18),2309,R
82,83.,Shawon Dunston (18),2287,R
83,84.,Al Bridwell (11),2267,R
84,85.,Alex Gonzalez (16),2259,R
85,86.,Freddy Parent (12),2253,R
86,87.,Ray Chapman (9),2204,R
87,88.,Kid Elberfeld (14),2184,R
88,89.,Rafael Ramirez (13),2159,R
89,90.,Glenn Wright (11),2156,R
90,91.,Rick Burleson (13),2151,R
91,92.,Dick Schofield (14),2140,R
92,93.,Chico Carrasquel (10),2131,R
93,94.,Zoilo Versalles (12),2126,R
94,95.,Bucky Dent (12),2116,R
95,96.,Jhonny Peralta (15),2097,R
96,97.,Jose Reyes (16),2092,R
97,98.,J.J. Hardy (13),2089,R
98,99.,Ernie Banks+ (19),2087,R
99,99.,Spike Owen (13),2087,R
100,101.,Chick Galloway (10),2058,R
101,102.,Walt Weiss (14),2056,R
102,103.,Buddy Kerr (9),2045,R
103,104.,Alex Rodriguez (22),2014,R
104,105.,Alex Gonzalez (13),2013,R
105,106.,Ron Hansen (15),2011,R
106,107.,"Erick Aybar (12, 36)",1975,R
107,108.,Alcides Escobar (11),1950,R
108,108.,Heinie Wagner (12),1950,R
109,110.,Troy Tulowitzki (13),1946,R
110,111.,Cristian Guzman (11),1921,R
111,112.,Buck Weaver (9),1878,R
112,113.,Roger Metzger (11),1845,R
113,114.,Jose Valentin (16),1840,R
114,115.,Ivan de Jesus (15),1839,R
115,116.,Hod Ford (15),1821,R
116,117.,Jack Wilson (12),1814,R
117,118.,Heinie Sand (6),1811,R
118,119.,Neifi Perez (12),1784,R
119,120.,Shorty Fuller (9),1773,R
120,121.,Red Kress (14),1761,R
121,122.,Dal Maxvill (14),1759,R
122,123.,Bobby Wine (12),1754,R
123,124.,Tommy Thevenow (15),1751,R
124,125.,Julio Lugo (12),1747,R
125,126.,Craig Reynolds (15),1741,R
126,127.,Skeeter Newsome (12),1736,R
127,128.,Alexei Ramírez (9),1720,R
128,129.,"Brandon Crawford (10, 33)",1711,R
129,130.,Charley O'Leary (11),1709,R
130,131.,Woody English (12),1693,R
131,132.,Joe DeMaestri (11),1689,R
132,133.,Roy Smalley (13),1688,R
133,134.,Frank Taveras (11),1640,R
134,135.,Gary Disarcina (12),1631,R
135,136.,Eddie Bressoud (12),1630,R
136,137.,Gene Alley (11),1609,R
137,138.,Dickie Thon (15),1608,R
138,139.,Nomar Garciaparra (14),1606,R
139,140.,Rich Aurilia (15),1604,R
140,141.,Jack Barry (11),1599,R
141,142.,Hanley Ramirez (15),1592,R
142,143.,Charlie Hollocher (7),1587,R
143,144.,"Andrelton Simmons (9, 30)",1582,R
144,145.,Granny Hamner (17),1572,R
145,146.,Johnnie LeMaster (12),1545,R
146,147.,Tony Kubek (9),1544,R
147,148.,Deivi Cruz (9),1541,R
148,149.,John Ward+ (17),1522,R
149,150.,Cesar Izturis (13),1513,R
150,151.,Rey Sanchez (15),1496,R
151,152.,Chris Gomez (16),1495,R
152,153.,Juan Uribe (16),1479,R
153,154.,"Asdrubal Cabrera (14, 34)",1465,R
154,155.,Mark Koenig (12),1457,R
155,156.,Rey Ordóñez (9),1455,R
156,157.,Yuniesky Betancourt (9),1449,R
157,158.,Yunel Escobar (11),1445,R
158,159.,Jose Uribe (10),1436,R
159,160.,Roy Smalley (11),1435,R
160,161.,Pat Meares (9),1432,R
161,162.,David Eckstein (10),1428,R
162,163.,Rabbit Warstler (11),1421,R
163,164.,Charlie Gelbert (9),1405,R
164,165.,Chico Fernandez (8),1403,R
165,166.,Bob Allen (7),1402,R
166,166.,Gene Michael (10),1402,R
167,168.,Billy Myers (7),1397,R
168,169.,Billy Urbanski (7),1386,R
169,170.,Terry Turner (17),1376,R
170,171.,Rudy Hulswitt (7),1374,R
171,172.,Tom Veryzer (12),1372,R
172,173.,Larry Kopf (10),1351,R
173,174.,Johnny Lipon (9),1350,R
174,175.,Stephen Drew (12),1347,R
175,175.,Cecil Travis (12),1347,R
176,177.,Harvey Kuenn (15),1343,R
177,178.,Toby Harrah (17),1331,R
178,179.,Jeff Blauser (13),1323,R
179,180.,"Ian Desmond (11, 34)",1319,R
180,181.,Kevin Elster (13),1306,R
181,182.,Arthur Irwin (13),1301,R
182,183.,Frank Duffy (10),1292,R
183,184.,Rico Petrocelli (13),1283,R
184,185.,Eric McNair (14),1269,R
185,186.,"Starlin Castro (11, 30)",1253,R
186,187.,Jackie Tavener (6),1238,R
187,188.,Felix Fermin (10),1230,R
188,189.,Don Buddin (6),1229,R
189,190.,Denis Menke (13),1218,R
190,191.,Ricky Gutierrez (12),1206,R
191,192.,Bill Knickerbocker (10),1205,R
192,193.,Kevin Stocker (8),1202,R
193,194.,Jason Bartlett (10),1197,R
194,195.,Ernie Johnson (10),1196,R
195,196.,Scott Fletcher (15),1191,R
196,197.,Jose Vizcaino (18),1189,R
197,198.,Carlos Guillen (14),1185,R
198,199.,Johnny Pesky (10),1175,R
199,200.,Frank Shugart (8),1173,R
200,201.,"Xander Bogaerts (8, 27)",1161,R
201,201.,Adam Everett (11),1161,R
202,201.,Julio Franco (23),1161,R
203,204.,Lennie Merullo (7),1150,R
204,204.,Topper Rigney (6),1150,R
205,206.,George Strickland (10),1149,R
206,207.,Ruben Amaro (11),1146,R
207,208.,Jose Hernandez (15),1140,R
208,209.,Larry Brown (12),1131,R
209,210.,Michael Young (14),1121,R
210,211.,Willy Miranda (9),1117,R
211,212.,"Jean Segura (9, 30)",1097,R
212,213.,"Zack Cozart (9, 34)",1094,R
213,214.,"Didi Gregorius (9, 30)",1091,R
214,214.,Buck Herzog (13),1091,R
215,214.,Hal Lanier (10),1091,R
216,217.,Jose Pagan (15),1085,R
217,218.,Angel Berroa (9),1077,R
218,218.,"Freddy Galvis (9, 30)",1077,R
219,220.,Enzo Hernandez (8),1068,R
220,221.,Andre Rodgers (11),1065,R
221,222.,John Sullivan (6),1063,R
222,223.,Eddie Lake (11),1040,R
223,224.,Clint Barmes (13),1028,R
224,225.,"Marcus Semien (8, 29)",1024,R
225,226.,Dick Schofield (19),1019,R
226,227.,Rafael Santana (7),1014,R
227,228.,Frank Fennelly (7),1013,R
228,229.,"Adeiny Hechavarria (9, 31)",1011,R
229,230.,U L Washington (11),1005,R
230,231.,Phil Lewis (4),1001,R
231,232.,"Jordy Mercer (9, 33)",999,R
232,233.,Dick McAuliffe (16),992,R
233,234.,Sonny Jackson (12),984,R
234,234.,"Francisco Lindor (6, 26)",984,R
235,236.,Ike Caveney (4),978,R
236,237.,Dick Howser (8),975,R
237,238.,Alex Grammas (10),972,R
238,239.,Virgil Stallcup (7),968,R
239,240.,"José Iglesias (9, 30)",957,R
240,241.,Sam Dente (9),946,R
241,242.,Brendan Ryan (10),944,R
242,243.,Daryl Spencer (10),940,R
243,244.,Jimmy Esmond (4),934,R
244,245.,Glenn Hoffman (9),932,R
245,246.,Bill Cissell (9),931,R
246,247.,Luis Rivera (11),929,R
247,247.,Kurt Stillwell (9),929,R
248,249.,Rafael Belliard (17),926,R
249,250.,Bill Gleason (8),920,R
250,251.,Jimmy Cooney (7),919,R
251,252.,Joe Boley (6),918,R
252,252.,Eddie Kasko (10),918,R
253,254.,Ed Abbaticchio (9),916,R
254,254.,Davy Force (15),916,R
255,256.,John Valentin (11),914,R
256,257.,Bill Almon (15),911,R
257,258.,Khalil Greene (7),910,R
258,259.,Sam Wise (12),908,R
259,260.,Hal Rhyne (7),903,R
260,261.,Woodie Held (14),902,R
261,262.,Ray Boone (13),899,R
