,Rank,"Player (yrs, age)",Errors Committed as 3B,Throws
0,1.,Arlie Latham (17),822,R
1,2.,Billy Nash (15),615,R
2,3.,Hick Carpenter (12),591,L
3,4.,Billy Shindle (13),570,R
4,5.,Jerry Denny (13),552,R
5,6.,Ezra Sutton (18),516,R
6,7.,Denny Lyons (13),509,R
7,8.,Joe Mulvey (12),475,R
8,9.,Bob Ferguson (14),466,R
9,10.,Jimmy Collins+ (14),465,R
10,11.,Deacon White+ (20),444,R
11,12.,Bill Joyce (8),439,R
12,13.,Ned Williamson (13),401,R
13,14.,Lave Cross (21),397,R
14,15.,George Pinkney (10),387,R
15,16.,Harry Schafer (8),380,R
16,17.,Frank Hankinson (10),373,R
17,17.,Bill Kuehne (10),373,R
18,19.,Harry Steinfeldt (14),365,R
19,20.,Jimmy Austin (18),358,R
20,21.,Pinky Higgins (14),356,R
21,22.,Tommy Leach (19),344,R
22,22.,Art Whitney (11),344,R
23,24.,Bill Bradley (14),336,R
24,25.,Tom Burns (13),327,R
25,26.,Doc Casey (10),325,R
26,27.,Pie Traynor+ (17),324,R
27,28.,Home Run Baker+ (13),322,R
28,29.,Jim Donnelly (11),318,R
29,30.,Jumbo Davis (7),317,R
30,30.,Ron Santo+ (15),317,R
31,32.,Mike Schmidt+ (18),313,R
32,33.,Adrian Beltre (21),311,R
33,34.,Graig Nettles (22),295,R
34,35.,Eddie Mathews+ (17),293,R
35,36.,Larry Gardner (17),287,R
36,37.,John McGraw+ (17),280,R
37,38.,Harlond Clift (12),279,R
38,39.,Eddie Foster (13),278,R
39,40.,Jack Gleason (6),273,R
40,41.,Eddie Yost (18),270,R
41,42.,Ken Boyer (15),264,R
42,43.,Charlie Reilly (8),263,R
43,43.,Brooks Robinson+ (23),263,R
44,43.,Harry Wolverton (9),263,R
45,46.,George Brett+ (21),261,R
46,47.,Bobby Byrne (11),258,R
47,48.,Art Devlin (10),257,R
48,49.,Buddy Bell (18),254,R
49,50.,Darrell Evans (21),253,R
50,51.,Fred Hartman (6),251,R
51,51.,Charlie Irwin (10),251,R
52,53.,Ken Caminiti (15),249,R
53,54.,Stan Hack (16),246,R
54,55.,Aramis Ramirez (18),244,R
55,55.,Red Smith (9),244,R
56,57.,Tim Wallach (17),240,R
57,58.,Terry Pendleton (15),238,R
58,59.,Bob Elliott (15),236,R
59,60.,Bill Coughlin (9),231,R
60,60.,Heinie Zimmerman (13),231,R
61,62.,Wade Boggs+ (18),229,R
62,63.,Sal Bando (16),228,R
63,63.,Mike Muldoon (5),228,
64,63.,Milt Stock (14),228,R
65,63.,Patsy Tebeau (13),228,R
66,63.,Todd Zeile (16),228,R
67,68.,Gary Gaetti (20),224,R
68,69.,Ron Cey (17),223,R
69,69.,Chipper Jones+ (19),223,R
70,69.,Joe Werrick (4),223,R
71,72.,Mike Mowrey (13),221,R
72,73.,Jim Tabor (9),220,R
73,73.,Robin Ventura (16),220,R
74,73.,Billy Werber (11),220,R
75,76.,Harry Lord (9),217,R
76,77.,Aurelio Rodriguez (17),215,R
77,78.,Warren White (6),214,
78,79.,George Davis+ (20),211,R
79,80.,Ossie Bluege (18),208,R
80,81.,Joe Battin (10),207,R
81,82.,Levi Meyerle (8),205,R
82,83.,Bill Hague (5),200,R
83,84.,George Moriarty (13),199,R
84,85.,Doug DeCinces (15),198,R
85,86.,Cap Anson+ (27),196,R
86,86.,Frank Malzone (12),196,R
87,88.,Bill Madlock (15),193,R
88,89.,Willie Jones (15),192,R
89,90.,Billy Lauder (5),190,R
90,90.,David Wright (14),190,R
91,92.,Chippy McGarr (10),189,R
92,93.,Jimmy Dykes (22),188,R
93,94.,Doug Rader (11),187,R
94,95.,Scott Rolen (17),186,R
95,96.,Willie Kamm (13),185,R
96,96.,Dean Palmer (14),185,R
97,98.,Richie Hebner (18),182,R
98,99.,Bobby Bonilla (16),181,R
99,100.,Matt Williams (17),177,R
100,101.,Barry McCormick (10),176,R
101,102.,Bob Bailey (17),175,R
102,103.,Hans Lobert (14),172,R
103,104.,Troy Glaus (13),171,R
104,104.,Ken Keltner (13),171,R
105,104.,Larry Parrish (15),171,R
106,107.,John Irwin (8),169,R
107,108.,Clete Boyer (16),168,R
108,108.,Jimmy Burke (7),168,R
109,110.,Joe Farrell (4),167,
110,111.,George Kell+ (15),166,R
111,111.,Paul Schaal (11),166,R
112,113.,Dude Esterbrook (11),165,R
113,114.,Buddy Lewis (11),164,R
114,114.,Pinky Whitney (12),164,R
115,116.,Howard Johnson (14),163,R
116,117.,Charlie Hayes (14),162,R
117,117.,Ken McMullen (16),162,R
118,117.,Sammy Strang (10),162,R
119,120.,Vinny Castilla (16),161,R
120,120.,Bill Everitt (7),161,R
121,122.,Will Foley (7),159,R
122,123.,Billy Alvord (5),156,R
123,123.,Lee Tannehill (10),156,R
124,125.,Tom Brookens (12),155,R
125,125.,Wid Conroy (11),155,R
126,125.,Red Rolfe (10),155,R
127,128.,Jerry McCormick (2),154,
128,129.,Don Hoak (11),153,R
129,129.,Doggie Miller (13),153,R
130,131.,Dave Brain (7),152,R
131,132.,Ed Sprague (11),150,R
132,133.,Eddie Grant (10),148,R
133,133.,Carney Lansford (15),148,R
134,135.,"Evan Longoria (13, 34)",147,R
135,135.,Bill Melton (10),147,R
136,135.,Harry Raymond (5),147,
137,138.,Les Bell (9),144,R
138,138.,Billy Clingman (10),144,R
139,140.,Dick Allen (15),143,R
140,140.,Tony Boeckel (6),143,R
141,142.,Kevin Seitzer (12),142,R
142,143.,Butch Hobson (8),138,R
143,144.,Joe Dugan (14),137,R
144,144.,Roy Howell (11),137,R
145,144.,Joe Randa (12),137,R
146,144.,"Ryan Zimmerman (15, 35)",137,R
147,148.,Gene Freese (12),136,R
148,148.,Heinie Groh (16),136,R
149,150.,Marv Owen (9),135,R
150,151.,Enos Cabell (15),134,R
151,151.,Wayne Gross (11),134,R
152,151.,Jim Ray Hart (12),134,R
153,154.,Sammy Hale (10),133,R
154,154.,Mike Pagliarulo (11),133,R
155,156.,Roy Hartzell (11),132,R
156,156.,Jimmy Williams (11),132,R
157,158.,Duke Farrell (18),131,R
158,158.,Babe Pinelli (8),131,R
159,160.,Pete Gilbert (4),130,R
160,160.,Mark Reynolds (13),130,R
161,162.,Grady Hatton (12),129,R
162,162.,Dave Hollins (12),129,R
163,162.,Rich Rollins (10),129,R
164,165.,Cookie Lavagetto (10),128,R
165,166.,Aaron Boone (12),127,R
166,166.,Phil Garner (16),127,R
167,166.,Harmon Killebrew+ (22),127,R
168,166.,Jim Presley (8),127,R
169,170.,George Bradley (11),126,R
170,170.,Davy Force (15),126,R
171,172.,Bob Jones (9),124,R
172,173.,Max Alvis (9),123,R
173,173.,Travis Fryman (13),123,R
174,173.,Randy Jackson (10),123,R
175,173.,Brook Jacoby (11),123,R
176,173.,Tony Perez+ (23),123,R
177,178.,Ed Charles (8),122,R
178,178.,Hank Thompson (9),122,R
179,180.,Bob Aspromonte (13),121,R
180,180.,Brandon Inge (13),121,R
181,180.,Paul Molitor+ (21),121,R
182,180.,"Kyle Seager (10, 32)",121,R
183,184.,Fred Corey (7),120,R
184,184.,Fred Warner (6),120,
185,186.,Jeff Cirillo (14),119,R
186,186.,Charlie Deal (10),119,R
187,186.,Bill Mueller (11),119,R
188,186.,Ossie Vitt (10),119,R
189,190.,Jim Delahanty (13),118,R
190,191.,Lee Handley (10),117,R
191,192.,David Bell (12),116,R
192,192.,Eric Chavez (17),116,R
193,192.,Jimmy Knowles (5),116,
194,192.,Whitey Kurowski (9),116,R
195,196.,Pedro Alvarez (9),115,R
196,196.,Hunter Hill (3),115,R
197,196.,Phil Reccius (8),115,
198,196.,Johnny Vergez (6),115,R
199,200.,"Josh Donaldson (10, 34)",114,R
200,200.,"Edwin Encarnacion (16, 37)",114,R
