,Rank,"Player (yrs, age)",Caught Stealing as C,Throws
305,305.,Jason LaRue (12),186,R
306,305.,Dioner Navarro (13),186,R
307,305.,Ed Taubensee (11),186,R
308,309.,Victor Martinez (16),183,R
309,310.,"Jeff Mathis (16, 37)",181,R
310,310.,Joe Mauer (15),181,R
311,310.,Mike Ryan (11),181,R
312,313.,Damon Berryhill (10),179,R
313,314.,Glenn Borgmann (9),178,R
314,314.,Jorge Fabregas (9),178,R
315,316.,Mike Redmond (13),177,R
316,317.,Tim Laudner (9),176,R
317,317.,Bob Melvin (10),176,R
318,319.,Chris Cannizzaro (13),175,R
319,320.,Jamie Quirk (18),174,R
320,321.,Wes Westrum (11),173,R
321,322.,Frank Chance+ (17),172,R
322,322.,Ed Ott (8),172,R
323,324.,Rip Williams (7),169,R
324,325.,Gene Desautels (13),168,R
325,325.,Terry Humphrey (9),168,R
326,327.,Geno Petralli (12),167,R
327,327.,Al Spohrer (8),167,R
328,329.,John Buck (11),166,R
329,329.,Lave Cross (21),166,R
330,329.,Geovany Soto (13),166,R
331,329.,Kelly Stinnett (14),166,R
332,333.,Michael Barrett (12),165,R
333,333.,Al Evans (12),165,R
334,333.,Mike Stanley (15),165,R
335,333.,Bob Stinson (12),165,R
336,337.,Bert Adams (8),164,R
337,337.,Clyde Kluttz (9),164,R
338,339.,Larry Woodall (10),163,R
339,340.,Elrod Hendricks (12),161,R
340,341.,Jeff Newman (9),160,R
341,341.,Duke Sims (11),160,R
342,343.,Bob Kearney (8),159,R
343,344.,Roy Spencer (12),158,R
344,345.,John Romano (10),157,R
345,345.,Bennie Tate (10),157,R
346,347.,Bert Whaling (3),156,R
347,348.,Ernie Krueger (8),155,R
348,349.,Toby Hall (9),154,R
349,349.,Ken O'Dea (12),154,R
350,349.,Aleck Smith (9),154,R
351,352.,Johnny Oates (11),153,R
352,353.,Steve Lake (11),152,R
353,353.,John Wathan (10),152,R
354,355.,Tim Blackwell (10),151,R
355,355.,Bruno Block (5),151,R
356,355.,Mike Difelice (13),151,R
357,358.,Benny Bengough (10),150,R
358,358.,Jarrod Saltalamacchia (12),150,R
359,360.,Pinky Hargrave (10),149,R
360,361.,"Welington Castillo (10, 33)",147,R
361,361.,"Yan Gomes (9, 32)",147,R
362,361.,Jim Pagliaroni (11),147,R
363,364.,Buck Ewing+ (18),146,R
364,364.,Les Moss (13),146,R
365,364.,"Wilson Ramos (11, 32)",146,R
366,364.,Paul Richards (8),146,R
367,368.,Nick Allen (6),144,R
368,368.,Ron Hodges (12),144,R
369,368.,Tom Lampkin (13),144,R
370,368.,Chris Snyder (10),144,R
371,372.,Dann Bilardello (8),143,R
372,372.,"Jason Castro (10, 33)",143,R
373,372.,Walt Tragesser (7),143,R
374,375.,Moe Berg (15),142,R
375,375.,"Yasmani Grandal (9, 31)",142,R
376,377.,Charlie Dexter (8),141,R
377,377.,A.J. Ellis (11),141,R
378,377.,John Munyan (3),141,
379,380.,Charlie Hargreaves (8),139,R
380,380.,"J.T. Realmuto (7, 29)",139,R
381,382.,Sy Sutcliffe (7),138,L
382,383.,Walt Alexander (5),137,R
383,383.,Dick Bertell (7),137,R
384,383.,Ryan Hanigan (11),137,R
385,383.,Hobie Landrith (14),137,R
386,387.,Frank House (10),136,R
387,387.,Harry Sage (1),136,R
388,387.,Hal Wagner (12),136,R
389,390.,Clyde Manion (13),135,R
390,390.,Earl Williams (8),135,R
391,392.,Doug Mirabelli (12),134,R
392,392.,Biff Pocoroba (10),134,R
393,392.,Chris Widger (10),134,R
394,395.,Mark Parent (13),133,R
395,396.,Jerry May (10),132,R
396,396.,Ronny Paulino (8),132,R
397,396.,Steve Swisher (9),132,R
398,399.,Craig Biggio+ (20),130,R
399,399.,Babe Phelps (11),130,R
