,Rank,"Player (yrs, age)",Caught Stealing,Bats
0,1.,Rickey Henderson+ (25),335,R
1,2.,Lou Brock+ (19),307,L
2,3.,Brett Butler (17),257,L
3,4.,Ty Cobb+ (24),212,L
4,5.,Maury Wills (14),208,B
5,6.,Juan Pierre (14),203,L
6,7.,Bert Campaneris (19),199,R
7,8.,Eddie Collins+ (25),195,L
8,9.,Rod Carew+ (19),187,L
9,10.,Otis Nixon (17),186,B
10,11.,Omar Moreno (12),182,L
11,12.,Cesar Cedeno (17),179,R
12,13.,Steve Sax (14),178,R
13,14.,Vince Coleman (13),177,B
14,15.,George Burns (15),174,R
15,16.,Bobby Bonds (14),169,R
16,17.,Eric Young Sr. (15),168,R
17,18.,Omar Vizquel (24),167,B
18,19.,Joe Morgan+ (22),162,L
19,19.,Bill North (11),162,B
20,21.,Kenny Lofton (17),160,L
21,22.,Tris Speaker+ (22),157,L
22,23.,Stan Hack (16),155,L
23,24.,Pete Rose (24),149,B
24,25.,George Sisler+ (15),148,L
25,25.,Ozzie Smith+ (19),148,B
26,27.,Delino DeShields (13),147,L
27,28.,Rabbit Maranville+ (23),146,R
28,28.,Tim Raines+ (23),146,B
29,30.,Frankie Frisch+ (19),145,B
30,30.,Luis Polonia (12),145,L
31,32.,Sam Rice+ (20),143,L
32,32.,Juan Samuel (16),143,R
33,34.,Luis Castillo (15),142,B
34,34.,Ron LeFlore (9),142,R
35,36.,Barry Bonds (22),141,L
36,36.,Harry Hooper+ (17),141,L
37,38.,Lonnie Smith (17),140,R
38,39.,Dave Collins (16),139,B
39,40.,Tony Fernandez (17),138,B
40,40.,Del Pratt (13),138,R
41,40.,Harold Reynolds (12),138,B
42,43.,Jose Cardenal (18),137,R
43,44.,Luis Aparicio+ (18),136,R
44,44.,Jose Cruz (19),136,L
45,46.,Ben Chapman (15),135,R
46,47.,Alfredo Griffin (18),134,B
47,47.,Claudell Washington (17),134,L
48,47.,Willie Wilson (19),134,B
49,50.,Willie Davis (18),131,L
50,50.,Paul Molitor+ (21),131,R
51,50.,Freddie Patek (14),131,R
52,53.,Minnie Minoso (17),130,R
53,54.,Garry Templeton (16),129,B
54,55.,Bobby Abreu (18),128,L
55,56.,Kiki Cuyler+ (18),127,R
56,56.,Jose Reyes (16),127,B
57,58.,Tony Gwynn+ (20),125,L
58,59.,Craig Biggio+ (20),124,R
59,59.,Enos Cabell (15),124,R
60,61.,Vada Pinson (18),122,L
61,62.,Willie McGee (18),121,B
62,63.,Don Baylor (19),120,R
63,64.,Chone Figgins (12),119,B
64,64.,Mark McLemore (19),119,B
65,64.,Burt Shotton (14),119,L
66,67.,Steve Finley (19),118,L
67,67.,Tom Goodwin (14),118,L
68,67.,Pat Kelly (15),118,L
69,70.,Richie Ashburn+ (15),117,L
70,70.,Chuck Knoblauch (12),117,R
71,70.,Ray Lankford (14),117,L
72,70.,Babe Ruth+ (22),117,L
73,70.,Ichiro Suzuki (19),117,L
74,70.,Roy White (15),117,B
75,76.,Marquis Grissom (17),116,R
76,76.,Tommy Harper (15),116,R
77,76.,Carl Yastrzemski+ (23),116,L
78,79.,Reggie Jackson+ (21),115,L
79,79.,Reggie Sanders (17),115,R
80,81.,Roberto Alomar+ (17),114,B
81,81.,Davey Lopes (16),114,R
82,81.,Tony Phillips (18),114,B
83,84.,Dave Parker (19),113,L
84,85.,Max Carey+ (20),112,B
85,85.,Lenny Randle (12),112,B
86,87.,Jim Gilliam (14),111,B
87,87.,Tony Taylor (19),111,R
88,89.,Charlie Jamieson (18),110,L
89,90.,George Case (11),109,R
90,90.,Dave Concepcion (19),109,R
91,90.,Carl Crawford (15),109,L
92,90.,Andre Dawson+ (21),109,R
93,90.,Clyde Milan (16),109,L
94,90.,Buddy Myer (17),109,L
95,90.,Alan Trammell+ (20),109,R
96,97.,Luke Appling+ (20),108,R
97,97.,Rajai Davis (14),108,R
98,97.,Ozzie Guillen (16),108,L
99,97.,Edgar Renteria (16),108,R
100,97.,Cesar Tovar (12),108,R
101,102.,Julio Franco (23),107,R
102,102.,Darren Lewis (13),107,R
103,102.,Ryne Sandberg+ (16),107,R
104,102.,Sammy Sosa (18),107,R
105,106.,Frank Taveras (11),106,R
106,106.,Ken Williams (14),106,L
107,108.,"Elvis Andrus (12, 31)",105,R
108,108.,Larry Bowa (16),105,B
109,108.,Don Buford (10),105,B
110,108.,Phil Garner (16),105,R
111,108.,Lance Johnson (14),105,L
112,108.,Bob Meusel (11),105,R
113,108.,Jimmy Rollins (17),105,B
114,108.,Robin Yount+ (20),105,R
115,116.,Carney Lansford (15),104,R
116,116.,Johnny Mostil (10),104,R
117,116.,Gary Pettis (11),104,B
118,116.,Scott Podsednik (11),104,L
119,116.,Gary Sheffield (22),104,R
120,121.,Shano Collins (16),103,R
121,121.,Johnny Damon (18),103,L
122,121.,Willie Mays+ (22),103,R
123,124.,Ron Gant (16),102,R
124,124.,Edd Roush+ (18),102,L
125,126.,Jim Wynn (15),101,R
126,127.,Brady Anderson (15),100,L
127,127.,Royce Clayton (17),100,R
128,127.,Lou Gehrig+ (17),100,L
129,127.,"Dee Strange-Gordon (10, 32)",100,L
130,127.,Jose Offerman (15),100,B
131,127.,Amos Strunk (17),100,L
132,127.,Bobby Tolan (13),100,L
133,134.,Jake Daubert (15),99,L
134,134.,Torii Hunter (19),99,R
135,134.,Terry Puhl (15),99,L
136,134.,Pee Wee Reese+ (16),99,R
137,134.,Jerry Remy (10),99,L
138,134.,Darryl Strawberry (17),99,L
139,140.,Chad Curtis (10),98,R
140,140.,Chili Davis (19),98,B
141,140.,Devon White (17),98,B
142,140.,Mookie Wilson (12),98,B
143,144.,George Brett+ (21),97,L
144,144.,Ray Durham (14),97,B
145,144.,Von Hayes (12),97,L
146,144.,Derek Jeter+ (20),97,R
147,148.,Jack Fournier (15),96,L
148,148.,Greg Gagne (15),96,R
149,148.,Dave Winfield+ (22),96,R
150,151.,Bip Roberts (12),95,B
151,151.,Jerry Royster (16),95,R
152,151.,Billy Werber (11),95,R
153,154.,Michael Bourn (11),94,L
154,154.,Rafael Furcal (14),94,B
155,154.,Vladimir Guerrero+ (16),94,R
156,154.,Toby Harrah (17),94,R
157,154.,Dave Martinez (16),94,L
158,154.,Willie Randolph (18),94,R
159,154.,Cy Williams (19),94,L
160,161.,Paul Blair (17),93,R
161,161.,Donie Bush (16),93,B
162,161.,Bill Doran (12),93,B
163,161.,Dan Gladden (11),93,R
164,161.,Joe Judge (20),93,L
165,161.,Amos Otis (17),93,R
166,161.,Hanley Ramirez (15),93,R
167,168.,Sparky Adams (13),92,R
168,168.,Al Bumbry (14),92,L
169,168.,Garry Maddox (15),92,R
170,168.,Raul Mondesi (13),92,R
171,168.,Lloyd Moseby (12),92,L
172,168.,Mike Schmidt+ (18),92,R
173,168.,Derrel Thomas (15),92,B
174,168.,Melvin Upton Jr. (12),92,R
175,176.,Larry Gardner (17),91,L
176,176.,Bucky Harris+ (12),91,R
177,176.,Marty McManus (15),91,R
178,176.,Rick Monday (19),91,L
179,180.,Damaso Garcia (11),90,R
180,180.,Charlie Gehringer+ (19),90,L
181,180.,Cliff Heathcote (15),90,L
182,180.,Joe Kuhel (18),90,L
183,180.,Bill Madlock (15),90,R
184,180.,Lee Mazzilli (14),90,B
185,180.,Mel Ott+ (22),90,L
186,180.,Mickey Rivers (15),90,L
187,180.,Arky Vaughan+ (14),90,L
188,180.,Mickey Vernon (20),90,L
189,180.,Buck Weaver (9),90,B
190,191.,Bill Bruton (12),89,L
191,191.,Goose Goslin+ (18),89,L
192,191.,Jason Kendall (15),89,R
193,191.,Gene Richards (8),89,L
194,195.,Jose Canseco (17),88,R
195,195.,Ivan de Jesus (15),88,R
196,195.,Bobby Veach (14),88,L
197,195.,Gee Walker (15),88,R
198,199.,Luis Gonzalez (19),87,L
199,199.,Billy Hatcher (12),87,R
200,199.,Bernie Williams (16),87,B
201,202.,Ossie Bluege (18),86,R
202,202.,Lee Lacy (16),86,R
203,202.,Brian McRae (10),86,B
204,202.,Reggie Smith (17),86,B
205,202.,Paul Waner+ (20),86,L
206,207.,Dave Bancroft+ (16),85,B
207,207.,Lu Blue (13),85,B
208,207.,George Cutshaw (12),85,R
209,207.,Don Kessinger (16),85,B
210,207.,Billy Southworth+ (13),85,L
211,212.,Ellis Burks (18),84,R
212,212.,Pat Duncan (7),84,R
213,212.,Augie Galan (16),84,B
214,212.,Ruppert Jones (12),84,L
215,212.,Willie Kamm (13),84,R
216,212.,Roberto Kelly (14),84,R
217,212.,Brandon Phillips (17),84,R
218,212.,Alfonso Soriano (16),84,R
219,212.,B.J. Surhoff (19),84,L
220,212.,Randy Winn (13),84,B
221,222.,Bob Bailey (17),83,R
222,222.,Mike Cameron (17),83,R
223,222.,Ralph Garr (13),83,L
224,222.,Bobby Grich (17),83,R
225,222.,Ken Griffey (19),83,L
226,222.,Heinie Groh (16),83,R
227,222.,Jimmy Johnston (13),83,R
228,222.,Roy Johnson (10),83,L
229,222.,Bing Miller (16),83,R
230,222.,Gary Redus (13),83,R
231,222.,Quilvio Veras (7),83,B
232,222.,Frank White (18),83,R
233,222.,Ross Youngs+ (10),83,L
234,235.,Shawon Dunston (18),82,R
235,235.,Tony Lazzeri+ (14),82,R
236,237.,Tommie Agee (12),81,R
237,237.,Pete Fox (13),81,R
238,237.,Andres Galarraga (19),81,R
239,237.,Shoeless Joe Jackson (13),81,L
240,237.,Wally Moses (17),81,L
241,237.,Howie Shanks (14),81,R
242,243.,Sandy Alomar (15),80,B
243,243.,Matty Alou (15),80,L
244,243.,Orlando Cepeda+ (17),80,R
245,243.,Nellie Fox+ (19),80,L
246,243.,Babe Herman (13),80,L
247,243.,Charlie Hollocher (7),80,L
248,243.,Jerry Mumphrey (15),80,B
249,243.,Babe Pinelli (8),80,R
250,251.,Buddy Bell (18),79,R
251,251.,Coco Crisp (15),79,B
252,251.,George Grantham (13),79,L
253,251.,"Starling Marte (9, 31)",79,R
254,251.,Elmer Valo (20),79,L
255,256.,Jeff Bagwell+ (15),78,R
256,256.,Dick Bartell (18),78,R
257,256.,Julio Cruz (10),78,B
258,256.,Miguel Dilone (12),78,B
259,256.,Jim Gantner (17),78,L
260,256.,Kirk Gibson (17),78,L
261,256.,John Lowenstein (16),78,L
262,256.,Rick Manning (13),78,L
263,256.,Hal McRae (19),78,R
264,265.,"Jose Altuve (10, 30)",77,R
265,265.,Ken Boyer (15),77,R
266,265.,Howard Johnson (14),77,B
267,265.,Barry Larkin+ (19),77,R
268,265.,Freddie Lindstrom+ (13),77,R
269,265.,"Andrew McCutchen (12, 33)",77,R
270,265.,Alex Rios (12),77,R
271,265.,Frank Robinson+ (21),77,R
272,273.,Juan Beniquez (17),76,R
273,273.,Jimmie Foxx+ (20),76,R
274,273.,Chet Lemon (16),76,R
275,273.,Kirby Puckett+ (12),76,R
276,273.,Jackie Robinson+ (10),76,R
277,273.,Alex Rodriguez (22),76,R
278,273.,Larry Walker+ (17),76,L
279,280.,Mark Belanger (18),75,R
280,280.,Stuffy McInnis (19),75,R
281,280.,Bobby Murcer (17),75,L
282,280.,Gerald Perry (13),75,L
283,280.,Rafael Ramirez (13),75,R
284,280.,Milt Stock (14),75,R
285,280.,Lou Whitaker (19),75,L
286,287.,Dave Cash (12),74,R
287,287.,Al Cowens (13),74,R
288,287.,Carlos Gomez (13),74,R
289,287.,Ian Kinsler (14),74,R
290,287.,Gary Matthews (16),74,R
291,287.,Roger Peckinpaugh (17),74,R
292,287.,Bill Wambsganss (13),74,R
293,287.,Tony Womack (13),74,L
294,295.,Hank Aaron+ (23),73,R
295,295.,Dusty Baker (19),73,R
296,295.,Kevin Bass (14),73,B
297,295.,Dante Bichette (14),73,R
298,295.,Bill Buckner (22),73,L
299,295.,Doc Cramer (20),73,L
300,295.,Curt Flood (15),73,R
301,295.,Darryl Hamilton (13),73,L
302,295.,Dave Nelson (10),73,R
303,295.,Paul O'Neill (17),73,L
304,295.,Brian Roberts (14),73,B
305,295.,Duke Snider+ (18),73,L
306,295.,Mitch Webster (13),73,B
307,295.,Gerald Young (8),73,B
308,309.,Lenny Dykstra (12),72,L
309,309.,Chick Galloway (10),72,R
310,309.,Don Gutteridge (12),72,R
311,309.,Billy Herman+ (15),72,R
312,309.,Chuck Klein+ (17),72,L
313,309.,Eddie Milner (9),72,L
314,309.,Joe Sewell+ (14),72,L
315,309.,Pie Traynor+ (17),72,R
316,317.,Earle Combs+ (12),71,L
317,317.,Joe Cronin+ (20),71,R
318,317.,Jacoby Ellsbury (11),71,L
319,317.,Max Flack (12),71,L
320,317.,Bernard Gilkey (12),71,R
321,317.,"Billy Hamilton (8, 29)",71,B
322,317.,Duane Kuiper (12),71,L
323,317.,Stan Musial+ (22),71,L
324,317.,Shannon Stewart (14),71,R
325,326.,Tom Brunansky (14),70,R
326,326.,Ben Oglivie (16),70,L
327,326.,Jim Rivera (10),70,L
328,326.,Pinky Whitney (12),70,R
329,330.,Ken Griffey Jr.+ (22),69,L
330,330.,Rogers Hornsby+ (23),69,R
331,330.,Julio Lugo (12),69,R
332,330.,Bill Russell (18),69,R
333,330.,Benito Santiago (20),69,R
334,330.,Ray Schalk+ (18),69,R
335,330.,Tony Scott (11),69,B
336,330.,Jack Smith (15),69,L
337,330.,Zack Wheat+ (19),69,L
338,330.,Possum Whitted (11),69,R
339,340.,Carson Bigbee (11),68,L
340,340.,Rick Burleson (13),68,R
341,340.,Darrell Evans (21),68,L
342,340.,"Dexter Fowler (13, 34)",68,B
343,340.,Cristian Guzman (11),68,B
344,340.,Jerry Hairston (16),68,R
345,340.,Harry Heilmann+ (17),68,R
346,340.,Buck Herzog (13),68,R
347,340.,Tommy McCraw (13),68,L
348,340.,Wally Moon (12),68,L
349,340.,Dale Murphy (18),68,R
350,340.,Cookie Rojas (16),68,R
351,340.,Bill White (13),68,L
352,340.,Alan Wiggins (7),68,B
353,340.,Jim Wohlford (15),68,R
354,355.,Felipe Alou (17),67,R
355,355.,Hughie Critz (12),67,R
356,355.,Eddie Foster (13),67,R
357,355.,Al Simmons+ (20),67,R
358,355.,Fernando Vina (12),67,L
359,360.,Joe Carter (16),66,R
360,360.,Eric Davis (17),66,R
361,360.,Matt Lawton (12),66,L
362,360.,Duffy Lewis (11),66,R
363,360.,Milt Thompson (13),66,L
364,360.,Tim Wallach (17),66,R
365,360.,Eddie Yost (18),66,R
366,367.,Bernie Friberg (14),65,R
367,367.,Gary Gaetti (20),65,R
368,367.,Al Kaline+ (22),65,R
369,367.,Rudy Law (7),65,L
370,367.,Al Martin (11),65,L
371,367.,Rick Miller (15),65,L
372,367.,Curt Walker (12),65,L
