,Rank,"Player (yrs, age)",WAR Position Players,Bats
0,1.,Barry Bonds (22),162.8,L
1,2.,Babe Ruth+ (22),162.1,L
2,3.,Willie Mays+ (22),156.2,R
3,4.,Ty Cobb+ (24),151.0,L
4,5.,Hank Aaron+ (23),143.1,R
5,6.,Tris Speaker+ (22),134.3,L
6,7.,Honus Wagner+ (21),130.9,R
7,8.,Stan Musial+ (22),128.3,L
8,9.,Rogers Hornsby+ (23),127.1,R
9,10.,Eddie Collins+ (25),123.9,L
10,11.,Ted Williams+ (19),121.9,L
11,12.,Alex Rodriguez (22),117.5,R
12,13.,Lou Gehrig+ (17),114.1,L
13,14.,Rickey Henderson+ (25),111.2,R
14,15.,Mel Ott+ (22),110.7,L
15,16.,Mickey Mantle+ (18),110.2,B
16,17.,Nap Lajoie+ (21),107.3,R
17,18.,Frank Robinson+ (21),107.2,R
18,19.,Mike Schmidt+ (18),106.9,R
19,20.,"Albert Pujols (20, 40)",100.7,R
20,21.,Joe Morgan+ (22),100.5,L
21,22.,Carl Yastrzemski+ (23),96.4,L
22,23.,Eddie Mathews+ (17),96.2,L
23,24.,Cal Ripken Jr.+ (21),95.9,R
24,25.,Roberto Clemente+ (18),94.8,R
25,26.,Cap Anson+ (27),94.4,R
26,27.,Adrian Beltre (21),93.6,R
27,28.,Jimmie Foxx+ (20),93.1,R
28,29.,Al Kaline+ (22),92.8,R
29,30.,Wade Boggs+ (18),91.4,L
30,31.,George Brett+ (21),88.6,L
31,32.,Chipper Jones+ (19),85.3,B
32,33.,George Davis+ (20),84.7,B
33,34.,Roger Connor+ (18),84.3,B
34,35.,Charlie Gehringer+ (19),83.8,L
35,35.,Ken Griffey Jr.+ (22),83.8,L
36,37.,Rod Carew+ (19),81.3,L
37,38.,Jeff Bagwell+ (15),79.9,R
38,39.,Dan Brouthers+ (19),79.8,L
39,40.,Pete Rose (24),79.7,B
40,41.,Joe DiMaggio+ (13),79.1,R
41,42.,Brooks Robinson+ (23),78.4,R
42,43.,Arky Vaughan+ (14),78.0,L
43,44.,Robin Yount+ (20),77.3,R
44,45.,Luke Appling+ (20),77.1,R
45,46.,Ozzie Smith+ (19),76.9,B
46,47.,Paul Molitor+ (21),75.7,R
47,48.,Sam Crawford+ (19),75.3,L
48,48.,Bill Dahlen (21),75.3,R
49,50.,Johnny Bench+ (17),75.2,R
50,51.,Lou Whitaker (19),75.1,L
51,52.,"Mike Trout (10, 28)",74.6,R
52,53.,Reggie Jackson+ (21),74.0,L
53,54.,Paul Waner+ (20),73.9,L
54,55.,Frank Thomas+ (19),73.8,R
55,56.,Jim Thome+ (22),72.9,L
56,57.,Larry Walker+ (17),72.7,L
57,58.,Harry Heilmann+ (17),72.1,R
58,59.,Rafael Palmeiro (20),71.9,L
59,60.,Derek Jeter+ (20),71.3,R
60,60.,Johnny Mize+ (15),71.3,L
61,62.,Bobby Grich (17),71.1,R
62,63.,Frankie Frisch+ (19),70.8,B
63,64.,Alan Trammell+ (20),70.7,R
64,65.,Barry Larkin+ (19),70.5,R
65,65.,Ron Santo+ (15),70.5,R
66,67.,Bobby Wallace+ (25),70.3,R
67,68.,Carlos Beltran (20),70.1,B
68,68.,Gary Carter+ (19),70.1,R
69,68.,Scott Rolen (17),70.1,R
70,71.,"Miguel Cabrera (18, 37)",69.6,R
71,71.,Ed Delahanty+ (16),69.6,R
72,73.,Tim Raines+ (23),69.4,B
73,74.,Manny Ramirez (19),69.3,R
74,75.,Tony Gwynn+ (20),69.2,L
75,76.,"Robinson Cano (16, 37)",69.1,L
76,77.,Eddie Murray+ (21),68.7,B
77,77.,Ivan Rodriguez+ (21),68.7,R
78,79.,Carlton Fisk+ (24),68.4,R
79,79.,Kenny Lofton (17),68.4,L
80,79.,Edgar Martinez+ (18),68.4,R
81,82.,Pee Wee Reese+ (16),68.2,R
82,83.,Graig Nettles (22),68.0,L
83,83.,Ryne Sandberg+ (16),68.0,R
84,83.,Al Simmons+ (20),68.0,R
85,86.,Ernie Banks+ (19),67.8,R
86,86.,Fred Clarke+ (21),67.8,L
87,88.,Dwight Evans (20),67.1,R
88,89.,Roberto Alomar+ (17),67.0,B
89,90.,Buddy Bell (18),66.3,R
90,91.,Goose Goslin+ (18),66.2,L
91,92.,Duke Snider+ (18),66.0,L
92,93.,Willie Randolph (18),65.9,R
93,94.,Craig Biggio+ (20),65.5,R
94,95.,Andre Dawson+ (21),64.8,R
95,96.,Reggie Smith (17),64.6,B
96,97.,Willie McCovey+ (22),64.5,L
97,98.,Richie Ashburn+ (15),64.4,L
98,98.,Chase Utley (16),64.4,L
99,100.,Dave Winfield+ (22),64.2,R
100,101.,Joe Cronin+ (20),64.1,R
101,102.,Billy Williams+ (18),63.7,L
102,103.,Billy Hamilton+ (14),63.3,L
103,104.,Lou Boudreau+ (15),63.0,R
104,105.,Ken Boyer (15),62.9,R
105,106.,Jesse Burkett+ (16),62.8,L
106,107.,Home Run Baker+ (13),62.7,L
107,107.,Andruw Jones (17),62.7,R
108,109.,Mark McGwire (16),62.2,R
109,110.,Shoeless Joe Jackson (13),62.1,L
110,110.,"Joey Votto (14, 36)",62.1,L
111,112.,Jack Glasscock (17),62.0,R
112,113.,Todd Helton (17),61.8,L
113,114.,Jake Beckley+ (20),61.7,L
114,114.,Jackie Robinson+ (10),61.7,R
115,116.,Sal Bando (16),61.5,R
116,117.,Willie Davis (18),60.8,L
117,118.,Gary Sheffield (22),60.5,R
118,119.,Jim Edmonds (17),60.4,L
119,119.,Harmon Killebrew+ (22),60.4,R
120,121.,Keith Hernandez (17),60.3,L
121,122.,Bobby Abreu (18),60.2,L
122,123.,Zack Wheat+ (19),60.1,L
123,124.,Ichiro Suzuki (19),59.7,L
124,125.,Mike Piazza+ (16),59.6,R
125,126.,Yogi Berra+ (19),59.5,L
126,126.,Vladimir Guerrero+ (16),59.5,R
127,128.,Sherry Magee (16),59.4,R
128,129.,Dick Allen (15),58.8,R
129,129.,Darrell Evans (21),58.8,L
130,131.,Sammy Sosa (18),58.6,R
131,132.,John Olerud (17),58.1,L
132,133.,Bobby Bonds (14),57.9,R
133,134.,Joe Torre+ (18),57.6,R
134,135.,Willie Stargell+ (21),57.5,L
135,136.,Bill Dickey+ (17),57.3,L
136,137.,Enos Slaughter+ (19),57.0,L
137,138.,Gabby Hartnett+ (20),56.9,R
138,139.,"Evan Longoria (13, 34)",56.7,R
139,140.,Will Clark (15),56.5,L
140,141.,Johnny Damon (18),56.3,L
141,142.,Robin Ventura (16),56.1,L
142,143.,Billy Herman+ (15),56.0,R
143,144.,Luis Aparicio+ (18),55.9,R
144,145.,Bill Terry+ (14),55.8,L
145,145.,Jim Wynn (15),55.8,R
146,147.,Joe Gordon+ (11),55.7,R
147,147.,Hank Greenberg+ (13),55.7,R
148,149.,Chet Lemon (16),55.6,R
149,150.,Jeff Kent (17),55.4,R
150,151.,Bob Johnson (13),55.3,R
151,151.,Joe Mauer (15),55.3,L
152,151.,David Ortiz (20),55.3,L
153,154.,Ian Kinsler (14),55.2,R
154,155.,Stan Hack (16),54.8,L
155,156.,Max Carey+ (20),54.5,B
156,157.,Jose Cruz (19),54.4,L
157,158.,Willie Keeler+ (19),54.3,L
158,158.,Joe Medwick+ (17),54.3,R
159,160.,Vada Pinson (18),54.2,L
160,161.,Tony Perez+ (23),54.0,R
161,161.,George Sisler+ (15),54.0,L
162,163.,Joe Sewell+ (14),53.9,L
163,164.,Ron Cey (17),53.8,R
164,165.,Jimmy Collins+ (14),53.4,R
165,165.,Sam Rice+ (20),53.4,L
166,167.,Harry Hooper+ (17),53.2,L
167,167.,Joe Tinker+ (15),53.2,R
168,169.,Bert Campaneris (19),53.1,R
169,169.,Jack Clark (18),53.1,R
170,171.,Elmer Flick+ (13),53.0,L
171,172.,Cesar Cedeno (17),52.8,R
172,173.,Fred McGriff (19),52.6,L
173,174.,Bid McPhee+ (18),52.5,R
174,175.,Jim O'Rourke+ (23),52.1,R
175,176.,Lance Berkman (15),52.0,B
176,176.,Norm Cash (17),52.0,L
177,178.,Luis Gonzalez (19),51.7,L
178,179.,"Dustin Pedroia (14, 36)",51.6,R
179,180.,Brian Downing (20),51.5,R
180,181.,Toby Harrah (17),51.4,R
181,182.,Earl Averill+ (13),51.1,L
182,182.,Bobby Doerr+ (14),51.1,R
183,182.,Brian Giles (15),51.1,L
184,182.,Kirby Puckett+ (12),51.1,R
185,186.,Tony Phillips (18),50.9,B
186,187.,Torii Hunter (19),50.7,R
187,188.,Mark Teixeira (14),50.6,B
188,189.,Bob Elliott (15),50.5,R
189,189.,Jason Giambi (20),50.5,L
190,189.,Joe Kelley+ (17),50.5,R
191,192.,Ted Simmons+ (21),50.3,B
192,193.,Fred Lynn (17),50.2,L
193,193.,Minnie Minoso (17),50.2,R
194,195.,Orlando Cepeda+ (17),50.1,R
195,196.,Ellis Burks (18),49.8,R
196,197.,Brett Butler (17),49.7,L
197,197.,Jimmy Sheckard (17),49.7,L
198,199.,Bernie Williams (16),49.6,B
199,200.,Nellie Fox+ (19),49.5,L
200,201.,Larry Doby+ (13),49.3,L
201,202.,David Wright (14),49.2,R
202,203.,Dave Bancroft+ (16),49.1,B
203,203.,Mickey Cochrane+ (13),49.1,L
204,205.,Jim Fregosi (18),48.7,R
205,206.,Larry Gardner (17),48.2,L
206,207.,Heinie Groh (16),48.1,R
207,208.,Buck Ewing+ (18),48.0,R
208,209.,Ralph Kiner+ (10),47.9,R
209,209.,Wally Schang (19),47.9,B
210,211.,Buddy Myer (17),47.8,L
