,Rank,"Player (yrs, age)",Range Factor/Game as 1B,Throws
0,1.,Jiggs Donahue (9),11.687,L
1,2.,Frank Isbell (10),11.499,R
2,3.,Tom Jones (8),11.200,R
3,4.,George Stovall (12),11.138,R
4,5.,High Pockets Kelly+ (16),10.993,R
5,6.,Wally Pipp (15),10.957,L
6,7.,John Anderson (14),10.945,R
7,8.,Ed Konetchy (15),10.928,R
8,9.,Candy LaChance (12),10.864,R
9,10.,Bill Terry+ (14),10.817,L
10,11.,John Ganzel (7),10.807,R
11,12.,George Burns (16),10.764,R
12,13.,Walter Holke (11),10.749,L
13,14.,Phil Todt (8),10.732,L
14,15.,Harry Stovey (14),10.698,R
15,16.,Joe Start (16),10.689,L
16,17.,Fred Tenney (17),10.644,L
17,18.,Dots Miller (12),10.638,R
18,19.,Jake Stahl (9),10.632,R
19,20.,Stuffy McInnis (19),10.627,R
20,21.,Lu Blue (13),10.605,L
21,22.,Hal Chase (15),10.597,L
22,23.,Charlie Carr (7),10.590,R
23,24.,Patsy Tebeau (13),10.583,R
24,25.,Cap Anson+ (27),10.540,R
25,26.,Fred Luderus (12),10.535,R
26,27.,Frank Chance+ (17),10.532,R
27,28.,Dan McGann (12),10.524,R
28,29.,Charlie Comiskey+ (13),10.522,R
29,30.,Jake Beckley+ (20),10.521,L
30,31.,Fred Merkle (16),10.515,R
31,32.,Bill Phillips (10),10.509,R
32,33.,Sid Farrar (8),10.507,R
33,34.,Joe Hauser (6),10.505,L
34,35.,Earl Sheely (9),10.501,R
35,36.,Roger Connor+ (18),10.500,L
36,37.,Dave Foutz (13),10.492,R
37,38.,Perry Werden (7),10.487,R
38,39.,Kitty Bransfield (12),10.483,R
39,40.,Vic Saier (8),10.465,R
40,41.,Zeke Bonura (7),10.448,R
41,42.,Chick Gandil (9),10.432,R
42,43.,Dan Brouthers+ (19),10.416,L
43,44.,John Morrill (15),10.401,R
44,45.,Dave Orr (8),10.390,R
45,46.,John Reilly (10),10.382,R
46,47.,Jake Daubert (15),10.371,L
47,48.,Jack Doyle (17),10.359,R
48,49.,Tim Jordan (7),10.351,R
49,50.,George Sisler+ (15),10.333,L
