,Rank,"Player (yrs, age)",Doubles,Bats
48,49.,Garret Anderson (17),522,L
49,49.,Johnny Damon (18),522,L
50,49.,Ed Delahanty+ (16),522,R
51,52.,Scott Rolen (17),517,R
52,53.,Joe Cronin+ (20),515,R
53,54.,"Nick Markakis (15, 36)",514,L
54,54.,Edgar Martinez+ (18),514,R
55,56.,Mark Grace (16),511,L
56,56.,Jimmy Rollins (17),511,B
57,58.,Rickey Henderson+ (25),510,R
58,59.,Babe Ruth+ (22),506,L
59,60.,Tony Perez+ (23),505,R
60,61.,Roberto Alomar+ (17),504,B
61,62.,Andre Dawson+ (21),503,R
62,63.,Goose Goslin+ (18),500,L
63,63.,John Olerud (17),500,L
64,65.,Rusty Staub (23),499,L
65,66.,Bill Buckner (22),498,L
66,66.,Torii Hunter (19),498,R
67,66.,Al Kaline+ (22),498,R
68,66.,Sam Rice+ (20),498,L
69,70.,Aramis Ramirez (18),495,R
70,70.,Frank Thomas+ (19),495,R
71,72.,Heinie Manush+ (17),491,L
72,73.,Mickey Vernon (20),490,L
73,74.,Jeff Bagwell+ (15),488,R
74,74.,Harold Baines+ (22),488,L
75,74.,Mel Ott+ (22),488,L
76,77.,Lou Brock+ (19),486,L
77,77.,Billy Herman+ (15),486,R
78,79.,Vada Pinson (18),485,L
79,80.,Hal McRae (19),484,R
80,81.,Carlos Delgado (17),483,L
81,81.,Dwight Evans (20),483,R
82,81.,Ted Simmons+ (21),483,B
83,84.,Brooks Robinson+ (23),482,R
84,85.,Alfonso Soriano (16),481,R
85,86.,Vladimir Guerrero+ (16),477,R
86,87.,Zack Wheat+ (19),476,L
87,88.,Jake Beckley+ (20),473,L
88,89.,Larry Walker+ (17),471,L
89,90.,Carlos Lee (14),469,R
90,91.,Matt Holliday (15),468,R
91,91.,Jim O'Rourke+ (23),468,R
92,91.,Miguel Tejada (16),468,R
93,94.,Gary Sheffield (22),467,R
94,95.,Frankie Frisch+ (19),466,B
95,96.,Jim Bottomley+ (16),465,L
96,97.,Reggie Jackson+ (21),463,L
97,98.,Dan Brouthers+ (19),462,L
98,99.,Orlando Cabrera (15),459,R
99,100.,Sam Crawford+ (19),458,L
100,100.,Jimmie Foxx+ (20),458,R
101,102.,Omar Vizquel (24),456,B
102,103.,George Davis+ (20),453,B
103,103.,Jimmy Dykes (22),453,R
104,105.,Paul O'Neill (17),451,L
105,105.,Jimmy Ryan (18),451,R
106,105.,Jim Thome+ (22),451,L
107,108.,Steve Finley (19),449,L
108,108.,Joe Morgan+ (22),449,L
109,108.,Bernie Williams (16),449,B
110,111.,Rod Carew+ (19),445,L
111,111.,Shawn Green (15),445,L
112,113.,George Burns (16),444,R
113,113.,Andres Galarraga (19),444,R
114,115.,Gary Gaetti (20),443,R
115,116.,Dick Bartell (18),442,R
116,116.,Don Mattingly (14),442,L
117,118.,Roger Connor+ (18),441,B
118,118.,Barry Larkin+ (19),441,R
119,118.,Fred McGriff (19),441,L
120,118.,Michael Young (14),441,R
121,122.,Luke Appling+ (20),440,R
122,122.,Will Clark (15),440,L
123,122.,Roberto Clemente+ (18),440,R
124,122.,Ray Durham (14),440,B
125,122.,Steve Garvey (19),440,R
126,122.,B.J. Surhoff (19),440,L
127,128.,Eddie Collins+ (25),438,L
128,129.,Jim Edmonds (17),437,L
129,129.,Adrian Gonzalez (15),437,L
130,131.,Cesar Cedeno (17),436,R
131,131.,Edgar Renteria (16),436,R
132,131.,Joe Sewell+ (14),436,L
133,134.,Wally Moses (17),435,L
134,135.,Billy Williams+ (18),434,L
135,136.,Joe Judge (20),433,L
136,137.,Joe Carter (16),432,R
137,137.,Derrek Lee (15),432,R
138,137.,Tim Wallach (17),432,R
139,140.,Tim Raines+ (23),430,B
140,141.,Joe Mauer (15),428,L
141,141.,Ruben Sierra (20),428,B
142,143.,Red Schoendienst+ (19),427,B
143,144.,Keith Hernandez (17),426,L
144,144.,Magglio Ordonez (15),426,R
145,146.,Buddy Bell (18),425,R
146,146.,Sherry Magee (16),425,R
147,146.,George Sisler+ (15),425,L
148,149.,Chili Davis (19),424,B
149,149.,Raul Ibanez (19),424,L
150,151.,Victor Martinez (16),423,B
151,151.,Willie Stargell+ (21),423,L
152,153.,Lance Berkman (15),422,B
153,154.,Moises Alou (17),421,R
154,154.,Carlton Fisk+ (24),421,R
155,156.,Lou Whitaker (19),420,L
156,157.,Max Carey+ (20),419,B
157,158.,Orlando Cepeda+ (17),417,R
158,159.,Ian Kinsler (14),416,R
159,160.,Cecil Cooper (17),415,L
160,161.,Tony Fernandez (17),414,B
161,161.,Kirby Puckett+ (12),414,R
162,163.,Bill Dahlen (21),413,R
163,163.,Enos Slaughter+ (19),413,L
164,165.,Joe Kuhel (18),412,L
165,165.,Alan Trammell+ (20),412,R
166,165.,"Joey Votto (14, 36)",412,L
167,168.,Lave Cross (21),411,R
168,168.,Brian Giles (15),411,L
169,168.,Chase Utley (16),411,L
170,171.,Paul Konerko (18),410,R
171,172.,Wally Joyner (16),409,L
172,173.,Bobby Bonilla (16),408,B
173,173.,"Ryan Braun (14, 36)",408,R
174,173.,Mike Schmidt+ (18),408,R
175,173.,Mark Teixeira (14),408,B
176,177.,Ernie Banks+ (19),407,R
177,177.,Ben Chapman (15),407,R
