,Rank,"Player (yrs, age)",Doubles,Bats
691,690.,Don Kessinger (16),254,B
692,690.,Mike Lansing (9),254,R
693,690.,"J.D. Martinez (10, 32)",254,R
694,690.,Pete O'Brien (12),254,L
695,690.,Cookie Rojas (16),254,R
696,690.,Kevin Youkilis (10),254,R
697,698.,"Dexter Fowler (13, 34)",253,B
698,698.,Roy McMillan (16),253,R
699,698.,Mark Reynolds (13),253,R
700,698.,John Titus (11),253,L
701,698.,Cesar Tovar (12),253,R
702,703.,Jose Cruz (12),252,B
703,703.,Jack Fournier (15),252,L
704,703.,Willie Jones (15),252,R
705,703.,Mark McGwire (16),252,R
706,703.,Jose Offerman (15),252,B
707,703.,Grady Sizemore (10),252,L
708,703.,Germany Smith (15),252,R
709,703.,Jimmie Wilson (18),252,R
710,711.,Charlie Hayes (14),251,R
711,711.,Fred Luderus (12),251,L
712,713.,Bruce Bochte (12),250,L
713,713.,Deivi Cruz (9),250,R
714,713.,Jake Daubert (15),250,L
715,713.,Buck Ewing+ (18),250,R
716,713.,Travis Hafner (12),250,L
717,713.,Irish Meusel (11),250,R
718,719.,Sparky Adams (13),249,R
719,719.,Sandy Alomar (20),249,R
720,719.,Scott Hatteberg (14),249,L
721,719.,"Jason Heyward (11, 30)",249,L
722,719.,Buddy Lewis (11),249,L
723,719.,Hideki Matsui (10),249,L
724,719.,Alexei Ramírez (9),249,R
725,719.,Fred Schulte (11),249,R
726,727.,Kevin Bass (14),248,B
727,727.,Dummy Hoy (14),248,L
728,727.,Rick Monday (19),248,L
729,727.,Steve O'Neill (17),248,R
730,731.,Deron Johnson (16),247,R
731,731.,Howard Johnson (14),247,B
732,731.,Lyn Lary (12),247,R
733,731.,Carl Reynolds (13),247,R
734,731.,Mickey Rivers (15),247,L
735,736.,Hal Morris (13),246,L
736,736.,"Giancarlo Stanton (11, 30)",246,R
737,738.,Alfredo Griffin (18),245,B
738,738.,Frank Howard (16),245,R
739,738.,Billy Jurges (17),245,R
740,738.,Arlie Latham (17),245,R
741,738.,Doug Rader (11),245,R
742,738.,Ty Wigginton (12),245,R
743,738.,Richie Zisk (13),245,R
744,745.,"Brandon Belt (10, 32)",244,L
745,745.,Spud Davis (16),244,R
746,745.,Delino DeShields (13),244,L
747,745.,Mickey Doolin (13),244,R
748,745.,Bernard Gilkey (12),244,R
749,745.,Terry Kennedy (14),244,L
750,745.,Sherm Lollar (18),244,R
751,745.,Denny Lyons (13),244,R
752,745.,"Manny Machado (9, 27)",244,R
753,745.,Earl Sheely (9),244,R
754,745.,Roy Smalley (13),244,B
755,745.,Andre Thornton (14),244,R
756,745.,Tillie Walker (13),244,R
757,758.,Dave Cash (12),243,R
758,758.,Larry Doby+ (13),243,L
759,758.,Scott Fletcher (15),243,R
760,758.,Ken Reitz (11),243,R
761,758.,Bill Skowron (14),243,R
762,758.,Jim Sundberg (16),243,R
763,758.,Jack Wilson (12),243,R
764,765.,Juan Encarnacion (11),242,R
765,765.,Billy Hamilton+ (14),242,L
766,765.,Davey Johnson (13),242,R
767,765.,Tim McCarver (21),242,L
768,765.,Jimmy Williams (11),242,R
769,770.,Bill Bruton (12),241,L
770,770.,Norm Cash (17),241,L
771,770.,Jacoby Ellsbury (11),241,L
772,770.,Tim Foli (16),241,R
773,770.,Bill Freehan (15),241,R
774,770.,Willie Keeler+ (19),241,L
775,770.,Roberto Kelly (14),241,R
776,777.,Jason Bay (11),240,R
777,777.,Tom Brown (17),240,L
778,777.,"Nicholas Castellanos (8, 28)",240,R
779,777.,Walker Cooper (18),240,R
780,777.,Odell Hale (10),240,R
781,777.,Eric Hinske (12),240,L
782,777.,Dave Kingman (16),240,R
783,777.,Clyde Milan (16),240,L
784,777.,Tommy Tucker (13),240,B
785,786.,"Charlie Blackmon (10, 33)",239,L
786,786.,Eric Davis (17),239,R
787,786.,Frank Malzone (12),239,R
788,786.,John Morrill (15),239,R
789,786.,Phil Rizzuto+ (13),239,R
790,786.,Manny Trillo (17),239,R
791,792.,"Mookie Betts (7, 27)",238,R
792,792.,Jerry Denny (13),238,R
793,792.,Art Fletcher (13),238,R
794,792.,Tony Gonzalez (12),238,L
795,792.,Cristian Guzman (11),238,B
796,792.,Eddie Joost (17),238,R
797,792.,Julio Lugo (12),238,R
798,792.,Dave Martinez (16),238,L
799,792.,Neifi Perez (12),238,B
800,792.,Robby Thompson (11),238,R
801,792.,Dan Uggla (10),238,R
802,792.,"Neil Walker (12, 34)",238,B
803,804.,Ken Oberkfell (16),237,L
804,804.,Rico Petrocelli (13),237,R
805,804.,Darrell Porter (17),237,L
806,804.,Bill Virdon (12),237,L
807,808.,Matty Alou (15),236,L
808,808.,Max Bishop (12),236,L
809,808.,"Xander Bogaerts (8, 27)",236,R
810,808.,Tom Burns (13),236,R
811,808.,Woody English (12),236,R
812,808.,Carlos Gomez (13),236,R
813,808.,Bill Hallman (14),236,R
814,808.,Ross Youngs+ (10),236,L
815,816.,"Brett Gardner (13, 36)",235,L
816,816.,"Mike Moustakas (10, 31)",235,L
817,816.,Don Slaught (16),235,R
818,816.,Curt Walker (12),235,L
819,816.,Kevin Young (12),235,R
820,821.,Bob Bailey (17),234,R
821,821.,"Brandon Crawford (10, 33)",234,L
822,821.,Chris Gomez (16),234,R
823,821.,Josh Hamilton (9),234,L
824,821.,Troy O'Leary (11),234,L
825,821.,"Justin Turner (12, 35)",234,R
826,827.,"José Abreu (7, 33)",233,R
827,827.,Jay Buhner (15),233,R
828,827.,George Case (11),233,R
829,827.,Tony Clark (15),233,B
830,827.,Mariano Duncan (12),233,R
831,827.,Jerry Hairston (16),233,R
832,833.,Derek Bell (11),232,R
833,833.,Zeke Bonura (7),232,R
834,833.,Gavvy Cravath (11),232,R
835,833.,Monte Cross (15),232,R
836,833.,David Eckstein (10),232,R
837,833.,Hughie Jennings+ (18),232,R
838,833.,Davey Lopes (16),232,R
839,833.,Dots Miller (12),232,R
840,833.,Tom Paciorek (18),232,R
841,833.,Jerry Priddy (11),232,R
842,843.,"Brian Dozier (9, 33)",231,R
843,843.,Dick McAuliffe (16),231,L
844,843.,Dean Palmer (14),231,R
845,843.,Carlos Pena (14),231,L
846,843.,Fred Pfeffer (16),231,R
847,843.,George Stovall (12),231,R
848,843.,Shane Victorino (12),231,R
849,843.,John Ward+ (17),231,L
850,851.,Smoky Burgess (18),230,L
851,851.,Jeff Burroughs (16),230,R
852,851.,Kelly Johnson (11),230,L
853,851.,Bobby Lowe (18),230,R
854,851.,Harold Reynolds (12),230,B
855,851.,Zoilo Versalles (12),230,R
856,857.,Hank Bauer (14),229,R
857,857.,Warren Cromartie (10),229,L
858,857.,Mel Hall (13),229,L
859,857.,Eric McNair (14),229,R
860,857.,Orlando Merced (13),229,B
861,857.,Felix Millan (12),229,R
862,857.,Thurman Munson (11),229,R
863,857.,Bill Robinson (16),229,R
864,857.,Cy Seymour (16),229,L
865,866.,"Chris Davis (13, 34)",228,L
866,866.,"Josh Donaldson (10, 34)",228,R
867,866.,Elbie Fletcher (12),228,L
868,866.,"Bryce Harper (9, 27)",228,L
869,866.,Brandon Inge (13),228,R
870,866.,Joe Quinn (17),228,R
871,866.,Elmer Valo (20),228,L
872,866.,Ned Williamson (13),228,R
873,866.,George Wood (13),228,L
874,875.,Candy Maldonado (15),227,R
875,875.,Ezra Sutton (18),227,R
876,875.,Mookie Wilson (12),227,B
877,878.,Tony Batista (11),226,R
878,878.,Jack Clements (17),226,L
879,878.,Rajai Davis (14),226,R
880,878.,Rance Mulliniks (16),226,L
881,878.,Johnny Pesky (10),226,L
882,878.,Terry Puhl (15),226,L
883,878.,Billy Shindle (13),226,R
884,885.,Kitty Bransfield (12),225,R
885,885.,Bob Fothergill (12),225,R
886,885.,Stan Javier (17),225,B
887,885.,Ed Kranepool (18),225,L
888,885.,Gary Matthews (12),225,B
889,885.,Denis Menke (13),225,R
890,885.,Scott Spiezio (12),225,B
891,885.,Ed Sprague (11),225,R
892,893.,Oyster Burns (11),224,R
893,893.,Fred Dunlap (12),224,R
894,893.,Alcides Escobar (11),224,R
895,893.,Tito Francona (15),224,L
896,893.,Bucky Harris+ (12),224,R
897,893.,Kevin Mitchell (13),224,R
898,893.,Mike Napoli (12),224,R
899,893.,Rafael Ramirez (13),224,R
900,893.,Seth Smith (11),224,L
901,902.,Rick Dempsey (24),223,R
902,902.,Tommy Helms (14),223,R
903,902.,Ron Hunt (12),223,R
904,902.,Corey Koskie (9),223,L
905,902.,Jeffrey Leonard (14),223,R
906,902.,Carlos Ruiz (12),223,R
907,908.,Frankie Gustine (12),222,R
908,908.,Jeff King (11),222,R
909,908.,Whitey Lockman (15),222,L
910,908.,Paul Lo Duca (11),222,R
911,908.,Trot Nixon (12),222,L
912,908.,Tip O'Neill (10),222,R
913,908.,Chief Zimmer (19),222,R
914,915.,Frank Bolling (12),221,R
915,915.,Jim Eisenreich (15),221,L
916,915.,Corey Hart (11),221,R
917,915.,Mike Kreevich (12),221,R
918,915.,Mike Macfarlane (13),221,R
919,915.,Doug Mientkiewicz (12),221,L
920,915.,Preston Wilson (10),221,R
921,915.,Sam Wise (12),221,L
922,923.,Michael Barrett (12),220,R
923,923.,Al Bumbry (14),220,L
924,923.,Alvin Davis (9),220,L
925,923.,Bill Doran (12),220,B
926,923.,Taylor Douthit (11),220,R
927,923.,Sid Gordon (13),220,R
928,923.,Al Martin (11),220,L
929,923.,Angel Pagan (11),220,B
930,923.,Mike Stanley (15),220,R
931,932.,Jack Graney (14),219,L
932,932.,Felipe Lopez (11),219,B
933,932.,Chick Stahl (10),219,L
934,932.,Joe Stripp (11),219,R
935,932.,Rickie Weeks (14),219,R
936,937.,Yuniesky Betancourt (9),218,R
937,937.,Roger Bresnahan+ (17),218,R
938,937.,Craig Counsell (16),218,L
939,937.,Elston Howard (14),218,R
940,937.,Austin Jackson (9),218,R
941,937.,Dave Magadan (16),218,L
942,937.,Jim Northrup (12),218,L
943,937.,Socks Seybold (9),218,R
944,937.,Tom York (15),218,L
945,937.,Delmon Young (10),218,R
946,947.,Jeff Blauser (13),217,R
947,947.,Abner Dalrymple (12),217,L
948,947.,Charlie Hickman (12),217,R
949,947.,Bengie Molina (13),217,R
950,947.,Jerry Mumphrey (15),217,B
951,952.,Bob Allison (13),216,R
952,952.,Jesse Barfield (12),216,R
953,952.,Aaron Boone (12),216,R
954,952.,Johnny Evers+ (18),216,L
955,952.,Kid Gleason (22),216,B
956,952.,Ken Henderson (16),216,B
957,952.,Johnny Hopp (14),216,L
958,952.,Julian Javier (13),216,R
959,952.,Ralph Kiner+ (10),216,R
960,952.,Johnny Logan (13),216,R
961,952.,"Jonathan Lucroy (11, 34)",216,R
962,952.,Freddie Patek (14),216,R
963,952.,Claude Ritchey (13),216,B
964,952.,Josh Willingham (11),216,R
965,952.,"Christian Yelich (8, 28)",216,L
966,967.,Jay Johnstone (20),215,L
967,967.,Reed Johnson (13),215,R
968,967.,Ruppert Jones (12),215,L
969,967.,Jose Lopez (9),215,R
970,967.,Spike Owen (13),215,B
971,967.,John Reilly (10),215,R
972,967.,Freddy Sanchez (10),215,R
973,967.,Earl Torgeson (15),215,L
974,967.,Eddie Waitkus (11),215,L
975,967.,Bill Wambsganss (13),215,R
976,967.,Curt Welch (10),215,R
977,978.,Darrin Fletcher (14),214,L
978,978.,Dan Ford (11),214,R
979,978.,Richard Hidalgo (9),214,R
980,978.,Don Hoak (11),214,R
981,978.,Glenn Hubbard (12),214,R
982,978.,Barney McCosky (11),214,L
983,978.,Keith Moreland (12),214,R
984,978.,Bill Phillips (10),214,R
985,978.,Chris Sabo (9),214,R
986,978.,Randy Velarde (16),214,R
987,988.,Ferris Fain (9),213,L
988,988.,Frankie Hayes (14),213,R
989,988.,"Jose Ramirez (8, 27)",213,B
990,988.,Moose Solters (9),213,R
991,988.,Amos Strunk (17),213,L
992,993.,Max Flack (12),212,L
993,993.,Ralph Garr (13),212,L
994,993.,Wally Moon (12),212,L
995,993.,Wilbert Robinson+ (17),212,R
996,993.,Gorman Thomas (13),212,R
997,993.,Chicken Wolf (11),212,R
998,999.,Duke Farrell (18),211,B
999,999.,"Todd Frazier (10, 34)",211,R
1000,999.,Tito Fuentes (13),211,B
1001,999.,Charles Johnson (12),211,R
1002,999.,John Mayberry (15),211,L
1003,999.,Cody Ross (12),211,R
1004,999.,Howie Shanks (14),211,R
1005,999.,Dan Wilson (14),211,R
