,Rank,"Player (yrs, age)",Total Zone Runs as CF (s.1953),Throws
135,136.,Joe Lovitto (4),11,R
136,136.,"Brett Phillips (4, 26)",11,R
137,136.,Andy Van Slyke (13),11,R
138,136.,Gerald Williams (14),11,R
139,140.,"Albert Almora (5, 26)",10,R
140,140.,"Keon Broxton (5, 30)",10,R
141,140.,Bobby Del Greco (9),10,R
142,140.,"Adam Engel (4, 28)",10,R
143,140.,Sam Fuld (8),10,L
144,140.,"Enrique Hernandez (7, 28)",10,R
145,140.,Don Landrum (8),10,R
146,140.,Nyjer Morgan (7),10,L
147,140.,Deion Sanders (9),10,L
148,140.,F.P. Santangelo (7),10,R
149,140.,Ryan Thompson (9),10,R
150,140.,Michael Tucker (12),10,R
151,140.,Ken Williams (6),10,R
152,153.,Mike Anderson (9),9,R
153,153.,"Harrison Bader (4, 26)",9,R
154,153.,Dusty Baker (19),9,R
155,153.,Bill Bean (6),9,L
156,153.,Midre Cummings (11),9,R
157,153.,Mike Davis (10),9,L
158,153.,Jason Ellison (6),9,R
159,153.,David Green (6),9,R
160,153.,"Randal Grichuk (7, 28)",9,R
161,153.,Jerry Hairston (16),9,R
162,153.,Ruppert Jones (12),9,L
163,153.,Steve Lyons (9),9,R
164,153.,"Whit Merrifield (5, 31)",9,R
165,153.,Calvin Murray (5),9,R
166,153.,Ivan Murrell (10),9,R
167,153.,Jim Nettles (6),9,L
168,153.,Fernando Perez (2),9,R
169,153.,Bill Robinson (16),9,R
170,153.,Cesar Tovar (12),9,R
171,153.,Claudell Washington (17),9,L
172,173.,Jim Bolger (7),8,R
173,173.,Ken Boyer (15),8,R
174,173.,Damon Buford (9),8,R
175,173.,Bob Coluccio (5),8,R
176,173.,J.D. Drew (14),8,R
177,173.,"Brett Eibner (3, 31)",8,R
178,173.,Dwight Evans (20),8,R
179,173.,"Michael Hermosillo (3, 25)",8,R
180,173.,Mike Hershberger (11),8,R
181,173.,Thomas Howard (11),8,R
182,173.,Randy Kutcher (5),8,R
183,173.,Mike Lum (15),8,L
184,173.,Jim Lyttle (8),8,R
185,173.,Jose Macias (7),8,R
186,173.,Shane Mack (9),8,R
187,173.,Mitch Maier (6),8,R
188,173.,Bake McBride (11),8,R
189,173.,Luis Melendez (8),8,R
190,173.,Bobby Mitchell (4),8,L
191,173.,Juan Perez (3),8,R
192,173.,Jason Repko (7),8,R
193,173.,Joe Simpson (9),8,L
194,173.,Gene Stephens (12),8,R
195,196.,"Abraham Almonte (8, 31)",7,R
196,196.,Felipe Alou (17),7,R
197,196.,Glen Barker (3),7,R
198,196.,Bubba Crosby (4),7,L
199,196.,Chris Dickerson (7),7,L
200,196.,Rob Ducey (13),7,R
201,196.,"Steven Duggar (3, 26)",7,R
202,196.,Jeff Duncan (2),7,L
203,196.,John Hale (6),7,R
204,196.,"Austin Hays (3, 24)",7,R
205,196.,Norris Hopper (3),7,R
206,196.,Gene Kingsale (7),7,R
207,196.,Wayne Kirby (8),7,R
208,196.,Ryan Langerhans (11),7,L
209,196.,Eli Marrero (10),7,R
210,196.,Merv Rettenmund (13),7,R
211,196.,Gary Roenicke (12),7,R
212,196.,Matt Szczur (5),7,R
213,196.,Casper Wells (4),7,R
214,196.,Alan Wiggins (7),7,R
215,216.,Hank Aaron+ (23),6,R
216,216.,Garret Anderson (17),6,L
217,216.,Steve Brye (9),6,R
218,216.,Casey Candaele (9),6,R
219,216.,Chris Duffy (4),6,L
220,216.,Ken Griffey Jr.+ (22),6,L
221,216.,Dwayne Hosey (2),6,R
222,216.,"Ramon Laureano (3, 25)",6,R
223,216.,Eddie Miksis (14),6,R
224,216.,Melvin Mora (13),6,R
225,216.,"Cedric Mullins (3, 25)",6,L
226,216.,Laynce Nix (11),6,L
227,216.,Joe Nossek (6),6,R
228,216.,Wes Parker (9),6,L
229,216.,Tim Raines (3),6,R
230,216.,"Luis Robert (1, 22)",6,R
231,216.,Bill Russell (18),6,R
232,216.,Jake Smolinski (5),6,R
233,216.,Ryan Sweeney (9),6,L
234,216.,Pete Whisenant (8),6,R
235,216.,Glenn Wilson (10),6,R
236,216.,Carl Yastrzemski+ (23),6,R
237,238.,Reggie Abercrombie (3),5,R
238,238.,Sil Campusano (3),5,R
239,238.,Gene Clines (10),5,R
240,238.,Rich Coggins (5),5,L
241,238.,Scott Cousins (4),5,L
242,238.,Shawon Dunston (18),5,R
243,238.,Dan Gladden (11),5,R
244,238.,Curtis Goodwin (5),5,L
245,238.,"Trent Grisham (2, 23)",5,L
246,238.,Jose Hernandez (15),5,R
247,238.,"Sam Hilliard (2, 26)",5,L
248,238.,Jim Holt (9),5,R
249,238.,Pat Howell (1),5,R
250,238.,Adam Jones (14),5,R
251,238.,Wendell Magee (7),5,R
252,238.,Dave May (12),5,R
253,238.,Irv Noren (11),5,L
254,238.,"Paulo Orlando (4, 34)",5,R
255,238.,Bob Perry (2),5,R
256,238.,Rick Peters (5),5,R
257,238.,Julio Ramirez (5),5,R
258,238.,Jack Reed (3),5,R
259,238.,Rip Repulski (9),5,R
260,238.,Pat Sheridan (9),5,R
261,238.,Bob Speake (4),5,L
262,238.,Ichiro Suzuki (19),5,R
263,238.,Bobby Valentine (10),5,R
264,238.,"Daulton Varsho (1, 23)",5,R
265,266.,Dustin Ackley (6),4,R
266,266.,Alfredo Amezaga (9),4,R
267,266.,Bobby Brooks (4),4,R
268,266.,Eric Bruntlett (7),4,R
269,266.,Duke Carmel (4),4,L
270,266.,Darrell Ceciliani (3),4,L
271,266.,Jason Conti (5),4,R
272,266.,Rey Fuentes (3),4,L
273,266.,Rod Gaspar (4),4,L
274,266.,"Bryce Harper (9, 27)",4,R
275,266.,Von Hayes (12),4,R
276,266.,Chris Heisey (8),4,R
277,266.,"Teoscar Hernandez (5, 27)",4,R
278,266.,Jim Howarth (4),4,L
279,266.,Ed Kirkpatrick (16),4,R
280,266.,Jeff Kunkel (8),4,R
281,266.,Lee Lacy (16),4,R
282,266.,Rudy Law (7),4,L
283,266.,Scott Loucks (5),4,R
284,266.,David Lough (5),4,L
285,266.,Fernando Martinez (5),4,R
286,266.,Nelson Mathews (6),4,R
287,266.,Jason McDonald (4),4,R
288,266.,Hal McRae (19),4,R
289,266.,Sam Mejias (6),4,R
290,266.,Jim Norris (4),4,L
291,266.,Wily Mo Pena (8),4,R
292,266.,Dalton Pompey (4),4,R
293,266.,Terry Puhl (15),4,R
294,266.,Lenny Randle (12),4,R
295,266.,Larry Stahl (10),4,L
296,266.,Jesus Tavarez (5),4,R
297,266.,Tony Walker (1),4,R
298,266.,Turner Ward (12),4,R
299,266.,Pat Watkins (3),4,R
300,266.,Gary Woods (9),4,R
301,302.,Kevin Belcher (1),3,R
302,302.,Buddy Bell (18),3,R
303,302.,"Braden Bishop (2, 26)",3,R
304,302.,Lance Blankenship (6),3,R
305,302.,Bruce Boisclair (5),3,L
306,302.,J.T. Bruett (2),3,L
307,302.,Don Buford (10),3,R
308,302.,"Tony Campana (4, 34)",3,L
309,302.,"Ryan Cordell (3, 28)",3,R
310,302.,Todd Cunningham (3),3,R
311,302.,Todd Dunwoody (6),3,L
312,302.,"Jarrod Dyson (11, 35)",3,R
313,302.,Marshall Edwards (3),3,L
314,302.,Jeff Fiorentino (4),3,R
315,302.,Darren Ford (2),3,R
316,302.,"Dustin Fowler (2, 25)",3,L
317,302.,Andy Fox (9),3,R
318,302.,Isaac Galloway (2),3,R
319,302.,Art Gardner (3),3,L
320,302.,Gary Geiger (12),3,R
321,302.,Jose Gonzalez (8),3,R
322,302.,Howie Goss (2),3,R
323,302.,Aaron Guiel (5),3,R
324,302.,Scott Hairston (11),3,R
325,302.,Josh Hamilton (9),3,L
326,302.,"Monte Harrison (1, 24)",3,R
327,302.,Tyler Holt (3),3,R
328,302.,Dann Howitt (6),3,R
329,302.,Felix Jose (11),3,R
330,302.,"Tony Kemp (5, 28)",3,R
331,302.,Tony Kubek (9),3,R
332,302.,Sixto Lezcano (12),3,R
333,302.,Scott Lusader (5),3,L
334,302.,Ruben Mateo (6),3,R
335,302.,Joe Mather (4),3,R
336,302.,Oddibe McDowell (7),3,L
337,302.,Joe McEwing (9),3,R
338,302.,Roman Mejias (9),3,R
339,302.,Ben Oglivie (16),3,L
340,302.,"Rafael Ortega (4, 29)",3,R
341,302.,Angel Pagan (11),3,R
342,302.,Hunter Pence (14),3,R
343,302.,"Cesar Puello (3, 29)",3,R
344,302.,Jeremy Reed (8),3,L
345,302.,Michael Reed (4),3,R
346,302.,Jim Small (4),3,L
