,Rank,"Player (yrs, age)",Bases on Balls,Throws
0,1.,Nolan Ryan+ (27),2795,R
1,2.,Steve Carlton+ (24),1833,L
2,3.,Phil Niekro+ (24),1809,R
3,4.,Early Wynn+ (23),1775,R
4,5.,Bob Feller+ (18),1764,R
5,6.,Bobo Newsom (20),1732,R
6,7.,Amos Rusie+ (10),1707,R
7,8.,Charlie Hough (25),1665,R
8,9.,Roger Clemens (24),1580,R
9,10.,Gus Weyhing (14),1570,R
10,11.,Red Ruffing+ (22),1541,R
11,12.,Tom Glavine+ (22),1500,L
12,13.,Randy Johnson+ (22),1497,L
13,14.,Bump Hadley (16),1442,R
14,15.,Warren Spahn+ (21),1434,L
15,16.,Earl Whitehill (17),1431,L
16,17.,Tony Mullane (13),1408,R
17,18.,Sad Sam Jones (22),1396,R
18,19.,Jack Morris+ (18),1390,R
19,19.,Tom Seaver+ (20),1390,R
20,21.,Gaylord Perry+ (22),1379,R
21,22.,Bobby Witt (16),1375,R
22,23.,Mike Torrez (18),1371,R
23,24.,Walter Johnson+ (21),1363,R
24,25.,Don Sutton+ (23),1343,R
25,26.,Chick Fraser (14),1338,R
26,27.,Bob Gibson+ (17),1336,R
27,28.,Chuck Finley (17),1332,L
28,29.,Bert Blyleven+ (22),1322,R
29,30.,Sam McDowell (15),1312,L
30,31.,Jim Palmer+ (19),1311,R
31,32.,Mark Baldwin (7),1307,R
32,33.,Adonis Terry (14),1298,R
33,34.,Mickey Welch+ (13),1297,R
34,35.,Burleigh Grimes+ (19),1295,R
35,36.,Mark Langston (16),1289,L
36,37.,Kid Nichols+ (15),1272,R
37,38.,Bullet Joe Bush (17),1263,R
38,39.,Joe Niekro (22),1262,R
39,40.,Allie Reynolds (13),1261,R
40,41.,Tommy John (26),1259,L
41,42.,Frank Tanana (21),1255,L
42,43.,Bob Lemon+ (15),1251,R
43,44.,Hal Newhouser+ (17),1249,L
44,45.,George Mullin (14),1238,R
45,46.,Tim Keefe+ (14),1233,R
46,47.,Cy Young+ (22),1217,R
47,48.,Red Faber+ (20),1213,R
48,49.,Vic Willis+ (13),1212,R
49,50.,Theodore Breitenstein (11),1207,L
50,51.,Tim Wakefield (19),1205,R
51,52.,Brickyard Kennedy (12),1203,R
52,53.,Jerry Koosman (19),1198,L
53,54.,Tommy Bridges (16),1192,R
54,55.,John Clarkson+ (12),1191,R
55,56.,Lefty Grove+ (17),1187,L
56,57.,Vida Blue (17),1185,L
57,58.,Billy Pierce (18),1178,L
58,59.,Kenny Rogers (20),1175,L
59,60.,Dennis Martinez (23),1165,R
60,61.,Al Leiter (19),1163,L
61,62.,Mike Moore (14),1156,R
62,63.,Jamie Moyer (25),1155,L
63,63.,Jack Stivetts (11),1155,R
64,65.,Fernando Valenzuela (17),1151,L
65,66.,David Cone (17),1137,R
