,Rank,"Player (yrs, age)",Batters Faced,Throws
562,563.,Shane Reynolds (13),7610,R
563,564.,Barney Pelty (10),7602,R
564,565.,Ralph Terry (12),7598,R
565,566.,Doug Davis (13),7597,L
566,567.,Bob Shaw (11),7587,R
567,568.,Elam Vangilder (11),7568,R
568,569.,"Ian Kennedy (14, 35)",7565,R
569,570.,Denny Lemaster (11),7559,L
570,571.,Jeremy Guthrie (13),7558,R
571,572.,Dupee Shaw (6),7555,L
572,573.,Mel Parnell (10),7548,L
573,574.,Joe Blanton (13),7544,R
574,575.,Mark Gardner (13),7540,R
575,576.,Stan Williams (14),7521,R
576,576.,Whit Wyatt (16),7521,R
577,578.,Wilson Alvarez (14),7518,L
578,579.,Jake Westbrook (13),7517,R
579,580.,Flint Rhem (12),7516,R
580,581.,Rich Gossage+ (22),7507,R
581,582.,Jim Scott (9),7500,R
582,583.,Mike LaCoss (14),7496,R
583,584.,Jim Bagby (9),7482,R
584,585.,Rip Collins (11),7467,R
585,586.,Joel Pineiro (12),7450,R
586,587.,Henry Boyle (6),7447,R
587,587.,Bob Turley (12),7447,R
588,589.,Watty Clark (12),7441,L
589,590.,Bryn Smith (13),7434,R
590,591.,Lefty Leifield (12),7417,L
591,592.,Dick Tidrow (13),7412,R
592,593.,Kirk McCaskill (12),7405,R
593,594.,Shawn Estes (13),7403,L
594,594.,Vic Sorrell (10),7403,R
595,596.,Lefty Stewart (10),7402,L
596,597.,Lary Sorensen (11),7385,R
597,598.,Lloyd Brown (12),7377,L
598,598.,"J.A. Happ (14, 37)",7377,L
599,600.,Alex Fernandez (10),7370,R
600,601.,John Tudor (12),7368,L
601,602.,Ed Willett (10),7347,R
602,603.,Ed Stein (8),7345,R
603,604.,Al Benton (14),7342,R
604,605.,Bill Bernhard (9),7337,R
605,606.,Frank Sullivan (11),7336,R
606,607.,Russ Ortiz (12),7316,R
607,608.,Matt Garza (12),7313,R
608,609.,Jim Bibby (12),7310,R
609,610.,Brett Myers (12),7307,R
610,611.,Don Wilson (9),7305,R
611,612.,Jim Hearn (13),7294,R
612,613.,Larry Jansen (9),7291,R
613,614.,Walt Masterson (14),7281,R
614,615.,Dan Casey (7),7272,L
615,616.,Carl Erskine (12),7270,R
616,617.,Jim Bagby (10),7266,R
617,617.,Paul Byrd (14),7266,R
618,617.,Bill Duggleby (8),7266,R
619,620.,Hank Borowy (10),7265,R
620,621.,Scott Kazmir (12),7253,L
621,622.,Clyde Wright (10),7252,L
622,623.,Dave Giusti (15),7251,R
623,624.,Nels Potter (12),7248,R
624,625.,Hank O'Day+ (7),7247,R
625,626.,Bill Hart (8),7243,R
626,627.,Bob Stanley (13),7238,R
627,628.,Ray Kolp (12),7236,R
628,629.,Chris Bosio (11),7225,R
629,630.,Jim Abbott (10),7211,L
630,630.,Ken Johnson (13),7211,R
631,632.,Jack Kramer (12),7193,R
632,633.,George Hemming (8),7184,R
633,634.,Sal Maglie (10),7182,R
634,635.,Sheriff Blake (10),7150,R
635,636.,Mario Soto (12),7147,R
636,637.,George Haddock (7),7134,R
637,638.,Bob Walk (14),7127,R
638,639.,Tim Lincecum (10),7120,R
639,640.,Carl Morton (8),7113,R
640,641.,Al Smith (12),7112,L
641,642.,Ed Crane (9),7110,R
642,643.,John Curtis (15),7099,L
643,643.,Turk Farrell (14),7099,R
644,645.,Ray Fisher (10),7085,R
645,646.,Stu Miller (16),7083,R
646,647.,Sam Jones (12),7074,R
647,648.,Phil Douglas (9),7018,R
648,649.,Jack Knott (11),7007,R
649,650.,Moe Drabowsky (17),7005,R
650,651.,Jason Vargas (14),7002,L
651,652.,Hal Brown (14),6991,R
652,653.,Steve Hargan (12),6984,R
653,654.,John Montefusco (13),6983,R
654,655.,Eddie Smith (10),6973,L
655,656.,Eric Show (11),6968,R
656,657.,Omar Olivares (12),6966,R
657,658.,Rollie Fingers+ (17),6942,R
658,659.,Cal McLish (15),6938,R
