,Rank,"Player (yrs, age)",Batters Faced,Throws
67,68.,Rick Reuschel (19),14888,R
68,69.,Mel Harder (20),14861,R
69,70.,Carl Hubbell+ (16),14805,L
70,71.,Jim Whitney (10),14666,R
71,72.,"Bartolo Colon (21, 47)",14655,R
72,73.,Mike Mussina+ (18),14593,R
73,74.,Chick Fraser (14),14586,R
74,75.,Charlie Buffinton (11),14465,R
75,76.,Claude Osteen (18),14433,L
76,77.,David Wells (21),14413,L
77,78.,Wilbur Cooper (15),14377,L
78,79.,Luis Tiant (19),14365,R
79,80.,Clark Griffith+ (21),14333,R
80,81.,Kenny Rogers (20),14280,L
81,82.,John Smoltz+ (21),14271,R
82,83.,Juan Marichal+ (16),14236,R
83,84.,Hooks Dauss (15),14192,R
84,85.,Doyle Alexander (19),14162,R
85,86.,Curt Simmons (20),14144,L
86,87.,Joe McGinnity+ (10),14143,R
87,88.,Don Drysdale+ (14),14097,R
88,89.,Andy Pettitte (18),14074,L
89,90.,Catfish Hunter+ (15),14032,R
90,91.,Tim Wakefield (19),13939,R
91,92.,Billy Pierce (18),13853,L
92,93.,Vida Blue (17),13837,L
93,93.,Al Orth (15),13837,R
94,95.,Liván Hernández (17),13816,R
95,96.,Jim Perry (17),13732,R
96,97.,Mark Buehrle (16),13705,L
97,98.,Silver King (10),13671,R
98,99.,Jesse Haines+ (19),13644,R
99,100.,Rube Marquard+ (18),13641,L
100,101.,Chuck Finley (17),13638,L
101,102.,George Uhle (17),13597,R
102,103.,Larry Jackson (14),13593,R
103,104.,Freddie Fitzsimmons (19),13570,R
104,105.,Kevin Brown (19),13542,R
105,106.,Dennis Eckersley+ (24),13534,R
106,107.,Charlie Root (17),13529,R
107,108.,Dutch Leonard (20),13487,R
108,109.,Tom Zachary (19),13478,L
109,110.,Dolf Luque (20),13470,R
110,111.,Larry French (14),13465,L
111,112.,Bill Hutchison (9),13458,R
112,113.,Lee Meadows (15),13371,R
113,114.,Brickyard Kennedy (12),13285,R
114,115.,Curt Schilling (20),13284,R
115,116.,Pink Hawley (10),13213,R
116,117.,Milt Pappas (17),13198,R
117,118.,Mike Torrez (18),13179,R
118,119.,Rick Wise (18),13157,R
119,120.,Orel Hershiser (18),13150,R
120,121.,Bucky Walters (19),13140,R
121,122.,Red Ames (17),13069,R
122,123.,Bullet Joe Bush (17),13061,R
123,124.,Whitey Ford+ (16),13036,L
124,125.,Bump Hadley (16),13016,R
125,126.,Theodore Breitenstein (11),13010,L
126,127.,Tim Hudson (17),13005,R
127,128.,Bob Welch (17),12956,R
128,129.,Murry Dickson (18),12936,R
129,130.,Eddie Cicotte (14),12752,R
130,131.,Lew Burdette (18),12745,R
131,132.,Stan Coveleski+ (14),12729,R
132,133.,Al Spalding+ (8),12724,R
133,134.,Danny Darwin (21),12716,R
134,135.,Hal Newhouser+ (17),12648,L
135,136.,Jack Stivetts (11),12636,R
136,137.,Red Donahue (13),12629,R
137,138.,Mark Langston (16),12562,L
138,139.,Bill Dinneen (12),12548,R
139,140.,Mark Baldwin (7),12470,R
140,141.,Mordecai Brown+ (14),12450,R
141,142.,Frank Dwyer (12),12429,R
142,143.,Guy Hecker (9),12415,R
143,143.,Camilo Pascual (18),12415,R
144,145.,Fernando Valenzuela (17),12398,L
145,146.,George Bradley (11),12377,R
146,147.,Dazzy Vance+ (16),12366,R
147,148.,Carl Mays (15),12352,R
148,149.,Bert Cunningham (12),12285,R
149,150.,Red Ehret (11),12232,R
150,151.,"Justin Verlander (16, 37)",12214,R
151,152.,Mike Moore (14),12203,R
152,153.,Bill Lee (14),12186,R
153,154.,David Cone (17),12184,R
154,155.,Bill Donovan (18),12175,R
155,156.,Tommy Bridges (16),12165,R
156,157.,Doc White (13),12106,L
157,158.,Bob Lemon+ (15),12099,R
158,159.,Howard Ehmke (15),12081,R
159,160.,Dave Stieb (16),12072,R
160,161.,Ken Holtzman (15),12069,L
161,162.,John Lackey (15),12030,R
162,163.,Bob Shawkey (15),12012,R
163,164.,"Zack Greinke (17, 36)",12002,R
164,165.,Babe Adams (19),11947,R
165,166.,Javier Vazquez (14),11935,R
166,167.,Frank Viola (15),11933,L
167,168.,Chief Bender+ (16),11901,R
168,169.,Mike Morgan (22),11872,R
169,170.,Bob Caruthers (10),11842,R
170,171.,Danny MacFayden (17),11767,R
171,172.,Guy Bush (17),11750,R
172,173.,Rube Waddell+ (13),11717,L
173,174.,Bob Forsch (16),11715,R
174,175.,Dwight Gooden (16),11705,R
175,176.,Steve Rogers (13),11702,R
176,177.,Mike Flanagan (18),11684,L
177,178.,A.J. Burnett (17),11665,R
178,179.,Claude Passeau (13),11642,R
179,180.,Jack Chesbro+ (11),11632,R
180,181.,Kevin Millwood (16),11616,R
181,182.,Dizzy Trout (15),11615,R
182,183.,Lon Warneke (15),11608,R
183,184.,Bill Sherdel (15),11604,L
184,185.,Bill Doak (16),11582,R
185,186.,Tom Candiotti (16),11568,R
186,186.,Wes Ferrell (15),11568,R
187,188.,Rick Sutcliffe (18),11548,R
188,189.,Jouett Meekin (10),11543,R
189,190.,Jim Slaton (16),11535,R
190,191.,Sadie McMahon (9),11534,R
191,192.,Rube Walberg (15),11531,L
192,193.,Willis Hudlin (16),11522,R
193,194.,Earl Moore (14),11512,R
194,195.,Mike Cuellar (15),11505,L
195,196.,Bob Knepper (15),11488,L
196,197.,Slim Sallee (14),11461,L
197,198.,Ed Walsh+ (14),11411,R
198,199.,Pedro Martinez+ (18),11394,R
199,200.,Virgil Trucks (17),11378,R
200,201.,Derek Lowe (17),11358,R
201,202.,John Burkett (15),11324,R
202,203.,Roy Halladay+ (16),11287,R
203,204.,"Felix Hernandez (15, 34)",11284,R
204,205.,Dave Stewart (16),11251,R
205,206.,Jesse Tannehill (15),11236,L
206,207.,Vern Law (16),11231,R
207,208.,Dave McNally (14),11229,L
208,209.,Hippo Vaughn (13),11225,L
209,210.,Art Nehf (15),11183,L
210,211.,Wilbur Wood (17),11154,L
211,212.,Jeff Suppan (17),11139,R
212,213.,Urban Shocker (13),11137,R
213,214.,"Cole Hamels (15, 36)",11115,L
214,215.,Win Mercer (9),11106,R
215,216.,Ice Box Chamberlain (10),11097,R
216,217.,Ed Morris (7),11073,L
217,218.,Terry Mulholland (20),11060,L
218,219.,Bob Buhl (15),11045,R
219,220.,Burt Hooton (15),11025,R
220,221.,Tom Hughes (13),11018,R
221,222.,Bobby Witt (16),11003,R
222,223.,Barry Zito (15),11001,L
223,224.,James Shields (13),10993,R
224,225.,Mel Stottlemyre (11),10972,R
225,226.,Kevin Appier (16),10958,R
226,227.,Frank Killen (10),10951,L
227,228.,Joe Coleman (15),10948,R
228,229.,Pretzels Getzien (9),10939,R
229,230.,Rudy May (16),10902,L
230,231.,Rick Rhoden (16),10900,R
231,232.,Eddie Rommel (13),10871,R
232,233.,"Jon Lester (15, 36)",10860,L
233,234.,Kyle Lohse (16),10839,R
234,235.,Paul Splittorff (15),10829,L
235,236.,Steve Trachsel (16),10799,R
236,237.,Kevin Gross (15),10791,R
237,238.,Jim Clancy (15),10772,R
238,239.,Bill Gullickson (14),10744,R
239,240.,Lefty Gomez+ (14),10729,L
240,241.,Jimmy Key (15),10719,L
241,242.,Scott Sanderson (19),10709,R
242,243.,Steve Renko (15),10704,R
243,244.,Stan Bahnsen (16),10701,R
244,245.,Ray Sadecki (18),10694,L
245,246.,Jesse Barnes (13),10676,R
246,246.,Sam Leever (13),10676,R
247,248.,Jack Taylor (10),10664,R
248,249.,Allie Reynolds (13),10660,R
249,250.,Red Lucas (16),10651,R
250,251.,Andy Benes (14),10645,R
251,252.,Kid Gleason (22),10617,R
252,253.,Matt Kilroy (10),10604,L
253,254.,Sam McDowell (15),10587,L
254,255.,Ned Garver (14),10584,R
255,256.,Hal Schumacher (13),10571,R
256,257.,Rube Benton (15),10539,L
257,258.,Ed Reulbach (13),10534,R
258,259.,Doug Drabek (13),10518,R
259,260.,Jim Lonborg (15),10498,R
260,261.,Harry Howell (13),10442,R
261,262.,Tim Belcher (14),10422,R
262,263.,Bret Saberhagen (16),10421,R
263,264.,Ryan Dempster (16),10412,R
264,265.,Deacon Phillippe (13),10394,R
265,266.,John Candelaria (19),10366,L
266,267.,Bronson Arroyo (16),10338,R
267,268.,Al Leiter (19),10334,L
268,269.,Jimmy Ring (12),10330,R
269,270.,Ron Reed (19),10304,R
270,271.,Mudcat Grant (14),10293,R
271,272.,Woodie Fryman (18),10291,L
272,273.,Scott Erickson (15),10284,R
273,274.,Kid Carsey (10),10251,R
274,275.,Brad Radke (12),10244,R
275,276.,Bob Rush (13),10219,R
276,277.,Ervin Santana (15),10205,R
277,278.,Bruce Hurst (15),10204,L
278,279.,Eddie Lopat (12),10197,L
279,280.,Floyd Bannister (15),10187,L
280,281.,John Ward+ (17),10164,R
281,282.,Mike Caldwell (14),10156,L
282,283.,Stump Weidman (9),10144,R
283,284.,General Crowder (11),10070,R
284,285.,Mike McCormick (16),10058,L
285,286.,Pedro Ramos (15),10048,R
286,287.,Ron Darling (13),10032,R
287,288.,Dan Haren (13),10022,R
288,289.,Larry Corcoran (8),10001,R
289,290.,Thornton Lee (16),9999,L
290,291.,Randy Wolf (16),9977,L
291,292.,Aaron Harang (14),9975,R
292,293.,Jeff Pfeffer (13),9968,R
293,294.,George Zettlein (6),9912,R
294,295.,Si Johnson (17),9903,R
295,296.,Harry Staley (8),9879,R
296,297.,Larry Benton (13),9864,R
297,298.,Jake Peavy (15),9838,R
298,299.,Nig Cuppy (10),9827,R
299,300.,Mike Hampton (16),9824,L
300,301.,Joe Nuxhall (16),9813,L
301,302.,Chris Short (15),9801,L
302,303.,Ron Guidry (14),9794,L
303,304.,Jon Matlack (13),9789,L
304,305.,Charlie Leibrandt (14),9774,L
305,306.,Curt Davis (13),9752,R
306,306.,Earl Hamilton (14),9752,L
307,308.,Ed Brandt (11),9721,L
308,309.,Clarence Mitchell (18),9686,L
309,310.,Larry Dierker (14),9661,R
310,311.,Claude Hendrix (10),9651,R
311,311.,Bob Smith (15),9651,R
312,313.,Kevin Tapani (13),9600,R
313,314.,Freddy Garcia (15),9595,R
314,315.,Sid Hudson (12),9593,R
315,316.,Candy Cummings+ (6),9583,R
316,317.,"Max Scherzer (13, 35)",9573,R
317,318.,Johnny Podres (15),9571,L
318,318.,Tully Sparks (12),9571,R
319,320.,Al Downing (17),9539,L
320,321.,Aaron Sele (15),9534,R
321,322.,Bob Groom (10),9506,R
322,323.,Sandy Koufax+ (12),9497,L
323,324.,Jack Billingham (13),9487,R
324,324.,Mark Gubicza (14),9487,R
325,326.,Ed Whitson (15),9479,R
326,327.,Woody Williams (15),9475,R
327,328.,Pedro Astacio (15),9472,R
328,329.,Jack Coombs (14),9464,R
329,330.,Nap Rucker (10),9462,L
330,331.,Tommy Thomas (12),9456,R
331,332.,Ray Burris (15),9441,R
332,332.,Todd Stottlemyre (14),9441,R
333,334.,George Mogridge (15),9432,L
334,335.,Darryl Kile (12),9429,R
335,336.,Dick McBride (6),9401,R
336,337.,Schoolboy Rowe (15),9398,R
337,338.,Mike Krukow (14),9393,R
338,339.,Harvey Haddix (14),9330,L
339,340.,Chris Carpenter (15),9305,R
340,341.,Roy Oswalt (13),9301,R
341,341.,Greg Swindell (17),9301,L
342,343.,Jon Lieber (14),9300,R
343,344.,Milt Gaston (11),9271,R
344,345.,Mike Garcia (14),9237,R
345,346.,Lefty Tyler (12),9222,L
346,347.,Harry Gumbert (15),9217,R
347,348.,Jack Taylor (9),9213,R
348,349.,Frank Kitson (10),9211,R
349,350.,Jon Garland (13),9197,R
350,351.,Bob Ewing (11),9192,R
351,352.,Cy Falkenberg (12),9191,R
352,353.,"Clayton Kershaw (13, 32)",9179,L
353,354.,Hoyt Wilhelm+ (21),9164,R
354,355.,Dutch Ruether (11),9162,L
355,356.,Joe Dobson (14),9159,R
356,357.,Dick Ellsworth (13),9156,L
357,358.,Dennis Leonard (12),9149,R
358,359.,Bill Singer (14),9143,R
359,360.,Rick Honeycutt (21),9141,L
360,361.,Syl Johnson (19),9124,R
361,362.,Andy Messersmith (12),9120,R
362,363.,Fritz Ostermueller (15),9116,L
363,364.,Ray Caldwell (12),9108,R
364,365.,Frank Lary (12),9107,R
365,366.,Esteban Loaiza (14),9106,R
366,367.,Fritz Peterson (11),9103,L
367,368.,Rip Sewell (13),9100,R
368,369.,John Denny (13),9077,R
369,370.,Frank Smith (11),9064,R
370,371.,Tom Gordon (21),9058,R
371,372.,Pete Donohue (12),9055,R
372,372.,Vern Kennedy (12),9055,R
373,374.,Ken Raffensberger (15),9051,L
374,375.,Dick Ruthven (14),9047,R
375,376.,Jamey Wright (19),9038,R
376,377.,Johnny Vander Meer (13),9034,L
377,378.,Van Mungo (14),9030,R
378,379.,Jaime Navarro (12),9021,R
379,380.,Jack Russell (15),9020,R
380,381.,Toad Ramsey (6),9018,L
381,382.,Joaquin Andujar (13),9008,R
382,383.,"Adam Wainwright (15, 38)",9001,R
383,384.,Mike Boddicker (14),8999,R
384,385.,Johnny Sain (11),8998,R
385,386.,Fred Toney (12),8988,R
386,387.,Danny Jackson (15),8986,L
387,388.,Scott McGregor (13),8982,L
388,389.,Howie Pollet (14),8981,L
389,390.,Dock Ellis (12),8978,R
390,391.,Lindy McDaniel (21),8971,R
391,392.,Ad Gumbert (9),8956,R
392,393.,Sonny Siebert (12),8951,R
393,394.,Don Cardwell (14),8949,R
394,395.,Dave Roberts (13),8930,L
395,396.,Dutch Leonard (11),8928,L
396,397.,Mike Witt (12),8927,R
397,398.,Pat Hentgen (14),8925,R
398,399.,Cliff Lee (13),8917,L
399,400.,"Rick Porcello (12, 31)",8912,R
400,401.,Dean Chance (11),8906,R
401,402.,Bob Purkey (13),8899,R
402,403.,Addie Joss+ (9),8891,R
403,403.,Don Newcombe (10),8891,R
404,405.,Bill Dietrich (16),8874,R
405,406.,Pat Dobson (11),8872,R
406,407.,Ron Kline (17),8868,R
407,408.,Dan Petry (13),8860,R
