,Rank,"Player (yrs, age)",Double Plays Turned as C,Throws
204,203.,Gabby Street (8),55,R
205,206.,Joe Ferguson (14),54,R
206,206.,Silver Flint (13),54,R
207,206.,Ron Hassey (14),54,R
208,206.,George Mitterwald (11),54,R
209,206.,Miguel Montero (13),54,R
210,206.,Dioner Navarro (13),54,R
211,212.,Mike LaValliere (12),53,R
212,212.,Mike Redmond (13),53,R
213,212.,Scott Servais (11),53,R
214,215.,Walter Blair (7),52,R
215,215.,Pat Borders (17),52,R
216,215.,Tim Donahue (8),52,R
217,215.,Duffy Dyer (14),52,R
218,215.,Les Moss (13),52,R
219,215.,Jim Stephens (6),52,R
220,221.,Jim Essian (12),51,R
221,221.,Al Evans (12),51,R
222,221.,Todd Hundley (14),51,R
223,221.,Fred Kendall (12),51,R
224,221.,Ed Phelps (11),51,R
225,221.,John Romano (10),51,R
226,227.,Michael Barrett (12),50,R
227,227.,Bruce Benedict (12),50,R
228,227.,John Buck (11),50,R
229,227.,Tommy Clarke (10),50,R
230,227.,Patsy Gharrity (10),50,R
231,227.,"Chris Iannetta (14, 37)",50,R
232,227.,Stan Lopata (13),50,R
233,227.,Doggie Miller (13),50,R
234,227.,Jose Molina (15),50,R
235,227.,Jim Pagliaroni (11),50,R
236,227.,Ed Sweeney (9),50,R
237,238.,Darrin Fletcher (14),49,R
238,238.,Earl Grace (8),49,R
239,238.,Chris Hoiles (10),49,R
240,238.,Ron Karkovice (12),49,R
241,238.,Jason LaRue (12),49,R
242,238.,"J.T. Realmuto (7, 29)",49,R
243,238.,Paul Richards (8),49,R
244,238.,Duke Sims (11),49,R
245,246.,Charlie Berry (11),48,R
246,246.,Dick Brown (9),48,R
247,246.,Hank DeBerry (11),48,R
248,246.,Fred Jacklitsch (13),48,R
249,246.,"Buster Posey (11, 33)",48,R
250,246.,Phil Roof (15),48,R
251,246.,Yorvit Torrealba (13),48,R
252,253.,Rod Barajas (14),47,R
253,253.,"Jason Castro (10, 33)",47,R
254,253.,Chad Kreuter (16),47,R
255,253.,Morgan Murphy (11),47,R
256,253.,Glenn Myatt (16),47,R
257,253.,Mickey O'Neil (9),47,R
258,253.,Tom Pagnozzi (12),47,R
259,253.,Ed Taubensee (11),47,R
260,261.,Joe Astroth (10),46,R
261,261.,Kid Baldwin (7),46,R
262,261.,Bubbles Hargrave (12),46,R
263,261.,Ray Hayworth (15),46,R
264,261.,Clyde Kluttz (9),46,R
265,261.,David Ross (15),46,R
266,261.,B.J. Surhoff (19),46,R
267,261.,Ozzie Virgil (11),46,R
268,269.,Andy Etchebarren (15),45,R
269,269.,Jim Keenan (11),45,R
270,269.,Red Kleinow (8),45,R
271,269.,Charlie Moore (15),45,R
