,Rank,"Player (yrs, age)",Triples,Bats
701,691.,Cesar Geronimo (15),50,L
702,691.,Doc Gessler (8),50,L
703,691.,Elston Howard (14),50,R
704,691.,Miller Huggins+ (13),50,B
705,691.,George Kell+ (15),50,R
706,691.,Jim Landis (11),50,R
707,691.,Davey Lopes (16),50,R
708,691.,Jocko Milligan (10),50,R
709,691.,Greasy Neale (8),50,L
710,691.,Johnny Pesky (10),50,L
711,691.,Tony Phillips (18),50,B
712,691.,Rip Radcliff (10),50,L
713,691.,Chris Speier (19),50,R
714,691.,Jake Virtue (5),50,B
715,691.,Billy Werber (11),50,R
716,717.,Bobby Adams (14),49,R
717,717.,Felipe Alou (17),49,R
718,717.,Harold Baines+ (22),49,L
719,717.,Charley Bassett (9),49,R
720,717.,Les Bell (9),49,R
721,717.,Yogi Berra+ (19),49,L
722,717.,"Ryan Braun (14, 36)",49,R
723,717.,Bill Buckner (22),49,L
724,717.,Jim Canavan (5),49,R
725,717.,Leo Cardenas (16),49,R
726,717.,George Gibson (14),49,R
727,717.,Steve Henderson (12),49,R
728,717.,Reggie Jackson+ (21),49,L
729,717.,Mark Koenig (12),49,B
730,717.,Nemo Leibold (13),49,L
731,717.,Whitey Lockman (15),49,L
732,717.,Tom Long (5),49,R
733,717.,Bris Lord (8),49,R
734,717.,Ed McFarland (14),49,R
735,717.,Raul Mondesi (13),49,R
736,717.,Gary Pettis (11),49,B
737,717.,Vic Power (12),49,R
738,717.,Chief Roseman (7),49,R
739,717.,Ray Schalk+ (18),49,R
740,717.,Red Smith (9),49,R
741,717.,Michael Tucker (12),49,L
742,717.,Fernando Vina (12),49,L
743,744.,Sparky Adams (13),48,R
744,744.,"Elvis Andrus (12, 31)",48,R
745,744.,"Charlie Blackmon (10, 33)",48,L
746,744.,Gino Cimoli (10),48,R
747,744.,Dave Concepcion (19),48,R
748,744.,Ivan de Jesus (15),48,R
749,744.,J.D. Drew (14),48,L
750,744.,Gil Hodges (18),48,R
751,744.,Otto Knabe (11),48,R
752,744.,Mark Kotsay (17),48,L
753,744.,Johnny Lindell (12),48,R
754,744.,Al Martin (11),48,L
755,744.,"Andrew McCutchen (12, 33)",48,R
756,744.,Tony Oliva (15),48,L
757,744.,Darrell Porter (17),48,L
758,744.,Germany Schaefer (15),48,R
759,744.,Mickey Stanley (15),48,R
760,744.,"Mike Trout (10, 28)",48,R
761,744.,Ossie Vitt (10),48,R
762,763.,Ross Barnes (9),47,R
763,763.,Jimmy Barrett (10),47,L
764,763.,Shad Barry (10),47,R
765,763.,Hick Carpenter (12),47,R
766,763.,Cliff Carroll (11),47,B
767,763.,Will Clark (15),47,L
768,763.,Cecil Cooper (17),47,L
769,763.,Bob Dillinger (6),47,R
770,763.,Jacoby Ellsbury (11),47,L
771,763.,Carlton Fisk+ (24),47,R
772,763.,Dee Fondy (8),47,L
773,763.,George Foster (18),47,R
774,763.,Bobby Grich (17),47,R
775,763.,Frankie Gustine (12),47,R
776,763.,Fred Hartman (6),47,R
777,763.,Guy Hecker (9),47,R
778,763.,Chuck Hinton (11),47,R
779,763.,Tommy Holmes (11),47,L
780,763.,Jeff Kent (17),47,R
781,763.,George McBride (16),47,R
782,763.,Mark McLemore (19),47,B
783,763.,Darby O'Brien (6),47,R
784,763.,Steve Sax (14),47,R
785,763.,Ted Simmons+ (21),47,B
786,763.,Grady Sizemore (10),47,L
787,763.,Rusty Staub (23),47,L
788,763.,Cub Stricker (11),47,R
789,763.,Bill Tuttle (11),47,R
790,763.,Jose Vizcaino (18),47,B
791,763.,Heinie Wagner (12),47,R
792,763.,Jimmy Welsh (6),47,L
793,794.,Charlie Abbey (5),46,L
794,794.,"Erick Aybar (12, 36)",46,B
795,794.,Ray Boone (13),46,R
796,794.,Jimmy Callahan (13),46,R
797,794.,Jose Cardenal (18),46,R
798,794.,Tony Cuccinello (15),46,R
799,794.,Joe Dugan (14),46,R
800,794.,Juan Encarnacion (11),46,R
801,794.,Tito Fuentes (13),46,B
802,794.,Chick Galloway (10),46,R
803,794.,Wally Gerber (15),46,R
804,794.,Greg Gross (17),46,L
805,794.,Vladimir Guerrero+ (16),46,R
806,794.,Jim Hegan (17),46,R
807,794.,Harvey Hendrick (11),46,L
808,794.,Charlie Irwin (10),46,L
809,794.,Willie McCovey+ (22),46,L
810,794.,Cass Michaels (12),46,R
811,794.,Dick Padden (9),46,R
812,794.,Jerry Priddy (11),46,R
813,794.,Aurelio Rodriguez (17),46,R
814,794.,Al Smith (12),46,R
815,794.,Jack Stivetts (11),46,R
816,794.,Earl Torgeson (15),46,L
817,794.,George Treadway (4),46,L
818,794.,Eric Young Sr. (15),46,R
819,820.,Bob Allen (7),45,R
820,820.,Ethan Allen (13),45,R
821,820.,Doug Baird (6),45,R
822,820.,Sam Bohne (7),45,R
823,820.,Melky Cabrera (15),45,B
824,820.,Rick Ferrell+ (18),45,R
825,820.,Charlie Ganzel (14),45,R
826,820.,Patrick Gillespie (8),45,L
827,820.,Mark Grace (16),45,L
828,820.,Mule Haas (12),45,L
829,820.,Lee Handley (10),45,R
830,820.,Bud Harrelson (16),45,B
831,820.,Arthur Irwin (13),45,L
832,820.,Jackie Jensen (11),45,R
833,820.,Ken Landreaux (11),45,L
834,820.,Doc Lavan (12),45,R
835,820.,Peanuts Lowrey (13),45,R
836,820.,Ed Morgan (7),45,R
837,820.,Bobby Murcer (17),45,L
838,820.,Homer Smoot (5),45,L
839,820.,Sammy Sosa (18),45,R
840,820.,Willie Upshaw (10),45,L
841,820.,Johnny Wyrostek (11),45,L
842,843.,Gene Alley (11),44,R
843,843.,Don Buford (10),44,B
844,843.,Ed Cartwright (5),44,R
845,843.,Gil Coan (11),44,L
846,843.,Jack Crooks (8),44,R
847,843.,"Adam Eaton (9, 31)",44,L
848,843.,Curt Flood (15),44,R
849,843.,Bernie Friberg (14),44,R
850,843.,Billy Goodman (16),44,L
851,843.,Wilbur Good (11),44,L
852,843.,Don Hoak (11),44,R
853,843.,Randy Jackson (10),44,R
854,843.,"Kevin Kiermaier (8, 30)",44,L
855,843.,Chet Laabs (11),44,R
856,843.,Cal McVey (9),44,R
857,843.,Ken Oberkfell (16),44,L
858,843.,Marv Owen (9),44,R
859,843.,Cal Ripken Jr.+ (21),44,R
860,843.,Dave Robertson (9),44,L
861,843.,Yank Robinson (10),44,R
862,843.,John Roseboro (14),44,L
863,843.,Frank Snyder (16),44,R
864,843.,Pete Suder (13),44,R
865,843.,Frank Taveras (11),44,R
866,843.,Eddie Waitkus (11),44,L
867,843.,Roy Weatherly (10),44,L
868,843.,Ben Zobrist (14),44,B
869,870.,Ed Abbaticchio (9),43,R
870,870.,Bob Bailey (17),43,R
871,870.,Beals Becker (8),43,L
872,870.,Phil Bradley (8),43,R
873,870.,John Briggs (12),43,L
874,870.,George Case (11),43,R
875,870.,Bill Cissell (9),43,R
876,870.,Fred Corey (7),43,R
877,870.,Rajai Davis (14),43,R
878,870.,Lenny Dykstra (12),43,L
879,870.,Bill Everitt (7),43,L
880,870.,Shorty Fuller (9),43,R
881,870.,Steve Garvey (19),43,R
882,870.,Charlie Gelbert (9),43,R
883,870.,Sid Gordon (13),43,R
884,870.,George Harper (11),43,L
885,870.,Al Lopez+ (19),43,R
886,870.,Fred Lynn (17),43,L
887,870.,Rick Manning (13),43,L
888,870.,"Starling Marte (9, 31)",43,R
889,870.,Danny Moeller (7),43,B
890,870.,Charlie Moore (15),43,R
891,870.,Pat Mullin (10),43,L
892,870.,Tom Poorman (6),43,L
893,870.,Lew Riggs (10),43,L
894,870.,Scott Rolen (17),43,R
895,870.,Deion Sanders (9),43,L
896,870.,Joe Stripp (11),43,R
897,870.,Juan Uribe (16),43,R
898,870.,Al Zarilla (10),43,L
899,900.,Harry Bay (8),42,L
900,900.,Jimmy Brown (8),42,B
901,900.,Chris Chambliss (17),42,L
902,900.,Michael Cuddyer (15),42,R
903,900.,Adam Kennedy (14),42,L
904,900.,Lee Lacy (16),42,R
905,900.,Billy Maloney (6),42,L
906,900.,Mike Mansell (5),42,L
907,900.,Roger Maris (12),42,L
908,900.,Barry McCormick (10),42,R
909,900.,Tommy McCraw (13),42,L
910,900.,Jim Northrup (12),42,L
911,900.,Jack O'Brien (8),42,R
912,900.,Frank O'Rourke (14),42,R
913,900.,Rebel Oakes (7),42,L
914,900.,Gerardo Parra (11),42,L
915,900.,Connie Ryan (12),42,R
916,900.,"Jean Segura (9, 30)",42,R
917,900.,Hank Severeid (15),42,R
918,900.,Roy Sievers (17),42,R
919,900.,Fred Snodgrass (9),42,R
920,900.,Moose Solters (9),42,R
921,900.,Joe Sommer (10),42,R
922,900.,Vern Stephens (15),42,R
923,900.,B.J. Surhoff (19),42,L
924,900.,Dickie Thon (15),42,R
925,900.,Del Unser (15),42,L
926,900.,George Watkins (7),42,L
927,900.,Vic Wertz (17),42,L
928,900.,Jo-Jo White (9),42,L
929,900.,Harry Wolter (7),42,L
930,931.,Norm Cash (17),41,L
931,931.,Joey Cora (11),41,B
932,931.,Hank Edwards (11),41,L
933,931.,Hoot Evers (12),41,R
934,931.,Carlos Gomez (13),41,R
935,931.,Solly Hemus (11),41,L
936,931.,Tom Herr (13),41,B
937,931.,Walter Johnson+ (21),41,R
938,931.,Bob Kennedy (16),41,R
939,931.,Ian Kinsler (14),41,R
940,931.,Johnny Logan (13),41,R
941,931.,Alex Metzler (6),41,L
942,931.,Chief Meyers (9),41,R
943,931.,Lefty O'Doul (11),41,L
944,931.,Lou Piniella (18),41,R
945,931.,Scott Podsednik (11),41,L
946,931.,Pete Reiser (10),41,L
947,931.,Benito Santiago (20),41,R
948,931.,George Selkirk (9),41,L
949,931.,Harry Simpson (8),41,L
950,931.,Pop Snyder (18),41,R
951,931.,Rennie Stennett (11),41,R
952,931.,Shannon Stewart (14),41,R
953,931.,Jose Valentin (16),41,B
954,931.,Gary Ward (12),41,R
955,931.,Bob Watson (19),41,R
956,957.,Kevin Bass (14),40,B
957,957.,Frank Bolling (12),40,R
958,957.,Eddie Bressoud (12),40,R
959,957.,Tom Brookens (12),40,R
960,957.,"Starlin Castro (11, 30)",40,R
961,957.,Walker Cooper (18),40,R
962,957.,Craig Counsell (16),40,L
963,957.,Bert Daniels (5),40,R
964,957.,Leon Durham (10),40,L
965,957.,Travis Fryman (13),40,R
966,957.,Dan Gladden (11),40,R
967,957.,"Carlos Gonzalez (12, 34)",40,L
968,957.,Toby Harrah (17),40,R
969,957.,Buddy Hassett (7),40,L
970,957.,Willie Horton (18),40,R
971,957.,Stan Javier (17),40,B
972,957.,Kelly Johnson (11),40,L
973,957.,Davy Jones (15),40,L
974,957.,Carney Lansford (15),40,R
975,957.,Hal Lee (7),40,R
976,957.,Jimmy McAleer (13),40,R
977,957.,Denis Menke (13),40,R
978,957.,Troy O'Leary (11),40,L
979,957.,Lenny Randle (12),40,B
980,957.,Pop Schriver (14),40,R
981,957.,Dick Siebert (11),40,L
982,957.,Bill Sweeney (8),40,R
983,957.,Larry Twitchell (9),40,R
984,985.,Moises Alou (17),39,R
985,985.,Tony Armas (14),39,R
986,985.,Sam Barkley (6),39,R
987,985.,Gregor Blanco (10),39,L
988,985.,Marlon Byrd (15),39,R
989,985.,Jack Clark (18),39,R
990,985.,Alex Cora (14),39,L
991,985.,Bill Coughlin (9),39,R
992,985.,Walton Cruise (10),39,L
993,985.,Bill Doran (12),39,B
994,985.,Jim Eisenreich (15),39,L
995,985.,Clyde Engle (8),39,R
996,985.,Doug Flynn (11),39,R
997,985.,Gary Gaetti (20),39,R
998,985.,Debs Garms (12),39,L
999,985.,Tom Goodwin (14),39,L
1000,985.,Frank Hankinson (10),39,R
1001,985.,Torii Hunter (19),39,R
1002,985.,Ralph Kiner+ (10),39,R
1003,985.,Willard Marshall (11),39,L
1004,985.,Lee Maye (13),39,L
1005,985.,Austin McHenry (5),39,R
1006,985.,Sam Mele (10),39,R
1007,985.,Dale Murphy (18),39,R
1008,985.,Ernie Orsatti (9),39,L
1009,985.,Terry Pendleton (15),39,B
1010,985.,Ollie Pickering (8),39,L
1011,985.,Doug Rader (11),39,R
1012,985.,Jack Remsen (10),39,R
1013,985.,Topper Rigney (6),39,R
1014,985.,Brian Roberts (14),39,B
1015,985.,Johnny Rucker (6),39,L
1016,985.,Joe Rudi (16),39,R
1017,985.,Robby Thompson (11),39,R
1018,985.,Will Venable (9),39,L
1019,985.,Jim Whitney (10),39,L
1020,985.,Jim Wynn (15),39,R
