,Rank,"Player (yrs, age)",Triples,Bats
50,51.,Jim O'Rourke+ (23),149,R
51,51.,Kip Selbach (13),149,R
52,51.,Al Simmons+ (20),149,R
53,54.,Wally Pipp (15),148,L
54,54.,Enos Slaughter+ (19),148,L
55,56.,Bobby Veach (14),147,L
56,56.,Willie Wilson (19),147,B
57,58.,Charlie Gehringer+ (19),146,L
58,59.,Harry Davis (22),145,R
59,59.,Willie Keeler+ (19),145,L
60,61.,Bobby Wallace+ (25),143,R
61,62.,Cap Anson+ (27),142,R
62,63.,Lou Brock+ (19),141,L
63,64.,Willie Mays+ (22),140,R
64,65.,John Reilly (10),139,R
65,66.,Tom Brown (17),138,L
66,66.,Willie Davis (18),138,L
67,66.,Frankie Frisch+ (19),138,B
68,66.,Jimmy Williams (11),138,R
69,70.,George Brett+ (21),137,L
70,71.,Lave Cross (21),136,R
71,71.,Babe Ruth+ (22),136,L
72,71.,Jimmy Sheckard (17),136,L
73,71.,Mike Smith (14),136,L
74,75.,Pete Rose (24),135,B
75,76.,Shano Collins (16),133,R
76,77.,George Wood (13),132,L
77,78.,Brett Butler (17),131,L
78,78.,Joe DiMaggio+ (13),131,R
79,78.,Buck Freeman (11),131,L
80,78.,Jose Reyes (16),131,B
81,82.,Buddy Myer (17),130,L
82,83.,Oyster Burns (11),129,R
83,83.,Larry Gardner (17),129,L
84,85.,Earl Averill+ (13),128,L
85,85.,Arky Vaughan+ (14),128,L
86,87.,Vada Pinson (18),127,L
87,88.,Hardy Richardson (14),126,R
88,88.,Robin Yount+ (20),126,R
89,90.,Jimmie Foxx+ (20),125,R
90,91.,John Anderson (14),124,B
91,91.,Hal Chase (15),124,R
92,91.,Steve Finley (19),124,L
93,91.,Frank Schulte (15),124,L
94,95.,Carl Crawford (15),123,L
95,95.,Larry Doyle (14),123,L
96,95.,Duke Farrell (18),123,B
97,98.,Dummy Hoy (14),121,L
98,99.,Fred Pfeffer (16),120,R
99,99.,Mickey Vernon (20),120,L
100,101.,Hugh Duffy+ (17),119,R
101,102.,Joe Cronin+ (20),118,R
102,102.,Chick Stahl (10),118,L
103,102.,Lloyd Waner+ (18),118,L
104,105.,Lance Johnson (14),117,L
105,105.,Del Pratt (13),117,R
106,105.,Curt Walker (12),117,L
107,108.,Jimmy Collins+ (14),116,R
108,108.,Kenny Lofton (17),116,L
109,110.,Bill Kuehne (10),115,R
110,110.,Tony Lazzeri+ (14),115,R
111,110.,Jimmy Rollins (17),115,B
112,113.,Henry Larkin (10),114,R
113,113.,Paul Molitor+ (21),114,R
114,113.,Gus Suhr (11),114,L
115,113.,Joe Tinker+ (15),114,R
116,113.,Chief Wilson (9),114,L
117,118.,Jack Fournier (15),113,L
118,118.,Joe Medwick+ (17),113,R
119,118.,Tim Raines+ (23),113,B
120,121.,Rod Carew+ (19),112,L
121,121.,Nellie Fox+ (19),112,L
122,121.,Bill Terry+ (14),112,L
123,121.,Sam Wise (12),112,L
124,125.,Joe Kuhel (18),111,L
125,126.,Babe Herman (13),110,L
126,126.,Wally Moses (17),110,L
127,128.,Richie Ashburn+ (15),109,L
128,128.,Lu Blue (13),109,B
129,128.,Doc Cramer (20),109,L
130,128.,Johnny Damon (18),109,L
131,128.,Chicken Wolf (11),109,R
132,133.,George Burns (15),108,R
133,133.,Mike Griffin (12),108,L
134,133.,Charlie Grimm (20),108,L
135,133.,Sam Mertes (10),108,R
136,133.,Dots Miller (12),108,R
137,133.,Dave Orr (8),108,R
138,139.,Ben Chapman (15),107,R
139,139.,Carl Reynolds (13),107,R
140,141.,Bill Joyce (8),106,L
141,141.,Les Mann (16),106,R
142,141.,Garry Templeton (16),106,B
143,144.,Clyde Milan (16),105,L
144,144.,John Stone (11),105,L
145,144.,Heinie Zimmerman (13),105,R
