,Rank,"Player (yrs, age)",Def. Games as OF,Throws
191,192.,Ron Gant (16),1464,R
192,193.,Elmer Flick+ (13),1456,R
193,194.,Dave Philley (18),1454,R
194,195.,Hank Bauer (14),1449,R
195,196.,Tony Gonzalez (12),1447,R
196,197.,Jim O'Rourke+ (23),1443,R
197,198.,Larry Doby+ (13),1440,R
198,199.,Ben Oglivie (16),1439,L
199,200.,Frank Howard (16),1436,R
200,201.,Roy Thomas (13),1434,L
201,202.,Duffy Lewis (11),1432,R
202,203.,Eric Davis (17),1431,R
203,204.,Jose Guillen (14),1426,R
204,205.,Steve Brodie (12),1421,R
205,206.,Sam Thompson+ (15),1409,R
206,207.,Ginger Beaumont (12),1407,R
207,207.,Del Unser (15),1407,L
208,209.,"Jason Heyward (11, 30)",1401,L
209,209.,Lou Piniella (18),1401,R
210,211.,Jay Buhner (15),1397,R
211,212.,Jackie Jensen (11),1391,R
212,213.,Dave Henderson (14),1388,R
213,214.,Jesse Barfield (12),1387,R
214,214.,Earle Combs+ (12),1387,R
215,214.,Jeff Francoeur (12),1387,R
216,214.,Lance Johnson (14),1387,L
217,218.,Jerry Mumphrey (15),1386,R
218,219.,Darryl Strawberry (17),1384,L
219,220.,Roger Maris (12),1383,R
220,221.,"Alex Gordon (14, 36)",1382,R
221,221.,Ralph Kiner+ (10),1382,R
222,223.,Carlos Gomez (13),1378,R
223,223.,Baby Doll Jacobson (11),1378,R
224,225.,Cesar Geronimo (15),1376,L
225,225.,Paul Hines (20),1376,R
226,225.,Al Oliver (18),1376,L
227,228.,Dom DiMaggio (11),1373,R
228,229.,Joe Vosmik (13),1370,R
229,230.,Pete Fox (13),1368,R
230,230.,Les Mann (16),1368,R
231,232.,Augie Galan (16),1359,R
232,233.,Lonnie Smith (17),1356,R
233,233.,John Titus (11),1356,L
234,235.,"Dexter Fowler (13, 34)",1354,R
235,236.,Tillie Walker (13),1348,R
236,237.,Ed Delahanty+ (16),1346,R
237,238.,Shano Collins (16),1343,R
238,239.,Larry Herndon (14),1337,R
239,240.,Max Flack (12),1336,L
240,240.,Chris Young (13),1336,R
241,242.,Brian Jordan (15),1334,R
242,243.,Tommy Griffith (13),1333,R
243,243.,Cy Seymour (16),1333,L
244,245.,Elmer Valo (20),1329,R
245,246.,Pat Burrell (12),1328,R
246,247.,Pete Rose (24),1327,R
247,247.,Amos Strunk (17),1327,L
248,249.,Denard Span (11),1324,L
249,250.,Omar Moreno (12),1323,L
250,251.,David DeJesus (13),1322,L
251,252.,Andre Ethier (12),1321,L
252,253.,Bob Allison (13),1320,R
253,254.,Matty Alou (15),1312,L
254,254.,Jose Cruz (12),1312,R
255,254.,Topsy Hartsel (14),1312,L
256,257.,Albert Belle (12),1311,R
257,257.,Ken Berry (14),1311,R
258,257.,Vince Coleman (13),1311,R
259,257.,Juan Gonzalez (17),1311,R
260,261.,Michael Bourn (11),1310,R
261,261.,Curt Walker (12),1310,R
262,263.,Sam Chapman (11),1309,R
263,264.,Jay Johnstone (20),1308,R
264,265.,"Shin-Soo Choo (16, 37)",1307,L
265,265.,Brian McRae (10),1307,R
266,267.,Tony Armas (14),1306,R
267,268.,"Carlos Gonzalez (12, 34)",1305,L
268,269.,Bob Meusel (11),1304,R
269,270.,Kevin Bass (14),1301,R
270,271.,Terry Puhl (15),1300,R
271,272.,Jeff Heath (14),1299,R
272,273.,Ken Williams (14),1298,R
273,274.,George Gore (14),1297,R
274,275.,Wally Berger (11),1296,R
275,275.,Willie Stargell+ (21),1296,L
276,277.,Chick Stahl (10),1295,L
277,278.,Jo-Jo Moore (12),1294,R
278,278.,Jimmy Slagle (10),1294,R
279,280.,Mickey Stanley (15),1290,R
280,281.,Shoeless Joe Jackson (13),1289,R
281,282.,Aaron Rowand (11),1285,R
282,283.,Roberto Kelly (14),1283,R
283,284.,Jack Graney (14),1282,L
284,285.,Jeff Burroughs (16),1281,R
285,286.,Jim Busby (13),1280,R
286,287.,Rajai Davis (14),1279,R
287,287.,Burt Shotton (14),1279,R
288,289.,Melvin Upton Jr. (12),1278,R
289,290.,Geoff Jenkins (11),1277,R
290,291.,Gerardo Parra (11),1275,L
291,292.,Bobby Higginson (11),1274,R
292,293.,Darren Lewis (13),1273,R
293,293.,Mookie Wilson (12),1273,R
294,295.,Dwayne Murphy (12),1272,R
295,296.,Chief Wilson (9),1269,R
296,297.,Jim Northrup (12),1267,R
297,298.,Tim Salmon (14),1266,R
298,298.,Greg Vaughn (15),1266,R
299,300.,Jim Landis (11),1265,R
300,301.,Shannon Stewart (14),1261,R
301,302.,Hack Wilson+ (12),1257,R
302,303.,Jerry Morales (15),1256,R
303,304.,Jason Bay (11),1254,R
304,304.,Ned Hanlon+ (13),1254,R
305,306.,Joe Orsulak (14),1253,L
306,306.,Mickey Rivers (15),1253,L
307,308.,Cliff Floyd (17),1252,R
308,308.,Ken Henderson (16),1252,R
309,310.,Rick Miller (15),1248,L
310,311.,Rondell White (15),1246,R
311,312.,Matt Lawton (12),1244,R
312,313.,Al Bumbry (14),1241,R
313,314.,Kirk Gibson (17),1239,L
314,315.,Juan Encarnacion (11),1235,R
315,316.,Tommy Davis (18),1233,R
316,316.,Darryl Hamilton (13),1233,R
317,318.,George Wood (13),1232,R
318,319.,Tommy Holmes (11),1231,L
319,320.,Hank Sauer (15),1228,R
320,321.,George Bell (12),1227,R
321,321.,Tommy Harper (15),1227,R
322,323.,Bibb Falk (12),1222,L
323,324.,Lenny Dykstra (12),1221,L
324,324.,Greg Luzinski (15),1221,R
325,326.,Jack Smith (15),1219,L
326,326.,Shane Victorino (12),1219,R
327,328.,Robin Yount+ (20),1218,R
328,329.,Irish Meusel (11),1216,R
329,330.,Candy Maldonado (15),1215,R
330,331.,Ruppert Jones (12),1205,L
331,332.,Greg Gross (17),1204,L
332,333.,Jose Bautista (15),1202,R
333,334.,Jacoby Ellsbury (11),1201,L
334,335.,Ross Youngs+ (10),1199,R
335,336.,Jacque Jones (10),1197,L
336,337.,Sixto Lezcano (12),1196,R
337,338.,Joe Rudi (16),1195,R
338,339.,Bruce Campbell (13),1194,R
339,340.,Bill Tuttle (11),1191,R
340,341.,Willie Horton (18),1190,R
341,342.,Terry Moore (11),1189,R
342,343.,Bob Bescher (11),1188,L
343,343.,Tommy McCarthy+ (13),1188,R
344,345.,George Case (11),1187,R
345,346.,"Josh Reddick (12, 33)",1186,R
346,347.,Chick Hafey+ (13),1185,R
347,347.,Babe Herman (13),1185,L
348,347.,Jay Payton (12),1185,R
349,350.,Chili Davis (19),1184,R
350,351.,Casey Stengel+ (14),1183,L
351,352.,Hi Myers (14),1182,R
352,352.,"Mike Trout (10, 28)",1182,R
353,354.,Patsy Dougherty (10),1181,R
354,355.,Tony Oliva (15),1178,R
355,356.,Mike Kreevich (12),1177,R
356,357.,Ralph Garr (13),1176,R
357,358.,Charlie Hemphill (11),1175,L
358,359.,Red Murray (11),1171,R
359,360.,Mike Greenwell (12),1164,R
360,361.,Derek Bell (11),1163,R
361,362.,Gorman Thomas (13),1159,R
362,363.,Gary Matthews (12),1158,R
363,364.,Cliff Heathcote (15),1157,L
364,365.,Juan Beniquez (17),1155,R
365,365.,Johnny Groth (15),1155,R
366,367.,Michael Tucker (12),1150,R
367,368.,Corey Patterson (12),1149,R
368,369.,Jeffrey Leonard (14),1147,R
369,370.,"Michael Brantley (12, 33)",1145,L
370,370.,Willard Marshall (11),1145,R
371,372.,Billy Hatcher (12),1143,R
372,373.,Chad Curtis (10),1141,R
373,373.,David Justice (14),1141,L
374,373.,Wally Moon (12),1141,R
