,Rank,"Player (yrs, age)",SB %,Bats
301,301.,Franklin Stubbs (10),72.549,L
302,303.,Gary Matthews (12),72.519,B
303,304.,Wayne Tolleson (10),72.483,B
304,305.,Julio Franco (23),72.423,R
305,306.,"Adam Eaton (9, 31)",72.414,L
306,306.,Eric Owens (9),72.414,R
307,308.,Von Hayes (12),72.286,L
308,309.,Willie Bloomquist (14),72.283,R
309,310.,Luis Castillo (15),72.266,B
310,311.,Horace Clarke (10),72.249,B
311,312.,Greg Briley (6),72.222,L
312,312.,Chuck Hinton (11),72.222,R
313,312.,"Ender Inciarte (7, 29)",72.222,L
314,315.,Jeff Bagwell+ (15),72.143,R
315,316.,Shawon Dunston (18),72.109,R
316,317.,Robin Yount+ (20),72.074,R
317,318.,"Josh Harrison (10, 32)",72.072,R
318,319.,Andruw Jones (17),72.038,R
319,320.,Cecil Espy (8),72.028,B
320,321.,Gabe Kapler (12),71.963,R
321,322.,Jeff DaVanon (8),71.951,B
322,323.,Bo Jackson (8),71.930,R
323,324.,Dave Nelson (10),71.923,R
324,325.,Randy Winn (13),71.906,B
325,326.,Eddie Murray+ (21),71.895,B
326,327.,Dick Allen (15),71.892,R
327,327.,Mark Grudzielanek (15),71.892,R
328,329.,Tony Gwynn+ (20),71.847,L
329,330.,Rich Becker (8),71.739,L
330,331.,"Justin Upton (14, 32)",71.707,R
331,332.,Austin Jackson (9),71.698,R
332,333.,Toby Harrah (17),71.687,R
333,334.,Jackie Jensen (11),71.649,R
334,335.,Glenallen Hill (13),71.642,R
335,336.,John Cangelosi (13),71.628,B
336,337.,Endy Chavez (13),71.622,L
337,338.,"Javier Baez (7, 27)",71.591,R
338,338.,Adam Dunn (14),71.591,L
339,340.,Mike Aviles (10),71.560,R
340,340.,"Jose Peraza (6, 26)",71.560,R
341,342.,"Alex Gordon (14, 36)",71.519,L
342,343.,Alex Cole (7),71.498,L
343,344.,Bill Buckner (22),71.484,L
344,345.,Billy Hatcher (12),71.475,R
345,346.,"Erick Aybar (12, 36)",71.429,B
346,346.,Bob Bailor (11),71.429,R
347,346.,Phil Bradley (8),71.429,R
348,346.,Matt Lawton (12),71.429,L
349,346.,Vada Pinson (18),71.429,L
350,351.,Steve Sax (14),71.383,R
351,352.,U L Washington (11),71.351,B
352,353.,Raul Mondesi (13),71.340,R
353,354.,Rex Hudler (13),71.333,R
354,355.,Brandon Phillips (17),71.331,R
355,356.,"Andrew McCutchen (12, 33)",71.269,R
356,357.,"Manuel Margot (5, 25)",71.264,R
357,358.,Brian Jordan (15),71.257,R
358,359.,"Anthony Gose (5, 29)",71.250,L
359,360.,Gary Matthews (16),71.206,R
360,361.,Sonny Jackson (12),71.186,L
361,362.,Ryan Theriot (8),71.176,R
362,363.,Pepe Mangual (6),71.111,R
363,364.,Carlos Baerga (14),71.084,B
364,365.,Ed Charles (8),71.074,R
365,365.,Pat Sheridan (9),71.074,L
366,367.,Matt Alexander (9),71.034,B
367,368.,John Shelby (11),71.014,B
368,369.,Chris Sabo (9),71.006,R
369,370.,Dan Driessen (15),70.968,L
370,371.,Marvin Benard (9),70.946,L
371,372.,Bill North (11),70.916,B
372,373.,Gary Sheffield (22),70.868,R
373,374.,Chico Fernandez (8),70.833,R
374,374.,Merv Rettenmund (13),70.833,R
375,374.,Jose Valentin (16),70.833,B
376,377.,Lenny Harris (18),70.811,L
377,378.,Rafael Palmeiro (20),70.803,L
378,379.,Kelly Gruber (10),70.796,R
379,379.,Omar Infante (15),70.796,R
380,381.,Brian Giles (15),70.779,L
381,382.,Bill Russell (18),70.763,R
382,383.,Omar Vizquel (24),70.753,B
383,384.,Kelly Johnson (11),70.732,L
384,384.,Ken Landreaux (11),70.732,L
385,384.,Bob Meacham (6),70.732,B
386,387.,Ken Griffey (19),70.671,L
387,388.,Scott Rolen (17),70.659,R
388,389.,Jose Cardenal (18),70.601,R
389,390.,Wilbur Howard (6),70.588,B
390,391.,Mike Davis (10),70.526,L
391,392.,Dan Gladden (11),70.476,R
392,393.,Ron Gant (16),70.435,R
393,394.,"Charlie Blackmon (10, 33)",70.430,L
394,395.,Pee Wee Reese+ (16),70.395,R
395,396.,Don Baylor (19),70.370,R
396,396.,"Nelson Cruz (16, 39)",70.370,R
397,398.,Dale Murphy (18),70.306,R
398,399.,Ben Zobrist (14),70.303,B
399,400.,Curtis Goodwin (5),70.213,L
400,401.,Nyjer Morgan (7),70.175,L
401,402.,J.D. Drew (14),70.161,L
402,403.,Jeff King (11),70.093,R
403,404.,Darren Bragg (11),70.000,L
404,404.,"Odubel Herrera (5, 28)",70.000,L
405,404.,Albie Pearson (9),70.000,L
406,407.,Jose Cruz (19),69.978,L
407,408.,Claudell Washington (17),69.955,L
408,409.,Bill Bruton (12),69.932,L
409,410.,Dave Winfield+ (22),69.906,R
410,411.,Albert Hall (9),69.792,B
411,412.,Royce Clayton (17),69.789,R
412,413.,Darren Lewis (13),69.774,R
413,414.,Roger Metzger (11),69.748,B
414,415.,Tommy Davis (18),69.744,R
415,416.,Luis Salazar (13),69.643,R
416,417.,"Cesar Hernandez (8, 30)",69.565,B
417,417.,Mark McLemore (19),69.565,B
418,417.,Jim Rivera (10),69.565,L
419,420.,Brian McRae (10),69.504,B
420,421.,Jose Canseco (17),69.444,R
421,422.,Alexei Ramírez (9),69.417,R
422,423.,Ken Caminiti (15),69.291,B
423,424.,Bill Spiers (13),69.286,L
424,425.,Damaso Garcia (11),69.283,R
425,426.,Preston Wilson (10),69.274,R
426,427.,Wally Backman (14),69.231,B
427,428.,Bill Doran (12),69.205,B
428,429.,Jacob Brumfield (7),69.159,R
429,430.,Jeff Frye (8),69.136,R
430,431.,Miguel Tejada (16),69.106,R
431,432.,Jeffrey Hammonds (13),69.072,R
432,432.,Aaron Rowand (11),69.072,R
433,434.,Darryl Hamilton (13),69.068,L
434,435.,Darryl Strawberry (17),69.063,L
435,436.,Glenn Braggs (7),69.048,R
436,437.,Jim Wynn (15),69.018,R
437,438.,Nori Aoki (6),69.014,L
438,439.,Mark Belanger (18),69.008,R
439,440.,Ryan Klesko (16),68.939,L
440,441.,Luis Polonia (12),68.884,L
441,442.,Carlos Garcia (10),68.868,R
442,443.,Carlton Fisk+ (24),68.817,R
443,444.,Ray Lankford (14),68.800,L
444,445.,Quilvio Veras (7),68.797,B
445,446.,Ivan de Jesus (15),68.794,R
446,447.,Milton Bradley (12),68.750,B
447,448.,Terry Puhl (15),68.671,L
448,449.,Mitch Webster (13),68.670,B
449,450.,Lee Mazzilli (14),68.641,B
450,451.,Jose Bautista (15),68.627,R
451,452.,Sammy Sosa (18),68.622,R
452,453.,Hunter Pence (14),68.571,R
453,454.,"Dexter Fowler (13, 34)",68.519,B
454,455.,Jerry Mumphrey (15),68.504,B
455,456.,Brett Butler (17),68.466,L
456,457.,Eric Yelding (5),68.462,R
457,458.,Derrek Lee (15),68.421,R
458,459.,Alan Trammell+ (20),68.406,R
459,460.,Chad Curtis (10),68.387,R
460,461.,Jerry Hairston (16),68.372,R
461,462.,Vic Davalillo (16),68.306,L
462,463.,Ellis Burks (18),68.302,R
463,464.,Carney Lansford (15),68.293,R
464,464.,Rick Manning (13),68.293,L
465,464.,Earl Torgeson (15),68.293,L
466,467.,Juan Encarnacion (11),68.280,R
467,467.,Terry Pendleton (15),68.280,B
468,469.,Lee Lacy (16),68.266,R
469,470.,Albert Belle (12),68.217,R
470,471.,Frank White (18),68.199,R
471,472.,Phil Garner (16),68.182,R
472,472.,Julian Javier (13),68.182,R
