,Rank,"Player (yrs, age)",SB %,Bats
784,784.,Tim Salmon (14),53.333,R
785,786.,Brian Downing (20),53.191,R
786,787.,Dion James (11),53.086,L
787,787.,Paul Schaal (11),53.086,R
788,789.,Greg Gagne (15),52.941,R
789,789.,Brandon Inge (13),52.941,R
790,789.,Eddie Yost (18),52.941,R
791,792.,Elliott Maddox (11),52.632,R
792,793.,Joel Youngblood (14),52.174,R
793,794.,Cookie Rojas (16),52.113,R
794,795.,Rick Monday (19),51.852,L
795,796.,Gary Disarcina (12),51.648,R
796,797.,Dick McAuliffe (16),51.639,L
797,798.,Del Unser (15),51.613,L
798,799.,David DeJesus (13),51.563,L
799,800.,Rick Burleson (13),51.429,R
800,801.,Bruce Bochte (12),51.190,L
801,802.,Todd Zeile (16),50.962,R
802,803.,Bob Bailey (17),50.595,R
803,804.,Gil McDougald (10),50.562,R
804,805.,Gorman Thomas (13),50.505,R
805,806.,Tom Brunansky (14),49.640,R
806,807.,Manny Trillo (17),49.558,R
807,808.,Ken Berry (14),49.451,R
808,809.,Rick Reichardt (11),49.383,R
809,810.,Thurman Munson (11),48.980,R
810,811.,Ernie Banks+ (19),48.544,R
811,812.,Max Alvis (9),48.315,R
812,813.,Gary Carter+ (19),48.148,R
813,814.,Jay Johnstone (20),48.077,L
814,815.,Nellie Fox+ (19),47.917,L
815,816.,Jody Reed (11),47.619,R
816,817.,Charlie Moore (15),47.222,R
817,818.,Greg Gross (17),46.988,L
818,819.,Bill Virdon (12),46.535,L
819,820.,Bill Tuttle (11),46.341,R
820,821.,Leo Cardenas (16),44.828,R
821,822.,Bobby Bonilla (16),44.118,B
822,823.,Chris Speier (19),43.750,R
823,824.,Tim Wallach (17),43.590,R
824,825.,Chet Lemon (16),43.284,R
825,826.,Bob Boone (19),43.182,R
826,827.,Duane Kuiper (12),42.276,L
827,828.,Pete Runnels (14),42.045,L
828,829.,Buddy Bell (18),41.045,R
829,830.,Jerry Morales (15),39.362,R
830,831.,Denis Menke (13),38.636,R
