,Rank,"Player (yrs, age)",Strikeouts,Throws
0,1.,Nolan Ryan+ (27),5714,R
1,2.,Randy Johnson+ (22),4875,L
2,3.,Roger Clemens (24),4672,R
3,4.,Steve Carlton+ (24),4136,L
4,5.,Bert Blyleven+ (22),3701,R
5,6.,Tom Seaver+ (20),3640,R
6,7.,Don Sutton+ (23),3574,R
7,8.,Gaylord Perry+ (22),3534,R
8,9.,Walter Johnson+ (21),3509,R
9,10.,Greg Maddux+ (23),3371,R
10,11.,Phil Niekro+ (24),3342,R
11,12.,Fergie Jenkins+ (19),3192,R
12,13.,Pedro Martinez+ (18),3154,R
13,14.,Bob Gibson+ (17),3117,R
14,15.,Curt Schilling (20),3116,R
15,16.,CC Sabathia (19),3093,L
16,17.,John Smoltz+ (21),3084,R
17,18.,"Justin Verlander (16, 37)",3013,R
18,19.,Jim Bunning+ (17),2855,R
19,20.,Mickey Lolich (16),2832,L
20,21.,Mike Mussina+ (18),2813,R
21,22.,Cy Young+ (22),2803,R
22,23.,"Max Scherzer (13, 35)",2784,R
23,24.,Frank Tanana (21),2773,L
24,25.,"Zack Greinke (17, 36)",2689,R
25,26.,David Cone (17),2668,R
26,27.,Chuck Finley (17),2610,L
27,28.,Tom Glavine+ (22),2607,L
28,29.,Warren Spahn+ (21),2583,L
29,30.,Bob Feller+ (18),2581,R
30,31.,Tim Keefe+ (14),2564,R
31,32.,"Cole Hamels (15, 36)",2560,L
32,33.,Jerry Koosman (19),2556,L
33,34.,Javier Vazquez (14),2536,R
34,35.,"Bartolo Colon (21, 47)",2535,R
35,36.,"Clayton Kershaw (13, 32)",2526,L
36,37.,"Felix Hernandez (15, 34)",2524,R
37,38.,A.J. Burnett (17),2513,R
38,39.,Christy Mathewson+ (17),2507,R
39,40.,Don Drysdale+ (14),2486,R
40,41.,Jack Morris+ (18),2478,R
41,42.,Mark Langston (16),2464,L
42,43.,Jim Kaat (25),2461,L
43,44.,Sam McDowell (15),2453,L
44,45.,Andy Pettitte (18),2448,L
45,46.,Jamie Moyer (25),2441,L
46,47.,Luis Tiant (19),2416,R
47,48.,Dennis Eckersley+ (24),2401,R
48,49.,Kevin Brown (19),2397,R
49,49.,"Jon Lester (15, 36)",2397,L
50,51.,Sandy Koufax+ (12),2396,L
51,52.,Charlie Hough (25),2362,R
52,53.,Robin Roberts+ (19),2357,R
53,54.,Early Wynn+ (23),2334,R
54,55.,Rube Waddell+ (13),2316,L
55,56.,Juan Marichal+ (16),2303,R
56,57.,John Lackey (15),2294,R
57,58.,Dwight Gooden (16),2293,R
58,59.,Lefty Grove+ (17),2266,L
59,60.,Eddie Plank+ (17),2246,L
60,61.,Tommy John (26),2245,L
61,62.,James Shields (13),2234,R
62,63.,Jim Palmer+ (19),2212,R
63,64.,Jake Peavy (15),2207,R
64,65.,David Wells (21),2201,L
65,66.,Pete Alexander+ (20),2198,R
66,67.,Vida Blue (17),2175,L
67,68.,Camilo Pascual (18),2167,R
68,69.,Tim Wakefield (19),2156,R
69,70.,Dennis Martinez (23),2149,R
70,71.,Roy Halladay+ (16),2117,R
71,72.,Kevin Millwood (16),2083,R
72,73.,Bobo Newsom (20),2082,R
73,74.,Tim Hudson (17),2080,R
74,75.,Ryan Dempster (16),2075,R
75,76.,Fernando Valenzuela (17),2074,L
76,77.,Dazzy Vance+ (16),2045,R
77,78.,Rick Reuschel (19),2015,R
78,79.,Orel Hershiser (18),2014,R
79,80.,Dan Haren (13),2013,R
80,81.,Catfish Hunter+ (15),2012,R
81,82.,"Chris Sale (10, 31)",2007,L
82,83.,Andy Benes (14),2000,R
83,84.,Billy Pierce (18),1999,L
