,Rank,"Player (yrs, age)",Def. Games as C,Throws
0,1.,Ivan Rodriguez+ (21),2427,R
1,2.,Carlton Fisk+ (24),2226,R
2,3.,Bob Boone (19),2225,R
3,4.,Gary Carter+ (19),2056,R
4,5.,Jason Kendall (15),2025,R
5,6.,"Yadier Molina (17, 37)",1989,R
6,7.,Tony Pena (18),1950,R
7,8.,Brad Ausmus (18),1938,R
8,9.,A.J. Pierzynski (19),1936,R
9,10.,Jim Sundberg (16),1927,R
10,11.,Al Lopez+ (19),1918,R
11,12.,Benito Santiago (20),1917,R
12,13.,Lance Parrish (19),1818,R
13,14.,Rick Ferrell+ (18),1806,R
14,15.,Gabby Hartnett+ (20),1793,R
15,16.,Ted Simmons+ (21),1771,R
16,17.,Johnny Bench+ (17),1742,R
17,18.,Ray Schalk+ (18),1727,R
18,19.,Bill Dickey+ (17),1708,R
19,20.,Yogi Berra+ (19),1699,R
20,21.,Rick Dempsey (24),1633,R
21,22.,Mike Piazza+ (16),1630,R
22,23.,Jim Hegan (17),1629,R
23,24.,Brian McCann (15),1612,R
24,24.,Deacon McGuire (26),1612,R
25,26.,Bill Freehan (15),1581,R
26,27.,Russell Martin (14),1579,R
27,28.,Jorge Posada (17),1574,R
28,29.,Sherm Lollar (18),1571,R
29,30.,Luke Sewell (20),1562,R
30,31.,Ernie Lombardi+ (17),1544,R
31,32.,Steve O'Neill (17),1532,R
32,33.,Darrell Porter (17),1506,R
33,34.,Jason Varitek (15),1488,R
34,35.,Rollie Hemsley (19),1482,R
35,36.,Del Crandall (16),1479,R
36,37.,John Roseboro (14),1476,R
37,38.,Mickey Cochrane+ (13),1451,R
38,39.,Ramon Hernandez (15),1447,R
39,40.,Wally Schang (19),1435,R
40,41.,"Kurt Suzuki (14, 36)",1427,R
41,42.,Muddy Ruel (19),1410,R
42,43.,Mike Scioscia (13),1395,R
43,44.,Johnny Edwards (14),1392,R
44,45.,Tim McCarver (21),1387,R
45,46.,Terry Steinbach (14),1381,R
46,47.,Terry Kennedy (14),1378,R
47,48.,Gus Mancuso (17),1360,R
48,49.,Javy Lopez (15),1351,R
49,49.,Jimmie Wilson (18),1351,R
50,51.,Jerry Grote (16),1348,R
51,52.,Bob O'Farrell (21),1338,R
52,53.,Sandy Alomar (20),1324,R
53,54.,Wilbert Robinson+ (17),1316,R
54,55.,Frankie Hayes (14),1311,R
55,56.,Alan Ashby (17),1299,R
56,57.,Mike Matheny (13),1285,R
57,57.,Bengie Molina (13),1285,R
58,59.,Spud Davis (16),1282,R
59,60.,Dan Wilson (14),1281,R
60,61.,Rick Cerone (18),1279,R
61,62.,Thurman Munson (11),1278,R
62,63.,Del Rice (17),1249,R
63,64.,Joe Girardi (15),1247,R
64,64.,Frank Snyder (16),1247,R
65,64.,Butch Wynegar (13),1247,R
66,67.,Ernie Whitt (15),1246,R
67,68.,Chief Zimmer (19),1239,R
68,69.,Don Slaught (16),1237,R
69,70.,Ivey Wingo (17),1233,R
70,71.,Steve Yeager (15),1230,R
71,72.,Hank Severeid (15),1225,R
72,73.,Walker Cooper (18),1223,R
73,74.,Andy Seminick (15),1213,R
74,75.,Tom Haller (12),1199,R
75,76.,Malachi Kittridge (16),1197,R
76,77.,Red Dooin (15),1195,R
77,78.,George Gibson (14),1194,R
78,79.,Roy Campanella+ (10),1183,R
79,80.,Mickey Owen (13),1175,R
80,81.,Mike Lieberthal (14),1170,R
81,82.,Johnny Kling (13),1169,R
82,83.,Charles Johnson (12),1160,R
83,84.,Darrin Fletcher (14),1143,R
84,84.,Brent Mayne (15),1143,R
85,86.,Smoky Burgess (18),1139,R
86,87.,Elston Howard (14),1138,R
87,88.,"Chris Iannetta (14, 37)",1122,R
88,88.,Billy Sullivan (16),1122,R
89,90.,Manny Sanguillen (13),1114,R
90,91.,Cy Perkins (17),1111,R
91,92.,Birdie Tebbetts (14),1108,R
92,93.,Phil Masi (14),1101,R
93,94.,Todd Hundley (14),1096,R
94,95.,"Jonathan Lucroy (11, 34)",1092,R
95,96.,Earl Battey (13),1087,R
96,97.,Carlos Ruiz (12),1085,R
97,98.,Mike Heath (14),1083,R
98,99.,Miguel Montero (13),1077,R
99,100.,Jack Clements (17),1076,L
100,101.,"Matt Wieters (12, 34)",1075,R
101,102.,Oscar Stanage (14),1074,R
102,103.,Jeff Reed (17),1071,R
103,104.,Gregg Zaun (16),1067,R
104,105.,Rod Barajas (14),1065,R
105,106.,Ed Bailey (14),1064,R
106,107.,Mike Macfarlane (13),1058,R
107,108.,Miguel Olivo (13),1049,R
108,109.,John Buck (11),1042,R
109,110.,Jody Davis (10),1039,R
110,111.,Milt May (15),1034,R
111,112.,Joe Oliver (13),1033,R
112,112.,Jack Warner (14),1033,R
113,114.,John Flaherty (14),1032,R
114,115.,Sammy White (11),1027,R
115,116.,Randy Hundley (14),1026,R
116,117.,Mike Tresh (12),1019,R
117,118.,Pat Borders (17),1015,R
118,119.,Buck Martinez (17),1008,R
119,120.,Bill Killefer (13),1005,R
120,121.,Duke Farrell (18),1004,R
121,122.,Clay Dalrymple (12),1003,R
122,123.,Eddie Ainsmith (15),993,R
123,123.,Kirt Manwaring (13),993,R
124,125.,Brian Schneider (13),992,R
125,125.,Gus Triandos (13),992,R
126,127.,Clyde McCullough (15),989,R
127,128.,"Buster Posey (11, 33)",987,R
128,129.,Lou Criger (16),984,R
129,130.,Bob Swift (14),980,R
130,131.,Rich Gedman (13),979,R
131,132.,Roger Bresnahan+ (17),974,R
132,133.,Bruce Benedict (12),971,R
133,134.,Darren Daulton (14),965,R
134,134.,Bo Diaz (13),965,R
135,136.,Heinie Peitz (16),961,R
136,137.,Damian Miller (11),958,R
137,138.,Charlie Bennett (15),954,R
138,139.,John Bateman (10),953,R
139,140.,Bill Rariden (12),948,R
140,141.,Ron Hassey (14),946,R
141,142.,Bill Bergen (11),941,R
142,143.,Val Picinich (18),935,R
143,144.,Buddy Rosar (13),934,R
144,145.,Paul Lo Duca (11),932,R
145,146.,Andy Etchebarren (15),931,R
146,147.,Joe Mauer (15),921,R
147,148.,Ron Karkovice (12),918,R
148,149.,Ray Mueller (14),917,R
149,150.,Jose Molina (15),915,R
150,151.,Henry Blanco (16),914,R
151,152.,"Jeff Mathis (16, 37)",911,R
152,152.,Chief Meyers (9),911,R
153,154.,Shanty Hogan (13),908,R
154,154.,"Salvador Perez (9, 30)",908,R
155,156.,Joe Torre+ (18),903,R
156,157.,"Alex Avila (12, 33)",902,R
157,157.,Dave Valle (13),902,R
158,157.,Wes Westrum (11),902,R
159,160.,Buck Rodgers (9),895,R
160,161.,Charlie Moore (15),894,R
161,161.,Greg Myers (18),894,R
162,161.,"Wilson Ramos (11, 32)",894,R
163,164.,Hank Gowdy (17),893,R
164,165.,Nick Hundley (12),892,R
165,165.,Chad Kreuter (16),892,R
166,165.,Gene Tenace (15),892,R
167,168.,Dioner Navarro (13),891,R
168,169.,Otto Miller (13),890,R
169,170.,Ray Fosse (12),889,R
170,171.,Michael Barrett (12),885,R
171,171.,Dave Duncan (11),885,R
172,173.,Pop Snyder (18),877,R
173,174.,Jason LaRue (12),873,R
174,175.,Mickey Tettleton (14),872,R
175,176.,Ed Taubensee (11),871,R
176,177.,Joe Azcue (11),868,R
177,177.,Mike González (17),868,R
178,179.,Jack O'Connor (21),861,R
179,180.,Victor Martinez (16),858,R
180,181.,Zack Taylor (16),856,R
181,182.,Yorvit Torrealba (13),855,R
182,183.,Mike LaValliere (12),850,R
183,184.,Phil Roof (15),835,R
184,185.,Ed McFarland (14),830,R
185,186.,Frank Bowerman (15),829,R
186,187.,Tom Pagnozzi (12),827,R
187,188.,Chris Hoiles (10),819,R
188,189.,Ed Herrmann (11),817,R
189,190.,Paul Casanova (10),811,R
190,191.,John Romano (10),810,R
191,192.,David Ross (15),805,R
192,193.,"Jason Castro (10, 33)",803,R
193,194.,Clint Courtney (11),802,R
194,195.,Harry Danning (10),801,R
195,196.,"Yasmani Grandal (9, 31)",800,R
196,197.,George Mitterwald (11),796,R
197,198.,Fred Kendall (12),795,R
198,199.,Scott Servais (11),792,R
199,200.,Charlie O'Brien (15),782,R
200,201.,Dave Rader (10),771,R
201,202.,Jim Pagliaroni (11),767,R
202,203.,Joe Ferguson (14),766,R
203,204.,Geovany Soto (13),763,R
204,205.,Larry McLean (13),761,R
205,206.,Paul Bako (12),758,R
206,206.,"Tyler Flowers (12, 34)",758,R
207,206.,Johnny Gooch (11),758,R
208,209.,Johnny Bassler (9),756,R
209,210.,Gerald Laird (13),754,R
210,211.,Al Todd (11),752,R
211,212.,Ossee Schrecongost (11),751,R
212,212.,Mike Stanley (15),751,R
213,214.,Mike Fitzgerald (10),748,R
214,215.,Bubbles Hargrave (12),747,R
215,216.,Jarrod Saltalamacchia (12),745,R
216,217.,Silver Flint (13),743,R
217,218.,Alex Trevino (13),742,R
218,219.,Boileryard Clarke (13),739,R
219,220.,Art Wilson (14),738,R
220,221.,Ellie Rodriguez (9),737,R
221,222.,Jimmy Archer (12),736,R
222,223.,Glenn Myatt (16),734,R
223,223.,Walter Schmidt (10),734,R
224,225.,Al Spohrer (8),731,R
225,226.,Bob Tillman (9),725,R
226,227.,Russ Nixon (12),722,R
227,228.,"Yan Gomes (9, 32)",721,R
228,229.,Les Moss (13),720,R
229,229.,Earl Smith (12),720,R
230,231.,Chris Cannizzaro (13),714,R
231,232.,Joe Sugden (13),709,R
232,233.,"Martin Maldonado (10, 33)",708,R
233,234.,Bob Brenly (9),705,R
234,235.,B.J. Surhoff (19),704,R
235,236.,Junior Ortiz (13),702,R
236,237.,Gene Desautels (13),699,R
237,237.,Frankie Pytlak (12),699,R
238,237.,John Stearns (11),699,R
239,240.,Pat Moran (14),697,R
240,241.,Stan Lopata (13),695,R
241,242.,Jake Early (9),694,R
242,243.,J.C. Martin (14),692,R
243,243.,"Mike Zunino (8, 29)",692,R
244,245.,Chris Snyder (10),690,R
245,246.,Matt Nokes (11),689,R
246,247.,Francisco Cervelli (13),688,R
247,247.,Brian Harper (16),688,R
248,249.,Marc Hill (14),687,R
249,249.,Mike Redmond (13),687,R
250,251.,Kelly Stinnett (14),679,R
251,252.,Ray Hayworth (15),677,R
252,252.,Hobie Landrith (14),677,R
253,252.,Ozzie Virgil (11),677,R
254,255.,Brian Downing (20),675,R
255,256.,Toby Hall (9),673,R
256,257.,Doc Bushong (13),668,R
257,258.,"J.T. Realmuto (7, 29)",663,R
258,259.,Charlie Berry (11),657,R
259,259.,Tim Laudner (9),657,R
260,261.,Ryan Hanigan (11),656,R
261,261.,Pop Schriver (14),656,R
262,263.,Mickey O'Neil (9),654,R
263,264.,Ed FitzGerald (12),651,R
264,264.,Matt Walbeck (11),651,R
265,266.,Rick Wilkins (11),650,R
266,267.,Bill Carrigan (10),649,R
267,267.,"Welington Castillo (10, 33)",649,R
268,267.,Einar Diaz (11),649,R
269,270.,Hal Smith (10),648,R
270,271.,Al Evans (12),647,R
271,272.,Duke Sims (11),646,R
272,273.,Jim Essian (12),642,R
273,274.,Barry Foote (10),637,R
274,274.,Doggie Miller (13),637,R
275,276.,Buck Ewing+ (18),636,R
276,277.,Duffy Dyer (14),634,R
277,278.,Mike Ryan (11),632,R
278,279.,John Henry (9),629,R
279,280.,Bob Melvin (10),627,R
280,280.,Ken O'Dea (12),627,R
281,282.,Hal Wagner (12),626,R
282,283.,A.J. Ellis (11),620,R
283,284.,Dick Brown (9),614,R
284,284.,Joe Garagiola (9),614,R
285,284.,Les Nunamaker (12),614,R
286,287.,Ed Sweeney (9),613,R
287,288.,Connie Mack+ (11),610,R
288,289.,Butch Henline (11),608,R
289,290.,Elrod Hendricks (12),602,R
290,291.,Jorge Fabregas (9),595,R
291,292.,Doc Powers (11),594,R
292,293.,Babe Phelps (11),592,R
293,294.,Brook Fordyce (10),591,R
294,295.,Damon Berryhill (10),590,R
295,296.,Harry Bemis (9),588,R
296,297.,Johnny Estrada (8),585,R
297,297.,Jocko Milligan (10),585,R
298,297.,Roy Spencer (12),585,R
299,297.,Bob Stinson (12),585,R
300,301.,King Kelly+ (16),584,R
301,302.,John Grim (11),580,R
302,302.,Frank House (10),580,R
303,302.,Red Wilson (10),580,R
304,305.,Charlie Ganzel (14),579,R
305,306.,Aaron Robinson (8),577,R
306,307.,Tommy Clarke (10),576,R
307,308.,"Robinson Chirinos (9, 36)",575,R
308,309.,Joe Ginsberg (13),574,R
309,309.,Geno Petralli (12),574,R
310,309.,Chris Widger (10),574,R
311,312.,John Wathan (10),572,R
312,313.,"James McCann (7, 30)",570,R
313,314.,Hank DeBerry (11),569,R
314,315.,Tom Lampkin (13),568,R
315,316.,"Tucker Barnhart (7, 29)",567,R
316,317.,Admiral Schlei (8),561,R
317,318.,Derek Norris (6),560,R
318,318.,Joel Skinner (9),560,R
319,320.,Jeff Torborg (10),559,R
320,321.,Gary Bennett (13),558,R
321,321.,Red Kleinow (8),558,R
322,323.,Earl Grace (8),557,R
323,324.,Clyde Kluttz (9),556,R
324,325.,Todd Pratt (14),553,R
