,Rank,"Player (yrs, age)",Bases on Balls,Bats
766,765.,"Buster Posey (11, 33)",484,R
767,765.,Edd Roush+ (18),484,L
768,765.,Frank Thomas (16),484,R
769,770.,Orlando Hudson (11),483,B
770,770.,Bill Russell (18),483,R
771,770.,Grady Sizemore (10),483,L
772,773.,Bill Bruton (12),482,L
773,773.,Wayne Gross (11),482,L
774,773.,Johnny Wyrostek (11),482,L
775,776.,Gary Redus (13),481,R
776,776.,Tommy Tucker (13),481,B
777,776.,Del Unser (15),481,L
778,779.,Nick Etten (9),480,L
779,779.,Duke Farrell (18),480,B
780,779.,Tommy Holmes (11),480,L
781,779.,Harold Reynolds (12),480,B
782,779.,Bill Tuttle (11),480,R
783,784.,Steve Garvey (19),479,R
784,784.,Bill Melton (10),479,R
785,784.,Gregg Zaun (16),479,B
786,787.,Charlie Bennett (15),478,R
787,787.,Julio Cruz (10),478,B
788,787.,Davy Jones (15),478,L
789,787.,Jerry Mumphrey (15),478,B
790,787.,Jose Vidro (12),478,B
791,792.,Smoky Burgess (18),477,L
792,792.,Sean Casey (12),477,L
793,792.,Vince Coleman (13),477,B
794,792.,Tom Haller (12),477,L
795,792.,Albie Pearson (9),477,L
796,797.,Darin Erstad (14),475,L
797,797.,Jim Gentile (9),475,L
798,797.,Charles Johnson (12),475,R
799,797.,Austin Kearns (12),475,R
800,797.,Raul Mondesi (13),475,R
801,802.,Larry Bowa (16),474,B
802,802.,Max Flack (12),474,L
803,802.,Red Kress (14),474,R
804,802.,Bobby Lowe (18),474,R
805,802.,Marco Scutaro (13),474,R
806,802.,"Kyle Seager (10, 32)",474,L
807,802.,Jimmy Williams (11),474,R
808,809.,Home Run Baker+ (13),473,L
809,810.,Ned Hanlon+ (13),472,L
810,810.,Bucky Harris+ (12),472,R
811,810.,Gregg Jefferies (14),472,B
812,810.,George Sisler+ (15),472,L
813,810.,Pie Traynor+ (17),472,R
814,810.,Vernon Wells (15),472,R
815,816.,Al Bumbry (14),471,L
816,816.,Bernie Friberg (14),471,R
817,816.,"Eric Hosmer (10, 30)",471,L
818,816.,Rick Manning (13),471,L
819,816.,Emmett Seery (9),471,L
820,816.,Harry Steinfeldt (14),471,R
821,822.,Gus Bell (15),470,L
822,822.,Clete Boyer (16),470,R
823,822.,Marty Marion (13),470,R
824,822.,Chick Stahl (10),470,L
825,826.,Mike Mowrey (13),469,R
826,826.,Ted Sizemore (12),469,R
827,826.,Matt Williams (17),469,R
828,829.,Claudell Washington (17),468,L
829,830.,Dave Collins (16),467,B
830,830.,Ira Flagstead (13),467,R
831,830.,Tony Gonzalez (12),467,L
832,830.,"Jason Kipnis (10, 33)",467,L
833,830.,Doggie Miller (13),467,R
834,835.,Pete Browning (13),466,R
835,835.,Lave Cross (21),466,R
836,835.,Ivan de Jesus (15),466,R
837,835.,Bernard Gilkey (12),466,R
838,835.,Ben Grieve (9),466,L
839,840.,Johnny Edwards (14),465,L
840,840.,Wally Gerber (15),465,R
841,840.,Dave Henderson (14),465,R
842,840.,Willie Montanez (14),465,L
843,844.,Oyster Burns (11),464,R
844,844.,Dave Hollins (12),464,B
845,844.,Johnny Hopp (14),464,L
846,844.,Juan Pierre (14),464,L
847,844.,Sammy Strang (10),464,B
848,849.,John Stone (11),463,L
849,849.,John Valentin (11),463,R
850,849.,Randy Velarde (16),463,R
851,852.,Frank Bolling (12),462,R
852,852.,Larry Hisle (14),462,R
853,852.,Fred Schulte (11),462,R
854,855.,Alan Ashby (17),461,B
855,856.,Mike Greenwell (12),460,L
856,856.,Rance Mulliniks (16),460,L
857,856.,"Neil Walker (12, 34)",460,B
858,859.,Mike Andrews (8),458,R
859,859.,Corey Koskie (9),458,L
860,859.,Willard Marshall (11),458,L
861,862.,Patsy Donovan (17),457,L
862,862.,Juan Gonzalez (17),457,R
863,862.,Travis Lee (9),457,L
864,865.,Curt Blefary (8),456,L
865,865.,Bobby Byrne (11),456,R
866,865.,Jim Hegan (17),456,R
867,865.,Solly Hemus (11),456,L
868,865.,Ed Kirkpatrick (16),456,L
869,865.,Derrel Thomas (15),456,B
870,871.,Roy Hartzell (11),455,L
871,871.,Tony Pena (18),455,R
872,871.,Milt Stock (14),455,R
873,871.,Ossie Vitt (10),455,R
874,875.,Ed Kranepool (18),454,L
875,875.,Gary Matthews (12),454,B
876,875.,Fred Merkle (16),454,R
877,875.,Rick Miller (15),454,L
878,879.,Sparky Adams (13),453,R
879,879.,Todd Hundley (14),453,B
880,881.,Ray Chapman (9),452,R
881,881.,Eric Hinske (12),452,L
882,881.,Sam Thompson+ (15),452,L
883,881.,Manny Trillo (17),452,R
884,881.,Willie Upshaw (10),452,L
885,886.,Johnny Logan (13),451,R
886,887.,Rich Aurilia (15),450,R
887,887.,Bill Buckner (22),450,L
888,887.,Kirby Puckett+ (12),450,R
889,890.,Paul Blair (17),449,R
890,890.,Rube Bressler (19),449,R
891,890.,Phil Nevin (12),449,R
892,890.,Jim Northrup (12),449,L
893,890.,Daryl Spencer (10),449,R
894,895.,Cecil Cooper (17),448,L
895,895.,Mike Epstein (9),448,L
896,895.,"Carlos Gonzalez (12, 34)",448,L
897,895.,Willie McGee (18),448,B
898,895.,Tony Oliva (15),448,L
899,895.,Jose Oquendo (12),448,B
900,901.,Bill Mazeroski+ (17),447,R
901,901.,Randy Milligan (8),447,R
902,901.,"Anthony Rendon (8, 30)",447,R
903,904.,Mike Kreevich (12),446,R
904,904.,John Lowenstein (16),446,L
905,904.,Miguel Montero (13),446,L
906,904.,Dick Schofield (14),446,R
907,908.,Casey Blake (13),445,R
908,908.,Michael Bourn (11),445,L
909,908.,Felipe Lopez (11),445,B
910,908.,Merv Rettenmund (13),445,R
911,912.,Ed Brinkman (15),444,R
912,912.,Jack Cust (10),444,L
913,912.,Leon Durham (10),444,L
914,912.,Curt Flood (15),444,R
915,912.,Shorty Fuller (9),444,R
916,917.,Taylor Douthit (11),443,R
917,917.,Aaron Hill (13),443,R
918,917.,Brandon Inge (13),443,R
919,920.,Carl Everett (14),442,B
920,920.,Jeff King (11),442,R
921,920.,Bill Virdon (12),442,L
922,923.,Jimmy Barrett (10),440,L
923,923.,Jack Doyle (17),440,R
924,923.,Jack Glasscock (17),440,R
925,923.,Juan Samuel (16),440,R
926,923.,Gus Triandos (13),440,R
927,928.,Brook Jacoby (11),439,R
928,928.,"Jed Lowrie (12, 36)",439,B
929,928.,Julio Lugo (12),439,R
930,928.,Matty McIntyre (10),439,L
931,928.,Robby Thompson (11),439,R
932,933.,Mark Ellis (12),438,R
933,933.,Doug Mientkiewicz (12),438,L
934,933.,Thurman Munson (11),438,R
935,936.,Johnny Bassler (9),437,L
936,936.,Joe Medwick+ (17),437,R
937,936.,Mickey Morandini (11),437,L
938,936.,Casey Stengel+ (14),437,L
939,940.,Ernie Whitt (15),436,L
940,941.,Wally Berger (11),435,R
941,941.,Stephen Drew (12),435,L
942,941.,"Todd Frazier (10, 34)",435,R
943,941.,Charlie Hemphill (11),435,L
944,941.,Chris Hoiles (10),435,R
945,941.,Bob Nieman (12),435,R
946,941.,Terry Turner (17),435,R
947,941.,Leon Wagner (12),435,L
948,949.,Greg Brock (10),434,L
949,950.,Mule Haas (12),433,L
950,951.,Phil Bradley (8),432,R
951,951.,Joe Randa (12),432,R
952,953.,Willie Crawford (14),431,L
953,953.,Danny O'Connell (10),431,R
954,953.,Seth Smith (11),431,L
955,956.,Al Dark (14),430,R
956,956.,Brad Hawpe (9),430,L
957,956.,Ramon Hernandez (15),430,R
958,956.,John Jaha (10),430,R
959,956.,Ernie Lombardi+ (17),430,R
960,956.,Benito Santiago (20),430,R
961,962.,Garret Anderson (17),429,L
962,962.,Jay Johnstone (20),429,L
963,962.,Dan McGann (12),429,B
964,962.,Placido Polanco (16),429,R
965,966.,David Bell (12),428,R
966,966.,Tony Bernazard (10),428,B
967,966.,Jerry Lumpe (12),428,L
968,969.,Kid Elberfeld (14),427,R
969,969.,Buck Herzog (13),427,R
970,969.,Quilvio Veras (7),427,B
971,972.,George Case (11),426,R
972,972.,Jimmy Collins+ (14),426,R
973,972.,Bill Hallman (14),426,R
974,972.,Paul Sorrento (11),426,L
975,976.,Ginger Beaumont (12),425,L
976,976.,Andy High (13),425,L
977,976.,Willie Wilson (19),425,B
978,979.,Dave Cash (12),424,R
979,979.,Del Crandall (16),424,R
980,981.,Felipe Alou (17),423,R
981,981.,Vinny Castilla (16),423,R
982,981.,Bill Sweeney (8),423,R
983,984.,Sam Mertes (10),422,R
984,985.,Earl Battey (13),421,R
985,985.,Solly Hofman (14),421,R
986,985.,Todd Walker (12),421,L
987,985.,John Ward+ (17),421,L
988,989.,Steve Brodie (12),420,L
989,989.,Rick Burleson (13),420,R
990,989.,Charlie Hayes (14),420,R
991,989.,Tip O'Neill (10),420,R
992,989.,Brandon Phillips (17),420,R
993,989.,Red Smith (9),420,R
994,989.,Lloyd Waner+ (18),420,L
995,996.,"Michael Brantley (12, 33)",419,L
996,996.,Johnny Groth (15),419,R
997,996.,George McBride (16),419,R
998,999.,Willie Davis (18),418,L
999,999.,Geoff Jenkins (11),418,L
1000,999.,Hector Lopez (12),418,R
1001,999.,Gus Mancuso (17),418,R
1002,999.,Terry Steinbach (14),418,R
1003,999.,George Wood (13),418,L
