,Rank,"Player (yrs, age)",Bases on Balls,Bats
247,248.,Fielder Jones (15),817,L
248,248.,Ryan Klesko (16),817,L
249,248.,Carlos Pena (14),817,L
250,248.,Nick Swisher (12),817,B
251,248.,Dixie Walker (18),817,L
252,253.,Darryl Strawberry (17),816,L
253,253.,Jason Thompson (11),816,L
254,255.,Minnie Minoso (17),814,R
255,255.,Roger Peckinpaugh (17),814,R
256,257.,Jimmy Rollins (17),813,B
257,258.,Bobby Doerr+ (14),809,R
258,258.,Mike Griffin (12),809,L
259,260.,Don Baylor (19),805,R
260,260.,Billy Nash (15),805,R
261,262.,Chuck Knoblauch (12),804,R
262,262.,Jimmy Ryan (18),804,R
263,264.,Matt Holliday (15),802,R
264,265.,Jeff Kent (17),801,R
265,266.,Luis Castillo (15),800,B
266,266.,Pinky Higgins (14),800,R
267,266.,Bill Nicholson (16),800,L
268,269.,Lou Boudreau+ (15),796,R
269,270.,Bob Allison (13),795,R
270,271.,Ellis Burks (18),793,R
271,272.,Jay Buhner (15),792,R
272,272.,Frankie Crosetti (17),792,R
273,272.,Russell Martin (14),792,R
274,272.,Rudy York (13),792,R
275,276.,Joe DiMaggio+ (13),790,R
276,276.,Tony Gwynn+ (20),790,L
277,276.,Paul Radford (12),790,R
278,279.,Kip Selbach (13),785,R
279,280.,Charlie Keller (13),784,L
280,281.,Adrian Gonzalez (15),782,L
281,281.,Frank Howard (16),782,R
282,283.,Tino Martinez (16),780,L
283,284.,Joe Torre+ (18),779,R
284,285.,Johnny Evers+ (18),778,L
285,286.,Earl Averill+ (13),774,L
286,286.,Bobby Wallace+ (25),774,R
287,288.,Jose Offerman (15),772,B
288,289.,Roy Smalley (13),771,B
289,290.,Tom Brunansky (14),770,R
290,290.,Ron Gant (16),770,R
291,290.,"Paul Goldschmidt (10, 32)",770,R
292,293.,Danny Tartabull (14),768,R
293,294.,Jayson Werth (15),764,R
294,295.,Ernie Banks+ (19),763,R
295,296.,Dusty Baker (19),762,R
296,296.,David Wright (14),762,R
297,298.,Lou Brock+ (19),761,L
298,298.,Dan Driessen (15),761,L
299,298.,Ryne Sandberg+ (16),761,R
300,301.,Sam Crawford+ (19),760,L
301,301.,J.T. Snow (16),760,L
302,303.,Joe Gordon+ (11),759,R
303,303.,Mike Piazza+ (16),759,R
304,305.,Amos Otis (17),757,R
305,306.,Willie Jones (15),755,R
306,307.,Delino DeShields (13),754,L
307,308.,Tommy Harper (15),753,R
308,309.,Lonny Frey (14),752,L
309,310.,Dom DiMaggio (11),750,R
310,310.,Jackie Jensen (11),750,R
311,312.,Tom Brown (17),749,L
312,312.,Chet Lemon (16),749,R
313,314.,Dick Bartell (18),748,R
314,314.,Charlie Jamieson (18),748,L
315,314.,Mike Tiernan (13),748,L
316,317.,Dwayne Murphy (12),747,L
317,318.,Shawn Green (15),744,L
318,319.,Ed Delahanty+ (16),742,R
319,320.,Eric Davis (17),740,R
320,320.,Jackie Robinson+ (10),740,R
321,320.,"Justin Upton (14, 32)",740,R
322,323.,Jeromy Burnitz (14),739,L
323,323.,"Dexter Fowler (13, 34)",739,B
324,325.,Moises Alou (17),737,R
325,325.,Vladimir Guerrero+ (16),737,R
326,325.,Billy Herman+ (15),737,R
327,328.,Luis Aparicio+ (18),736,R
328,328.,Dave Concepcion (19),736,R
329,328.,Sherry Magee (16),736,R
330,331.,"Bryce Harper (9, 27)",733,L
331,332.,Sid Gordon (13),731,R
332,333.,Victor Martinez (16),730,B
333,334.,Frankie Frisch+ (19),728,B
334,335.,Ken Caminiti (15),727,B
335,336.,Mo Vaughn (12),725,L
336,337.,Chase Utley (16),724,L
337,338.,Ossie Bluege (18),723,R
338,339.,Bill Joyce (8),721,L
339,339.,Jason Kendall (15),721,R
340,341.,Nellie Fox+ (19),719,L
341,341.,Ken Griffey (19),719,L
342,343.,Kirk Gibson (17),718,L
343,343.,Dave Magadan (16),718,L
344,343.,Edgar Renteria (16),718,R
345,343.,Gus Suhr (11),718,L
346,347.,George Gore (14),717,L
347,347.,George Grantham (13),717,L
348,347.,Matt Stairs (19),717,L
349,350.,Jim Fregosi (18),715,R
350,350.,Dode Paskert (15),715,R
351,352.,Roger Bresnahan+ (17),714,R
352,353.,Ken Boyer (15),713,R
353,353.,Raul Ibanez (19),713,L
354,353.,Burt Shotton (14),713,L
355,356.,Jack Graney (14),712,L
356,356.,Von Hayes (12),712,L
357,356.,Tommy Henrich (11),712,L
358,356.,George McQuinn (12),712,L
359,360.,Bill Doran (12),709,B
360,360.,Ryan Howard (13),709,L
361,362.,Sam Rice+ (20),708,L
362,362.,Norm Siebern (12),708,L
363,364.,Mark Reynolds (13),707,R
364,365.,Lyn Lary (12),705,R
365,366.,Yogi Berra+ (19),704,L
366,367.,Gabby Hartnett+ (20),703,R
367,368.,Billy Werber (11),701,R
368,369.,George Scott (14),699,R
369,369.,Jim Sundberg (16),699,R
370,371.,Denis Menke (13),698,R
371,372.,Gorman Thomas (13),697,R
372,373.,Heinie Groh (16),696,R
373,373.,Sam West (16),696,L
374,375.,Cecil Fielder (13),693,R
375,375.,Ian Kinsler (14),693,R
376,377.,Howard Johnson (14),692,B
377,377.,Vern Stephens (15),692,R
378,379.,"Freddie Freeman (11, 30)",691,L
379,380.,Tony Fernandez (17),690,B
380,380.,Cy Williams (19),690,L
381,382.,Ed Konetchy (15),689,R
382,383.,Tom Daly (17),687,B
383,383.,Richie Hebner (18),687,L
384,385.,Alvin Davis (9),685,L
385,385.,Clyde Milan (16),685,L
386,387.,"Alex Gordon (14, 36)",684,L
387,387.,Don Kessinger (16),684,B
388,389.,Albert Belle (12),683,R
389,389.,Dave Parker (19),683,L
390,391.,Matt Lawton (12),681,L
391,392.,Bill Dickey+ (17),678,L
392,393.,Kiki Cuyler+ (18),676,R
393,394.,Marty McManus (15),675,R
394,395.,Reggie Sanders (17),674,R
395,395.,Al Smith (12),674,R
396,395.,Hack Wilson+ (12),674,R
397,398.,Don Buford (10),672,B
398,399.,Jeff Conine (17),671,R
399,399.,Sherm Lollar (18),671,R
400,401.,Earle Combs+ (12),670,L
401,401.,Jim Rice+ (16),670,R
402,403.,Billy Goodman (16),669,L
403,403.,Kevin Seitzer (12),669,R
404,405.,Yank Robinson (10),667,R
405,405.,Andy Van Slyke (13),667,L
406,407.,George Foster (18),666,R
407,408.,Roy McMillan (16),665,R
408,409.,Jim Bottomley+ (16),664,L
409,409.,"Matt Carpenter (10, 34)",664,L
410,409.,Cesar Cedeno (17),664,R
411,409.,Hugh Duffy+ (17),664,R
412,409.,Harry Stovey (14),664,R
413,414.,Bob Boone (19),663,R
414,414.,John Briggs (12),663,L
415,416.,Johnny Pesky (10),662,L
416,417.,Torii Hunter (19),661,R
417,417.,Rico Petrocelli (13),661,R
418,419.,Hanley Ramirez (15),660,R
419,419.,Eric Young Sr. (15),660,R
420,421.,Jose Cruz (12),658,B
421,421.,Walt Weiss (14),658,B
422,423.,Carlos Lee (14),655,R
423,424.,Larry Gardner (17),654,L
424,425.,Bruce Bochte (12),653,L
425,425.,Bob Watson (19),653,R
426,427.,Roger Maris (12),652,L
427,427.,Mike Stanley (15),652,R
428,429.,Magglio Ordonez (15),651,R
429,429.,Phil Rizzuto+ (13),651,R
430,431.,Johnny Callison (16),650,L
431,431.,Mike Napoli (12),650,R
432,431.,Zack Wheat+ (19),650,L
433,434.,Bobby Higginson (11),649,L
434,434.,John Kruk (10),649,L
435,434.,Adam LaRoche (12),649,L
436,434.,Billy Rogell (14),649,B
437,434.,Tim Wallach (17),649,R
438,439.,Hal McRae (19),648,R
439,439.,Johnny Temple (13),648,R
440,441.,Ichiro Suzuki (19),647,L
441,442.,Grady Hatton (12),646,L
442,443.,"Evan Longoria (13, 34)",645,R
443,444.,Wally Moon (12),644,L
444,445.,Rafael Furcal (14),643,B
445,446.,Rico Carty (15),642,R
446,446.,Lee Mazzilli (14),642,B
447,448.,Pete O'Brien (12),641,L
448,449.,Lenny Dykstra (12),640,L
449,449.,Brian McCann (15),640,L
450,449.,B.J. Surhoff (19),640,L
451,452.,Eric Chavez (17),639,L
452,452.,"Brett Gardner (13, 36)",639,L
453,452.,Mike Smith (14),639,L
454,455.,Lyle Overbay (14),638,L
455,455.,Ray Schalk+ (18),638,R
456,457.,Jason Bay (11),636,R
457,457.,Ed McKean (13),636,R
458,459.,Brad Ausmus (18),634,R
459,459.,Gary Gaetti (20),634,R
460,461.,Bud Harrelson (16),633,B
461,461.,Aramis Ramirez (18),633,R
462,463.,Chris Chambliss (17),632,L
463,463.,"Nelson Cruz (16, 39)",632,R
464,465.,Jose Valentin (16),630,B
465,465.,"Ryan Zimmerman (15, 35)",630,R
466,467.,Darren Daulton (14),629,L
467,468.,Tom Herr (13),627,B
468,468.,Bill North (11),627,B
469,470.,Bill Freehan (15),626,R
470,470.,Dan Uggla (10),626,R
471,470.,Butch Wynegar (13),626,B
472,473.,Larry Doyle (14),625,L
473,474.,"Dustin Pedroia (14, 36)",624,R
474,474.,Jerry Priddy (11),624,R
475,476.,Jake Daubert (15),623,L
476,476.,Denny Lyons (13),623,R
477,476.,Lonnie Smith (17),623,R
478,479.,Roberto Clemente+ (18),621,R
479,479.,George Kell+ (15),621,R
480,481.,Willie Horton (18),620,R
481,481.,John Titus (11),620,L
482,483.,Bob Bescher (11),619,B
483,483.,Jimmy Slagle (10),619,L
484,485.,Bert Campaneris (19),618,R
485,485.,Doug DeCinces (15),618,R
486,487.,Jake Beckley+ (20),616,L
487,487.,"Robinson Cano (16, 37)",616,L
488,487.,Monte Cross (15),616,R
489,487.,Lloyd Moseby (12),616,L
490,491.,Al Simmons+ (20),615,R
491,492.,Jason Varitek (15),614,B
492,493.,Tony Taylor (19),613,R
493,494.,Jack Crooks (8),612,R
494,494.,Herman Long (16),612,L
495,494.,Lance Parrish (19),612,R
496,497.,Oscar Gamble (17),610,L
497,497.,Ruben Sierra (20),610,B
498,499.,Pedro Guerrero (15),609,R
499,499.,"Anthony Rizzo (10, 30)",609,L
500,499.,Brian Roberts (14),609,B
501,502.,Ray Boone (13),608,R
502,502.,Jose Cardenal (18),608,R
503,502.,Dave Kingman (16),608,R
504,505.,Claude Ritchey (13),607,B
505,506.,"Jason Heyward (11, 30)",606,L
506,506.,Don Mincher (13),606,L
507,506.,Jhonny Peralta (15),606,R
508,506.,Muddy Ruel (19),606,R
509,506.,Red Schoendienst+ (19),606,B
510,511.,Bill Madlock (15),605,R
511,512.,Travis Fryman (13),602,R
512,513.,Cliff Floyd (17),601,L
513,513.,Chuck Klein+ (17),601,L
514,515.,Don Money (16),600,R
515,516.,Joe Cunningham (12),599,L
516,517.,Travis Hafner (12),598,L
517,518.,Jermaine Dye (14),597,R
518,518.,Del Ennis (14),597,R
519,518.,Elmer Flick+ (13),597,L
520,521.,Edgardo Alfonzo (12),596,R
521,521.,Wally Pipp (15),596,L
522,521.,Bill White (13),596,L
523,524.,"Jay Bruce (13, 33)",595,L
524,525.,Joe Adcock (17),594,R
525,525.,Harvey Kuenn (15),594,R
526,525.,Dave Philley (18),594,B
527,528.,Jeff Heath (14),593,L
528,529.,Jimmy Austin (18),592,B
529,529.,Rick Dempsey (24),592,R
530,529.,Steve O'Neill (17),592,R
531,532.,Craig Counsell (16),589,L
532,532.,Andre Dawson+ (21),589,R
533,532.,Ken Henderson (16),589,B
534,532.,Arlie Latham (17),589,R
535,532.,Jose Reyes (16),589,B
536,532.,Melvin Upton Jr. (12),589,R
537,538.,Orlando Cepeda+ (17),588,R
538,538.,Pat Kelly (15),588,L
539,538.,Jim Landis (11),588,R
540,538.,Don Mattingly (14),588,L
541,538.,Richie Sexson (12),588,R
542,543.,Jack Fournier (15),587,L
543,543.,Al Rosen (10),587,R
544,545.,"Ryan Braun (14, 36)",586,R
545,546.,Deron Johnson (16),585,R
546,546.,Otis Nixon (17),585,B
547,548.,"Giancarlo Stanton (11, 30)",584,R
548,549.,Andres Galarraga (19),583,R
549,550.,Andy Seminick (15),582,R
550,551.,Steve Braun (15),579,L
551,551.,Tony Cuccinello (15),579,R
552,553.,Charlie Grimm (20),578,L
553,553.,Stan Javier (17),578,B
554,555.,Mark Belanger (18),576,R
555,555.,Art Devlin (10),576,R
556,555.,"Chris Iannetta (14, 37)",576,R
557,555.,Steve Kemp (11),576,L
558,555.,Sixto Lezcano (12),576,R
559,560.,Rob Deer (11),575,R
560,560.,"Josh Donaldson (10, 34)",575,R
561,560.,Michael Young (14),575,R
562,563.,Chase Headley (12),574,B
563,563.,Vada Pinson (18),574,L
564,565.,Buddy Lewis (11),573,L
565,565.,Justin Morneau (14),573,L
566,565.,Amos Strunk (17),573,L
567,568.,Doc Cramer (20),572,L
568,569.,Woody English (12),571,R
569,569.,Aubrey Huff (13),571,L
570,569.,Nemo Leibold (13),571,L
571,569.,Bobby Veach (14),571,L
572,573.,Jeff Blauser (13),569,R
573,573.,Spike Owen (13),569,B
574,575.,Cliff Johnson (15),568,R
575,575.,Billy Jurges (17),568,R
576,577.,George Hendrick (18),567,R
577,577.,Dave Martinez (16),567,L
578,577.,Mike Scioscia (13),567,L
579,580.,Johnny Grubb (16),566,L
580,580.,Cass Michaels (12),566,R
581,580.,Ken Williams (14),566,L
582,583.,Royce Clayton (17),565,R
583,584.,Phil Garner (16),564,R
584,584.,Frankie Hayes (14),564,R
585,584.,Kevin Millar (12),564,R
586,587.,Jeff Cirillo (14),563,R
587,587.,Earl Sheely (9),563,R
588,589.,Sam Chapman (11),562,R
589,589.,Joe Ferguson (14),562,R
590,589.,Scott Hatteberg (14),562,L
591,592.,Bobby Avila (11),561,R
592,592.,Gavvy Cravath (11),561,R
593,592.,Coco Crisp (15),561,B
594,592.,Wayne Garrett (10),561,L
595,592.,Andy Pafko (17),561,R
596,592.,Hank Sauer (15),561,R
597,598.,Ben Oglivie (16),560,L
598,599.,Davey Johnson (13),559,R
599,599.,Gil McDougald (10),559,R
600,599.,Bobby Thomson (15),559,R
601,602.,Al Bridwell (11),557,L
602,603.,Frank Chance+ (17),556,R
603,603.,Al Lopez+ (19),556,R
604,603.,Steve Sax (14),556,R
605,606.,"Chris Davis (13, 34)",555,L
606,606.,Ron Hunt (12),555,R
607,606.,Mark Loretta (15),555,R
608,609.,Mark Kotsay (17),554,L
609,610.,"Asdrubal Cabrera (14, 34)",553,B
610,610.,Marquis Grissom (17),553,R
611,610.,Carney Lansford (15),553,R
612,610.,Miguel Tejada (16),553,R
613,610.,Josh Willingham (11),553,R
614,615.,Don Blasingame (12),552,L
615,615.,Bret Boone (14),552,R
616,615.,Eric Karros (14),552,R
617,615.,Whitey Lockman (15),552,L
618,615.,"Justin Smoak (11, 33)",552,B
619,615.,Maury Wills (14),552,B
620,621.,Jesse Barfield (12),551,R
621,621.,Ron Hansen (15),551,R
622,623.,Tom Tresh (9),550,B
623,623.,Ross Youngs+ (10),550,L
624,625.,King Kelly+ (16),549,R
