,Rank,"Player (yrs, age)",Double Plays Turned as 1B,Throws
0,1.,Mickey Vernon (20),2044,L
1,2.,Eddie Murray+ (21),2033,R
2,3.,Todd Helton (17),2028,L
3,4.,Rafael Palmeiro (20),1782,L
4,5.,Fred McGriff (19),1775,L
5,6.,Joe Kuhel (18),1769,L
6,7.,Charlie Grimm (20),1733,L
7,8.,Chris Chambliss (17),1687,R
8,9.,Paul Konerko (18),1660,R
9,10.,Keith Hernandez (17),1654,L
10,11.,Andres Galarraga (19),1648,R
11,11.,"Albert Pujols (20, 40)",1648,R
12,13.,Jeff Bagwell+ (15),1618,R
13,14.,Gil Hodges (18),1614,R
14,15.,Wally Joyner (16),1611,L
15,16.,John Olerud (17),1581,L
16,17.,Lou Gehrig+ (17),1575,L
17,18.,Will Clark (15),1571,L
18,19.,Jim Bottomley+ (16),1562,L
19,20.,Joe Judge (20),1543,L
20,21.,Mark Grace (16),1533,L
21,22.,Jimmie Foxx+ (20),1528,R
22,23.,Don Mattingly (14),1500,L
23,24.,Steve Garvey (19),1498,R
24,25.,Carlos Delgado (17),1496,R
25,26.,George Sisler+ (15),1495,L
26,27.,George Scott (14),1480,R
27,28.,Derrek Lee (15),1442,R
28,29.,Mark Teixeira (14),1418,R
29,30.,Mark McGwire (16),1408,R
30,31.,Willie McCovey+ (22),1405,L
31,32.,Tino Martinez (16),1398,R
32,33.,Adrian Gonzalez (15),1381,L
33,34.,Cecil Cooper (17),1348,L
34,35.,Norm Cash (17),1347,L
35,36.,Tony Perez+ (23),1342,R
36,37.,Stuffy McInnis (19),1338,R
37,38.,Bill Terry+ (14),1334,L
38,39.,Kent Hrbek (14),1331,R
39,40.,Wally Pipp (15),1329,L
40,41.,Jake Beckley+ (20),1327,L
41,42.,Johnny Mize+ (15),1320,R
42,43.,John Mayberry (15),1307,L
43,44.,J.T. Snow (16),1298,L
44,45.,Ted Kluszewski (15),1269,L
45,46.,"Joey Votto (14, 36)",1267,R
46,47.,Bill Skowron (14),1266,R
47,48.,George McQuinn (12),1265,L
48,49.,Eric Karros (14),1257,R
49,50.,Adam LaRoche (12),1249,L
50,51.,Lee May (18),1235,R
51,52.,Cap Anson+ (27),1232,R
52,53.,Joe Adcock (17),1228,R
53,54.,Frank McCormick (13),1221,R
54,55.,Jake Daubert (15),1201,L
55,56.,Bill Buckner (22),1200,L
56,57.,Lu Blue (13),1196,L
57,58.,Orlando Cepeda+ (17),1192,R
58,59.,Dolph Camilli (12),1189,L
59,60.,Justin Morneau (14),1180,R
60,61.,Bill White (13),1157,L
61,62.,Hal Trosky (11),1146,R
62,63.,George Burns (16),1145,R
63,64.,Carlos Pena (14),1140,L
64,65.,Donn Clendenon (12),1136,R
65,66.,Boog Powell (17),1131,R
66,67.,Rod Carew+ (19),1130,R
67,68.,Lyle Overbay (14),1125,L
68,69.,Ferris Fain (9),1124,L
69,70.,Mo Vaughn (12),1119,R
70,71.,High Pockets Kelly+ (16),1113,R
71,72.,Ryan Howard (13),1106,L
72,73.,Earl Torgeson (15),1097,L
73,74.,Ed Konetchy (15),1093,R
74,75.,Jason Thompson (11),1090,L
75,76.,Elbie Fletcher (12),1086,L
76,76.,Pete O'Brien (12),1086,L
77,76.,Gus Suhr (11),1086,R
78,79.,Rudy York (13),1072,R
79,80.,Vic Power (12),1056,R
80,81.,"Freddie Freeman (11, 30)",1052,R
81,82.,Mike Hargrove (12),1043,L
82,83.,Prince Fielder (12),1025,R
83,84.,"Paul Goldschmidt (10, 32)",1018,R
84,84.,"Eric Hosmer (10, 30)",1018,L
85,84.,Eddie Robinson (13),1018,R
86,87.,Phil Cavarretta (22),1012,L
87,88.,Ernie Banks+ (19),1005,R
88,89.,"Chris Davis (13, 34)",1002,R
89,90.,Jason Giambi (20),995,R
90,91.,Dan Driessen (15),979,R
91,92.,Hank Greenberg+ (13),973,R
92,93.,Walt Dropo (13),968,R
93,94.,Willie Montanez (14),962,L
94,95.,Jim Spencer (15),956,L
95,95.,Fred Tenney (17),956,L
96,97.,Roger Connor+ (18),955,L
97,98.,Richie Sexson (12),951,R
