,Rank,"Player (yrs, age)",Assists as 2B,Throws
0,1.,Eddie Collins+ (25),7630,R
1,2.,Charlie Gehringer+ (19),7068,R
2,3.,Joe Morgan+ (22),6967,R
3,4.,Bid McPhee+ (18),6919,R
4,5.,Bill Mazeroski+ (17),6685,R
5,6.,Lou Whitaker (19),6653,R
6,7.,Roberto Alomar+ (17),6524,R
7,8.,Nellie Fox+ (19),6373,R
8,9.,Ryne Sandberg+ (16),6363,R
9,10.,Willie Randolph (18),6336,R
10,11.,Nap Lajoie+ (21),6267,R
11,12.,Frank White (18),6253,R
12,13.,Frankie Frisch+ (19),6026,R
13,14.,"Robinson Cano (16, 37)",5833,R
14,15.,Bobby Doerr+ (14),5710,R
15,16.,Billy Herman+ (15),5681,R
16,17.,Jeff Kent (17),5575,R
17,18.,Craig Biggio+ (20),5448,R
18,19.,Bobby Grich (17),5381,R
19,20.,Red Schoendienst+ (19),5243,R
20,21.,Ian Kinsler (14),5219,R
21,22.,Rogers Hornsby+ (23),5166,R
22,23.,Hughie Critz (12),5138,R
23,24.,Johnny Evers+ (18),5124,R
24,25.,Fred Pfeffer (16),5108,R
25,26.,Del Pratt (13),5075,R
26,27.,Ray Durham (14),4926,R
27,28.,Brandon Phillips (17),4925,R
28,29.,Steve Sax (14),4805,R
29,30.,Kid Gleason (22),4776,R
30,31.,Joe Gordon+ (11),4706,R
31,32.,Manny Trillo (17),4699,R
32,33.,Miller Huggins+ (13),4697,R
33,34.,Cupid Childs (13),4679,R
34,35.,Larry Doyle (14),4655,R
35,36.,Bret Boone (14),4589,R
36,37.,Lou Bierbauer (13),4563,R
37,38.,Chase Utley (16),4535,R
38,39.,Luis Castillo (15),4484,R
39,40.,Claude Ritchey (13),4479,R
40,41.,George Cutshaw (12),4473,R
41,42.,Ski Melillo (12),4448,R
42,43.,Tony Lazzeri+ (14),4445,R
43,44.,Glenn Hubbard (12),4444,R
44,45.,Jim Gantner (17),4347,R
45,46.,Bobby Lowe (18),4171,R
46,47.,Julian Javier (13),4113,R
47,48.,Buddy Myer (17),4068,R
48,49.,Frank Bolling (12),4019,R
49,50.,"Dustin Pedroia (14, 36)",4004,R
50,51.,Tom Herr (13),3999,R
51,52.,Harold Reynolds (12),3932,R
52,53.,Mark Ellis (12),3907,R
53,54.,Tony Cuccinello (15),3891,R
54,55.,Max Bishop (12),3850,R
55,56.,Felix Millan (12),3846,R
56,57.,Bucky Harris+ (12),3842,R
57,58.,Dave Cash (12),3841,R
58,59.,Johnny Ray (10),3836,R
59,60.,Davey Lopes (16),3829,R
60,61.,Chuck Knoblauch (12),3821,R
61,62.,Joe Quinn (17),3820,R
62,63.,Cookie Rojas (16),3819,R
63,64.,Tony Taylor (19),3818,R
64,65.,Delino DeShields (13),3817,R
65,66.,Orlando Hudson (11),3809,R
66,67.,Ted Sizemore (12),3761,R
67,68.,Brian Roberts (14),3719,R
68,69.,Glenn Beckert (11),3712,R
69,70.,Robby Thompson (11),3704,R
70,71.,Bill Wambsganss (13),3669,R
71,72.,Tito Fuentes (13),3654,R
72,73.,Bill Doran (12),3651,R
73,74.,Aaron Hill (13),3620,R
74,75.,Adam Kennedy (14),3600,R
75,76.,Eric Young Sr. (15),3599,R
76,77.,Otto Knabe (11),3583,R
77,78.,Jerry Priddy (11),3567,R
78,79.,Don Blasingame (12),3550,R
79,80.,Ron Hunt (12),3512,R
80,81.,Jimmy Williams (11),3509,R
81,82.,Dan Uggla (10),3472,R
82,83.,Bobby Richardson (12),3445,R
83,84.,Julio Cruz (10),3435,R
84,85.,Bill Hallman (14),3399,R
85,86.,Mark McLemore (19),3392,R
86,87.,Cub Stricker (11),3387,R
87,88.,Johnny Temple (13),3329,R
88,89.,Jack Burdock (18),3322,R
89,90.,Damion Easley (17),3321,R
90,91.,Jerry Remy (10),3241,R
91,92.,Ronnie Belliard (13),3237,R
92,92.,Tommy Helms (14),3237,R
93,94.,Juan Samuel (16),3228,R
94,95.,Bobby Knoop (9),3218,R
95,96.,Eddie Stanky (11),3215,R
96,97.,Mickey Morandini (11),3202,R
97,98.,Howie Kendrick (15),3197,R
98,98.,Ron Oester (13),3197,R
99,100.,Jody Reed (11),3187,R
100,101.,Horace Clarke (10),3179,R
101,102.,"Jose Altuve (10, 30)",3171,R
102,103.,Fred Dunlap (12),3168,R
103,104.,Davey Johnson (13),3153,R
104,105.,Hobe Ferris (9),3151,R
105,106.,Mark Grudzielanek (15),3139,R
106,107.,Bobby Avila (11),3126,R
107,108.,Carlos Baerga (14),3101,R
108,109.,Rennie Stennett (11),3100,R
109,110.,Jose Lind (9),3094,R
110,111.,Dick Green (12),3063,R
111,112.,Tom Daly (17),3025,R
112,113.,Sandy Alomar (15),2988,R
113,114.,Lonny Frey (14),2985,R
114,115.,Jackie Hayes (14),2983,R
115,116.,Joe Gerhardt (15),2978,R
116,117.,Ralph Young (9),2954,R
117,118.,Rod Carew+ (19),2928,R
118,119.,Tony Bernazard (10),2901,R
119,120.,Omar Infante (15),2887,R
120,121.,"DJ LeMahieu (10, 31)",2869,R
121,122.,Fernando Vina (12),2855,R
122,123.,Marty McManus (15),2853,R
123,124.,Jerry Lumpe (12),2845,R
124,125.,"Jason Kipnis (10, 33)",2822,R
125,126.,Connie Ryan (12),2818,R
126,127.,"Brian Dozier (9, 33)",2813,R
127,128.,"Neil Walker (12, 34)",2796,R
128,129.,Placido Polanco (16),2794,R
129,130.,Damaso Garcia (11),2784,R
130,131.,Phil Garner (16),2760,R
131,132.,Jose Vidro (12),2747,R
132,133.,Jim Gilliam (14),2724,R
133,134.,George Grantham (13),2712,R
134,135.,Luis Alicea (13),2703,R
135,136.,Rickie Weeks (14),2643,R
136,137.,Marty Barrett (10),2631,R
137,138.,Todd Walker (12),2586,R
138,139.,Bump Wills (6),2582,R
139,140.,Mark Lemke (11),2579,R
140,141.,Al Myers (8),2547,R
141,142.,Aaron Ward (12),2546,R
142,143.,Jimmy Bloodworth (11),2498,R
143,144.,Jack Farrell (11),2480,R
144,145.,Duane Kuiper (12),2466,R
145,146.,Rich Dauer (10),2451,R
146,147.,Doug Flynn (11),2415,R
147,148.,Denny Doyle (8),2409,R
148,149.,Kelly Johnson (11),2364,R
149,150.,Pop Smith (12),2363,R
150,151.,Mike Lansing (9),2344,R
151,152.,Jimmy Dykes (22),2343,R
152,152.,Cass Michaels (12),2343,R
153,154.,Rob Wilfong (11),2335,R
154,155.,Danny Murphy (16),2320,R
155,156.,Dick McAuliffe (16),2299,R
156,157.,Burgess Whitehead (9),2297,R
157,158.,Pete Suder (13),2292,R
158,159.,Dick Padden (9),2291,R
159,160.,Joey Cora (11),2280,R
160,161.,Ray Mack (9),2236,R
161,162.,Marcus Giles (7),2234,R
162,163.,Johnny Rawlings (12),2233,R
163,164.,Snuffy Stirnweiss (10),2224,R
164,165.,Billy Gilbert (8),2200,R
165,166.,"Rougned Odor (7, 26)",2198,R
166,167.,Heinie Reitz (7),2194,R
167,168.,Emil Verban (7),2179,R
168,169.,Billy Gardner (10),2173,R
169,170.,"Jonathan Schoop (8, 28)",2166,R
170,171.,Bernie Allen (12),2151,R
