,Rank,"Player (yrs, age)",AB per SO,Bats
154,155.,Yogi Berra+ (19),18.25,L
155,155.,Riggs Stephenson (14),18.25,R
156,157.,Buck Ewing+ (18),18.24,R
157,158.,Jake Beckley+ (20),18.16,L
158,158.,Doc Casey (10),18.16,B
159,160.,Patsy Tebeau (13),18.11,R
160,161.,Clyde Milan (16),18.08,L
161,161.,Mike Smith (14),18.08,L
162,163.,Ginger Beaumont (12),18.03,L
163,164.,Billy Herman+ (15),18.01,R
164,165.,Lee Magee (9),17.99,B
165,165.,Bobby Veach (14),17.99,L
166,167.,Dave Cash (12),17.97,R
167,168.,Clyde Barnhart (9),17.94,R
168,169.,Bob Bailor (11),17.91,R
169,170.,Eddie Foster (13),17.89,R
170,171.,Tom York (15),17.84,L
171,172.,John Anderson (14),17.82,B
172,173.,Elmer Valo (20),17.71,L
173,174.,Adam Comorosky (10),17.64,R
174,175.,Johnny Frederick (6),17.63,L
175,176.,Heinie Groh (16),17.61,R
176,177.,Luke Sewell (20),17.53,R
177,178.,Johnny Lipon (9),17.51,R
178,179.,Rich Dauer (10),17.48,R
179,180.,Billy Shindle (13),17.41,R
180,181.,Home Run Baker+ (13),17.40,L
181,182.,Jimmy Wasdell (11),17.37,L
182,183.,Billy Hamilton+ (14),17.36,L
183,183.,Buddy Lewis (11),17.36,L
184,185.,Ed McFarland (14),17.28,R
185,185.,Jack O'Connor (21),17.28,R
186,187.,Rebel Oakes (7),17.23,L
187,188.,Larry Doyle (14),17.22,L
188,188.,Eddie Mayo (9),17.22,L
189,188.,Kip Selbach (13),17.22,R
190,191.,Mark Christman (9),17.21,R
191,192.,Bill Sweeney (8),17.17,R
192,193.,Billy Goodman (16),17.16,L
193,194.,Roger Connor+ (18),17.14,B
194,195.,Johnny Moore (10),17.12,L
195,195.,Walt Wilmot (10),17.12,B
196,197.,Ed Delahanty+ (16),17.11,R
197,197.,Lew Fonseca (12),17.11,R
198,197.,Jim Gilliam (14),17.11,B
199,197.,Harvey Kuenn (15),17.11,R
200,201.,Gus Mancuso (17),17.06,R
201,201.,Jimmie Wilson (18),17.06,R
202,203.,Billy Cox (11),17.03,R
203,204.,Ken Williams (14),16.94,L
204,205.,Shanty Hogan (13),16.91,R
205,206.,George Case (11),16.89,R
206,206.,Cecil Travis (12),16.89,L
207,208.,Ty Cobb+ (24),16.82,L
208,209.,Oyster Burns (11),16.81,R
209,210.,Fred Clarke+ (21),16.80,L
210,211.,Luke Appling+ (20),16.77,R
211,212.,Brian Harper (16),16.76,R
212,212.,Jackie Hayes (14),16.76,R
213,212.,Jackie Robinson+ (10),16.76,R
214,215.,Nick Etten (9),16.68,L
215,216.,Bibb Falk (12),16.67,L
216,217.,Jimmy Ryan (18),16.64,R
217,218.,Herman Long (16),16.62,L
218,219.,Tommy Helms (14),16.60,R
219,220.,Smoky Burgess (18),16.56,L
220,221.,Ski Melillo (12),16.55,R
221,222.,Joe Sugden (13),16.54,B
222,223.,Joe Judge (20),16.52,L
223,224.,Danny Murphy (16),16.51,R
224,225.,Sam Crawford+ (19),16.50,L
225,226.,Lee Handley (10),16.45,R
226,226.,Tommy Tucker (13),16.45,B
227,228.,Buddy Myer (17),16.44,L
228,229.,Pat Duncan (7),16.43,R
229,230.,Bid McPhee+ (18),16.41,R
