,Rank,"Player (yrs, age)",AB per SO,Bats
638,639.,Glenn Wright (11),10.20,R
639,640.,Gus Bell (15),10.19,L
640,640.,Danny O'Connell (10),10.19,R
641,640.,Neifi Perez (12),10.19,B
642,640.,Ben Revere (8),10.19,L
643,644.,Frank Snyder (16),10.17,R
644,644.,Roy Thomas (13),10.17,L
645,646.,Les Mann (16),10.16,R
646,646.,Mike Mitchell (8),10.16,R
647,646.,Pete Runnels (14),10.16,L
648,649.,Orlando Cabrera (15),10.15,R
649,650.,Ripper Collins (9),10.14,B
650,650.,George Moriarty (13),10.14,R
651,652.,Lou Gehrig+ (17),10.13,L
652,652.,Babe Herman (13),10.13,L
653,654.,Mike Hargrove (12),10.12,L
654,654.,Butch Wynegar (13),10.12,B
655,656.,Jim Piersall (17),10.10,R
656,657.,Babe Dahlgren (12),10.09,R
657,657.,Del Ennis (14),10.09,R
658,657.,Tony Fernandez (17),10.09,B
659,657.,Cesar Izturis (13),10.09,B
660,661.,Nomar Garciaparra (14),10.08,R
661,661.,Don Kessinger (16),10.08,B
662,663.,Lee Tannehill (10),10.07,R
663,664.,Les Bell (9),10.06,R
664,664.,Charlie Hickman (12),10.06,R
665,666.,Eddie Kasko (10),10.05,R
666,666.,Sam Mele (10),10.05,R
667,666.,Bob O'Farrell (21),10.05,R
668,666.,Jim Tabor (9),10.05,R
669,666.,Mickey Vernon (20),10.05,L
670,671.,Miller Huggins+ (13),10.00,B
671,672.,George Metkovich (10),9.99,L
672,673.,Frank Bolling (12),9.97,R
673,674.,Carney Lansford (15),9.96,R
674,675.,Max Bishop (12),9.94,L
675,675.,Chico Carrasquel (10),9.94,R
676,675.,Jose Lind (9),9.94,R
677,678.,Tito Fuentes (13),9.92,B
678,678.,Al Kaline+ (22),9.92,R
679,680.,Ray Boone (13),9.91,R
680,680.,Patsy Dougherty (10),9.91,L
681,682.,Benny Kauff (8),9.89,L
682,682.,Ollie Pickering (8),9.89,L
683,684.,Sandy Alomar (15),9.88,B
684,684.,Dom DiMaggio (11),9.88,R
685,686.,Elmer Flick+ (13),9.87,L
686,686.,Rabbit Warstler (11),9.87,R
687,688.,Elbie Fletcher (12),9.86,L
688,689.,B.J. Surhoff (19),9.84,L
689,690.,Jerry Browne (10),9.82,B
690,690.,George Wood (13),9.82,L
691,692.,Duffy Lewis (11),9.80,R
692,693.,Lyn Lary (12),9.79,R
693,694.,Darrin Fletcher (14),9.78,L
694,694.,Grady Hatton (12),9.78,L
695,696.,Tony Oliva (15),9.77,L
696,697.,Eddie Miksis (14),9.75,R
697,698.,Alberto Callaspo (10),9.74,B
698,698.,Warren Cromartie (10),9.74,L
699,698.,Ken Landreaux (11),9.74,L
700,698.,Omar Vizquel (24),9.74,B
701,702.,Whitey Kurowski (9),9.73,R
702,703.,Roy Cullenbine (10),9.72,B
703,703.,Scott Fletcher (15),9.72,R
704,705.,Barry Larkin+ (19),9.71,R
705,706.,Chick Hafey+ (13),9.70,R
706,706.,Johnny Wyrostek (11),9.70,L
707,708.,Joe Pepitone (12),9.69,L
708,709.,Jim Busby (13),9.68,R
709,709.,Al Rosen (10),9.68,R
710,711.,Pete O'Brien (12),9.66,L
711,712.,Bill Coughlin (9),9.64,R
712,713.,Ping Bodie (9),9.63,R
713,713.,Clyde Engle (8),9.63,R
714,713.,Billy Martin (11),9.63,R
715,716.,Aaron Miles (9),9.62,B
716,717.,Deivi Cruz (9),9.61,R
717,717.,Joe Hornung (12),9.61,R
718,717.,Mark Loretta (15),9.61,R
719,717.,Jo-Jo White (9),9.61,L
720,721.,Jackie Jensen (11),9.59,R
721,722.,Tommy Davis (18),9.58,R
722,722.,Terry Puhl (15),9.58,L
723,724.,George Browne (12),9.56,L
724,725.,Tom Daly (17),9.55,B
725,725.,Rey Sanchez (15),9.55,R
726,727.,Harry Stovey (14),9.53,R
727,728.,Bob Aspromonte (13),9.52,R
728,728.,Kiki Cuyler+ (18),9.52,R
729,728.,Vic Davalillo (16),9.52,L
730,728.,Steve Evans (8),9.52,L
731,732.,Wayne Causey (11),9.51,L
732,732.,Jack Graney (14),9.51,L
733,734.,Birdie Cree (8),9.50,R
734,734.,Roy McMillan (16),9.50,R
735,734.,Spike Owen (13),9.50,B
736,737.,George Grantham (13),9.48,L
737,737.,Vern Stephens (15),9.48,R
738,737.,Alan Trammell+ (20),9.48,R
739,740.,Jimmy Dykes (22),9.47,R
740,740.,Mark Lemke (11),9.47,B
741,740.,Casey Stengel+ (14),9.47,L
742,743.,Alan Bannister (12),9.46,R
743,743.,Don Gutteridge (12),9.46,R
744,745.,Tony Kubek (9),9.45,L
745,746.,Billy Clingman (10),9.42,B
746,746.,Otto Miller (13),9.42,R
747,748.,Red Smith (9),9.41,R
748,749.,Pepper Martin (13),9.40,R
749,749.,Cy Williams (19),9.40,L
750,751.,Willie Davis (18),9.39,L
751,751.,Roy White (15),9.39,B
752,753.,Carlos Baerga (14),9.38,B
753,754.,Ed Kranepool (18),9.36,L
754,754.,Matty McIntyre (10),9.36,L
755,754.,Roger Metzger (11),9.36,B
756,754.,Thurman Munson (11),9.36,R
757,758.,Wally Judnich (7),9.35,L
758,758.,Burt Shotton (14),9.35,L
759,760.,Denny Walling (18),9.32,L
760,761.,Yuniesky Betancourt (9),9.31,R
761,762.,Darryl Hamilton (13),9.27,L
762,762.,Danny Litwhiler (11),9.27,R
763,762.,Hal McRae (19),9.27,R
764,765.,Wally Schang (19),9.26,B
765,766.,Al Zarilla (10),9.25,L
766,767.,Bill Virdon (12),9.24,L
767,768.,Gabby Hartnett+ (20),9.23,R
768,769.,"Dustin Pedroia (14, 36)",9.22,R
769,769.,Ken Reitz (11),9.22,R
770,771.,Ichiro Suzuki (19),9.20,L
771,771.,Jose Vidro (12),9.20,B
772,773.,Rey Ordóñez (9),9.19,R
773,773.,Sammy White (11),9.19,R
774,775.,Jim Eisenreich (15),9.18,L
775,775.,Tim Raines+ (23),9.18,B
776,777.,Tom Herr (13),9.16,B
777,778.,Eddie Grant (10),9.15,L
778,779.,Johnny Bates (9),9.14,L
779,779.,Joe Morgan+ (22),9.14,L
780,781.,Billy Hatcher (12),9.12,R
781,781.,John Stearns (11),9.12,R
782,783.,Joe Cunningham (12),9.11,L
783,784.,Ron Hassey (14),9.10,L
784,785.,Sandy Alomar (20),9.08,R
785,785.,Ron Jackson (10),9.08,R
786,787.,Spike Shannon (5),9.07,L
787,787.,Moose Solters (9),9.07,R
788,789.,Rod Carew+ (19),9.06,L
789,789.,Lenny Dykstra (12),9.06,L
790,789.,Casey Kotchman (10),9.06,L
791,789.,George McQuinn (12),9.06,L
792,793.,Hoot Evers (12),9.05,R
793,793.,Pee Wee Reese+ (16),9.05,R
794,795.,Rick Cerone (18),9.04,R
795,795.,Ray Mueller (14),9.04,R
796,797.,Danny Green (8),9.03,L
797,798.,Brett Butler (17),9.02,L
798,798.,Mickey Doolin (13),9.02,R
799,800.,Bobby Adams (14),8.99,R
800,801.,Fred Merkle (16),8.96,R
801,801.,Jimmy Sheckard (17),8.96,L
802,803.,Hank Aaron+ (23),8.94,R
803,803.,Billy Williams+ (18),8.94,L
804,805.,Heinie Sand (6),8.92,R
805,806.,Irv Noren (11),8.91,L
806,806.,Luis Polonia (12),8.91,L
807,806.,Hank Thompson (9),8.91,L
808,809.,Dave Chalk (9),8.90,R
809,809.,Keith Moreland (12),8.90,R
810,809.,Elmer Smith (10),8.90,L
811,809.,Mickey Stanley (15),8.90,R
812,813.,Ray Chapman (9),8.86,R
813,813.,"Yadier Molina (17, 37)",8.86,R
814,813.,Chief Zimmer (19),8.86,R
815,816.,Endy Chavez (13),8.85,L
816,816.,Woody English (12),8.85,R
817,816.,Rafael Ramirez (13),8.85,R
818,816.,Cal Ripken Jr.+ (21),8.85,R
819,820.,Bob Meusel (11),8.84,R
820,820.,Gene Moore (14),8.84,L
821,822.,Dion James (11),8.82,L
822,823.,Jim Fogarty (7),8.81,R
823,823.,Steve Garvey (19),8.81,R
824,825.,Topsy Hartsel (14),8.80,L
825,826.,Hank Leiber (10),8.79,R
826,827.,Sean Casey (12),8.78,L
827,828.,George Selkirk (9),8.75,L
828,829.,Edgardo Alfonzo (12),8.73,R
829,829.,Darby O'Brien (6),8.73,R
830,831.,Hobe Ferris (9),8.72,R
831,831.,Chuck Knoblauch (12),8.72,R
832,833.,Bill Joyce (8),8.71,L
833,833.,Paul Molitor+ (21),8.71,R
834,835.,Tillie Walker (13),8.69,R
835,836.,Tom Veryzer (12),8.66,R
836,837.,Jimmy Bloodworth (11),8.65,R
837,838.,Wally Joyner (16),8.64,L
838,838.,High Pockets Kelly+ (16),8.64,R
839,840.,Jose Cardenal (18),8.63,R
840,840.,Frank Schulte (15),8.63,L
841,842.,Enos Cabell (15),8.61,R
842,842.,Carl Yastrzemski+ (23),8.61,L
843,844.,Charlie Moore (15),8.58,R
844,844.,Chief Wilson (9),8.58,L
845,846.,Marco Scutaro (13),8.57,R
846,847.,Ned Williamson (13),8.56,R
847,848.,Bill Doran (12),8.55,B
848,848.,Kevin Seitzer (12),8.55,R
849,850.,Mark Kotsay (17),8.54,L
850,851.,Toby Harrah (17),8.53,R
851,851.,Frank Taveras (11),8.53,R
852,853.,Rick Manning (13),8.52,L
853,853.,Jose Oquendo (12),8.52,B
854,855.,Fred Snodgrass (9),8.50,R
855,856.,Maicer Izturis (11),8.49,B
856,856.,Hal Lanier (10),8.49,R
857,856.,Marty Perez (10),8.49,R
858,859.,Ryan Theriot (8),8.48,R
859,860.,Rico Carty (15),8.46,R
860,860.,Mike Sweeney (16),8.46,R
861,862.,Juan Beniquez (17),8.44,R
862,863.,Steve Braun (15),8.43,L
863,863.,Bake McBride (11),8.43,L
864,863.,Jim Spencer (15),8.43,L
865,866.,Lee Maye (13),8.42,L
866,866.,Jim Russell (10),8.42,B
867,868.,Gerald Perry (13),8.41,L
868,869.,Al Cowens (13),8.40,R
869,869.,Scott Hatteberg (14),8.40,L
870,869.,George Watkins (7),8.40,L
871,872.,Roy Campanella+ (10),8.39,R
872,873.,"Michael Brantley (12, 33)",8.38,L
873,873.,Randy Jackson (10),8.38,R
874,875.,Bernie Friberg (14),8.37,R
875,875.,Lee Thomas (8),8.37,L
876,877.,Ray Knight (13),8.34,R
877,878.,Larry Brown (12),8.33,R
878,879.,Eddie Lake (11),8.32,R
879,880.,"Albert Pujols (20, 40)",8.31,R
880,881.,Barry McCormick (10),8.30,R
881,882.,Pete Coscarart (9),8.29,R
882,882.,Richie Hebner (18),8.29,L
883,882.,Russ Snyder (12),8.29,L
884,885.,Vladimir Guerrero+ (16),8.28,R
885,886.,Snuffy Stirnweiss (10),8.27,R
886,887.,Bob Bescher (11),8.26,B
887,887.,Jay Payton (12),8.26,R
888,887.,Jose Reyes (16),8.26,B
889,890.,Oscar Gamble (17),8.25,L
890,891.,Joe Azcue (11),8.22,R
891,891.,Jerry Denny (13),8.22,R
892,891.,Chico Fernandez (8),8.22,R
893,891.,John Hummel (12),8.22,R
894,891.,Billy Ripken (12),8.22,R
895,896.,Miguel Cairo (17),8.21,R
896,897.,Jimmy Austin (18),8.19,B
897,897.,Ron Fairly (21),8.19,L
898,897.,Victor Martinez (16),8.19,B
899,897.,Wally Moon (12),8.19,L
900,897.,Magglio Ordonez (15),8.19,R
901,902.,Chris Chambliss (17),8.18,L
902,903.,Jose Lopez (9),8.16,R
903,904.,Bruce Campbell (13),8.15,L
904,904.,Ray Fosse (12),8.15,R
905,904.,Don Hoak (11),8.15,R
906,904.,Jorge Orta (16),8.15,L
907,904.,A.J. Pierzynski (19),8.15,L
908,904.,Shannon Stewart (14),8.15,R
909,904.,Robin Yount+ (20),8.15,R
910,911.,Gene Richards (8),8.14,L
911,912.,Joe Gordon+ (11),8.13,R
912,912.,Bob Johnson (13),8.13,R
913,914.,Monte Cross (15),8.11,R
914,914.,Carlos Lee (14),8.11,R
915,914.,Garry Maddox (15),8.11,R
916,914.,Jim Wohlford (15),8.11,R
917,918.,Freddy Sanchez (10),8.10,R
918,919.,Doc Gessler (8),8.09,L
919,919.,Bris Lord (8),8.09,R
920,921.,Cecil Cooper (17),8.07,L
921,921.,Bill Freehan (15),8.07,R
922,921.,Billy Gardner (10),8.07,R
923,924.,Hank Bauer (14),8.06,R
924,924.,Alex Cora (14),8.06,L
925,924.,Vada Pinson (18),8.06,L
926,924.,Rich Rollins (10),8.06,R
927,924.,Eric Soderholm (9),8.06,R
928,929.,Jerry Adair (13),8.05,R
929,929.,Ken Griffey (19),8.05,L
930,931.,Harlond Clift (12),8.04,R
931,932.,Bernie Allen (12),8.03,L
932,933.,Manny Trillo (17),8.02,R
933,934.,Gary Carter+ (19),8.00,R
934,934.,Bobby Murcer (17),8.00,L
935,936.,Mike Andrews (8),7.99,R
936,936.,Kenny Lofton (17),7.99,L
937,936.,Jerry Morales (15),7.99,R
938,936.,Vic Saier (8),7.99,L
939,940.,Todd Walker (12),7.98,L
940,940.,Eddie Yost (18),7.98,R
941,942.,Beals Becker (8),7.97,L
942,943.,Roberto Alomar+ (17),7.96,B
943,944.,Martin Prado (14),7.95,R
944,945.,George Bell (12),7.94,R
945,945.,Darren Lewis (13),7.94,R
946,945.,Elliott Maddox (11),7.94,R
947,948.,Barry Bonnell (10),7.93,R
948,949.,Don Buford (10),7.92,B
949,949.,Tom McCreery (9),7.92,B
950,951.,Bruce Bochte (12),7.90,L
951,951.,Doug Glanville (9),7.90,R
952,951.,Alexei Ramírez (9),7.90,R
953,951.,Aaron Ward (12),7.90,R
954,951.,Jack Wilson (12),7.90,R
955,956.,Derrel Thomas (15),7.89,B
956,957.,Jerry Royster (16),7.88,R
957,958.,Moises Alou (17),7.87,R
958,958.,Gary Sheffield (22),7.87,R
959,958.,Max West (7),7.87,L
960,961.,Frankie Crosetti (17),7.86,R
961,962.,Clyde McCullough (15),7.84,R
962,962.,Bobby Thomson (15),7.84,R
963,964.,"Jose Altuve (10, 30)",7.82,R
964,964.,Brian Giles (15),7.82,L
965,964.,George McBride (16),7.82,R
966,964.,Lenny Randle (12),7.82,B
967,964.,Miguel Tejada (16),7.82,R
968,969.,Lou Whitaker (19),7.80,L
969,970.,Cesar Cedeno (17),7.79,R
970,971.,Jeff Cirillo (14),7.78,R
971,971.,Willie Montanez (14),7.78,L
972,973.,Frank Catalanotto (14),7.77,L
973,973.,Matt Lawton (12),7.77,L
974,973.,Rafael Palmeiro (20),7.77,L
975,973.,Bob Watson (19),7.77,R
976,973.,Cy Young+ (22),7.77,R
977,978.,Kent Hrbek (14),7.76,L
978,979.,Johnny Damon (18),7.75,L
979,979.,Yunel Escobar (11),7.75,R
980,979.,Juan Rivera (12),7.75,R
981,979.,Connie Ryan (12),7.75,R
982,983.,Jimmy Barrett (10),7.74,L
983,984.,Del Unser (15),7.73,L
984,985.,"Erick Aybar (12, 36)",7.72,B
985,985.,Dave Bergman (17),7.72,L
986,985.,Melky Cabrera (15),7.72,B
987,988.,James Loney (11),7.70,L
988,988.,George Stone (7),7.70,L
989,990.,Dusty Baker (19),7.69,R
990,990.,Roberto Clemente+ (18),7.69,R
991,990.,Shea Hillenbrand (7),7.69,R
992,990.,Felix Mantilla (11),7.69,R
993,990.,Ernie Whitt (15),7.69,L
994,995.,Jose Cruz (19),7.68,L
995,995.,"José Iglesias (9, 30)",7.68,R
996,995.,"Kurt Suzuki (14, 36)",7.68,R
997,998.,Kevin McReynolds (12),7.67,R
998,998.,Dode Paskert (15),7.67,R
