,Rank,"Player (yrs, age)",Putouts as C,Throws
0,1.,Ivan Rodriguez+ (21),14864,R
1,2.,"Yadier Molina (17, 37)",13741,R
2,3.,Jason Kendall (15),13019,R
3,4.,Brad Ausmus (18),12839,R
4,5.,A.J. Pierzynski (19),12600,R
5,6.,Brian McCann (15),12048,R
6,7.,Gary Carter+ (19),11785,R
7,8.,Russell Martin (14),11612,R
8,9.,Carlton Fisk+ (24),11369,R
9,10.,Bob Boone (19),11260,R
10,11.,Tony Pena (18),11212,R
11,12.,Mike Piazza+ (16),10844,R
12,13.,Benito Santiago (20),10816,R
13,14.,Jason Varitek (15),10166,R
14,15.,Jorge Posada (17),10016,R
15,16.,Bill Freehan (15),9941,R
16,17.,"Kurt Suzuki (14, 36)",9931,R
17,18.,Jim Sundberg (16),9767,R
18,19.,Lance Parrish (19),9647,R
19,20.,John Roseboro (14),9291,R
20,21.,Johnny Bench+ (17),9249,R
21,22.,Ramon Hernandez (15),9012,R
22,23.,Javy Lopez (15),8990,R
23,24.,Johnny Edwards (14),8925,R
24,25.,Ted Simmons+ (21),8906,R
25,26.,Yogi Berra+ (19),8738,R
26,27.,Mike Scioscia (13),8335,R
27,28.,Tim McCarver (21),8206,R
28,29.,Bengie Molina (13),8122,R
29,30.,Dan Wilson (14),8109,R
30,31.,Jerry Grote (16),8081,R
31,32.,"Jonathan Lucroy (11, 34)",7989,R
32,33.,Bill Dickey+ (17),7965,R
33,34.,Mike Lieberthal (14),7829,R
34,35.,"Matt Wieters (12, 34)",7697,R
35,36.,Carlos Ruiz (12),7668,R
36,37.,Sandy Alomar (20),7667,R
37,38.,Joe Girardi (15),7619,R
38,39.,"Chris Iannetta (14, 37)",7613,R
39,40.,Miguel Montero (13),7516,R
40,41.,Jim Hegan (17),7506,R
41,42.,Terry Steinbach (14),7505,R
42,43.,"Buster Posey (11, 33)",7475,R
43,44.,Rick Dempsey (24),7367,R
44,45.,Del Crandall (16),7352,R
45,46.,Gabby Hartnett+ (20),7292,R
46,47.,Rick Ferrell+ (18),7248,R
47,48.,Charles Johnson (12),7218,R
