,Rank,"Player (yrs, age)",Assists as SS,Throws
0,1.,Ozzie Smith+ (19),8375,R
1,2.,Luis Aparicio+ (18),8016,R
2,3.,Omar Vizquel (24),7676,R
3,4.,Bill Dahlen (21),7505,R
4,5.,Rabbit Maranville+ (23),7354,R
5,6.,Luke Appling+ (20),7218,R
6,7.,Tommy Corcoran (18),7123,R
7,8.,Cal Ripken Jr.+ (21),6977,R
8,9.,Larry Bowa (16),6857,R
9,10.,Derek Jeter+ (20),6605,R
10,11.,Dave Concepcion (19),6594,R
11,12.,Dave Bancroft+ (16),6561,R
12,13.,Roger Peckinpaugh (17),6337,R
13,14.,Bobby Wallace+ (25),6303,R
14,15.,Don Kessinger (16),6212,R
15,16.,Roy McMillan (16),6191,R
16,17.,Alan Trammell+ (20),6172,R
17,18.,Germany Smith (15),6166,R
18,19.,Bert Campaneris (19),6160,R
19,20.,Jimmy Rollins (17),6139,R
20,21.,Herman Long (16),6137,R
21,22.,Donie Bush (16),6119,R
22,23.,Garry Templeton (16),6041,R
23,23.,Honus Wagner+ (21),6041,R
24,25.,Royce Clayton (17),5902,R
25,26.,Pee Wee Reese+ (16),5891,R
26,27.,Barry Larkin+ (19),5858,R
27,28.,Joe Tinker+ (15),5856,R
28,29.,Joe Cronin+ (20),5814,R
29,30.,Dick Groat (14),5811,R
30,31.,Miguel Tejada (16),5804,R
31,32.,Mark Belanger (18),5786,R
32,33.,Chris Speier (19),5781,R
33,34.,Edgar Renteria (16),5701,R
34,35.,Jack Glasscock (17),5632,R
35,36.,Dick Bartell (18),5590,R
36,37.,Bill Russell (18),5546,R
37,38.,Ed Brinkman (15),5466,R
38,39.,Monte Cross (15),5375,R
39,40.,Ozzie Guillen (16),5335,R
40,41.,Leo Cardenas (16),5303,R
41,42.,Mickey Doolin (13),5290,R
42,43.,George McBride (16),5274,R
43,44.,Alfredo Griffin (18),5186,R
44,45.,Art Fletcher (13),5134,R
45,46.,Orlando Cabrera (15),5097,R
46,47.,Everett Scott (13),5053,R
47,48.,Billy Jurges (17),4959,R
48,49.,Greg Gagne (15),4930,R
49,50.,Ed McKean (13),4854,R
50,51.,Marty Marion (13),4829,R
51,52.,Tim Foli (16),4804,R
52,52.,Maury Wills (14),4804,R
53,54.,George Davis+ (20),4794,R
54,54.,Robin Yount+ (20),4794,R
55,56.,Freddie Patek (14),4786,R
